,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1513.0,1544.35,1502.0,1511.45,1511.45,110143.0
4223,2019-06-13,1510.0,1554.0,1502.0,1508.85,1508.85,221273.0
4222,2019-06-12,1547.75,1574.65,1500.05,1506.55,1506.55,185146.0
4221,2019-06-11,1560.0,1583.75,1540.6,1546.55,1546.55,101534.0
4220,2019-06-10,1563.15,1629.0,1552.2,1563.4,1563.4,196369.0
4219,2019-06-07,1531.05,1575.0,1517.0,1564.15,1564.15,41806.0
4218,2019-06-06,1560.0,1579.4,1524.0,1529.8,1529.8,57148.0
4217,2019-06-04,1593.35,1609.8,1552.0,1561.65,1561.65,97405.0
4216,2019-06-03,1571.1,1615.5,1551.3,1593.35,1593.35,89242.0
4215,2019-05-31,1579.75,1598.35,1561.0,1569.3,1569.3,44434.0
4214,2019-05-30,1580.0,1587.9,1562.1,1574.3,1574.3,31425.0
4213,2019-05-29,1595.0,1600.1,1577.15,1587.9,1587.9,172554.0
4212,2019-05-28,1616.0,1618.0,1557.65,1594.5,1594.5,173687.0
4211,2019-05-27,1478.0,1619.95,1478.0,1613.3,1613.3,327524.0
4210,2019-05-24,1463.85,1500.0,1444.85,1496.95,1496.95,76994.0
4209,2019-05-23,1490.0,1490.0,1421.0,1437.7,1437.7,76310.0
4208,2019-05-22,1425.0,1461.5,1401.2,1457.15,1457.15,43526.0
4207,2019-05-21,1440.0,1457.95,1414.0,1428.85,1428.85,104736.0
4206,2019-05-20,1418.8,1442.0,1405.0,1437.1,1437.1,49128.0
4205,2019-05-17,1385.0,1403.8,1372.55,1391.1,1391.1,21627.0
4204,2019-05-16,1379.0,1403.9,1361.05,1387.25,1387.25,61705.0
4203,2019-05-15,1363.0,1410.0,1356.25,1378.3,1378.3,35340.0
4202,2019-05-14,1355.85,1380.0,1311.3,1374.6,1374.6,165512.0
4201,2019-05-13,1398.0,1398.0,1340.0,1347.45,1347.45,29755.0
4200,2019-05-10,1380.5,1398.8,1341.65,1377.15,1377.15,124261.0
4199,2019-05-09,1450.0,1450.0,1380.2,1385.9,1385.9,151254.0
4198,2019-05-08,1480.25,1497.0,1448.0,1453.55,1453.55,175410.0
4197,2019-05-07,1475.0,1496.9,1465.55,1478.8,1478.8,57445.0
4196,2019-05-06,1480.0,1506.9,1471.0,1479.05,1479.05,175652.0
4195,2019-05-03,1476.0,1517.8,1472.5,1493.25,1493.25,113929.0
4194,2019-05-02,1485.0,1519.9,1461.35,1476.85,1476.85,263468.0
4193,2019-04-30,1480.4,1489.0,1472.5,1479.3,1479.3,59062.0
4192,2019-04-26,1494.0,1494.0,1471.55,1481.1,1471.5156,73873.0
4191,2019-04-25,1498.0,1499.8,1475.0,1494.4,1479.9606,47180.0
4190,2019-04-24,1465.0,1505.0,1460.7,1491.35,1476.9401,126137.0
4189,2019-04-23,1444.0,1493.5,1444.0,1478.3,1464.0162,306815.0
4188,2019-04-22,1420.0,1455.0,1406.4,1439.15,1425.2444,150215.0
4187,2019-04-18,1414.1,1449.0,1414.1,1436.8,1422.9172,95559.0
4186,2019-04-16,1432.0,1436.9,1410.0,1411.65,1398.0101,159112.0
4185,2019-04-15,1429.25,1438.0,1417.0,1423.3,1409.5477,37372.0
4184,2019-04-12,1406.9,1433.5,1403.0,1429.25,1415.4401,102262.0
4183,2019-04-11,1382.95,1418.2,1374.75,1408.35,1394.7421,60678.0
4182,2019-04-10,1405.0,1407.0,1371.0,1381.55,1368.2009,68864.0
4181,2019-04-09,1391.2,1416.0,1379.35,1408.35,1394.7421,92415.0
4180,2019-04-08,1373.0,1419.0,1370.7,1396.0,1382.5114,242997.0
4179,2019-04-05,1318.8,1380.0,1318.8,1377.55,1364.2397,159475.0
4178,2019-04-04,1335.0,1337.95,1310.0,1325.45,1312.6431,40925.0
4177,2019-04-03,1328.8,1340.0,1320.1,1332.15,1319.2784,69523.0
4176,2019-04-02,1318.0,1346.2,1308.0,1322.4,1309.6227,194479.0
4175,2019-04-01,1320.0,1328.0,1310.0,1317.8,1305.067,97361.0
4174,2019-03-28,1321.1,1331.7,1308.45,1314.9,1302.1951,154138.0
4173,2019-03-27,1335.0,1348.0,1319.95,1326.45,1313.6333,182854.0
4172,2019-03-26,1335.0,1344.0,1320.05,1330.95,1318.0898,35293.0
4171,2019-03-25,1337.9,1340.0,1320.95,1334.65,1321.7541,46079.0
4170,2019-03-22,1344.4,1349.0,1334.85,1340.0,1327.0525,71541.0
4169,2019-03-20,1323.8,1344.0,1319.7,1338.7,1325.7649,110135.0
4168,2019-03-19,1308.75,1325.0,1301.05,1319.6,1306.8496,93185.0
4167,2019-03-18,1315.0,1325.0,1300.0,1305.75,1293.1334,73669.0
4166,2019-03-15,1317.4,1317.4,1296.1,1303.8,1291.2024,218031.0
4165,2019-03-14,1306.1,1325.0,1291.05,1309.6,1296.9462,286413.0
4164,2019-03-13,1257.55,1316.9,1248.0,1296.95,1284.4183,509610.0
4163,2019-03-12,1273.7,1281.0,1244.0,1254.25,1242.131,57378.0
4162,2019-03-11,1266.0,1277.0,1261.5,1266.2,1253.9656,39949.0
4161,2019-03-08,1271.0,1279.75,1248.8,1266.0,1253.7675,125797.0
4160,2019-03-07,1252.0,1294.9,1244.75,1270.7,1258.422,174204.0
4159,2019-03-06,1238.0,1251.0,1225.0,1244.55,1232.5249,169943.0
4158,2019-03-05,1250.3,1254.4,1222.25,1233.7,1221.7795,269451.0
4157,2019-03-01,1245.9,1262.0,1235.2,1244.5,1232.4752,196910.0
4156,2019-02-28,1229.0,1234.55,1222.25,1227.05,1215.1938,213393.0
4155,2019-02-27,1240.0,1245.0,1220.0,1225.05,1213.2131,202726.0
4154,2019-02-26,1249.0,1249.0,1228.05,1235.75,1223.8098,80728.0
4153,2019-02-25,1250.0,1264.5,1244.0,1246.55,1234.5055,33418.0
4152,2019-02-22,1248.8,1264.55,1240.0,1248.3,1236.2386,50567.0
4151,2019-02-21,1259.0,1268.0,1239.0,1245.7,1233.6636,50472.0
4150,2019-02-20,1255.0,1274.5,1245.55,1250.5,1238.4172,63952.0
4149,2019-02-19,1230.0,1256.05,1225.1,1242.95,1230.9402,54758.0
4148,2019-02-18,1241.45,1250.55,1224.8,1228.5,1216.6298,26513.0
4147,2019-02-15,1258.4,1271.7,1238.0,1246.9,1234.8521,68457.0
4146,2019-02-14,1260.0,1275.95,1233.5,1258.2,1246.0428,343129.0
4145,2019-02-12,1244.2,1265.0,1227.0,1253.15,1241.0416,40551.0
4144,2019-02-11,1262.0,1262.0,1221.0,1233.8,1221.8787,50593.0
4143,2019-02-08,1267.9,1276.9,1252.0,1255.15,1243.0223,46297.0
4142,2019-02-07,1262.0,1286.0,1259.0,1266.5,1254.2627,42006.0
4141,2019-02-06,1261.45,1274.95,1254.05,1259.9,1247.7264,67825.0
4140,2019-02-05,1275.1,1293.95,1252.0,1257.75,1245.5972,76231.0
4139,2019-02-04,1273.15,1294.25,1257.75,1273.3,1260.9969,93140.0
4138,2019-02-01,1290.0,1295.0,1261.0,1272.2,1259.9076,97864.0
4137,2019-01-31,1260.0,1288.1,1251.3,1272.3,1260.0066,80557.0
4136,2019-01-30,1260.2,1288.7,1243.0,1264.65,1252.4305,74899.0
4135,2019-01-29,1238.05,1264.0,1222.05,1258.9,1246.7362,213427.0
4134,2019-01-28,1256.0,1264.4,1212.0,1235.15,1223.2155,61118.0
4133,2019-01-25,1264.95,1274.0,1245.25,1254.6,1242.4777,34335.0
4132,2019-01-24,1298.35,1298.6,1250.0,1258.35,1246.1914,144809.0
4131,2019-01-23,1309.15,1312.8,1290.0,1293.2,1280.7046,24267.0
4130,2019-01-22,1284.0,1316.8,1280.95,1309.15,1296.5006,217823.0
4129,2019-01-21,1281.2,1303.0,1275.0,1281.1,1268.7216,222935.0
4128,2019-01-18,1290.0,1294.3,1274.0,1276.1,1263.7699,32134.0
4127,2019-01-17,1287.0,1297.0,1279.1,1286.7,1274.2675,44053.0
4126,2019-01-16,1283.7,1300.0,1280.55,1287.45,1275.0101,53823.0
4125,2019-01-15,1310.0,1326.7,1272.5,1293.2,1280.7046,107130.0
4124,2019-01-14,1350.0,1357.4,1301.1,1307.35,1294.7179,108921.0
4123,2019-01-11,1305.0,1358.0,1304.95,1345.6,1332.5984,161056.0
4122,2019-01-10,1301.2,1304.0,1298.55,1300.6,1288.0331,22787.0
4121,2019-01-09,1307.7,1314.25,1292.6,1299.6,1287.0428,49088.0
4120,2019-01-08,1307.0,1309.05,1292.0,1299.4,1286.8447,39949.0
4119,2019-01-07,1317.75,1317.75,1299.0,1301.8,1289.2217,30115.0
4118,2019-01-04,1314.9,1318.95,1295.6,1303.65,1291.0538,53249.0
4117,2019-01-03,1318.9,1330.0,1302.2,1308.95,1296.3025,51343.0
4116,2019-01-02,1320.0,1330.0,1311.3,1319.25,1306.5029,56713.0
4115,2019-01-01,1335.0,1336.75,1312.2,1319.2,1306.4534,66089.0
4114,2018-12-31,1315.0,1344.95,1305.9,1336.75,1323.8339,104257.0
4113,2018-12-28,1319.95,1323.35,1309.05,1313.3,1300.6104,50648.0
4112,2018-12-27,1310.0,1323.0,1302.45,1309.0,1296.3521,72902.0
4111,2018-12-26,1301.2,1318.0,1285.0,1295.3,1282.7844,125511.0
4110,2018-12-24,1304.3,1318.0,1299.0,1302.15,1289.5681,66103.0
4109,2018-12-21,1315.0,1325.0,1295.0,1302.7,1290.1129,193848.0
4108,2018-12-20,1344.8,1345.45,1296.4,1314.15,1301.4523,249605.0
4107,2018-12-19,1323.0,1361.3,1280.1,1334.1,1321.2095,722698.0
4106,2018-12-18,1398.95,1398.95,1321.15,1333.95,1321.0609,546938.0
4105,2018-12-17,1454.8,1464.0,1390.0,1399.65,1386.1261,416570.0
4104,2018-12-14,1437.5,1444.0,1405.05,1430.1,1416.282,43242.0
4103,2018-12-13,1449.5,1460.0,1428.0,1438.65,1424.7493,84328.0
4102,2018-12-12,1422.0,1449.0,1397.3,1429.9,1416.0839,186494.0
4101,2018-12-11,1389.75,1418.75,1380.0,1399.95,1386.4231,57644.0
4100,2018-12-10,1378.5,1416.85,1369.05,1396.75,1383.2541,79950.0
4099,2018-12-07,1386.95,1409.0,1375.15,1395.9,1382.4124,55427.0
4098,2018-12-06,1366.9,1399.9,1353.05,1378.35,1365.0319,49745.0
4097,2018-12-05,1381.95,1382.15,1362.55,1372.7,1359.4365,22409.0
4096,2018-12-04,1392.0,1400.0,1376.0,1382.05,1368.6962,22886.0
4095,2018-12-03,1410.0,1419.0,1380.0,1389.2,1375.777,34631.0
4094,2018-11-30,1390.25,1412.1,1374.05,1408.7,1395.0886,136537.0
4093,2018-11-29,1407.5,1417.55,1375.0,1386.3,1372.9052,87581.0
4092,2018-11-28,1356.05,1404.95,1345.0,1399.1,1385.5814,269181.0
4091,2018-11-27,1349.0,1363.4,1344.0,1356.0,1342.8978,33822.0
4090,2018-11-26,1350.05,1365.85,1334.4,1348.7,1335.6685,47967.0
4089,2018-11-22,1341.2,1361.25,1329.0,1345.35,1332.3508,64842.0
4088,2018-11-21,1347.5,1348.8,1323.05,1341.2,1328.2408,28217.0
4087,2018-11-20,1348.0,1350.0,1336.9,1342.7,1329.7263,37580.0
4086,2018-11-19,1325.0,1359.0,1325.0,1350.7,1337.649,192933.0
4085,2018-11-16,1296.0,1329.95,1296.0,1322.9,1310.1177,56085.0
4084,2018-11-15,1295.95,1314.9,1285.0,1291.65,1279.1696,152831.0
4083,2018-11-14,1309.95,1315.85,1285.35,1287.65,1275.2083,290316.0
4082,2018-11-13,1305.0,1320.2,1293.55,1297.7,1285.1611,37350.0
4081,2018-11-12,1321.0,1321.0,1300.0,1307.4,1294.7676,79226.0
