,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1585.0,1589.55,1537.9,1549.0,1549.0,321569.0
4223,2019-06-13,1577.0,1585.5,1564.0,1583.15,1583.15,482506.0
4222,2019-06-12,1589.65,1593.0,1572.5,1579.05,1579.05,298942.0
4221,2019-06-11,1592.35,1601.0,1584.0,1589.65,1589.65,472845.0
4220,2019-06-10,1608.9,1614.85,1584.0,1589.4,1589.4,433071.0
4219,2019-06-07,1593.0,1618.85,1574.55,1596.5,1596.5,944400.0
4218,2019-06-06,1670.95,1672.2,1583.05,1592.15,1592.15,1247192.0
4217,2019-06-04,1710.0,1735.85,1650.5,1657.65,1657.65,1180729.0
4216,2019-06-03,1696.85,1729.0,1678.0,1725.2,1725.2,676566.0
4215,2019-05-31,1714.0,1719.45,1670.0,1686.0,1686.0,624323.0
4214,2019-05-30,1717.9,1732.9,1701.2,1708.15,1708.15,611129.0
4213,2019-05-29,1739.5,1745.25,1711.8,1721.55,1721.55,525569.0
4212,2019-05-28,1758.0,1769.05,1738.75,1750.7,1750.7,532952.0
4211,2019-05-27,1706.0,1765.2,1700.0,1759.8,1759.8,960403.0
4210,2019-05-24,1651.95,1709.35,1638.0,1704.9,1704.9,894742.0
4209,2019-05-23,1638.75,1680.2,1621.55,1639.8,1639.8,963817.0
4208,2019-05-22,1620.8,1634.5,1607.05,1615.0,1615.0,580879.0
4207,2019-05-21,1670.0,1681.0,1595.5,1609.85,1609.85,997742.0
4206,2019-05-20,1635.0,1682.25,1633.0,1662.95,1662.95,587879.0
4205,2019-05-17,1575.5,1614.65,1570.1,1606.6,1606.6,463571.0
4204,2019-05-16,1552.05,1589.45,1541.0,1583.35,1583.35,546048.0
4203,2019-05-15,1582.9,1583.0,1542.35,1554.5,1554.5,594206.0
4202,2019-05-14,1577.0,1587.8,1564.75,1572.3,1572.3,715309.0
4201,2019-05-13,1602.7,1613.5,1575.0,1583.0,1583.0,524426.0
4200,2019-05-10,1595.0,1614.95,1592.4,1602.35,1602.35,594386.0
4199,2019-05-09,1589.0,1604.85,1566.1,1596.35,1596.35,562583.0
4198,2019-05-08,1601.0,1606.95,1563.55,1593.2,1593.2,947559.0
4197,2019-05-07,1624.15,1637.9,1590.15,1596.9,1596.9,427581.0
4196,2019-05-06,1617.25,1628.15,1606.3,1620.4,1620.4,458714.0
4195,2019-05-03,1619.9,1637.85,1610.65,1633.9,1633.9,389859.0
4194,2019-05-02,1628.0,1644.15,1606.2,1613.1,1613.1,607543.0
4193,2019-04-30,1640.0,1649.3,1601.05,1632.05,1632.05,743663.0
4192,2019-04-26,1628.0,1641.4,1623.35,1635.35,1635.35,621829.0
4191,2019-04-25,1606.0,1664.75,1603.0,1623.0,1623.0,2274945.0
4190,2019-04-24,1625.0,1625.0,1570.0,1606.0,1606.0,4505591.0
4189,2019-04-23,1672.0,1682.95,1652.2,1661.65,1661.65,948717.0
4188,2019-04-22,1693.0,1695.8,1660.0,1663.0,1663.0,393501.0
4187,2019-04-18,1705.8,1709.75,1680.0,1699.45,1699.45,484644.0
4186,2019-04-16,1680.0,1711.5,1677.0,1703.0,1703.0,857287.0
4185,2019-04-15,1664.0,1680.0,1658.3,1673.35,1673.35,566999.0
4184,2019-04-12,1675.9,1685.55,1653.0,1656.4,1656.4,824524.0
4183,2019-04-11,1645.0,1681.25,1636.05,1675.9,1675.9,752787.0
4182,2019-04-10,1652.6,1655.9,1630.0,1636.65,1636.65,559285.0
4181,2019-04-09,1639.0,1658.45,1620.0,1654.3,1654.3,592582.0
4180,2019-04-08,1675.0,1680.0,1636.0,1640.4,1640.4,586864.0
4179,2019-04-05,1635.0,1670.0,1634.4,1664.45,1664.45,912756.0
4178,2019-04-04,1629.9,1652.15,1616.75,1628.85,1628.85,1282592.0
4177,2019-04-03,1627.9,1645.0,1615.7,1624.6,1624.6,680202.0
4176,2019-04-02,1648.9,1669.0,1609.0,1617.35,1617.35,1277444.0
4175,2019-04-01,1673.0,1723.4,1637.65,1646.9,1646.9,1576508.0
4174,2019-03-28,1604.0,1629.4,1587.0,1617.8,1617.8,942173.0
4173,2019-03-27,1584.0,1614.0,1568.85,1602.55,1602.55,1328748.0
4172,2019-03-26,1583.8,1590.0,1555.05,1570.85,1570.85,667934.0
4171,2019-03-25,1566.3,1592.0,1563.0,1575.9,1575.9,697053.0
4170,2019-03-22,1565.0,1597.6,1555.25,1582.95,1582.95,1223995.0
4169,2019-03-20,1573.9,1577.1,1551.05,1560.2,1560.2,858280.0
4168,2019-03-19,1565.4,1578.45,1547.1,1565.2,1565.2,634111.0
4167,2019-03-18,1541.9,1560.0,1532.7,1548.9,1548.9,655422.0
4166,2019-03-15,1540.5,1559.3,1526.45,1531.85,1531.85,834141.0
4165,2019-03-14,1573.0,1585.8,1535.0,1539.3,1539.3,717808.0
4164,2019-03-13,1588.0,1601.4,1566.05,1571.4,1571.4,893127.0
4163,2019-03-12,1612.5,1626.85,1587.7,1592.45,1592.45,826847.0
4162,2019-03-11,1575.9,1610.0,1563.7,1604.25,1604.25,1018321.0
4161,2019-03-08,1555.15,1579.95,1545.0,1574.55,1574.55,847268.0
4160,2019-03-07,1550.0,1571.85,1537.0,1555.05,1555.05,757839.0
4159,2019-03-06,1533.0,1561.9,1533.0,1554.4,1554.4,2035880.0
4158,2019-03-05,1481.7,1536.4,1472.0,1531.9,1517.9,1391740.0
4157,2019-03-01,1422.3,1500.1,1420.3,1481.7,1454.2866,1200767.0
4156,2019-02-28,1432.25,1436.95,1413.1,1422.3,1395.9857,860145.0
4155,2019-02-27,1393.1,1457.3,1390.15,1425.15,1398.783,1576764.0
4154,2019-02-26,1365.0,1394.0,1353.05,1384.35,1358.7378,1019520.0
4153,2019-02-25,1390.6,1392.8,1368.4,1376.15,1350.6896,751219.0
4152,2019-02-22,1391.65,1391.65,1371.3,1383.7,1358.0999,576103.0
4151,2019-02-21,1392.0,1398.0,1382.0,1389.05,1363.351,517181.0
4150,2019-02-20,1360.0,1392.0,1360.0,1382.5,1356.9221,706935.0
4149,2019-02-19,1330.0,1366.0,1329.0,1353.1,1328.0659,732142.0
4148,2019-02-18,1349.0,1356.95,1326.0,1331.7,1307.0619,564158.0
4147,2019-02-15,1358.7,1377.55,1345.1,1352.45,1327.428,605756.0
4146,2019-02-14,1368.0,1374.85,1350.35,1360.9,1335.7217,619832.0
4145,2019-02-12,1368.0,1383.85,1356.45,1374.9,1349.4626,686009.0
4144,2019-02-11,1396.0,1399.45,1364.4,1368.3,1342.9849,1133028.0
4143,2019-02-08,1419.0,1438.0,1388.9,1395.45,1369.6323,562187.0
4142,2019-02-07,1407.4,1441.7,1401.55,1421.6,1395.2986,829367.0
4141,2019-02-06,1404.7,1414.0,1374.0,1401.45,1375.5214,1287668.0
4140,2019-02-05,1400.0,1436.45,1356.2,1388.8,1363.1056,2027916.0
4139,2019-02-04,1411.0,1416.7,1390.0,1406.1,1380.0854,531657.0
4138,2019-02-01,1416.3,1448.0,1401.25,1415.55,1389.3606,568663.0
4137,2019-01-31,1391.05,1428.8,1391.05,1423.35,1397.0162,837929.0
4136,2019-01-30,1369.5,1395.0,1339.4,1386.6,1360.9462,572247.0
4135,2019-01-29,1357.2,1376.2,1347.5,1359.65,1334.4948,445525.0
4134,2019-01-28,1376.0,1378.95,1346.65,1357.25,1332.1392,469918.0
4133,2019-01-25,1427.4,1436.0,1365.3,1375.0,1349.5608,533516.0
4132,2019-01-24,1432.9,1440.0,1410.1,1419.7,1393.4337,343178.0
4131,2019-01-23,1436.35,1454.0,1425.0,1429.85,1403.396,314654.0
4130,2019-01-22,1429.0,1445.5,1418.1,1436.35,1409.7756,293897.0
4129,2019-01-21,1444.9,1449.55,1423.85,1429.3,1402.8562,349933.0
4128,2019-01-18,1468.0,1468.0,1435.0,1439.75,1413.1128,335850.0
4127,2019-01-17,1484.0,1485.4,1450.3,1455.15,1428.2279,467164.0
4126,2019-01-16,1488.7,1503.0,1471.55,1473.95,1446.6801,419240.0
4125,2019-01-15,1465.0,1498.4,1465.0,1483.45,1456.0043,551514.0
4124,2019-01-14,1461.9,1465.2,1447.05,1459.6,1432.5956,326989.0
4123,2019-01-11,1455.0,1467.0,1450.4,1458.65,1431.6632,337374.0
4122,2019-01-10,1455.25,1462.8,1444.0,1447.8,1421.0139,277837.0
4121,2019-01-09,1484.0,1485.0,1443.25,1454.15,1427.2465,363164.0
4120,2019-01-08,1484.0,1487.5,1468.4,1480.4,1453.0109,312812.0
4119,2019-01-07,1482.0,1499.75,1471.8,1477.95,1450.606,438357.0
4118,2019-01-04,1458.0,1473.0,1437.55,1469.1,1441.9199,532734.0
4117,2019-01-03,1483.95,1492.7,1445.4,1452.25,1425.3816,451970.0
