,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,229.0,230.05,220.75,222.85,222.85,105203.0
4223,2019-06-13,220.1,228.8,217.4,226.65,226.65,143428.0
4222,2019-06-12,0.0,0.0,0.0,0.0,0.0,0.0
4221,2019-06-11,221.35,224.35,217.4,222.35,222.35,55446.0
4220,2019-06-10,221.0,224.0,217.0,220.9,220.9,130143.0
4219,2019-06-07,220.6,223.5,216.25,222.2,222.2,97574.0
4218,2019-06-06,220.4,223.25,216.7,221.6,221.6,173508.0
4217,2019-06-04,220.1,221.5,216.25,217.2,217.2,70445.0
4216,2019-06-03,232.0,232.0,217.3,218.9,218.9,130108.0
4215,2019-05-31,225.1,228.7,220.25,226.0,226.0,113563.0
4214,2019-05-30,231.45,231.45,222.95,224.75,224.75,92632.0
4213,2019-05-29,230.7,241.7,226.0,230.3,230.3,505847.0
4212,2019-05-28,216.9,225.0,216.1,223.9,223.9,184796.0
4211,2019-05-27,214.75,217.5,212.85,216.9,216.9,78529.0
4210,2019-05-24,211.9,216.0,211.0,213.15,213.15,121075.0
4209,2019-05-23,207.0,212.25,204.95,210.1,210.1,130669.0
4208,2019-05-22,210.0,210.0,203.0,205.1,205.1,74718.0
4207,2019-05-21,204.0,207.2,203.0,205.95,205.95,78430.0
4206,2019-05-20,203.0,207.8,200.0,205.9,205.9,107790.0
4205,2019-05-17,199.95,202.0,198.95,200.25,200.25,167110.0
4204,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
4203,2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0
4202,2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0
4201,2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0
4200,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
4199,2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0
4198,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
4197,2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0
4196,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0
4195,2019-05-03,0.0,0.0,0.0,0.0,0.0,0.0
4194,2019-05-02,194.0,196.6,193.05,195.8,195.8,69275.0
4193,2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0
4192,2019-04-26,0.0,0.0,0.0,0.0,0.0,0.0
4191,2019-04-25,0.0,0.0,0.0,0.0,0.0,0.0
4190,2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0
4189,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0
4188,2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0
4187,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0
