,Date,Open,High,Low,Close,Adj Close,Volume
3332,2019-06-14,1778.6,1785.5,1709.0,1728.0,1728.0,37139.0
3331,2019-06-13,1832.2,1839.0,1770.0,1778.55,1778.55,11361.0
3330,2019-06-12,1839.0,1840.0,1822.05,1828.5,1828.5,4672.0
3329,2019-06-11,1840.0,1850.0,1821.0,1836.9,1836.9,16694.0
3328,2019-06-10,1826.55,1845.0,1820.05,1842.1,1842.1,10038.0
3327,2019-06-07,1804.0,1845.0,1784.85,1826.55,1826.55,60434.0
3326,2019-06-06,1816.0,1816.0,1779.3,1792.2,1792.2,5626.0
3325,2019-06-04,1794.85,1817.05,1780.0,1804.05,1804.05,10634.0
3324,2019-06-03,1786.0,1838.9,1773.0,1794.3,1794.3,45348.0
3323,2019-05-31,1774.6,1800.0,1767.3,1788.4,1788.4,31178.0
3322,2019-05-30,1763.0,1780.0,1748.65,1772.3,1772.3,10072.0
3321,2019-05-29,1725.0,1780.0,1715.1,1767.15,1767.15,15997.0
3320,2019-05-28,1798.5,1798.5,1705.0,1723.6,1723.6,51432.0
3319,2019-05-27,1755.4,1824.8,1741.0,1793.25,1793.25,116761.0
3318,2019-05-24,1734.95,1768.0,1720.15,1755.35,1755.35,7341.0
3317,2019-05-23,1718.0,1747.95,1701.3,1723.9,1723.9,5589.0
3316,2019-05-22,1687.85,1724.35,1670.05,1718.95,1718.95,8514.0
3315,2019-05-21,1690.15,1697.0,1674.0,1687.85,1687.85,8392.0
3314,2019-05-20,1650.0,1698.0,1650.0,1681.3,1681.3,42601.0
3313,2019-05-17,1634.85,1652.9,1620.5,1647.3,1647.3,14600.0
3312,2019-05-16,1660.1,1680.15,1625.0,1634.85,1634.85,10887.0
3311,2019-05-15,1732.35,1735.05,1661.05,1669.7,1669.7,76828.0
3310,2019-05-14,1742.75,1742.95,1705.1,1728.65,1728.65,11620.0
3309,2019-05-13,1742.0,1798.95,1720.0,1745.55,1745.55,94756.0
3308,2019-05-10,1701.1,1763.0,1701.05,1742.4,1742.4,29426.0
3307,2019-05-09,1665.1,1715.95,1653.3,1700.25,1700.25,14708.0
3306,2019-05-08,1707.05,1735.0,1665.0,1673.45,1673.45,22662.0
3305,2019-05-07,1754.75,1760.1,1710.0,1722.1,1722.1,5161.0
3304,2019-05-06,1750.05,1760.0,1720.0,1731.55,1731.55,5184.0
3303,2019-05-03,1770.0,1792.0,1741.0,1759.9,1759.9,10362.0
3302,2019-05-02,1814.7,1814.7,1770.0,1774.35,1774.35,11482.0
3301,2019-04-30,1782.0,1845.1,1751.5,1814.7,1814.7,8562.0
3300,2019-04-26,1795.15,1825.1,1770.0,1803.2,1803.2,7962.0
3299,2019-04-25,1803.3,1809.0,1780.0,1795.1,1795.1,2255.0
3298,2019-04-24,1809.5,1809.5,1790.45,1800.5,1800.5,13128.0
3297,2019-04-23,1800.15,1818.8,1787.25,1809.5,1809.5,8090.0
3296,2019-04-22,1805.95,1818.0,1797.0,1800.1,1800.1,21765.0
3295,2019-04-18,1780.2,1820.0,1780.2,1807.55,1807.55,47112.0
3294,2019-04-16,1795.55,1795.55,1772.4,1780.2,1780.2,4325.0
3293,2019-04-15,1773.0,1802.0,1770.0,1795.3,1795.3,11732.0
3292,2019-04-12,1757.0,1796.0,1745.0,1773.35,1773.35,17095.0
3291,2019-04-11,1790.0,1790.0,1745.0,1757.0,1757.0,6020.0
3290,2019-04-10,1761.0,1800.05,1761.0,1798.95,1798.95,72676.0
3289,2019-04-09,1712.0,1798.45,1701.05,1772.4,1772.4,58780.0
3288,2019-04-08,1709.75,1709.75,1690.0,1697.3,1697.3,12055.0
3287,2019-04-05,1716.95,1734.95,1700.0,1709.75,1709.75,7980.0
3286,2019-04-04,1726.35,1726.35,1701.05,1706.3,1706.3,11091.0
3285,2019-04-03,1753.0,1770.95,1710.6,1726.35,1726.35,15308.0
3284,2019-04-02,1775.2,1794.0,1752.55,1772.8,1772.8,13531.0
3283,2019-04-01,1799.9,1799.9,1758.0,1775.15,1775.15,6255.0
