,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,617.4,621.15,612.0,612.75,612.75,227629.0
4223,2019-06-13,624.3,624.3,606.6,619.65,619.65,868443.0
4222,2019-06-12,641.0,641.0,623.0,625.0,625.0,240785.0
4221,2019-06-11,629.1,641.0,627.9,638.05,638.05,368384.0
4220,2019-06-10,621.0,634.5,619.9,632.55,632.55,416409.0
4219,2019-06-07,632.15,633.0,608.0,618.55,618.55,754053.0
4218,2019-06-06,637.9,639.75,628.15,633.45,633.45,261596.0
4217,2019-06-04,638.0,645.85,634.0,636.4,636.4,500959.0
4216,2019-06-03,632.1,642.95,628.1,637.45,637.45,229484.0
4215,2019-05-31,640.0,645.5,632.9,636.9,636.9,537011.0
4214,2019-05-30,634.0,649.3,630.5,642.75,642.75,443442.0
4213,2019-05-29,638.1,645.0,627.1,631.3,631.3,353464.0
4212,2019-05-28,641.9,642.7,624.15,638.1,638.1,755404.0
4211,2019-05-27,635.8,648.8,633.55,640.9,640.9,773510.0
4210,2019-05-24,625.0,644.3,608.4,638.6,638.6,686239.0
4209,2019-05-23,622.0,632.25,616.7,621.9,621.9,337171.0
4208,2019-05-22,628.95,628.95,603.0,616.1,616.1,996389.0
4207,2019-05-21,644.05,644.45,626.0,629.1,629.1,180047.0
4206,2019-05-20,649.0,653.0,637.0,640.85,640.85,703342.0
4205,2019-05-17,624.4,634.0,623.9,630.7,630.7,236666.0
4204,2019-05-16,630.0,639.7,620.75,625.75,625.75,665306.0
4203,2019-05-15,639.95,639.95,612.1,626.5,626.5,768551.0
4202,2019-05-14,625.0,634.95,620.9,632.45,632.45,289136.0
4201,2019-05-13,638.0,638.05,624.05,625.85,625.85,184387.0
4200,2019-05-10,635.5,645.55,633.2,634.9,634.9,266841.0
4199,2019-05-09,636.0,637.3,625.25,635.55,635.55,355630.0
4198,2019-05-08,638.0,644.7,632.6,636.0,636.0,297982.0
4197,2019-05-07,649.0,651.15,640.95,643.1,643.1,269817.0
4196,2019-05-06,657.0,658.0,640.5,643.5,643.5,718599.0
4195,2019-05-03,658.1,663.0,655.2,658.5,658.5,230646.0
4194,2019-05-02,660.0,667.5,654.0,659.0,659.0,214162.0
4193,2019-04-30,666.55,666.9,658.3,662.35,662.35,310280.0
4192,2019-04-26,670.9,675.0,664.05,666.55,666.55,259356.0
4191,2019-04-25,675.55,677.75,666.1,668.95,668.95,217483.0
4190,2019-04-24,678.8,680.0,671.0,674.35,674.35,291257.0
4189,2019-04-23,674.55,684.6,674.05,675.4,675.4,359382.0
4188,2019-04-22,689.55,691.0,674.0,677.95,677.95,493428.0
4187,2019-04-18,712.0,712.0,690.25,693.15,693.15,349948.0
4186,2019-04-16,705.0,712.3,700.7,706.25,706.25,627377.0
4185,2019-04-15,689.1,706.5,689.1,703.8,703.8,742932.0
4184,2019-04-12,682.2,694.4,682.2,692.6,692.6,612412.0
4183,2019-04-11,684.45,693.9,680.65,683.05,683.05,860761.0
4182,2019-04-10,670.0,689.5,666.1,684.55,684.55,866695.0
4181,2019-04-09,677.2,683.5,673.0,675.4,675.4,403462.0
4180,2019-04-08,675.5,686.0,673.5,679.85,679.85,1173892.0
4179,2019-04-05,677.7,687.0,668.7,681.65,681.65,2214824.0
4178,2019-04-04,692.0,698.0,658.0,676.15,676.15,9273076.0
4177,2019-04-03,722.9,739.0,650.0,672.35,672.35,7107893.0
4176,2019-04-02,723.15,730.0,718.5,720.75,720.75,289489.0
4175,2019-04-01,720.35,732.75,718.45,721.6,721.6,604384.0
4174,2019-03-28,725.0,731.25,712.5,717.45,717.45,1864739.0
4173,2019-03-27,709.65,729.75,705.35,721.4,721.4,1489075.0
4172,2019-03-26,707.5,712.0,704.0,709.7,709.7,400268.0
4171,2019-03-25,711.4,711.4,704.0,707.5,707.5,262846.0
4170,2019-03-22,727.0,736.0,712.5,716.1,716.1,382972.0
4169,2019-03-20,742.8,746.35,719.25,727.05,727.05,302054.0
4168,2019-03-19,733.0,750.0,724.0,740.25,740.25,411156.0
4167,2019-03-18,751.3,752.55,732.0,734.0,734.0,201345.0
4166,2019-03-15,743.15,753.0,743.15,746.55,746.55,222911.0
4165,2019-03-14,753.0,757.55,740.05,746.5,746.5,367051.0
4164,2019-03-13,747.0,771.5,746.7,750.6,750.6,1246211.0
4163,2019-03-12,748.5,752.0,743.0,746.85,746.85,463187.0
4162,2019-03-11,745.0,748.0,740.0,745.1,745.1,201174.0
4161,2019-03-08,745.0,745.25,732.2,738.7,738.7,171908.0
4160,2019-03-07,754.4,755.0,740.4,742.6,742.6,310457.0
4159,2019-03-06,739.15,752.0,736.65,747.05,747.05,626767.0
4158,2019-03-05,729.9,739.9,729.0,735.3,735.3,282015.0
4157,2019-03-01,718.45,729.0,718.45,726.9,726.9,277540.0
