,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,220.0,220.8,213.25,214.2,214.2,1996999.0
4223,2019-06-13,220.95,222.0,216.15,220.45,220.45,1941198.0
4222,2019-06-12,219.55,222.8,219.55,220.55,220.55,1890005.0
4221,2019-06-11,224.0,224.9,221.55,223.25,223.25,1805276.0
4220,2019-06-10,222.45,225.0,221.75,223.1,223.1,2438810.0
4219,2019-06-07,222.5,226.95,220.9,222.25,222.25,2565750.0
4218,2019-06-06,228.75,228.75,220.0,221.75,221.75,4193682.0
4217,2019-06-04,235.25,237.85,226.3,226.95,226.95,3043423.0
4216,2019-06-03,232.9,237.8,229.4,237.15,237.15,2560455.0
4215,2019-05-31,234.95,235.0,228.0,230.6,230.6,2038520.0
4214,2019-05-30,233.9,235.25,232.1,233.0,233.0,2792300.0
4213,2019-05-29,238.2,238.4,233.15,233.85,233.85,1736796.0
4212,2019-05-28,238.0,240.25,235.7,238.4,238.4,5089113.0
4211,2019-05-27,233.0,239.9,231.15,239.15,239.15,2276077.0
4210,2019-05-24,223.2,232.8,222.55,231.65,231.65,5347116.0
4209,2019-05-23,224.35,230.8,221.6,222.55,222.55,5029385.0
4208,2019-05-22,220.5,223.1,218.7,220.55,220.55,1891609.0
4207,2019-05-21,225.1,227.05,219.15,220.45,220.45,3868084.0
4206,2019-05-20,224.0,228.85,220.0,224.2,224.2,6025899.0
4205,2019-05-17,214.45,220.0,213.2,219.0,219.0,3107238.0
4204,2019-05-16,208.6,216.95,208.2,215.25,215.25,2642018.0
4203,2019-05-15,213.15,213.95,208.75,209.75,209.75,3417094.0
4202,2019-05-14,209.9,214.95,208.05,213.1,213.1,1809112.0
4201,2019-05-13,214.1,215.7,208.95,210.0,210.0,1616073.0
4200,2019-05-10,213.95,215.9,213.1,214.75,214.75,1105200.0
4199,2019-05-09,212.5,214.75,210.55,213.95,213.95,1599486.0
4198,2019-05-08,218.25,219.1,212.4,213.35,213.35,3350658.0
4197,2019-05-07,221.25,222.45,217.5,218.2,218.2,1610402.0
4196,2019-05-06,220.25,221.25,218.05,219.7,219.7,1376657.0
4195,2019-05-03,221.5,223.3,220.15,221.7,221.7,1515314.0
4194,2019-05-02,219.5,225.95,218.05,221.05,221.05,5897979.0
4193,2019-04-30,227.0,227.7,217.6,220.5,220.5,9288005.0
4192,2019-04-26,223.0,226.55,221.75,226.0,226.0,2114460.0
4191,2019-04-25,222.35,229.85,219.5,220.55,220.55,7167694.0
4190,2019-04-24,223.0,226.35,216.05,224.1,224.1,6235599.0
4189,2019-04-23,226.45,228.85,225.6,226.8,226.8,965185.0
4188,2019-04-22,231.5,232.1,225.1,226.1,226.1,1348195.0
4187,2019-04-18,232.0,235.25,230.0,233.4,233.4,2742711.0
4186,2019-04-16,228.4,233.0,227.65,232.0,232.0,4568324.0
4185,2019-04-15,230.2,230.35,226.9,227.45,227.45,2875556.0
4184,2019-04-12,227.1,230.9,226.7,229.15,229.15,2171386.0
4183,2019-04-11,224.05,228.8,222.6,227.2,227.2,1907836.0
4182,2019-04-10,226.5,227.65,223.05,223.9,223.9,1489964.0
4181,2019-04-09,225.6,227.95,221.8,227.15,227.15,2110961.0
4180,2019-04-08,227.75,228.9,224.45,225.6,225.6,3693810.0
