,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,24.05,24.3,24.0,24.2,24.2,482322.0
4223,2019-06-13,24.25,24.3,23.75,24.05,24.05,416832.0
4222,2019-06-12,24.2,24.4,23.9,24.3,24.3,396895.0
4221,2019-06-11,23.95,24.2,23.65,24.1,24.1,584247.0
4220,2019-06-10,24.05,24.6,23.75,23.95,23.95,622834.0
4219,2019-06-07,24.0,24.2,23.4,23.95,23.95,772796.0
4218,2019-06-06,25.0,25.0,24.1,24.2,24.2,937153.0
4217,2019-06-04,24.9,25.2,24.55,24.75,24.75,1160221.0
4216,2019-06-03,24.75,24.85,24.1,24.65,24.65,385531.0
4215,2019-05-31,25.75,25.75,24.65,24.75,24.75,859972.0
4214,2019-05-30,25.7,25.8,25.45,25.5,25.5,394767.0
4213,2019-05-29,25.65,26.1,25.4,25.55,25.55,605105.0
4212,2019-05-28,25.8,26.15,25.5,25.95,25.95,889216.0
4211,2019-05-27,25.6,25.95,25.15,25.75,25.75,1529607.0
4210,2019-05-24,24.65,25.4,24.5,25.25,25.25,895615.0
4209,2019-05-23,25.1,25.9,24.4,24.6,24.6,1531880.0
4208,2019-05-22,24.95,24.95,24.1,24.65,24.65,834013.0
4207,2019-05-21,24.85,24.95,23.8,24.6,24.6,1404185.0
4206,2019-05-20,24.0,24.95,23.75,24.55,24.55,1579082.0
4205,2019-05-17,24.0,24.25,22.9,23.0,23.0,1571673.0
4204,2019-05-16,24.0,24.95,23.9,23.95,23.95,863046.0
4203,2019-05-15,24.65,25.35,23.95,24.4,24.4,1330495.0
4202,2019-05-14,24.2,25.8,23.3,24.6,24.6,1853999.0
4201,2019-05-13,25.0,25.55,22.75,24.35,24.35,1495193.0
4200,2019-05-10,24.65,26.35,24.15,25.25,25.25,1688895.0
4199,2019-05-09,23.9,24.25,23.6,23.95,23.95,553433.0
4198,2019-05-08,24.15,24.3,23.45,23.75,23.75,894123.0
4197,2019-05-07,24.6,24.7,24.05,24.15,24.15,688804.0
4196,2019-05-06,24.8,24.9,24.45,24.5,24.5,740837.0
4195,2019-05-03,25.2,25.4,24.85,24.9,24.9,994691.0
4194,2019-05-02,24.6,25.25,24.4,25.0,25.0,1321880.0
4193,2019-04-30,27.35,27.4,24.55,24.9,24.9,2432427.0
4192,2019-04-26,27.6,27.7,27.3,27.35,27.35,450109.0
4191,2019-04-25,27.7,27.85,27.3,27.35,27.35,556579.0
4190,2019-04-24,27.55,27.85,27.3,27.6,27.6,627262.0
4189,2019-04-23,27.75,27.95,27.5,27.55,27.55,510830.0
4188,2019-04-22,28.55,28.55,27.6,27.7,27.7,762513.0
4187,2019-04-18,28.8,28.9,28.05,28.35,28.35,888287.0
4186,2019-04-16,29.3,29.5,28.6,28.8,28.8,950364.0
4185,2019-04-15,29.0,29.35,29.0,29.05,29.05,642631.0
4184,2019-04-12,28.9,29.15,28.8,28.95,28.95,741390.0
4183,2019-04-11,29.45,29.45,28.8,28.9,28.9,709336.0
4182,2019-04-10,29.55,29.75,29.1,29.25,29.25,929497.0
4181,2019-04-09,29.8,29.85,29.05,29.55,29.55,1412544.0
4180,2019-04-08,30.7,30.7,29.55,29.8,29.8,1366187.0
4179,2019-04-05,31.0,31.2,30.1,30.3,30.3,1363254.0
4178,2019-04-04,31.0,31.3,30.25,30.75,30.75,2168299.0
4177,2019-04-03,32.0,32.4,30.85,31.05,31.05,2458786.0
4176,2019-04-02,32.45,32.95,30.75,31.85,31.85,5938543.0
4175,2019-04-01,28.15,33.65,28.15,32.2,32.2,22946887.0
4174,2019-03-28,27.35,28.2,27.3,27.95,27.95,6290363.0
4173,2019-03-27,25.7,27.2,25.7,27.1,27.1,2413946.0
4172,2019-03-26,25.6,25.8,25.4,25.7,25.7,496485.0
4171,2019-03-25,25.85,25.85,25.35,25.4,25.4,452784.0
4170,2019-03-22,26.5,26.55,25.85,25.9,25.9,637203.0
4169,2019-03-20,26.5,26.55,26.05,26.2,26.2,598767.0
4168,2019-03-19,26.1,26.8,25.8,26.3,26.3,1422906.0
4167,2019-03-18,26.0,26.15,25.65,25.9,25.9,739260.0
4166,2019-03-15,26.6,26.9,25.15,25.8,25.8,1399652.0
4165,2019-03-14,26.55,26.65,26.25,26.4,26.4,559852.0
4164,2019-03-13,27.1,27.1,26.5,26.6,26.6,895835.0
4163,2019-03-12,27.35,27.65,26.75,27.0,27.0,1019537.0
4162,2019-03-11,26.65,27.45,26.65,27.0,27.0,1260676.0
4161,2019-03-08,27.0,27.2,26.55,26.65,26.65,1011951.0
4160,2019-03-07,26.35,27.25,26.05,26.7,26.7,1032904.0
4159,2019-03-06,26.4,26.85,26.2,26.4,26.4,1020108.0
4158,2019-03-05,25.6,26.6,25.35,26.25,26.25,1717694.0
4157,2019-03-01,24.65,25.6,24.45,25.45,25.45,1215606.0
4156,2019-02-28,24.8,24.8,24.4,24.55,24.55,243654.0
4155,2019-02-27,24.8,25.0,24.5,24.6,24.6,649697.0
4154,2019-02-26,24.15,24.95,24.15,24.45,24.45,850028.0
4153,2019-02-25,25.25,25.3,25.0,25.05,25.05,358538.0
4152,2019-02-22,25.5,25.55,25.05,25.1,25.1,583901.0
4151,2019-02-21,25.9,26.0,25.0,25.4,25.4,2600713.0
4150,2019-02-20,23.7,24.15,23.3,24.0,24.0,1094622.0
