,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1371.0,1394.9,1366.5,1370.6,1370.6,349835.0
4223,2019-06-13,1380.5,1383.8,1355.5,1374.3,1374.3,376393.0
4222,2019-06-12,1380.9,1398.85,1365.0,1381.75,1381.75,523008.0
4221,2019-06-11,1385.7,1401.45,1375.0,1379.95,1379.95,827845.0
4220,2019-06-10,1400.0,1402.5,1368.25,1379.1,1379.1,731973.0
4219,2019-06-07,1342.0,1406.0,1330.75,1398.2,1398.2,1963985.0
4218,2019-06-06,1337.0,1375.0,1327.3,1342.15,1342.15,1226417.0
4217,2019-06-04,1350.0,1357.45,1324.0,1332.3,1332.3,1306110.0
4216,2019-06-03,1243.0,1368.7,1243.0,1357.3,1357.3,3836627.0
4215,2019-05-31,1209.6,1266.9,1209.6,1238.8,1238.8,1342593.0
4214,2019-05-30,1211.95,1234.5,1192.5,1203.0,1203.0,1087194.0
4213,2019-05-29,1191.5,1209.0,1173.3,1203.3,1203.3,278890.0
4212,2019-05-28,1200.0,1209.45,1181.0,1190.8,1190.8,512288.0
4211,2019-05-27,1177.5,1212.9,1175.15,1198.8,1198.8,294036.0
4210,2019-05-24,1159.75,1188.5,1155.5,1170.5,1170.5,257237.0
4209,2019-05-23,1193.0,1193.0,1143.35,1150.1,1150.1,222973.0
4208,2019-05-22,1177.7,1179.0,1154.0,1162.95,1162.95,221323.0
4207,2019-05-21,1196.0,1215.0,1165.1,1172.7,1172.7,253823.0
4206,2019-05-20,1158.05,1206.9,1158.05,1198.3,1198.3,326706.0
4205,2019-05-17,1136.45,1159.2,1132.3,1141.2,1141.2,270312.0
4204,2019-05-16,1161.9,1161.9,1112.15,1136.45,1136.45,505445.0
4203,2019-05-15,1148.2,1161.0,1147.05,1156.45,1156.45,235916.0
4202,2019-05-14,1175.9,1175.9,1130.0,1142.5,1142.5,625364.0
4201,2019-05-13,1186.95,1192.95,1161.2,1172.3,1172.3,200737.0
4200,2019-05-10,1176.15,1196.5,1167.65,1186.55,1186.55,173882.0
4199,2019-05-09,1165.0,1199.0,1157.1,1169.6,1169.6,310077.0
4198,2019-05-08,1156.0,1183.6,1152.0,1170.3,1170.3,246581.0
4197,2019-05-07,1195.5,1199.1,1152.35,1164.95,1164.95,320142.0
4196,2019-05-06,1170.35,1205.85,1170.35,1190.3,1190.3,225661.0
4195,2019-05-03,1194.55,1212.55,1183.3,1199.3,1199.3,347353.0
4194,2019-05-02,1217.0,1224.9,1153.8,1194.55,1194.55,1083586.0
4193,2019-04-30,1239.8,1248.0,1205.1,1216.5,1216.5,336375.0
4192,2019-04-26,1243.0,1254.9,1226.3,1239.2,1239.2,242464.0
4191,2019-04-25,1232.0,1259.8,1230.05,1246.25,1246.25,360981.0
4190,2019-04-24,1242.9,1268.7,1222.0,1228.8,1228.8,569926.0
4189,2019-04-23,1233.0,1254.0,1229.8,1242.9,1242.9,280002.0
4188,2019-04-22,1269.0,1269.0,1219.0,1232.05,1232.05,534002.0
4187,2019-04-18,1274.0,1279.9,1255.8,1271.6,1271.6,283213.0
4186,2019-04-16,1271.25,1294.9,1271.05,1275.2,1275.2,375036.0
