,Date,Open,High,Low,Close,Adj Close,Volume
475,2019-06-14,712.9,716.7,695.5,705.85,705.85,118495.0
474,2019-06-13,705.0,711.45,704.0,710.15,710.15,143647.0
473,2019-06-12,709.3,715.1,700.0,704.8,704.8,139869.0
472,2019-06-11,706.65,710.0,695.0,708.6,708.6,146868.0
471,2019-06-10,707.0,708.0,703.0,706.65,706.65,68741.0
470,2019-06-07,703.0,709.0,691.65,705.85,705.85,157805.0
469,2019-06-06,701.0,707.9,690.0,704.4,704.4,327455.0
468,2019-06-04,695.0,707.0,693.4,699.95,699.95,88797.0
467,2019-06-03,692.65,707.9,689.3,696.35,696.35,215958.0
466,2019-05-31,703.9,703.9,690.3,696.15,696.15,87024.0
465,2019-05-30,698.05,719.0,691.6,700.25,700.25,364657.0
464,2019-05-29,698.0,713.0,695.05,699.7,699.7,486667.0
463,2019-05-28,680.0,699.0,680.0,694.7,694.7,321206.0
462,2019-05-27,682.2,691.5,670.8,677.4,677.4,136148.0
461,2019-05-24,691.2,700.1,680.0,681.9,681.9,75103.0
460,2019-05-23,692.0,704.0,675.2,696.85,696.85,181360.0
459,2019-05-22,702.0,702.0,673.0,687.3,687.3,203362.0
458,2019-05-21,698.8,709.4,686.4,697.65,697.65,199328.0
457,2019-05-20,670.05,695.0,661.95,691.1,691.1,615786.0
456,2019-05-17,642.85,675.0,641.05,660.0,660.0,541410.0
455,2019-05-16,648.1,659.5,636.85,640.75,640.75,150622.0
454,2019-05-15,647.0,655.0,644.3,650.75,650.75,552140.0
453,2019-05-14,643.25,650.0,638.1,649.35,649.35,158142.0
452,2019-05-13,640.9,653.3,633.6,646.45,646.45,708675.0
451,2019-05-10,631.95,647.0,631.95,645.05,645.05,331536.0
450,2019-05-09,641.0,642.0,627.8,630.65,630.65,80482.0
449,2019-05-08,642.0,643.5,632.2,641.3,641.3,776828.0
448,2019-05-07,625.0,646.0,625.0,639.4,639.4,382191.0
447,2019-05-06,629.9,629.9,618.4,624.65,624.65,46212.0
446,2019-05-03,641.0,645.0,625.65,631.3,631.3,73830.0
445,2019-05-02,636.2,647.0,632.0,641.55,641.55,161604.0
444,2019-04-30,638.5,647.0,631.0,644.65,644.65,386647.0
443,2019-04-26,627.0,639.9,621.05,637.95,637.95,433178.0
442,2019-04-25,608.0,629.8,608.0,625.1,625.1,646109.0
441,2019-04-24,616.9,616.9,600.05,610.85,610.85,586243.0
