,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,820.1,823.1,797.45,801.2,801.2,8919322.0
4873,2019-06-13,811.25,823.4,810.75,820.15,820.15,9056584.0
4872,2019-06-12,814.05,815.75,809.1,813.55,813.55,4707478.0
4871,2019-06-11,817.15,821.45,807.0,814.8,814.8,5471529.0
4870,2019-06-10,807.4,816.75,807.4,814.15,814.15,5923875.0
4869,2019-06-07,811.1,813.25,801.3,804.0,804.0,6884094.0
4868,2019-06-06,824.0,825.95,805.8,807.7,807.7,14728937.0
4867,2019-06-04,807.55,827.75,805.5,822.8,822.8,9515354.0
4866,2019-06-03,813.55,814.65,803.1,812.65,812.65,6427567.0
4865,2019-05-31,811.0,818.7,793.2,808.3,808.3,11140585.0
4864,2019-05-30,803.25,814.2,803.25,807.55,807.55,6414384.0
4863,2019-05-29,806.75,813.0,802.1,804.7,804.7,5958128.0
4862,2019-05-28,816.3,822.1,801.0,808.4,808.4,13473187.0
4861,2019-05-27,794.0,816.4,787.2,813.9,813.9,9128216.0
4860,2019-05-24,779.45,795.9,778.5,793.2,793.2,9323114.0
4859,2019-05-23,788.0,804.3,770.6,776.4,776.4,14776218.0
4858,2019-05-22,774.8,784.0,770.2,779.15,779.15,5928186.0
4857,2019-05-21,789.7,791.8,771.05,772.95,772.95,9251548.0
4856,2019-05-20,760.2,790.65,760.2,782.4,782.4,15866697.0
4855,2019-05-17,731.8,752.15,727.2,748.95,748.95,9072242.0
4854,2019-05-16,720.95,735.0,718.7,731.85,731.85,5142617.0
4853,2019-05-15,735.8,737.7,716.1,721.95,721.95,4849130.0
4852,2019-05-14,729.4,738.5,722.5,731.35,731.35,7049134.0
4851,2019-05-13,734.0,742.85,730.0,732.1,732.1,5891071.0
4850,2019-05-10,734.4,738.5,729.5,735.05,735.05,3913815.0
4849,2019-05-09,733.9,740.5,729.4,731.0,731.0,4193451.0
4848,2019-05-08,741.9,744.75,733.35,735.5,735.5,6739894.0
4847,2019-05-07,751.85,755.5,740.0,741.85,741.85,5071890.0
4846,2019-05-06,746.0,753.4,744.1,747.45,747.45,5909936.0
4845,2019-05-03,754.15,763.8,753.45,757.3,757.3,5970814.0
4844,2019-05-02,765.4,767.8,748.05,752.35,752.35,7033021.0
4843,2019-04-30,759.95,769.7,755.8,766.85,766.85,12434805.0
4842,2019-04-26,762.0,765.15,747.25,759.9,759.9,23294204.0
4841,2019-04-25,754.0,758.55,738.55,740.9,740.9,10282068.0
4840,2019-04-24,754.7,755.7,738.35,752.85,752.85,7825049.0
4839,2019-04-23,757.45,759.3,749.0,753.25,753.25,5098170.0
4838,2019-04-22,768.9,768.9,750.55,755.5,755.5,4185156.0
4837,2019-04-18,778.4,779.0,769.0,771.2,771.2,6098041.0
4836,2019-04-16,765.1,776.0,765.1,771.1,771.1,7088601.0
4835,2019-04-15,764.0,770.2,760.0,762.85,762.85,3707106.0
4834,2019-04-12,753.4,766.75,751.6,764.35,764.35,4671869.0
4833,2019-04-11,760.5,761.35,747.0,752.3,752.3,5365803.0
4832,2019-04-10,761.25,767.9,758.0,760.85,760.85,5933250.0
