,Date,Open,High,Low,Close,Adj Close,Volume
1095,2019-06-14,2927.0,2935.0,2865.0,2872.55,2872.55,353937.0
1094,2019-06-13,2951.0,2955.0,2901.25,2922.6499,2922.6499,224615.0
1093,2019-06-12,2991.0,2997.05,2931.3,2944.5,2944.5,273834.0
1092,2019-06-11,3003.8,3025.0,2981.0,2987.1499,2987.1499,355284.0
1091,2019-06-10,2976.0,2999.0,2963.6001,2989.8,2989.8,155660.0
1090,2019-06-07,2999.95,3006.6499,2953.45,2961.3999,2961.3999,212676.0
1089,2019-06-06,3002.0,3027.8999,2960.0,2991.6499,2991.6499,481570.0
1088,2019-06-04,3026.2,3029.3,2970.3999,2983.8999,2983.8999,450220.0
1087,2019-06-03,2945.0,3077.95,2904.6001,3034.6001,3034.6001,1302391.0
1086,2019-05-31,2953.0,2978.75,2915.3,2925.8999,2925.8999,376941.0
1085,2019-05-30,2942.0,2980.0,2920.6499,2945.0,2945.0,938395.0
1084,2019-05-29,2990.0,2990.0,2920.0,2925.5,2925.5,531761.0
1083,2019-05-28,3067.0,3108.3501,2962.3999,2988.0,2988.0,921394.0
1082,2019-05-27,3085.1001,3090.0,3031.0,3066.8999,3066.8999,341393.0
1081,2019-05-24,3065.0,3098.8999,3005.0,3077.8999,3077.8999,529984.0
1080,2019-05-23,3075.0,3085.0,3028.7,3065.0,3065.0,576440.0
1079,2019-05-22,2980.05,3054.0,2973.1499,3047.2,3047.2,493470.0
1078,2019-05-21,3014.0,3043.8999,2969.05,2979.3,2979.3,447168.0
1077,2019-05-20,3087.95,3087.95,2951.0,3006.3,3006.3,1022048.0
1076,2019-05-17,2950.0,3149.95,2935.1499,3040.05,3040.05,1993105.0
1075,2019-05-16,2928.0,2958.45,2908.0,2942.6499,2942.6499,218733.0
1074,2019-05-15,2937.25,2949.45,2901.3501,2914.45,2914.45,320831.0
1073,2019-05-14,2960.0,2969.0,2901.0,2937.2,2937.2,309971.0
1072,2019-05-13,2970.3501,2999.0,2947.25,2972.75,2972.75,233316.0
1071,2019-05-10,2980.5,3008.0,2954.3501,2966.2,2966.2,241374.0
1070,2019-05-09,2950.0,2993.5,2932.3,2982.8999,2982.8999,348293.0
1069,2019-05-08,3032.0,3033.0,2951.8,2957.75,2957.75,427476.0
1068,2019-05-07,3026.0,3053.0,3021.3,3033.05,3033.05,244684.0
1067,2019-05-06,3054.0,3054.0,3013.0,3026.2,3026.2,259117.0
1066,2019-05-03,3028.0,3066.0,3020.0,3059.75,3059.75,446730.0
1065,2019-05-02,2989.0,3040.0,2958.7,3030.55,3030.55,670855.0
1064,2019-04-30,3045.0,3050.0,2942.8999,2984.1001,2984.1001,654107.0
1063,2019-04-26,3080.0,3095.0,3030.0,3044.6499,3044.6499,268298.0
1062,2019-04-25,3073.95,3110.0,3027.6001,3088.05,3088.05,509586.0
1061,2019-04-24,3035.0,3082.8501,3025.2,3075.8,3075.8,524013.0
1060,2019-04-23,3050.0,3070.0,3010.7,3039.1499,3039.1499,360759.0
1059,2019-04-22,3055.5,3079.0,3041.5,3051.2,3051.2,186563.0
1058,2019-04-18,3069.0,3089.8999,3041.2,3069.5,3069.5,365773.0
1057,2019-04-16,3045.0,3074.8999,3032.2,3068.45,3068.45,371767.0
1056,2019-04-15,3013.0,3046.0,2992.0,3035.05,3035.05,271376.0
1055,2019-04-12,2991.8,3025.95,2975.25,3008.1499,3008.1499,438822.0
1054,2019-04-11,2940.8999,3000.0,2939.0,2993.7,2993.7,400118.0
1053,2019-04-10,2917.95,2952.0,2910.3501,2942.8999,2942.8999,530788.0
1052,2019-04-09,2860.0,2929.8501,2838.0,2924.8,2924.8,492843.0
1051,2019-04-08,2876.0,2876.0,2842.0,2853.3501,2853.3501,213351.0
1050,2019-04-05,2869.6499,2880.0,2852.25,2861.6499,2861.6499,272382.0
1049,2019-04-04,2862.0,2884.05,2850.0,2859.1001,2859.1001,662281.0
1048,2019-04-03,2860.0,2877.1001,2831.0,2847.3,2847.3,484790.0
1047,2019-04-02,2918.0,2938.3501,2842.0,2853.1001,2853.1001,938624.0
1046,2019-04-01,2947.95,2950.0,2901.5,2915.6499,2915.6499,679984.0
1045,2019-03-28,2989.0,3020.45,2915.0,2948.8,2948.8,1800550.0
1044,2019-03-27,2965.0,2995.0,2950.0,2980.1001,2980.1001,402423.0
1043,2019-03-26,2961.05,2968.0,2939.0,2952.8,2952.8,322020.0
1042,2019-03-25,2934.8,2965.6001,2915.25,2957.95,2957.95,319510.0
1041,2019-03-22,2960.0,2998.8501,2930.05,2949.75,2949.75,622630.0
1040,2019-03-20,2969.8,2969.8,2920.05,2949.6499,2949.6499,834351.0
1039,2019-03-19,3008.0,3008.0,2945.0,2974.7,2974.7,545621.0
1038,2019-03-18,3026.8999,3047.8,2992.1001,3005.1499,3005.1499,341148.0
1037,2019-03-15,3002.1001,3032.2,2980.0,3023.8,3023.8,538508.0
1036,2019-03-14,3012.0,3025.0,2970.0,3016.8501,3016.8501,985558.0
1035,2019-03-13,3002.0,3047.2,2990.0,3010.0,3010.0,565499.0
1034,2019-03-12,3012.0,3020.8,2981.3501,2996.1001,2996.1001,503545.0
1033,2019-03-11,2970.0,3012.0,2936.8999,3000.55,3000.55,1147194.0
1032,2019-03-08,2910.0,2964.6001,2900.05,2955.7,2955.7,754427.0
1031,2019-03-07,2927.0,2927.0,2900.0,2919.8999,2919.8999,392086.0
1030,2019-03-06,2895.6499,2942.0,2876.25,2927.6001,2927.6001,748391.0
1029,2019-03-05,2835.05,2917.3999,2814.8,2903.75,2903.75,632301.0
1028,2019-03-01,2914.0,2943.0,2856.2,2863.5,2863.5,1008494.0
1027,2019-02-28,2930.0,2933.8,2864.0,2900.6001,2900.6001,1246854.0
1026,2019-02-27,2870.0,2941.0,2870.0,2914.7,2914.7,861033.0
