,Date,Open,High,Low,Close,Adj Close,Volume
2727,2019-06-14,8287.0,8315.0,8200.0,8235.1504,8235.1504,101306.0
2726,2019-06-13,8237.4502,8320.0,8213.0,8292.3496,8292.3496,115153.0
2725,2019-06-12,8275.0,8288.5996,8185.8999,8245.5996,8245.5996,125371.0
2724,2019-06-11,8310.0,8339.0996,8241.5996,8270.6504,8270.6504,165578.0
2723,2019-06-10,8260.0,8360.0,8226.7002,8304.4502,8304.4502,186362.0
2722,2019-06-07,8160.0,8245.0,8103.3999,8202.3496,8202.3496,159028.0
2721,2019-06-06,8329.0,8362.7998,8102.1001,8125.2002,8125.2002,176636.0
2720,2019-06-04,8344.9502,8388.0,8292.3496,8312.8496,8312.8496,132333.0
2719,2019-06-03,8194.0,8365.0,8194.0,8348.0996,8348.0996,170966.0
2718,2019-05-31,8219.0,8279.0,8152.6499,8187.9502,8187.9502,252199.0
2717,2019-05-30,8150.0,8260.0,8120.0,8226.9004,8226.9004,211411.0
2716,2019-05-29,8128.3999,8160.0,8055.1499,8131.75,8131.75,106040.0
2715,2019-05-28,8200.0,8242.5,8069.5,8128.5498,8128.5498,263409.0
2714,2019-05-27,8150.0,8250.0,8112.0,8213.0498,8213.0498,169859.0
2713,2019-05-24,8013.0,8185.0,7998.2998,8151.7002,8151.7002,224594.0
2712,2019-05-23,8275.0,8303.0,7980.0,8013.2998,8013.2998,311471.0
2711,2019-05-22,8194.0,8273.0,8102.0,8221.5498,8221.5498,215233.0
2710,2019-05-21,8239.0,8335.0,8100.0498,8185.3999,8185.3999,379115.0
2709,2019-05-20,8056.0,8294.0,8056.0,8235.0,8235.0,343089.0
2708,2019-05-17,7675.0,8029.75,7588.3501,7992.9502,7992.9502,1012415.0
2707,2019-05-16,7483.75,7663.1499,7422.0,7617.4502,7617.4502,355788.0
2706,2019-05-15,7399.0,7535.0,7335.1499,7454.7002,7454.7002,244031.0
2705,2019-05-14,7320.1499,7418.0,7226.0498,7365.7002,7365.7002,269637.0
2704,2019-05-13,7416.2002,7416.2002,7303.25,7347.3501,7347.3501,111869.0
2703,2019-05-10,7495.0,7528.9502,7351.0,7383.7002,7383.7002,181924.0
2702,2019-05-09,7305.0,7494.2002,7278.0,7467.2998,7467.2998,238193.0
2701,2019-05-08,7550.0,7551.0,7312.2998,7345.75,7345.75,230383.0
2700,2019-05-07,7684.0,7698.75,7525.0,7561.9502,7561.9502,103550.0
2699,2019-05-06,7580.0,7699.75,7557.6001,7667.9502,7667.9502,118824.0
2698,2019-05-03,7595.0,7669.8999,7590.0,7624.2002,7624.2002,80422.0
2697,2019-05-02,7522.0,7625.0,7500.8501,7578.8501,7578.8501,103551.0
2696,2019-04-30,7721.25,7730.0,7449.1499,7520.4502,7520.4502,253399.0
2695,2019-04-26,7685.1001,7747.2002,7625.0,7721.25,7721.25,109306.0
2694,2019-04-25,7663.5,7735.9502,7625.0,7669.5,7669.5,288510.0
2693,2019-04-24,7490.0,7672.5,7475.5498,7637.9502,7637.9502,133887.0
2692,2019-04-23,7488.0,7533.0,7485.0,7495.0498,7495.0498,110014.0
2691,2019-04-22,7580.0,7580.0,7455.3501,7472.75,7472.75,127023.0
2690,2019-04-18,7593.0,7595.0,7465.0,7571.1499,7571.1499,162690.0
2689,2019-04-16,7548.0,7620.0,7496.0,7578.9502,7578.9502,128121.0
2688,2019-04-15,7580.0,7580.0,7480.2998,7509.1499,7509.1499,101240.0
2687,2019-04-12,7572.0,7594.9502,7506.0,7536.8501,7536.8501,180707.0
2686,2019-04-11,7419.5,7590.0,7396.2002,7562.75,7562.75,276607.0
2685,2019-04-10,7373.8999,7445.0,7345.0,7423.2998,7423.2998,165487.0
2684,2019-04-09,7340.0,7400.0,7272.0,7379.2002,7379.2002,159866.0
2683,2019-04-08,7438.7998,7440.0,7310.0,7347.25,7347.25,165975.0
2682,2019-04-05,7350.0,7420.4502,7320.3999,7397.7998,7397.7998,170143.0
2681,2019-04-04,7411.5498,7422.0,7282.0,7318.5498,7318.5498,202173.0
2680,2019-04-03,7299.0,7450.0,7285.1499,7401.5498,7401.5498,426738.0
2679,2019-04-02,7197.3999,7311.0,7159.8999,7279.6001,7279.6001,264666.0
2678,2019-04-01,7090.0,7180.0,7040.0,7158.7998,7158.7998,311482.0
2677,2019-03-28,6994.0,7022.7002,6857.5,6952.5498,6952.5498,328240.0
2676,2019-03-27,7000.0,7079.0,6951.3501,6980.3501,6980.3501,444893.0
2675,2019-03-26,6967.0,7060.0,6920.0,6987.8501,6987.8501,221597.0
2674,2019-03-25,6942.7002,6969.2002,6881.0,6917.25,6917.25,138280.0
2673,2019-03-22,6970.0,7080.0,6938.8999,6960.0498,6960.0498,155624.0
2672,2019-03-20,6990.0,6998.7002,6907.2002,6953.5,6953.5,119525.0
2671,2019-03-19,7000.0,7036.0,6950.0,6975.6499,6975.6499,160837.0
2670,2019-03-18,6970.0,7044.8999,6880.0498,7006.7998,7006.7998,171373.0
2669,2019-03-15,6920.0,7004.0,6900.0,6927.9502,6927.9502,219456.0
2668,2019-03-14,6900.0,6955.0,6857.6499,6932.1001,6932.1001,181236.0
2667,2019-03-13,6850.0,6931.0,6792.6499,6898.2002,6898.2002,221233.0
2666,2019-03-12,6858.0,6891.0,6791.7998,6860.8999,6860.8999,262373.0
2665,2019-03-11,6616.5,6812.1001,6612.25,6783.6001,6783.6001,268460.0
2664,2019-03-08,6570.0,6640.0,6550.0,6616.9502,6616.9502,144867.0
2663,2019-03-07,6580.1001,6668.6001,6565.0,6598.5,6598.5,199032.0
2662,2019-03-06,6610.0,6625.0,6518.3501,6609.1499,6609.1499,236921.0
2661,2019-03-05,6440.0,6650.0,6386.0,6543.75,6543.75,229793.0
2660,2019-03-01,6480.0,6540.0,6428.0498,6440.6001,6440.6001,222076.0
2659,2019-02-28,6478.0,6480.0,6413.1001,6462.4502,6462.4502,158931.0
2658,2019-02-27,6475.0,6509.7002,6380.0498,6419.8501,6419.8501,298539.0
2657,2019-02-26,6265.0,6498.25,6241.1499,6452.6499,6452.6499,564523.0
2656,2019-02-25,6220.0,6391.2998,6180.0,6333.5498,6333.5498,232170.0
2655,2019-02-22,6170.0,6272.7002,6146.9502,6195.6499,6195.6499,211012.0
2654,2019-02-21,6040.0,6220.0,5982.0,6169.1001,6169.1001,230121.0
2653,2019-02-20,6007.0,6045.0,5932.2002,5998.4502,5998.4502,161713.0
2652,2019-02-19,5886.5,6030.0,5862.3501,5969.75,5969.75,213067.0
2651,2019-02-18,6069.0,6083.0498,5860.3501,5885.1499,5885.1499,245222.0
2650,2019-02-15,6050.0,6080.0,5855.0,6025.4502,6025.4502,277871.0
2649,2019-02-14,6119.0,6140.4502,6025.0,6035.6001,6035.6001,198337.0
2648,2019-02-12,6115.0,6174.0,6065.1001,6096.3999,6096.3999,148869.0
2647,2019-02-11,6184.0,6223.5,6077.1001,6096.25,6096.25,113518.0
2646,2019-02-08,6254.6001,6294.4502,6150.9502,6182.7002,6182.7002,138456.0
2645,2019-02-07,6219.9502,6288.9502,6200.0,6253.1001,6253.1001,134879.0
2644,2019-02-06,6059.0,6231.0,6048.7998,6208.6499,6208.6499,228970.0
2643,2019-02-05,6019.9502,6064.0,5969.0,6017.1001,6017.1001,175304.0
2642,2019-02-04,6110.8501,6122.0,5995.6499,6009.2002,6009.2002,128108.0
2641,2019-02-01,6123.8999,6250.0,6055.0,6096.9502,6096.9502,311984.0
2640,2019-01-31,6244.2002,6268.8999,6050.0,6091.8999,6091.8999,377632.0
2639,2019-01-30,6295.0,6368.7998,6200.3501,6247.2002,6247.2002,338788.0
2638,2019-01-29,6015.0,6295.0,5951.0,6233.0498,6233.0498,578958.0
2637,2019-01-28,6335.0,6352.7998,5948.7998,6050.8999,6050.8999,299286.0
2636,2019-01-25,6479.8999,6479.8999,6286.9502,6321.5498,6321.5498,92525.0
2635,2019-01-24,6515.0,6517.5,6382.0498,6407.2998,6407.2998,108993.0
2634,2019-01-23,6429.8501,6528.0,6405.0,6493.1499,6493.1499,187445.0
2633,2019-01-22,6377.0,6447.0498,6350.0,6435.5498,6435.5498,173775.0
2632,2019-01-21,6253.8501,6400.0,6211.1001,6384.5498,6384.5498,177176.0
2631,2019-01-18,6366.1001,6379.9502,6230.0,6249.8999,6249.8999,191626.0
2630,2019-01-17,6466.0,6485.0,6336.0498,6359.0,6359.0,139043.0
2629,2019-01-16,6500.0,6535.0,6440.3999,6464.8501,6464.8501,119680.0
2628,2019-01-15,6385.0,6524.0,6380.0,6509.7002,6509.7002,133336.0
2627,2019-01-14,6388.8999,6388.8999,6265.0,6368.7998,6368.7998,152409.0
2626,2019-01-11,6355.0,6389.8999,6291.0,6371.6499,6371.6499,122432.0
2625,2019-01-10,6425.0,6430.0,6337.7002,6371.9502,6371.9502,164715.0
2624,2019-01-09,6460.0,6476.0,6365.0,6399.1001,6399.1001,159769.0
2623,2019-01-08,6430.0,6460.0,6355.0,6443.0498,6443.0498,111249.0
2622,2019-01-07,6450.5,6500.0,6385.0,6407.1499,6407.1499,103217.0
2621,2019-01-04,6419.9502,6460.0,6357.0,6410.4502,6410.4502,156323.0
2620,2019-01-03,6439.0,6479.8999,6331.6499,6383.2998,6383.2998,215845.0
2619,2019-01-02,6475.0,6526.0,6360.0,6384.0,6384.0,221274.0
2618,2019-01-01,6515.0,6530.0,6418.0,6521.9502,6521.9502,141821.0
2617,2018-12-31,6548.0,6591.2002,6436.2002,6476.9502,6476.9502,204888.0
2616,2018-12-28,6424.0,6530.0,6412.6001,6502.8999,6502.8999,199807.0
2615,2018-12-27,6500.0,6550.0,6350.0,6405.0498,6405.0498,297717.0
2614,2018-12-26,6272.0,6465.0,6150.0,6439.0498,6439.0498,272610.0
2613,2018-12-24,6360.75,6393.9502,6260.0,6274.4502,6274.4502,132247.0
2612,2018-12-21,6447.0,6500.0,6296.1001,6360.1001,6360.1001,309851.0
2611,2018-12-20,6330.0498,6421.0,6302.1499,6404.9502,6404.9502,187601.0
2610,2018-12-19,6190.0,6425.0,6188.1001,6405.4502,6405.4502,355577.0
2609,2018-12-18,6090.0,6165.0,6076.7002,6152.6499,6152.6499,151411.0
2608,2018-12-17,6175.0498,6199.0,6050.0,6087.7998,6087.7998,153950.0
2607,2018-12-14,6179.8999,6208.2002,6101.2998,6177.6499,6177.6499,168709.0
2606,2018-12-13,6050.0,6228.0,6020.1001,6159.3999,6159.3999,272548.0
2605,2018-12-12,5851.0,6023.6001,5851.0,5989.0,5989.0,156702.0
2604,2018-12-11,5643.0,5870.0,5623.1001,5827.1499,5827.1499,231580.0
2603,2018-12-10,5612.0,5788.0,5612.0,5693.9502,5693.9502,245845.0
2602,2018-12-07,5708.3999,5875.5498,5668.5,5849.8999,5849.8999,220039.0
2601,2018-12-06,5902.0,5910.0,5631.5498,5667.5,5667.5,192895.0
2600,2018-12-05,6070.0,6070.0,5838.75,5902.5,5902.5,159561.0
2599,2018-12-04,6020.0,6090.0,6004.3501,6070.2002,6070.2002,166285.0
2598,2018-12-03,6060.0,6088.3501,5975.0498,5999.2998,5999.2998,159769.0
2597,2018-11-30,6019.7002,6100.0,5960.0,5994.3501,5994.3501,358307.0
2596,2018-11-29,5850.0,6050.0,5843.0,6010.75,6010.75,263956.0
2595,2018-11-28,5910.0,5917.1001,5792.5498,5818.4502,5818.4502,128949.0
2594,2018-11-27,5740.0,5910.0,5730.0,5880.3501,5880.3501,182540.0
2593,2018-11-26,5730.2002,5824.7998,5684.5,5737.8999,5737.8999,203676.0
2592,2018-11-22,5870.0,5926.25,5700.0,5723.0498,5723.0498,198644.0
2591,2018-11-21,5690.0,5872.6001,5690.0,5851.9502,5851.9502,214025.0
2590,2018-11-20,5715.0,5764.7002,5648.0,5688.5498,5688.5498,122296.0
2589,2018-11-19,5720.0,5765.0,5650.0,5725.9502,5725.9502,98362.0
2588,2018-11-16,5640.0,5730.0,5612.7002,5695.6499,5695.6499,141140.0
2587,2018-11-15,5578.8999,5685.0,5578.8999,5597.1001,5597.1001,194450.0
2586,2018-11-14,5606.0,5648.0,5560.0,5577.6499,5577.6499,137523.0
2585,2018-11-13,5541.0,5609.3501,5536.0498,5571.7002,5571.7002,148588.0
2584,2018-11-12,5705.0,5783.0,5516.5,5549.1001,5549.1001,165617.0
2583,2018-11-09,5680.0,5725.0,5595.6499,5701.3999,5701.3999,236068.0
2582,2018-11-07,5645.0,5645.0,5600.0,5628.2002,5628.2002,17624.0
2581,2018-11-06,5598.7998,5689.7998,5564.9502,5591.0,5591.0,208350.0
2580,2018-11-05,5560.0,5653.2998,5501.6499,5569.6001,5569.6001,203187.0
2579,2018-11-02,5395.0,5623.7998,5395.0,5525.2998,5525.2998,414185.0
2578,2018-11-01,5420.0,5467.0,5370.6499,5386.5,5386.5,193618.0
2577,2018-10-31,5413.0,5436.0,5241.0,5404.6499,5404.6499,355131.0
2576,2018-10-30,5420.0,5455.0,5322.5498,5391.1499,5391.1499,291037.0
2575,2018-10-29,5415.0,5491.0498,5353.2002,5409.8501,5409.8501,291708.0
2574,2018-10-26,5380.0,5434.0,5258.0,5399.2002,5399.2002,290536.0
2573,2018-10-25,5299.0,5462.0498,5257.25,5367.6499,5367.6499,345421.0
2572,2018-10-24,5200.0,5448.5,4955.0,5391.4502,5391.4502,1105550.0
2571,2018-10-23,5250.0,5285.0,5055.0,5167.75,5167.75,456251.0
2570,2018-10-22,5470.0,5511.0,5206.5,5250.2002,5250.2002,211210.0
2569,2018-10-19,5370.0,5514.0498,5240.0498,5419.2002,5419.2002,296640.0
2568,2018-10-17,5700.0,5740.0,5350.0,5380.25,5380.25,301825.0
2567,2018-10-16,5657.0,5749.9502,5565.5498,5657.1001,5657.1001,219586.0
2566,2018-10-15,5815.0,5815.0,5611.0,5634.25,5634.25,174947.0
2565,2018-10-12,5698.5,5910.2002,5680.1001,5813.5498,5813.5498,297224.0
2564,2018-10-11,5685.0,5775.0,5551.0,5592.0,5592.0,319463.0
2563,2018-10-10,5455.0,6014.0,5430.0,5961.5,5961.5,514698.0
2562,2018-10-09,5412.0,5580.0,5275.2998,5429.1001,5429.1001,216160.0
2561,2018-10-08,5350.0,5500.0,5230.3999,5395.5498,5395.5498,271315.0
2560,2018-10-05,5614.0,5721.0,5222.8999,5375.6499,5375.6499,252881.0
2559,2018-10-04,5660.0,5730.0,5524.75,5632.1001,5632.1001,209825.0
2558,2018-10-03,5908.0,5949.0,5701.0,5752.5,5752.5,312920.0
2557,2018-10-01,6000.0,6040.0,5771.0,5881.8501,5881.8501,276252.0
2556,2018-09-28,5987.0,6059.5,5885.0,6006.2002,6006.2002,254770.0
2555,2018-09-27,6219.0,6240.0,5955.1001,5979.7998,5979.7998,276735.0
2554,2018-09-26,6207.0,6289.0,6188.0,6212.5498,6212.5498,164588.0
2553,2018-09-25,6060.0,6250.0,5932.0498,6185.6499,6185.6499,345421.0
2552,2018-09-24,6305.6001,6307.0,6007.8501,6067.6499,6067.6499,510326.0
2551,2018-09-21,6362.0,6445.0,5366.0,6259.7002,6259.7002,681976.0
2550,2018-09-19,6555.0,6580.0,6281.0498,6312.0498,6312.0498,207789.0
2549,2018-09-18,6570.0,6635.6001,6495.0,6527.6001,6527.6001,222470.0
2548,2018-09-17,6691.2002,6699.9502,6530.0,6549.9502,6549.9502,165064.0
2547,2018-09-14,6479.0,6799.0,6402.0,6709.6499,6709.6499,265042.0
2546,2018-09-12,6351.0,6474.0,6320.0,6412.9502,6412.9502,193742.0
2545,2018-09-11,6351.1001,6479.2002,6252.0,6362.1499,6362.1499,358140.0
2544,2018-09-10,6580.0,6581.0,6315.0,6347.4502,6347.4502,238799.0
2543,2018-09-07,6600.0,6639.2998,6505.0,6600.1001,6600.1001,115576.0
2542,2018-09-06,6520.0,6574.8999,6458.8999,6547.2998,6547.2998,155679.0
2541,2018-09-05,6500.0,6559.1499,6401.0,6503.0498,6503.0498,182931.0
2540,2018-09-04,6660.0,6673.7998,6480.0498,6508.2002,6508.2002,391449.0
2539,2018-09-03,6770.0,6840.0,6625.0,6652.8999,6652.8999,196221.0
2538,2018-08-31,6940.0,6968.3999,6725.0,6747.7998,6747.7998,223887.0
2537,2018-08-30,6969.0,6993.7002,6900.0,6929.8999,6929.8999,167502.0
2536,2018-08-29,6975.0,7042.0,6900.5,6968.5498,6968.5498,177432.0
2535,2018-08-28,7074.0,7074.0,6935.9502,6971.4502,6971.4502,145321.0
2534,2018-08-27,7089.2002,7112.4502,7014.0498,7030.1499,7030.1499,136724.0
2533,2018-08-24,7092.0,7129.0,7025.25,7050.6499,7050.6499,128111.0
2532,2018-08-23,7170.0,7185.0,7075.1001,7092.1001,7092.1001,137409.0
2531,2018-08-21,7104.0,7130.0,7012.2002,7116.6001,7116.6001,144611.0
2530,2018-08-20,7129.0,7159.8999,7050.0,7063.6001,7063.6001,91898.0
2529,2018-08-17,7125.0,7169.0,7075.0,7097.3501,7097.3501,120981.0
2528,2018-08-16,7090.0,7200.0,7046.1001,7076.0,7076.0,207567.0
2527,2018-08-14,6955.0,7130.4502,6955.0,7112.7002,7112.7002,246253.0
2526,2018-08-13,7029.25,7076.3501,6928.7998,6945.4502,6945.4502,91832.0
2525,2018-08-10,7072.7002,7134.6499,6996.3501,7083.8501,7083.8501,139036.0
2524,2018-08-09,7051.6001,7120.0,7000.0,7075.1001,7075.1001,110927.0
2523,2018-08-08,7038.0,7099.8999,6980.0498,7051.6001,7051.6001,198751.0
2522,2018-08-07,6933.0,7020.0,6905.6001,6994.2002,6994.2002,139986.0
2521,2018-08-06,6985.0,6995.0,6908.0,6919.0498,6919.0498,98437.0
2520,2018-08-03,6960.0,6983.9502,6879.1499,6943.1499,6943.1499,141430.0
2519,2018-08-02,7037.9502,7039.0,6890.0,6903.3501,6903.3501,123608.0
2518,2018-08-01,7039.7002,7173.2002,6941.0,6990.1499,6990.1499,303720.0
2517,2018-07-31,6922.0,7015.0,6855.0,6977.2998,6977.2998,131814.0
2516,2018-07-30,6964.0,6978.6499,6861.0498,6895.8501,6895.8501,121952.0
2515,2018-07-27,7098.6499,7100.0,6893.5498,6927.2002,6927.2002,195800.0
2514,2018-07-26,6959.0,7088.0,6951.3999,7035.2998,7035.2998,262679.0
2513,2018-07-25,6850.0,7080.0,6835.3999,6949.5,6949.5,431627.0
