,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,3655.0,3690.0,3600.0,3614.55,3614.55,13906.0
4193,2019-06-13,3742.8,3763.0,3651.0,3665.95,3665.95,16157.0
4192,2019-06-12,3779.8,3793.95,3712.1001,3742.8,3742.8,24203.0
4191,2019-06-11,3646.1001,3790.0,3610.3999,3761.8,3761.8,42162.0
4190,2019-06-10,3611.0,3677.95,3575.0,3658.05,3658.05,41366.0
4189,2019-06-07,3538.95,3665.0,3512.45,3609.3501,3609.3501,66933.0
4188,2019-06-06,3503.3501,3566.8999,3503.3501,3531.8501,3531.8501,30475.0
4187,2019-06-04,3480.1499,3598.75,3480.1499,3503.3501,3503.3501,67310.0
4186,2019-06-03,3524.0,3524.0,3470.0,3505.3,3505.3,47101.0
4185,2019-05-31,3540.0,3548.0,3454.6499,3496.3999,3496.3999,22538.0
4184,2019-05-30,3520.0,3529.0,3450.0,3510.1499,3510.1499,35029.0
4183,2019-05-29,3513.75,3521.95,3469.0,3507.1001,3507.1001,23639.0
4182,2019-05-28,3500.0,3534.75,3455.0,3513.75,3513.75,30618.0
4181,2019-05-27,3424.7,3500.0,3420.0,3473.8501,3473.8501,43027.0
4180,2019-05-24,3325.05,3423.0,3325.05,3399.5,3399.5,24461.0
4179,2019-05-23,3300.05,3345.95,3300.05,3325.0,3325.0,68189.0
4178,2019-05-22,3327.8501,3329.0,3260.0,3289.7,3289.7,26297.0
4177,2019-05-21,3302.0,3360.0,3251.0,3304.3501,3304.3501,15920.0
4176,2019-05-20,3333.0,3388.0,3263.1499,3325.75,3325.75,50034.0
4175,2019-05-17,3180.0,3310.0,3174.0,3281.7,3281.7,58762.0
4174,2019-05-16,3187.0,3200.0,3152.8999,3167.45,3167.45,15226.0
4173,2019-05-15,3119.0,3185.0,3076.2,3165.3999,3165.3999,17830.0
4172,2019-05-14,3083.6499,3156.0,3059.8501,3131.05,3131.05,11668.0
4171,2019-05-13,3060.8999,3145.25,3030.05,3106.3999,3106.3999,15934.0
4170,2019-05-10,3098.95,3100.0,3036.05,3060.95,3060.95,9168.0
4169,2019-05-09,3102.25,3106.55,3051.0,3073.1001,3073.1001,12622.0
4168,2019-05-08,3151.0,3178.55,3080.1001,3102.25,3102.25,18724.0
4167,2019-05-07,3185.2,3193.7,3168.0,3178.05,3178.05,9918.0
4166,2019-05-06,3190.0,3208.0,3169.5,3181.0,3181.0,10989.0
4165,2019-05-03,3200.3501,3240.2,3175.05,3191.3999,3191.3999,11171.0
4164,2019-05-02,3085.95,3221.5,3080.1001,3204.55,3204.55,29569.0
4163,2019-04-30,3261.0,3271.1499,2980.0,3086.0,3086.0,114146.0
4162,2019-04-26,3261.0,3298.0,3252.3501,3268.6001,3268.6001,14453.0
4161,2019-04-25,3326.8999,3328.0,3251.25,3272.1001,3272.1001,27350.0
4160,2019-04-24,3300.0,3335.0,3293.05,3300.45,3300.45,31159.0
4159,2019-04-23,3285.8999,3319.0,3276.25,3291.75,3291.75,26272.0
4158,2019-04-22,3290.0,3313.05,3258.8999,3286.3501,3286.3501,13356.0
4157,2019-04-18,3307.0,3324.95,3280.0,3289.3999,3289.3999,30759.0
4156,2019-04-16,3318.8999,3329.6001,3293.6001,3304.1001,3304.1001,16358.0
4155,2019-04-15,3318.0,3333.95,3285.0,3311.1001,3311.1001,13158.0
4154,2019-04-12,3340.0,3344.55,3296.8501,3300.2,3300.2,21177.0
4153,2019-04-11,3304.1001,3346.6001,3279.55,3306.1499,3306.1499,17982.0
4152,2019-04-10,3314.6499,3347.95,3275.0,3304.75,3304.75,14305.0
4151,2019-04-09,3316.95,3356.0,3270.8999,3284.45,3284.45,37279.0
4150,2019-04-08,3355.1499,3381.8999,3285.3,3317.3999,3317.3999,15427.0
4149,2019-04-05,3351.0,3441.8999,3331.55,3351.45,3351.45,15422.0
4148,2019-04-04,3433.0,3433.0,3270.55,3326.1499,3326.1499,47065.0
4147,2019-04-03,3425.05,3461.2,3383.1001,3406.1499,3406.1499,130489.0
4146,2019-04-02,3375.0,3450.0,3353.95,3423.55,3423.55,342322.0
4145,2019-04-01,3445.0,3454.1499,3341.1001,3352.1499,3352.1499,59859.0
4144,2019-03-28,3237.0,3800.0,3237.0,3593.6499,3593.6499,240494.0
4143,2019-03-27,3294.95,3324.2,3250.0,3273.75,3273.75,45199.0
4142,2019-03-26,3279.8999,3281.25,3210.0,3250.25,3250.25,21102.0
4141,2019-03-25,3373.0,3373.0,3255.5,3260.5,3260.5,19966.0
4140,2019-03-22,3363.6001,3388.5,3342.95,3366.95,3366.95,66853.0
4139,2019-03-20,3325.3501,3370.0,3325.3501,3364.0,3364.0,22184.0
4138,2019-03-19,3326.05,3366.6499,3276.05,3357.45,3357.45,42551.0
4137,2019-03-18,3340.05,3355.3999,3310.1499,3321.5,3321.5,10156.0
4136,2019-03-15,3358.8501,3376.05,3300.0,3337.2,3337.2,49372.0
4135,2019-03-14,3360.0,3370.0,3317.1001,3335.8501,3335.8501,10881.0
4134,2019-03-13,3360.0,3390.0,3302.75,3317.75,3317.75,28254.0
4133,2019-03-12,3334.8999,3385.8501,3305.8,3343.3501,3343.3501,19409.0
4132,2019-03-11,3313.95,3335.1001,3283.1001,3296.7,3296.7,13466.0
4131,2019-03-08,3298.0,3298.0,3220.8,3276.8999,3276.8999,16530.0
4130,2019-03-07,3220.0,3298.0,3220.0,3274.3501,3274.3501,63115.0
4129,2019-03-06,3188.05,3248.0,3164.2,3220.1001,3220.1001,19548.0
4128,2019-03-05,3170.3,3198.8999,3152.0,3161.3999,3161.3999,23572.0
4127,2019-03-01,3165.1001,3205.0,3152.0,3170.3,3170.3,12820.0
4126,2019-02-28,3163.0,3195.0,3150.0,3165.05,3165.05,80990.0
4125,2019-02-27,3163.0,3179.0,3123.0,3158.25,3158.25,16231.0
4124,2019-02-26,3022.25,3180.0,3022.25,3130.3999,3130.3999,58731.0
4123,2019-02-25,3133.0,3195.05,3101.0,3135.95,3135.95,25970.0
4122,2019-02-22,3152.8999,3190.0,3125.0,3150.8999,3150.8999,9013.0
4121,2019-02-21,3159.0,3221.8999,3107.0,3152.8999,3152.8999,20575.0
4120,2019-02-20,3100.05,3192.8999,3039.5,3159.2,3159.2,94549.0
4119,2019-02-19,3001.0,3123.45,2999.8999,3105.95,3105.95,10738.0
4118,2019-02-18,3168.8501,3195.0,3000.0,3006.8501,3006.8501,21499.0
4117,2019-02-15,3150.0,3180.0,3127.7,3159.7,3159.7,72564.0
4116,2019-02-14,3120.0,3176.95,3107.2,3149.95,3149.95,15773.0
4115,2019-02-12,3117.25,3117.25,3067.0,3100.3501,3100.3501,33654.0
4114,2019-02-11,3158.45,3158.45,3095.8,3117.25,3117.25,74757.0
4113,2019-02-08,3120.0,3178.8501,3099.6499,3131.5,3131.5,16906.0
4112,2019-02-07,2986.7,3179.95,2986.6499,3116.8501,3116.8501,550055.0
4111,2019-02-06,2924.1001,3005.0,2924.1001,2994.25,2994.25,86499.0
4110,2019-02-05,2988.0,3085.25,2904.05,2928.6001,2928.6001,13382.0
4109,2019-02-04,2856.5,3050.0,2856.5,2993.5,2993.5,583619.0
4108,2019-02-01,2850.0,2925.95,2850.0,2865.8999,2865.8999,16406.0
4107,2019-01-31,2836.05,2879.7,2815.0,2847.05,2847.05,28439.0
4106,2019-01-30,2847.8,2894.6001,2841.3,2852.6499,2852.6499,10198.0
4105,2019-01-29,2855.0,2855.0,2825.0,2844.8999,2844.8999,52299.0
4104,2019-01-28,2860.0,2909.95,2821.0,2853.5,2853.5,28941.0
4103,2019-01-25,2968.95,2968.95,2860.0,2861.8,2861.8,11730.0
4102,2019-01-24,2971.95,2977.0,2931.6499,2939.8,2939.8,39805.0
4101,2019-01-23,2961.2,2981.0,2950.0,2966.6499,2966.6499,17908.0
4100,2019-01-22,2971.8501,2989.0,2929.75,2956.95,2956.95,28214.0
4099,2019-01-21,2955.6499,2999.8501,2951.0,2961.3999,2961.3999,11792.0
4098,2019-01-18,2976.95,2988.0,2952.1001,2960.3999,2960.3999,5107.0
4097,2019-01-17,2962.05,2995.0,2920.0,2950.05,2950.05,61769.0
4096,2019-01-16,3000.3999,3018.0,2950.0,2958.45,2958.45,5828.0
4095,2019-01-15,3014.05,3044.8,2989.95,2998.3501,2998.3501,7811.0
4094,2019-01-14,3026.05,3112.0,2999.0,3008.6499,3008.6499,25939.0
4093,2019-01-11,2970.0,3030.0,2950.0,3007.3501,3007.3501,8073.0
4092,2019-01-10,2999.0,3030.0,2952.3501,2969.95,2969.95,14544.0
4091,2019-01-09,2962.7,2975.0,2949.5,2951.1499,2951.1499,5980.0
4090,2019-01-08,2953.0,2978.95,2950.0,2955.45,2955.45,6335.0
4089,2019-01-07,2926.05,2987.8501,2926.05,2953.8,2953.8,4452.0
4088,2019-01-04,2960.05,3000.0,2948.0,2951.6499,2951.6499,16159.0
4087,2019-01-03,2968.3,2985.0,2939.95,2977.25,2977.25,25184.0
4086,2019-01-02,2930.1499,2968.0,2925.0,2950.1001,2950.1001,15693.0
4085,2019-01-01,2967.95,2970.0,2925.0,2949.95,2949.95,56276.0
4084,2018-12-31,2946.5,3000.0,2940.0,2950.0,2950.0,29552.0
4083,2018-12-28,2944.8,2999.8999,2925.0,2934.95,2934.95,10438.0
4082,2018-12-27,2872.0,2988.8,2871.05,2950.05,2950.05,59145.0
4081,2018-12-26,2920.05,2923.8501,2738.7,2859.45,2859.45,116124.0
4080,2018-12-24,2956.3999,2965.0,2920.0,2937.8501,2937.8501,48668.0
4079,2018-12-21,2950.05,2990.0,2915.0,2940.3,2940.3,40029.0
4078,2018-12-20,2921.3,2977.2,2921.0,2969.2,2969.2,4159.0
4077,2018-12-19,2931.1499,2979.0,2917.75,2932.0,2932.0,23798.0
4076,2018-12-18,2949.95,2949.95,2911.0,2919.8999,2919.8999,10883.0
4075,2018-12-17,2996.95,2996.95,2952.3999,2959.75,2959.75,14350.0
4074,2018-12-14,2997.05,3015.0,2950.0,2958.3999,2958.3999,6481.0
4073,2018-12-13,2965.6001,3001.0,2965.6001,2998.8,2998.8,34210.0
4072,2018-12-12,2934.55,2982.5,2901.0,2976.45,2976.45,7284.0
4071,2018-12-11,2939.75,2962.0,2910.1001,2930.3999,2930.3999,4380.0
4070,2018-12-10,2969.95,2969.95,2922.25,2939.8,2939.8,4575.0
4069,2018-12-07,2975.05,2999.6499,2926.05,2985.0,2985.0,2721.0
4068,2018-12-06,2940.05,3010.0,2902.0,2970.05,2970.05,6554.0
4067,2018-12-05,2973.8,3038.0,2936.1001,2969.45,2969.45,7823.0
4066,2018-12-04,2999.8999,2999.8999,2965.1001,2980.6001,2980.6001,3535.0
4065,2018-12-03,3034.0,3034.0,2976.0,2992.8,2992.8,8007.0
4064,2018-11-30,3022.0,3029.8,2980.0,3000.8,3000.8,15452.0
4063,2018-11-29,3003.1001,3030.0,2992.3999,3022.1001,3022.1001,6577.0
4062,2018-11-28,3012.95,3019.0,2976.3,2990.1499,2990.1499,4002.0
4061,2018-11-27,3003.0,3020.95,2981.0,2995.3501,2995.3501,3793.0
4060,2018-11-26,3015.1499,3044.95,2955.1499,3002.8999,3002.8999,9604.0
4059,2018-11-22,3026.8999,3056.0,3000.0,3026.1001,3026.1001,8040.0
4058,2018-11-21,3024.8,3062.0,2978.0,3006.95,3006.95,12621.0
4057,2018-11-20,3051.0,3076.95,3000.0,3025.6499,3025.6499,10365.0
4056,2018-11-19,3122.0,3188.0,3059.0,3080.25,3080.25,13716.0
4055,2018-11-16,2960.05,3316.05,2954.5,3131.6001,3131.6001,379004.0
4054,2018-11-15,2920.0,2988.0,2920.0,2954.5,2954.5,8054.0
4053,2018-11-14,2896.8999,2964.0,2850.0,2925.25,2925.25,18138.0
4052,2018-11-13,2799.0,2897.8999,2775.6001,2854.1499,2854.1499,33399.0
4051,2018-11-12,2792.0,2833.0,2792.0,2799.1499,2799.1499,1848.0
4050,2018-11-09,2800.05,2835.0,2791.0,2805.1499,2805.1499,1883.0
4049,2018-11-07,2799.0,2838.7,2790.0,2820.3501,2820.3501,537.0
4048,2018-11-06,2817.8,2817.8,2792.0,2799.05,2799.05,2250.0
4047,2018-11-05,2807.8999,2844.0,2780.05,2833.45,2833.45,4835.0
4046,2018-11-02,2825.0,2854.95,2810.0,2815.05,2815.05,3935.0
4045,2018-11-01,2814.8501,2845.6001,2752.1499,2813.1001,2813.1001,96107.0
4044,2018-10-31,2749.8,2818.0,2714.0,2809.5,2809.5,47145.0
4043,2018-10-30,2675.1499,2749.0,2660.0,2734.3999,2734.3999,6168.0
4042,2018-10-29,2642.55,2712.95,2640.1001,2698.3999,2698.3999,7316.0
4041,2018-10-26,2674.75,2674.75,2637.0,2642.6001,2642.6001,15488.0
