,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,3553.95,3569.8,3501.0,3518.3999,3518.3999,864406.0
4223,2019-06-13,3505.0,3551.0,3500.0,3544.5,3544.5,880318.0
4222,2019-06-12,3539.95,3539.95,3482.0,3505.8501,3505.8501,1214470.0
4221,2019-06-11,3537.0,3564.0,3511.25,3551.8501,3551.8501,903155.0
4220,2019-06-10,3546.95,3557.75,3506.0,3519.6001,3519.6001,983274.0
4219,2019-06-07,3453.1499,3519.0,3419.95,3509.45,3509.45,1285044.0
4218,2019-06-06,3533.0,3533.0,3445.45,3452.95,3452.95,1314916.0
4217,2019-06-04,3514.5,3550.0,3509.55,3531.1499,3531.1499,1051400.0
4216,2019-06-03,3460.0,3529.8999,3460.0,3511.05,3511.05,1241133.0
4215,2019-05-31,3497.45,3531.0,3448.7,3467.1001,3467.1001,2172866.0
4214,2019-05-30,3408.8999,3489.7,3400.05,3481.6499,3481.6499,1175111.0
4213,2019-05-29,3403.0,3433.0,3384.5,3409.25,3409.25,921278.0
4212,2019-05-28,3468.0,3468.1499,3386.75,3409.8,3409.8,1627768.0
4211,2019-05-27,3480.0,3484.95,3440.0,3449.0,3449.0,932000.0
4210,2019-05-24,3400.0,3475.0,3391.3,3467.8999,3467.8999,1568523.0
4209,2019-05-23,3495.0,3518.0,3355.6499,3377.75,3377.75,2406205.0
4208,2019-05-22,3442.0,3459.55,3398.05,3448.8999,3448.8999,1566812.0
4207,2019-05-21,3418.05,3488.0,3375.0,3433.3,3433.3,2884997.0
4206,2019-05-20,3390.0,3444.55,3343.0,3407.55,3407.55,2724859.0
4205,2019-05-17,3137.0,3316.0,3122.05,3301.1001,3301.1001,5848716.0
4204,2019-05-16,3014.0,3129.0,3010.25,3110.05,3110.05,3644672.0
4203,2019-05-15,2921.0,3023.25,2870.8,3002.75,3002.75,2453670.0
4202,2019-05-14,2927.95,2941.95,2848.1001,2881.8501,2881.8501,1861760.0
4201,2019-05-13,2929.8999,2957.95,2906.0,2931.8501,2931.8501,1356229.0
4200,2019-05-10,2970.1001,2996.0,2900.0,2922.8501,2922.8501,1630089.0
4199,2019-05-09,2900.0,2991.8,2885.0,2971.3501,2971.3501,1745234.0
4198,2019-05-08,3012.0,3017.0,2900.0,2921.3,2921.3,1155023.0
4197,2019-05-07,3052.8999,3069.8,3007.6001,3017.05,3017.05,970223.0
4196,2019-05-06,3066.0,3094.0,3026.0,3034.3,3034.3,966487.0
4195,2019-05-03,3130.1001,3165.0,3102.3,3111.8501,3111.8501,730728.0
4194,2019-05-02,3095.0,3148.95,3060.0,3131.75,3131.75,895830.0
4193,2019-04-30,3092.0,3120.0,3040.0,3095.95,3095.95,900968.0
4192,2019-04-26,3089.0,3105.0,3045.0,3096.8501,3096.8501,613807.0
4191,2019-04-25,3099.8,3114.3999,3072.6499,3081.0,3081.0,1240564.0
4190,2019-04-24,3035.0,3099.0,3032.0,3093.05,3093.05,990580.0
4189,2019-04-23,2992.0,3058.5,2987.05,3035.05,3035.05,991968.0
4188,2019-04-22,3010.0,3010.0,2975.0,2991.25,2991.25,662157.0
4187,2019-04-18,3038.7,3046.0,2995.0,3014.45,3014.45,658826.0
4186,2019-04-16,3018.0,3057.3,3018.0,3032.5,3032.5,1021478.0
4185,2019-04-15,3028.6001,3033.0,3001.95,3022.25,3022.25,651634.0
4184,2019-04-12,3052.0,3062.0,3001.3,3008.8,3008.8,1048138.0
4183,2019-04-11,3008.0,3055.0,2992.0,3047.8501,3047.8501,1016712.0
4182,2019-04-10,3011.1001,3037.0,2986.0,2998.3501,2998.3501,994899.0
4181,2019-04-09,3016.55,3049.1001,2979.45,3008.7,3008.7,1733324.0
4180,2019-04-08,3123.0,3130.0,3018.0,3024.1001,3024.1001,1642189.0
4179,2019-04-05,3048.0,3125.0,3046.1001,3114.2,3114.2,1244408.0
4178,2019-04-04,3060.0,3065.0,3017.45,3039.45,3039.45,772776.0
4177,2019-04-03,3073.0,3089.0,3038.1499,3046.0,3046.0,1052752.0
4176,2019-04-02,3024.8,3077.0,2998.3501,3055.2,3055.2,1136238.0
4175,2019-04-01,3030.2,3046.3999,2991.0,3001.45,3001.45,1109000.0
4174,2019-03-28,2940.1001,3000.0,2940.05,2995.8501,2995.8501,1366945.0
4173,2019-03-27,2950.0,3014.1499,2932.5,2945.25,2945.25,2419656.0
4172,2019-03-26,2860.0,2942.0,2859.0,2934.3501,2934.3501,1570637.0
4171,2019-03-25,2804.0,2862.0,2801.0,2849.8,2849.8,1066757.0
4170,2019-03-22,2868.0,2895.5,2816.0,2836.6499,2836.6499,1250876.0
4169,2019-03-20,2924.8,2934.55,2857.8,2868.6001,2868.6001,1406862.0
4168,2019-03-19,2930.0,2962.8999,2910.05,2920.8999,2920.8999,1480565.0
4167,2019-03-18,2872.0,2941.1001,2845.0,2929.55,2929.55,1819986.0
4166,2019-03-15,2818.8,2899.0,2815.0,2860.75,2860.75,2091562.0
4165,2019-03-14,2832.0,2835.0,2787.1001,2808.1001,2808.1001,896055.0
4164,2019-03-13,2760.0,2837.95,2748.8501,2828.1499,2828.1499,1549296.0
4163,2019-03-12,2808.8,2816.6499,2745.5,2753.05,2753.05,1385335.0
4162,2019-03-11,2769.0,2807.95,2769.0,2791.05,2791.05,1169075.0
4161,2019-03-08,2724.8999,2779.0,2716.6001,2768.3,2768.3,1178087.0
4160,2019-03-07,2774.95,2782.3,2725.0,2734.8,2734.8,859851.0
4159,2019-03-06,2715.0,2774.2,2700.0,2766.7,2766.7,1543424.0
4158,2019-03-05,2655.0,2708.3501,2644.6001,2695.1499,2695.1499,847307.0
4157,2019-03-01,2663.3,2674.3,2640.0,2660.75,2660.75,707094.0
4156,2019-02-28,2666.6001,2667.0,2630.0,2649.0,2649.0,1136843.0
4155,2019-02-27,2670.0,2696.6499,2625.0,2642.0,2642.0,1147839.0
4154,2019-02-26,2637.3,2678.0,2600.0,2657.75,2657.75,1618996.0
4153,2019-02-25,2639.0,2675.0,2613.75,2657.75,2657.75,1024040.0
4152,2019-02-22,2652.55,2674.0,2632.3999,2640.3999,2640.3999,825672.0
4151,2019-02-21,2610.0,2660.0,2593.05,2654.7,2654.7,1139823.0
4150,2019-02-20,2585.0,2614.8,2571.0,2606.1499,2606.1499,1038127.0
4149,2019-02-19,2551.0,2606.95,2545.0,2559.8,2559.8,1148339.0
4148,2019-02-18,2548.05,2561.0,2512.45,2549.45,2549.45,1154520.0
4147,2019-02-15,2610.0,2610.0,2506.0,2561.1001,2561.1001,1640696.0
4146,2019-02-14,2579.95,2622.0,2556.8999,2609.2,2609.2,1214126.0
4145,2019-02-12,2668.0,2677.1499,2616.3,2621.8,2621.8,1200370.0
4144,2019-02-11,2724.7,2724.7,2635.0,2657.2,2657.2,1194702.0
4143,2019-02-08,2670.0,2737.45,2670.0,2707.1499,2707.1499,1510785.0
4142,2019-02-07,2725.0,2731.0,2684.1001,2696.6001,2696.6001,1760580.0
4141,2019-02-06,2619.0,2720.0,2612.1001,2711.25,2711.25,1798461.0
4140,2019-02-05,2600.0,2642.1001,2593.95,2603.6001,2603.6001,1010817.0
4139,2019-02-04,2610.0,2623.55,2572.2,2594.45,2594.45,942113.0
4138,2019-02-01,2575.0,2687.8999,2575.0,2628.3999,2628.3999,2117768.0
4137,2019-01-31,2608.0,2608.0,2526.0,2574.8501,2574.8501,2083418.0
4136,2019-01-30,2580.0,2623.7,2546.0,2595.5,2595.5,3879707.0
