,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,155.0,156.8,152.5,153.65,153.65,555596.0
4223,2019-06-13,153.9,156.75,153.15,155.85,155.85,634456.0
4222,2019-06-12,155.8,156.9,153.1,153.55,153.55,589254.0
4221,2019-06-11,155.05,157.25,153.05,156.6,156.6,623751.0
4220,2019-06-10,155.0,155.95,150.3,155.0,155.0,1041877.0
4219,2019-06-07,153.0,155.8,150.5,152.65,152.65,1433710.0
4218,2019-06-06,162.0,162.0,151.65,152.95,152.95,2634195.0
4217,2019-06-04,158.6,165.0,158.0,163.45,163.45,2855320.0
4216,2019-06-03,154.5,157.7,152.7,155.8,155.8,1148963.0
4215,2019-05-31,154.1,155.5,151.55,154.0,154.0,782217.0
4214,2019-05-30,152.4,154.9,151.05,153.5,153.5,826981.0
4213,2019-05-29,154.3,154.6,151.55,152.3,152.3,1051708.0
4212,2019-05-28,157.8,157.8,152.5,155.65,155.65,2887491.0
4211,2019-05-27,156.0,169.0,156.0,157.3,157.3,3370981.0
4210,2019-05-24,150.1,155.5,146.85,153.1,153.1,2160950.0
4209,2019-05-23,151.5,152.5,149.1,149.55,149.55,1854383.0
4208,2019-05-22,147.5,152.5,147.5,148.55,148.55,1164692.0
4207,2019-05-21,149.6,151.5,145.4,147.4,147.4,1412317.0
4206,2019-05-20,145.25,148.7,143.55,147.65,147.65,1338864.0
4205,2019-05-17,144.0,145.0,142.3,143.15,143.15,817797.0
4204,2019-05-16,141.4,144.0,141.4,143.05,143.05,592658.0
4203,2019-05-15,142.45,144.25,140.0,141.05,141.05,810719.0
4202,2019-05-14,135.8,142.6,135.05,141.6,141.6,1048851.0
4201,2019-05-13,144.45,145.45,134.0,136.25,136.25,715296.0
4200,2019-05-10,145.0,146.25,141.5,144.6,144.6,922709.0
4199,2019-05-09,140.0,145.35,140.0,144.6,144.6,1956137.0
4198,2019-05-08,143.8,146.8,138.7,141.05,141.05,1466708.0
4197,2019-05-07,154.2,154.5,141.0,143.55,143.55,1110521.0
4196,2019-05-06,156.0,156.65,152.1,153.55,153.55,1139527.0
4195,2019-05-03,154.0,158.0,154.0,156.8,156.8,2110010.0
4194,2019-05-02,150.6,155.8,150.15,154.7,154.7,2157303.0
4193,2019-04-30,147.8,153.2,144.5,150.6,150.6,2375657.0
4192,2019-04-26,146.75,148.9,144.5,147.55,147.55,1239900.0
4191,2019-04-25,141.0,149.9,140.6,145.9,145.9,3051308.0
4190,2019-04-24,142.95,142.95,140.2,141.1,141.1,522557.0
4189,2019-04-23,142.9,145.0,140.4,141.15,141.15,753730.0
4188,2019-04-22,143.8,145.6,142.05,143.35,143.35,1011295.0
4187,2019-04-18,140.0,147.4,139.4,146.2,146.2,3043484.0
4186,2019-04-16,137.5,142.35,136.25,141.4,141.4,2168556.0
4185,2019-04-15,138.4,141.15,137.3,139.95,139.95,1653303.0
4184,2019-04-12,134.9,138.95,134.2,138.4,138.4,1670889.0
4183,2019-04-11,136.3,137.3,133.25,134.4,134.4,1834257.0
4182,2019-04-10,135.0,137.7,134.8,136.1,136.1,2121624.0
4181,2019-04-09,133.45,135.25,128.65,134.35,134.35,3573537.0
4180,2019-04-08,146.0,146.5,131.5,132.75,132.75,7058356.0
4179,2019-04-05,138.9,146.8,138.25,145.65,145.65,9099066.0
4178,2019-04-04,139.0,139.45,135.6,137.5,137.5,1145831.0
4177,2019-04-03,139.45,140.75,138.0,138.7,138.7,1160302.0
4176,2019-04-02,140.4,140.85,136.5,138.55,138.55,1351664.0
4175,2019-04-01,138.5,143.0,137.6,139.55,139.55,3005168.0
4174,2019-03-28,134.5,137.4,134.0,135.2,135.2,1132576.0
4173,2019-03-27,133.25,135.75,132.0,134.7,134.7,1682686.0
4172,2019-03-26,135.0,135.25,132.2,132.8,132.8,1256448.0
4171,2019-03-25,133.55,135.9,132.8,134.0,134.0,2180541.0
4170,2019-03-22,127.0,133.0,127.0,132.05,132.05,2067300.0
4169,2019-03-20,128.6,130.0,126.65,127.8,127.8,1576789.0
4168,2019-03-19,134.0,134.6,129.2,129.85,129.85,1385827.0
4167,2019-03-18,133.1,137.7,132.3,133.85,133.85,1536068.0
4166,2019-03-15,134.0,135.3,131.4,132.9,132.9,1537160.0
4165,2019-03-14,131.7,136.7,130.65,133.55,133.55,2332581.0
4164,2019-03-13,134.0,135.05,130.55,131.1,131.1,1200646.0
4163,2019-03-12,134.2,136.5,134.2,134.95,134.95,1493514.0
4162,2019-03-11,136.0,136.85,130.3,133.65,133.65,2319273.0
4161,2019-03-08,136.4,138.2,133.7,135.95,135.95,1896410.0
4160,2019-03-07,142.4,143.85,132.1,136.4,136.4,4197811.0
4159,2019-03-06,138.1,144.1,138.1,141.55,141.55,3918285.0
4158,2019-03-05,134.0,138.75,133.15,137.55,137.55,2773867.0
4157,2019-03-01,134.25,136.75,133.55,134.95,134.95,4431652.0
4156,2019-02-28,127.95,131.7,127.95,131.0,131.0,3769720.0
4155,2019-02-27,131.7,133.8,125.35,127.05,127.05,3602171.0
4154,2019-02-26,126.95,131.75,122.7,130.25,130.25,5388130.0
4153,2019-02-25,126.2,134.35,126.0,130.15,130.15,8245721.0
4152,2019-02-22,124.3,128.25,124.0,126.2,126.2,2591567.0
4151,2019-02-21,123.0,126.0,122.5,124.85,124.85,1845987.0
4150,2019-02-20,125.0,128.2,122.1,123.7,123.7,3734340.0
4149,2019-02-19,119.65,127.4,119.3,125.7,125.7,6774142.0
4148,2019-02-18,117.85,121.5,115.9,119.65,119.65,3456420.0
4147,2019-02-15,119.2,122.45,112.0,117.85,117.85,9178862.0
4146,2019-02-14,112.3,118.4,110.25,117.7,117.7,5554680.0
4145,2019-02-12,108.4,110.5,107.5,108.9,106.4,3652860.0
