,Date,Open,High,Low,Close,Adj Close,Volume
297,2019-06-14,538.0,540.0,532.3,538.65,538.65,598414.0
296,2019-06-13,545.0,552.7,538.1,546.55,546.55,422965.0
295,2019-06-12,564.95,564.95,549.0,554.9,554.9,279868.0
294,2019-06-11,553.05,561.5,542.0,559.6,559.6,411050.0
293,2019-06-10,566.8,568.9,549.0,552.45,552.45,314593.0
292,2019-06-07,582.15,583.8,558.0,559.25,559.25,481656.0
291,2019-06-06,594.5,594.9,580.0,582.1,582.1,295635.0
290,2019-06-04,599.8,600.9,590.5,592.1,592.1,362734.0
289,2019-06-03,591.1,602.9,582.0,599.75,599.75,426586.0
288,2019-05-31,596.0,600.1,590.0,591.7,591.7,202268.0
287,2019-05-30,590.25,600.5,590.25,595.65,595.65,274549.0
286,2019-05-29,597.85,602.1,586.3,589.0,589.0,299690.0
285,2019-05-28,603.0,603.8,591.7,595.0,595.0,284123.0
284,2019-05-27,596.95,604.85,596.1,599.8,599.8,2528465.0
283,2019-05-24,620.1,623.9,582.8,596.3,596.3,2072973.0
282,2019-05-23,611.0,629.95,604.0,615.95,615.95,2407076.0
281,2019-05-22,589.6,608.0,588.5,599.55,599.55,1473089.0
280,2019-05-21,606.95,620.0,575.4,587.6,587.6,1085277.0
279,2019-05-20,590.0,609.75,585.0,605.1,605.1,1154868.0
278,2019-05-17,558.8,565.0,549.45,561.0,561.0,354224.0
277,2019-05-16,557.9,563.7,550.05,557.75,557.75,549715.0
276,2019-05-15,542.35,557.5,542.35,553.75,553.75,497272.0
275,2019-05-14,545.0,552.5,536.15,542.8,542.8,569549.0
274,2019-05-13,571.4,575.45,547.35,553.25,553.25,448453.0
273,2019-05-10,575.0,582.5,567.0,574.7,574.7,573579.0
272,2019-05-09,568.3,581.0,564.8,571.9,571.9,567637.0
271,2019-05-08,591.0,591.75,566.1,571.25,571.25,2406330.0
270,2019-05-07,606.2,611.6,588.15,590.85,590.85,853243.0
269,2019-05-06,620.0,620.0,598.25,603.8,603.8,593783.0
268,2019-05-03,625.25,635.9,619.0,622.5,622.5,1798457.0
267,2019-05-02,594.0,636.3,593.0,624.7,624.7,5514075.0
266,2019-04-30,598.8,603.8,581.05,599.45,599.45,634914.0
265,2019-04-26,594.0,605.0,594.0,599.9,599.9,775197.0
264,2019-04-25,607.0,613.0,587.3,590.45,590.45,957629.0
263,2019-04-24,582.75,609.9,580.0,605.5,605.5,2421671.0
262,2019-04-23,566.9,578.3,565.0,575.75,575.75,969280.0
261,2019-04-22,566.0,579.9,557.95,562.55,562.55,738274.0
260,2019-04-18,563.0,577.4,562.0,567.95,567.95,1053129.0
259,2019-04-16,535.0,567.0,535.0,557.75,557.75,980542.0
258,2019-04-15,535.0,537.35,522.6,534.75,534.75,197838.0
257,2019-04-12,540.0,543.4,532.35,534.0,534.0,217318.0
256,2019-04-11,543.0,547.75,537.1,539.65,539.65,269565.0
255,2019-04-10,551.85,556.6,542.05,549.65,549.65,736805.0
254,2019-04-09,548.0,559.0,536.1,552.3,552.3,957580.0
253,2019-04-08,549.35,550.85,527.8,547.0,547.0,890939.0
252,2019-04-05,546.0,552.3,543.25,548.15,548.15,269553.0
251,2019-04-04,551.0,557.7,541.1,545.8,545.8,757129.0
250,2019-04-03,532.1,554.7,532.1,550.2,550.2,1604829.0
249,2019-04-02,532.8,536.0,520.3,531.35,531.35,514031.0
248,2019-04-01,528.5,534.6,525.6,530.1,530.1,602748.0
247,2019-03-28,496.8,532.4,495.0,522.35,522.35,1603747.0
246,2019-03-27,490.0,498.3,484.15,492.7,492.7,586002.0
245,2019-03-26,492.0,493.55,487.0,487.8,487.8,253540.0
244,2019-03-25,498.0,499.9,487.0,487.85,487.85,254805.0
243,2019-03-22,500.5,508.0,499.75,501.85,501.85,1048361.0
242,2019-03-20,502.0,505.0,495.8,497.7,497.7,269229.0
241,2019-03-19,493.0,503.3,487.45,500.6,500.6,669993.0
240,2019-03-18,508.0,508.0,490.1,492.4,492.4,823788.0
239,2019-03-15,516.85,521.4,510.0,511.65,511.65,490943.0
238,2019-03-14,518.0,524.7,511.55,513.6,513.6,416149.0
237,2019-03-13,523.9,525.0,514.0,517.0,517.0,480028.0
236,2019-03-12,513.9,526.5,504.0,522.15,522.15,1557324.0
235,2019-03-11,507.95,512.9,503.05,511.3,511.3,925642.0
234,2019-03-08,495.0,506.8,492.0,502.15,502.15,709084.0
233,2019-03-07,506.0,507.0,494.2,496.65,496.65,564316.0
232,2019-03-06,493.0,508.0,486.5,501.05,501.05,1584714.0
231,2019-03-05,483.0,492.05,480.0,486.5,486.5,444948.0
230,2019-03-01,484.5,486.0,478.0,480.05,480.05,242847.0
229,2019-02-28,479.0,487.5,478.0,480.05,480.05,4454613.0
228,2019-02-27,483.8,487.95,472.0,480.3,480.3,1543240.0
227,2019-02-26,466.2,486.9,466.2,479.0,479.0,1697793.0
226,2019-02-25,486.0,493.55,477.0,480.1,480.1,631008.0
225,2019-02-22,489.05,497.75,472.0,483.45,483.45,726569.0
224,2019-02-21,479.0,494.9,478.05,488.7,488.7,1101018.0
223,2019-02-20,476.2,478.9,472.0,477.25,477.25,365546.0
222,2019-02-19,466.0,479.8,458.0,475.85,475.85,382889.0
221,2019-02-18,476.0,477.0,465.0,468.35,468.35,329910.0
220,2019-02-15,479.0,484.0,468.15,473.0,473.0,687122.0
219,2019-02-14,478.3,484.6,473.6,479.35,479.35,533208.0
218,2019-02-12,463.6,477.95,457.25,471.8,471.8,991828.0
217,2019-02-11,466.0,468.0,451.5,464.2,464.2,502110.0
216,2019-02-08,465.0,468.95,453.95,464.75,464.75,981473.0
215,2019-02-07,446.0,464.0,445.0,460.45,460.45,1862489.0
214,2019-02-06,421.9,444.0,420.5,440.4,440.4,2129366.0
213,2019-02-05,406.0,422.6,403.0,416.65,416.65,1358194.0
212,2019-02-04,409.6,409.6,400.1,403.8,403.8,454495.0
211,2019-02-01,404.5,410.65,397.95,404.85,404.85,1216281.0
210,2019-01-31,410.0,410.0,397.0,403.95,403.95,957862.0
209,2019-01-30,415.0,415.0,404.0,405.95,405.95,687905.0
208,2019-01-29,415.0,416.0,403.0,409.6,409.6,624021.0
207,2019-01-28,424.9,428.7,411.25,417.7,417.7,675570.0
206,2019-01-25,418.5,429.9,414.5,424.45,424.45,1308247.0
205,2019-01-24,419.0,419.2,408.5,413.9,413.9,1169284.0
204,2019-01-23,409.0,419.6,409.0,414.2,414.2,1023822.0
203,2019-01-22,425.9,425.9,407.1,408.95,408.95,1366028.0
202,2019-01-21,442.0,442.0,425.0,426.6,426.6,681714.0
201,2019-01-18,452.0,452.6,439.0,440.15,440.15,518541.0
200,2019-01-17,450.7,454.0,447.5,449.75,449.75,679418.0
199,2019-01-16,453.0,457.95,446.95,448.65,448.65,728778.0
198,2019-01-15,444.15,455.3,444.15,452.55,452.55,1668895.0
197,2019-01-14,453.6,455.8,437.45,443.2,443.2,1802629.0
196,2019-01-11,468.8,468.8,452.0,454.4,454.4,2690726.0
195,2019-01-10,452.0,474.8,451.1,471.55,471.55,8091914.0
194,2019-01-09,480.0,487.85,450.8,455.4,455.4,5226669.0
193,2019-01-08,482.0,501.0,471.0,477.05,477.05,7365909.0
192,2019-01-07,540.0,542.0,495.55,498.05,498.05,2684675.0
191,2019-01-04,534.25,541.7,527.05,528.9,528.9,579027.0
190,2019-01-03,551.0,554.0,530.0,533.8,533.8,620161.0
189,2019-01-02,553.0,563.7,549.6,552.15,552.15,834846.0
188,2019-01-01,552.5,560.0,544.1,556.7,556.7,589317.0
187,2018-12-31,538.45,552.75,534.8,550.15,550.15,1166345.0
186,2018-12-28,543.0,549.0,532.0,535.85,535.85,567056.0
185,2018-12-27,550.0,557.65,537.0,540.6,540.6,653631.0
184,2018-12-26,523.0,551.85,507.25,545.35,545.35,1730042.0
183,2018-12-24,529.5,536.9,506.0,524.25,524.25,1377036.0
182,2018-12-21,540.0,553.0,521.0,526.8,526.8,1268961.0
181,2018-12-20,553.9,553.9,532.0,537.6,537.6,836712.0
180,2018-12-19,572.8,577.5,554.0,556.4,556.4,769720.0
179,2018-12-18,568.0,583.7,560.0,571.5,571.5,1701394.0
178,2018-12-17,536.9,572.3,535.0,564.45,564.45,1905044.0
177,2018-12-14,504.0,541.1,503.5,533.8,533.8,1910555.0
176,2018-12-13,490.5,514.8,490.5,504.25,504.25,2763716.0
175,2018-12-12,472.0,482.0,468.4,471.95,471.95,1832665.0
174,2018-12-11,462.0,476.0,462.0,466.85,466.85,693846.0
173,2018-12-10,462.0,496.55,462.0,472.0,472.0,1025039.0
172,2018-12-07,475.4,476.95,469.15,472.0,472.0,516623.0
171,2018-12-06,473.0,475.9,467.1,470.15,470.15,395693.0
170,2018-12-05,484.5,486.6,476.0,478.0,478.0,286779.0
169,2018-12-04,494.0,494.0,482.6,487.15,487.15,463146.0
168,2018-12-03,487.95,493.9,483.1,491.45,491.45,762010.0
167,2018-11-30,489.0,498.2,470.2,483.65,483.65,967220.0
166,2018-11-29,469.95,489.2,466.0,487.0,487.0,884658.0
165,2018-11-28,465.0,471.95,456.4,466.55,466.55,484897.0
164,2018-11-27,451.95,473.5,444.0,464.95,464.95,796421.0
163,2018-11-26,455.8,459.45,442.05,453.55,453.55,402970.0
162,2018-11-22,468.15,471.7,452.0,454.05,454.05,306564.0
161,2018-11-21,463.8,473.0,460.0,466.85,466.85,284630.0
160,2018-11-20,475.25,475.25,460.0,462.15,462.15,316673.0
159,2018-11-19,479.4,485.7,472.3,478.2,478.2,482371.0
158,2018-11-16,465.0,489.9,462.0,476.2,476.2,1475264.0
157,2018-11-15,430.0,463.95,430.0,459.75,459.75,1065162.0
156,2018-11-14,432.85,437.7,425.65,433.6,433.6,303657.0
155,2018-11-13,424.0,435.0,418.1,432.4,432.4,346706.0
154,2018-11-12,432.0,438.7,423.1,425.9,425.9,243969.0
153,2018-11-09,440.0,440.7,426.4,431.5,431.5,314171.0
152,2018-11-07,444.7,444.7,437.0,439.35,439.35,77012.0
151,2018-11-06,444.9,445.7,435.0,437.55,437.55,317131.0
150,2018-11-05,429.75,444.0,426.0,435.95,435.95,1038453.0
149,2018-11-02,416.0,449.0,415.5,426.85,426.85,1873856.0
148,2018-11-01,395.0,417.95,391.0,411.3,411.3,1254442.0
147,2018-10-31,389.95,395.6,386.8,390.25,390.25,500973.0
146,2018-10-30,399.8,399.8,383.0,384.6,384.6,1355884.0
145,2018-10-29,385.55,404.0,381.05,398.7,398.7,1440974.0
144,2018-10-26,375.05,389.25,368.1,380.45,380.45,1687866.0
143,2018-10-25,386.2,389.0,377.2,380.05,380.05,2489963.0
142,2018-10-24,406.0,408.9,385.05,392.8,392.8,1817323.0
141,2018-10-23,403.0,407.75,397.0,399.8,399.8,1169804.0
140,2018-10-22,425.0,425.0,403.0,408.95,408.95,787706.0
139,2018-10-19,450.6,451.4,405.0,416.3,416.3,2075324.0
138,2018-10-17,466.0,471.95,450.55,454.45,454.45,766677.0
137,2018-10-16,474.0,476.0,463.05,463.95,463.95,721266.0
136,2018-10-15,480.0,482.0,467.0,470.75,470.75,1185286.0
135,2018-10-12,475.0,485.85,463.0,467.8,467.8,1559358.0
134,2018-10-11,490.0,491.95,462.15,470.2,470.2,3521166.0
133,2018-10-10,498.0,521.35,493.05,512.15,512.15,5186411.0
132,2018-10-09,476.4,492.0,476.4,486.85,486.85,1134177.0
131,2018-10-08,464.0,489.6,456.3,471.2,471.2,1795572.0
130,2018-10-05,460.0,468.95,451.75,458.8,458.8,2153997.0
129,2018-10-04,438.0,465.3,430.1,458.4,458.4,4294419.0
128,2018-10-03,437.0,498.8,422.1,446.4,446.4,13911206.0
127,2018-10-01,475.55,485.9,452.2,452.2,452.2,4197547.0
126,2018-09-28,570.35,575.3,550.05,565.25,565.25,896827.0
125,2018-09-27,554.8,577.0,542.3,570.35,570.35,1230585.0
124,2018-09-26,572.0,575.95,548.0,552.6,552.6,625749.0
123,2018-09-25,545.0,576.75,531.0,567.05,567.05,1441799.0
122,2018-09-24,575.0,580.45,538.0,547.75,547.75,1802699.0
121,2018-09-21,610.0,623.95,545.05,569.6,569.6,4891350.0
120,2018-09-19,621.1,626.95,599.0,602.3,602.3,529034.0
119,2018-09-18,627.0,633.0,618.0,619.4,619.4,323964.0
118,2018-09-17,623.8,632.0,613.0,624.5,624.5,547457.0
117,2018-09-14,620.5,639.7,620.5,625.3,625.3,847107.0
116,2018-09-12,622.05,630.35,598.0,612.8,612.8,1281396.0
115,2018-09-11,648.95,657.3,614.25,620.25,620.25,931807.0
114,2018-09-10,660.0,665.9,642.5,646.3,646.3,783340.0
113,2018-09-07,643.1,661.95,640.05,658.65,658.65,750500.0
112,2018-09-06,645.0,654.3,640.0,643.15,643.15,794953.0
111,2018-09-05,635.0,656.65,616.7,635.4,635.4,11060659.0
110,2018-09-04,674.95,677.95,630.0,638.3,638.3,1310534.0
109,2018-09-03,694.05,696.0,667.8,670.75,670.75,730245.0
108,2018-08-31,677.45,698.25,672.7,694.8,694.8,737840.0
107,2018-08-30,686.0,694.8,674.2,677.4,677.4,430372.0
106,2018-08-29,700.0,700.0,681.1,686.15,686.15,821218.0
105,2018-08-28,695.9,701.0,681.65,698.0,698.0,894560.0
104,2018-08-27,681.65,704.1,681.4,689.35,689.35,1698763.0
103,2018-08-24,666.5,681.0,612.0,674.6,674.6,5165184.0
102,2018-08-23,690.0,692.4,662.35,665.7,665.7,1671749.0
101,2018-08-21,698.0,698.0,682.0,685.05,685.05,589147.0
100,2018-08-20,707.95,709.65,698.0,699.75,699.75,376704.0
99,2018-08-17,704.95,711.45,702.15,703.9,703.9,723488.0
98,2018-08-16,694.0,706.95,690.0,700.65,700.65,501028.0
97,2018-08-14,685.5,707.75,685.5,698.9,698.9,960441.0
96,2018-08-13,699.8,702.4,680.55,685.5,685.5,663776.0
95,2018-08-10,731.4,731.4,695.0,702.7,702.7,818271.0
94,2018-08-09,694.1,741.8,694.1,729.7,729.7,3562003.0
93,2018-08-08,675.45,696.0,675.45,692.75,692.75,584943.0
92,2018-08-07,689.9,691.65,671.75,675.45,675.45,569096.0
91,2018-08-06,704.35,704.35,685.0,688.85,688.85,676161.0
90,2018-08-03,704.45,710.45,693.5,698.7,698.7,651603.0
89,2018-08-02,708.6,708.7,693.0,699.45,699.45,622240.0
88,2018-08-01,703.5,714.0,703.0,706.95,706.95,602841.0
87,2018-07-31,690.1,719.8,682.6,701.35,701.35,1586042.0
86,2018-07-30,690.4,707.95,685.95,690.0,690.0,769600.0
85,2018-07-27,667.05,696.7,667.0,687.05,687.05,1354625.0
84,2018-07-26,697.9,702.9,660.1,664.5,664.5,1091444.0
83,2018-07-25,709.9,715.0,688.4,695.1,695.1,1490189.0
82,2018-07-24,681.3,712.9,681.3,708.7,708.7,2345515.0
81,2018-07-23,685.0,714.0,665.55,681.2,681.2,2813794.0
80,2018-07-20,618.0,706.8,616.0,687.4,687.4,5425223.0
79,2018-07-19,599.0,633.0,590.35,617.5,617.5,3883898.0
78,2018-07-18,564.0,607.7,564.0,600.5,600.5,5518147.0
77,2018-07-17,559.9,566.4,552.05,562.75,562.75,397824.0
76,2018-07-16,558.25,564.8,544.55,557.35,557.35,433679.0
75,2018-07-13,564.8,579.35,556.4,568.95,568.95,1274500.0
74,2018-07-12,569.9,572.0,555.65,563.15,563.15,960998.0
73,2018-07-11,577.0,588.8,564.0,567.4,566.4,862150.0
72,2018-07-10,561.0,585.95,561.0,580.0,578.9778,1321938.0
71,2018-07-09,548.8,560.7,544.5,557.95,556.9667,687065.0
70,2018-07-06,538.05,548.4,538.05,544.3,543.3407,313428.0
69,2018-07-05,547.15,549.8,538.0,540.05,539.0982,270838.0
68,2018-07-04,552.8,558.7,545.05,548.45,547.4834,367351.0
67,2018-07-03,527.0,567.8,525.0,559.25,558.2643,679896.0
66,2018-07-02,530.0,530.65,523.0,527.65,526.7201,1119123.0
65,2018-06-29,514.95,530.0,512.25,526.55,525.6219,346849.0
64,2018-06-28,522.0,523.85,508.0,512.2,511.2973,260547.0
63,2018-06-27,535.0,535.0,520.05,523.85,522.9267,855250.0
62,2018-06-26,532.1,542.0,528.05,531.5,530.5632,1183515.0
61,2018-06-25,538.35,542.0,533.05,534.5,533.558,308692.0
60,2018-06-22,537.55,544.0,533.15,536.1,535.1552,293938.0
59,2018-06-21,541.0,547.9,535.15,537.55,536.6026,327133.0
58,2018-06-20,536.95,551.4,535.15,539.7,538.7488,617216.0
57,2018-06-19,546.25,549.95,532.0,534.2,533.2585,603528.0
56,2018-06-18,548.05,557.9,545.2,551.95,550.9772,653866.0
55,2018-06-15,544.4,553.8,531.4,550.15,549.1804,1468910.0
54,2018-06-14,538.0,560.0,538.0,547.2,546.2356,3171005.0
53,2018-06-13,521.05,539.85,518.55,535.7,534.7559,1541850.0
52,2018-06-12,510.1,525.5,505.55,520.2,519.2832,1061375.0
51,2018-06-11,501.0,529.0,496.05,512.2,511.2973,3530631.0
50,2018-06-08,496.9,502.35,492.3,498.1,497.2221,971489.0
49,2018-06-07,501.0,502.9,491.2,498.05,497.1722,767664.0
48,2018-06-06,471.0,503.6,467.0,495.7,494.8264,2580270.0
47,2018-06-05,474.0,474.0,456.15,470.05,469.2216,535857.0
46,2018-06-04,479.0,479.0,470.4,473.95,473.1147,331178.0
45,2018-06-01,470.0,478.75,470.0,475.1,474.2627,347149.0
44,2018-05-31,472.2,474.0,463.1,470.5,469.6708,375833.0
43,2018-05-30,477.0,478.95,468.2,469.9,469.0718,372779.0
42,2018-05-29,485.1,488.5,478.25,479.75,478.9045,172900.0
41,2018-05-28,486.7,488.4,481.0,484.55,483.696,228736.0
40,2018-05-25,483.75,487.0,476.85,483.1,482.2486,289819.0
39,2018-05-24,489.8,495.1,474.6,477.2,476.359,435390.0
38,2018-05-23,471.8,500.0,469.3,495.95,495.0759,1809012.0
37,2018-05-22,468.8,477.4,468.0,470.35,469.521,243251.0
36,2018-05-21,474.0,481.2,463.2,468.8,467.9738,363194.0
35,2018-05-18,481.05,485.05,478.0,479.55,478.7048,294337.0
34,2018-05-17,483.0,487.0,477.65,483.85,482.9973,477080.0
33,2018-05-16,479.9,484.9,475.0,482.5,481.6496,432584.0
32,2018-05-15,483.9,489.8,473.5,483.85,482.9973,1463884.0
31,2018-05-14,484.0,489.4,478.4,479.95,479.1041,377154.0
30,2018-05-11,486.55,492.2,480.25,484.35,483.4964,1030945.0
29,2018-05-10,490.0,493.9,484.05,486.45,485.5927,251959.0
28,2018-05-09,492.0,495.25,485.3,488.6,487.7389,505802.0
27,2018-05-08,496.95,497.0,490.0,494.35,493.4787,568372.0
26,2018-05-07,507.0,508.0,492.65,494.5,493.6285,764766.0
25,2018-05-04,503.0,506.0,500.5,504.6,503.7107,1078225.0
24,2018-05-03,511.95,515.0,496.4,502.05,501.1652,861937.0
23,2018-05-02,513.0,520.9,511.0,515.85,514.9408,1319363.0
22,2018-04-30,509.5,515.9,502.7,513.45,512.5451,1461600.0
21,2018-04-27,498.8,522.95,498.5,506.45,505.5574,5635987.0
20,2018-04-26,497.1,501.4,491.1,495.0,494.1276,1878261.0
19,2018-04-25,490.05,497.1,485.25,494.3,493.4288,1313604.0
18,2018-04-24,500.0,502.3,486.0,489.85,488.9867,1200876.0
17,2018-04-23,496.0,504.3,481.75,498.35,497.4717,2474228.0
16,2018-04-20,505.1,510.5,493.1,495.05,494.1775,949874.0
15,2018-04-19,505.2,508.9,502.0,505.1,504.2098,589106.0
14,2018-04-18,508.0,513.5,501.0,504.15,503.2614,815508.0
13,2018-04-17,520.0,521.4,500.0,505.1,504.2098,1156139.0
12,2018-04-16,523.9,532.35,516.1,518.8,517.8856,760439.0
11,2018-04-13,533.0,536.95,526.4,528.65,527.7183,1057977.0
10,2018-04-12,530.0,540.8,526.1,534.75,533.8076,1884412.0
9,2018-04-11,519.9,535.0,513.0,533.5,532.5598,3555719.0
8,2018-04-10,515.0,520.8,510.2,518.65,517.7359,1731872.0
7,2018-04-09,508.8,519.9,496.05,514.45,513.5433,2656272.0
6,2018-04-06,512.5,517.7,505.2,508.25,507.3542,1844654.0
5,2018-04-05,490.0,514.9,487.3,509.2,508.3026,8163440.0
4,2018-04-04,484.6,488.8,478.0,486.05,485.1934,2459030.0
3,2018-04-03,474.0,485.9,469.15,483.45,482.598,2796977.0
2,2018-04-02,474.9,485.0,472.0,475.7,474.8616,5239378.0
1,2018-03-28,463.85,478.9,463.0,469.05,468.2233,12056881.0
0,2018-03-27,499.0,499.0,455.0,476.85,476.0096,91036634.0
