,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1372.0,1400.95,1348.9,1360.05,1360.05,12608.0
4223,2019-06-13,1429.95,1429.95,1377.9,1389.75,1389.75,5811.0
4222,2019-06-12,1392.0,1472.95,1390.1,1404.85,1404.85,47386.0
4221,2019-06-11,1340.85,1407.5,1338.85,1385.35,1385.35,22332.0
4220,2019-06-10,1335.2,1350.85,1318.0,1340.85,1340.85,2706.0
4219,2019-06-07,1340.0,1340.0,1301.5,1329.6,1329.6,3012.0
4218,2019-06-06,1378.25,1378.3,1315.0,1323.55,1323.55,3151.0
4217,2019-06-04,1387.35,1387.35,1360.0,1362.4,1362.4,2501.0
4216,2019-06-03,1375.0,1390.0,1360.0,1373.4,1373.4,5356.0
4215,2019-05-31,1399.95,1408.0,1380.0,1383.3,1383.3,9734.0
4214,2019-05-30,1404.0,1407.7,1390.0,1393.3,1393.3,11488.0
4213,2019-05-29,1410.0,1410.0,1386.85,1393.4,1393.4,3983.0
4212,2019-05-28,1365.1,1421.0,1355.0,1403.3,1403.3,37286.0
4211,2019-05-27,1330.0,1370.0,1330.0,1356.55,1356.55,3732.0
4210,2019-05-24,1329.85,1334.0,1310.0,1323.2,1323.2,3450.0
4209,2019-05-23,1312.65,1340.1,1291.15,1315.25,1315.25,9978.0
4208,2019-05-22,1260.0,1323.0,1260.0,1312.7,1312.7,4478.0
4207,2019-05-21,1332.95,1332.95,1270.0,1278.65,1278.65,6354.0
4206,2019-05-20,1250.0,1349.3,1238.0,1309.2,1309.2,13757.0
4205,2019-05-17,1244.85,1248.95,1223.85,1238.7,1238.7,3163.0
4204,2019-05-16,1191.35,1235.7,1191.35,1226.85,1226.85,3180.0
4203,2019-05-15,1221.0,1225.35,1183.3,1191.35,1191.35,6956.0
4202,2019-05-14,1232.45,1260.0,1210.0,1221.0,1221.0,4381.0
4201,2019-05-13,1244.7,1284.15,1221.35,1245.45,1245.45,3062.0
4200,2019-05-10,1241.0,1265.8,1241.0,1251.15,1251.15,2617.0
4199,2019-05-09,1260.0,1268.2,1242.0,1253.6,1253.6,2500.0
4198,2019-05-08,1300.0,1300.05,1242.0,1256.1,1256.1,5053.0
4197,2019-05-07,1321.0,1331.85,1283.4,1292.95,1292.95,5891.0
4196,2019-05-06,1350.0,1364.75,1306.0,1313.2,1313.2,3916.0
4195,2019-05-03,1372.6,1375.7,1345.0,1352.2,1352.2,91379.0
4194,2019-05-02,1360.05,1383.0,1344.05,1378.85,1378.85,14083.0
4193,2019-04-30,1308.25,1389.95,1308.25,1363.5,1363.5,47544.0
4192,2019-04-26,1359.95,1364.2,1322.1,1328.7,1328.7,5089.0
4191,2019-04-25,1365.1,1379.1,1345.6,1351.95,1351.95,5574.0
4190,2019-04-24,1389.95,1392.0,1365.1,1369.7,1369.7,8944.0
4189,2019-04-23,1406.0,1406.0,1379.25,1385.75,1385.75,7445.0
4188,2019-04-22,1387.95,1400.0,1361.65,1393.15,1393.15,21752.0
4187,2019-04-18,1378.85,1391.0,1368.0,1373.15,1373.15,8576.0
4186,2019-04-16,1385.35,1395.7,1375.6,1382.9,1382.9,3552.0
4185,2019-04-15,1382.05,1405.0,1376.2,1385.25,1385.25,10781.0
4184,2019-04-12,1388.95,1403.0,1375.05,1395.85,1395.85,12890.0
4183,2019-04-11,1395.85,1400.0,1377.05,1389.35,1389.35,12013.0
4182,2019-04-10,1392.1,1415.6,1391.0,1398.9,1398.9,10114.0
4181,2019-04-09,1398.0,1415.0,1356.35,1395.05,1395.05,9910.0
4180,2019-04-08,1433.0,1433.0,1372.25,1379.25,1379.25,8970.0
4179,2019-04-05,1419.45,1421.0,1388.0,1411.55,1411.55,14402.0
4178,2019-04-04,1410.0,1429.65,1375.0,1413.6,1413.6,11647.0
4177,2019-04-03,1439.0,1448.75,1401.1,1408.6,1408.6,4485.0
