,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,69.95,71.0,68.3,68.65,68.65,17316585.0
4873,2019-06-13,68.2,69.25,67.8,68.7,68.7,9467562.0
4872,2019-06-12,69.95,70.65,67.95,68.2,68.2,11129594.0
4871,2019-06-11,68.3,70.15,67.75,69.7,69.7,10633415.0
4870,2019-06-10,68.75,69.65,67.85,68.2,68.2,8628229.0
4869,2019-06-07,68.5,70.5,67.35,68.5,68.5,14654515.0
4868,2019-06-06,71.0,71.8,67.7,68.55,68.55,14182515.0
4867,2019-06-04,71.9,73.0,70.7,70.9,70.9,15631724.0
4866,2019-06-03,69.8,72.25,69.55,71.55,71.55,11879171.0
4865,2019-05-31,71.85,71.9,68.85,70.2,70.2,11824619.0
4864,2019-05-30,71.2,72.15,70.6,71.65,71.65,9835370.0
4863,2019-05-29,72.4,72.4,70.45,70.95,70.95,8006184.0
4862,2019-05-28,73.5,73.7,71.0,72.6,72.6,21729849.0
4861,2019-05-27,69.1,73.25,68.65,72.7,72.7,35842146.0
4860,2019-05-24,66.8,69.45,66.75,69.0,69.0,10037711.0
4859,2019-05-23,67.2,70.25,66.0,66.55,66.55,22390610.0
4858,2019-05-22,63.6,65.6,62.15,65.25,65.25,12714321.0
4857,2019-05-21,65.95,66.15,62.85,63.25,63.25,10096863.0
4856,2019-05-20,64.5,66.75,63.95,65.95,65.95,15063392.0
4855,2019-05-17,62.0,62.65,61.2,62.1,62.1,8777033.0
4854,2019-05-16,60.6,62.7,60.5,62.2,62.2,13662204.0
4853,2019-05-15,63.85,64.3,60.25,60.6,60.6,11735485.0
4852,2019-05-14,60.25,64.5,59.8,63.95,63.95,25941657.0
4851,2019-05-13,62.6,63.0,59.2,59.85,59.85,10847294.0
4850,2019-05-10,62.7,63.5,61.85,63.15,63.15,11398050.0
4849,2019-05-09,61.8,62.85,61.55,62.45,62.45,13936931.0
4848,2019-05-08,63.9,63.9,61.55,61.75,61.75,15303026.0
4847,2019-05-07,66.1,66.7,63.35,63.8,63.8,8647716.0
4846,2019-05-06,68.35,68.35,65.65,65.9,65.9,9020087.0
4845,2019-05-03,69.7,70.6,68.4,68.65,68.65,8390333.0
4844,2019-05-02,70.95,71.65,69.35,69.6,69.6,10325875.0
4843,2019-04-30,70.55,72.2,69.4,70.8,70.8,14315500.0
4842,2019-04-26,72.35,73.2,70.55,71.25,71.25,9643069.0
4841,2019-04-25,73.85,75.15,71.7,72.25,72.25,17295969.0
4840,2019-04-24,73.4,74.35,72.9,73.45,73.45,7705263.0
4839,2019-04-23,73.0,74.55,72.8,73.5,73.5,6018400.0
4838,2019-04-22,75.85,75.85,73.0,73.15,73.15,6499049.0
4837,2019-04-18,78.0,78.0,75.75,76.05,76.05,7161272.0
4836,2019-04-16,77.5,78.85,76.2,76.7,76.7,11087979.0
4835,2019-04-15,78.1,78.25,76.65,77.3,77.3,11053354.0
4834,2019-04-12,74.7,78.3,74.5,77.7,77.7,43815259.0
4833,2019-04-11,72.1,74.8,71.3,74.35,74.35,24219236.0
4832,2019-04-10,71.75,73.3,71.7,72.2,72.2,10842680.0
4831,2019-04-09,73.0,73.15,71.1,71.65,71.65,17283821.0
4830,2019-04-08,72.9,73.85,72.1,72.6,72.6,13220181.0
4829,2019-04-05,73.8,74.6,72.4,72.7,72.7,12657002.0
4828,2019-04-04,74.3,74.95,72.0,73.2,73.2,13697381.0
4827,2019-04-03,75.4,76.15,73.0,73.85,73.85,19628856.0
4826,2019-04-02,76.25,77.15,73.7,74.7,74.7,20278983.0
4825,2019-04-01,75.45,77.85,74.8,75.95,75.95,25156745.0
4824,2019-03-28,72.1,72.4,70.85,71.55,71.55,45326931.0
4823,2019-03-27,72.0,72.75,70.65,71.3,71.3,26105730.0
4822,2019-03-26,69.95,72.7,69.75,71.05,71.05,35481702.0
4821,2019-03-25,67.1,70.1,66.55,69.1,69.1,26125367.0
4820,2019-03-22,68.75,69.35,66.9,67.55,67.55,12856428.0
4819,2019-03-20,68.1,72.4,68.1,68.55,68.55,34728590.0
4818,2019-03-19,67.5,68.45,67.15,68.1,68.1,10369254.0
4817,2019-03-18,68.2,69.15,66.45,67.15,67.15,11419966.0
4816,2019-03-15,66.25,68.05,66.1,67.8,67.8,6878337.0
4815,2019-03-14,67.75,68.65,66.6,67.25,67.25,5767075.0
4814,2019-03-13,70.05,70.2,67.75,68.0,68.0,5268092.0
4813,2019-03-12,70.45,71.35,69.55,69.8,69.8,7526822.0
4812,2019-03-11,67.7,70.6,67.2,70.05,70.05,12701280.0
4811,2019-03-08,67.9,67.9,66.5,67.1,67.1,9335968.0
4810,2019-03-07,69.2,69.25,67.75,68.1,68.1,4192540.0
4809,2019-03-06,67.65,70.15,67.5,69.1,69.1,13004838.0
4808,2019-03-05,67.75,68.0,66.4,67.3,67.3,9082342.0
4807,2019-03-01,64.8,66.6,64.65,66.15,66.15,9309674.0
4806,2019-02-28,65.0,65.15,64.1,64.45,64.45,14167452.0
4805,2019-02-27,65.1,66.0,64.6,64.95,64.95,6764048.0
4804,2019-02-26,63.55,65.6,62.2,64.85,64.85,6564549.0
4803,2019-02-25,63.95,64.8,63.1,64.35,64.35,4015688.0
4802,2019-02-22,62.9,64.15,62.45,63.65,63.65,4784997.0
4801,2019-02-21,63.0,63.1,62.35,62.95,62.95,3138802.0
4800,2019-02-20,62.3,63.15,62.0,62.75,62.75,5089826.0
4799,2019-02-19,61.1,62.8,61.1,62.05,62.05,4229035.0
4798,2019-02-18,61.05,61.6,60.9,61.15,61.15,6749057.0
4797,2019-02-15,61.95,62.0,60.7,61.05,61.05,7013360.0
4796,2019-02-14,60.25,62.8,60.15,62.3,62.3,7971447.0
4795,2019-02-12,62.5,62.6,61.5,61.8,61.8,5528900.0
4794,2019-02-11,61.2,63.25,61.0,62.75,61.95,9511824.0
4793,2019-02-08,62.25,63.25,61.8,62.25,61.4564,8295240.0
4792,2019-02-07,61.0,62.5,60.6,62.2,61.407,8069603.0
4791,2019-02-06,59.35,61.15,57.6,60.8,60.0249,19423985.0
4790,2019-02-05,64.95,65.15,56.2,58.85,58.0997,48929404.0
4789,2019-02-04,64.55,65.3,63.1,64.95,64.1219,6807730.0
4788,2019-02-01,64.95,65.7,63.65,64.35,63.5296,6031620.0
4787,2019-01-31,64.5,65.0,63.7,64.7,63.8751,12325961.0
4786,2019-01-30,64.95,64.95,63.6,63.9,63.0853,7509058.0
4785,2019-01-29,63.2,65.35,63.2,64.4,63.579,8758306.0
4784,2019-01-28,66.5,66.75,63.45,63.75,62.9373,8737901.0
4783,2019-01-25,69.15,69.5,66.05,66.4,65.5535,7134722.0
4782,2019-01-24,69.25,70.1,68.65,69.05,68.1697,6289323.0
4781,2019-01-23,71.25,71.6,69.05,69.35,68.4659,5371992.0
4780,2019-01-22,70.95,71.55,69.95,71.2,70.2923,6256263.0
4779,2019-01-21,71.1,72.25,70.7,70.95,70.0455,10341030.0
4778,2019-01-18,70.4,71.15,69.7,70.95,70.0455,17158253.0
4777,2019-01-17,68.6,70.4,68.0,70.15,69.2557,9573414.0
4776,2019-01-16,68.45,69.6,68.15,68.35,67.4786,5484091.0
