,Date,Open,High,Low,Close,Adj Close,Volume
3762,2019-06-14,257.3,258.55,247.0,248.3,248.3,3787962.0
3761,2019-06-13,256.9,258.7,250.05,257.0,257.0,4247222.0
3760,2019-06-12,269.9,271.35,256.05,257.9,257.9,4531522.0
3759,2019-06-11,266.75,272.175,262.75,268.55,268.55,7107350.0
3758,2019-06-10,265.2,266.85,262.5,265.175,265.175,3235478.0
3757,2019-06-07,272.975,273.0,262.5,264.425,264.425,5270454.0
3756,2019-06-06,272.0,276.5,270.55,272.25,272.25,4672504.0
3755,2019-06-04,278.65,280.25,270.0,270.325,270.325,4738490.0
3754,2019-06-03,273.0,279.4,270.5,276.7,276.7,4095406.0
3753,2019-05-31,272.0,273.5,269.175,270.95,270.95,1755052.0
3752,2019-05-30,271.5,275.35,270.5,271.45,271.45,4315506.0
3751,2019-05-29,270.55,274.675,269.3,270.85,270.85,3711044.0
3750,2019-05-28,275.0,278.9,266.825,270.55,270.55,6397988.0
3749,2019-05-27,267.3,276.725,265.95,275.45,275.45,5533128.0
3748,2019-05-24,255.925,267.975,255.775,267.3,267.3,6214188.0
3747,2019-05-23,262.975,263.0,254.25,255.3,255.3,3678966.0
3746,2019-05-22,260.425,261.975,258.0,259.175,259.175,2192792.0
3745,2019-05-21,264.5,265.925,258.825,259.425,259.425,3075850.0
3744,2019-05-20,266.5,266.5,254.375,261.525,261.525,5642580.0
3743,2019-05-17,261.75,262.5,257.85,260.375,260.375,4112592.0
3742,2019-05-16,265.5,266.5,259.6,262.775,262.775,3848124.0
3741,2019-05-15,266.225,268.45,262.525,265.3,265.3,2609224.0
3740,2019-05-14,262.6,268.975,259.1,264.7,264.7,3463746.0
3739,2019-05-13,269.0,270.475,260.275,262.6,262.6,2362374.0
3738,2019-05-10,266.0,272.425,265.7,269.475,269.475,4127272.0
3737,2019-05-09,272.5,273.95,261.1,265.625,265.625,7588682.0
3736,2019-05-08,277.5,280.0,271.65,272.85,272.85,4941092.0
3735,2019-05-07,274.25,279.475,272.625,275.45,275.45,5387214.0
3734,2019-05-06,274.0,277.5,270.075,271.675,271.675,5272432.0
3733,2019-05-03,279.0,281.5,274.6,275.525,275.525,8856308.0
3732,2019-05-02,296.95,296.95,277.0,278.925,278.925,10658318.0
3731,2019-04-30,309.9,309.9,292.7,296.75,296.75,7935554.0
3730,2019-04-26,314.0,314.0,305.55,310.3,310.3,8819548.0
3729,2019-04-25,310.525,311.85,307.25,310.1,310.1,4641322.0
3728,2019-04-24,308.5,308.55,304.75,306.7,306.7,2798844.0
3727,2019-04-23,309.0,309.55,304.8,306.85,306.85,3874316.0
3726,2019-04-22,307.75,307.75,303.325,303.875,303.875,1981688.0
3725,2019-04-18,312.0,312.45,306.2,307.6,307.6,1609038.0
3724,2019-04-16,312.125,313.175,309.9,311.25,311.25,1429346.0
3723,2019-04-15,314.525,315.475,309.55,311.175,311.175,1187214.0
3722,2019-04-12,314.7,316.775,312.25,314.5,314.5,1347294.0
3721,2019-04-11,314.375,317.0,311.8,314.8,314.8,1910560.0
3720,2019-04-10,309.95,318.375,306.9,313.9,313.9,4839682.0
3719,2019-04-09,303.5,309.95,301.775,309.4,309.4,3248518.0
3718,2019-04-08,308.2,308.25,302.75,303.35,303.35,1538652.0
3717,2019-04-05,307.1,307.875,305.05,305.75,305.75,1244644.0
3716,2019-04-04,303.5,307.225,302.725,306.375,306.375,1233466.0
3715,2019-04-03,308.025,309.25,303.3,303.95,303.95,1263426.0
3714,2019-04-02,310.5,312.75,306.325,307.6,307.6,1472882.0
3713,2019-04-01,308.0,311.5,306.25,309.75,309.75,2404756.0
3712,2019-03-28,300.0,304.375,296.05,303.475,303.475,4625466.0
3711,2019-03-27,307.35,308.75,300.0,301.15,301.15,2553814.0
3710,2019-03-26,307.45,307.95,305.2,305.7,305.7,1679568.0
3709,2019-03-25,307.1,308.0,304.1,305.125,305.125,3148742.0
3708,2019-03-22,315.0,315.0,308.0,308.475,308.475,1521608.0
3707,2019-03-20,315.45,318.6,313.175,314.075,314.075,2939410.0
3706,2019-03-19,316.5,316.625,311.8,314.7,314.7,1649138.0
3705,2019-03-18,312.5,316.0,310.1,314.425,314.425,1905030.0
3704,2019-03-15,310.05,314.45,309.0,311.5,311.5,1950202.0
3703,2019-03-14,309.0,312.0,305.8,308.75,308.75,2086494.0
3702,2019-03-13,318.475,318.475,308.0,309.275,309.275,2261018.0
3701,2019-03-12,312.5,320.975,312.0,318.175,318.175,4217094.0
3700,2019-03-11,307.5,312.075,307.425,311.5,311.5,1605956.0
3699,2019-03-08,306.5,309.75,305.8,307.4,307.4,2711610.0
3698,2019-03-07,303.525,310.675,303.525,305.775,305.775,9733460.0
3697,2019-03-06,315.2,317.2,312.125,313.05,313.05,2315916.0
3696,2019-03-05,316.6,316.625,311.75,313.45,313.45,2515868.0
3695,2019-03-01,312.0,317.2,311.5,316.45,316.45,1697140.0
3694,2019-02-28,310.05,314.4,308.875,310.725,310.725,3454658.0
3693,2019-02-27,311.5,314.7,306.25,308.2,308.2,2426426.0
3692,2019-02-26,307.35,310.875,303.65,309.8,309.8,1861648.0
3691,2019-02-25,311.45,311.675,307.775,308.925,308.925,994254.0
3690,2019-02-22,311.2,313.9,309.3,310.6,310.6,1408220.0
3689,2019-02-21,310.1,312.45,308.7,310.825,310.825,1578606.0
3688,2019-02-20,308.4,310.5,305.6,309.7,309.7,2093984.0
3687,2019-02-19,304.2,310.35,302.6,308.075,308.075,2789238.0
3686,2019-02-18,310.95,312.95,302.0,302.925,302.925,4083386.0
3685,2019-02-15,319.95,321.0,305.425,307.625,307.625,2908320.0
3684,2019-02-14,319.225,322.2,317.05,320.925,320.925,1895160.0
3683,2019-02-12,321.5,326.7,318.4,321.775,321.775,2613640.0
3682,2019-02-11,327.45,327.5,320.575,322.1,322.1,1461566.0
3681,2019-02-08,328.0,331.85,323.1,327.15,327.15,2066194.0
3680,2019-02-07,317.475,329.4,316.575,327.8,327.8,3229060.0
3679,2019-02-06,325.3,326.275,314.05,317.275,317.275,2359142.0
3678,2019-02-05,327.75,329.65,323.0,324.65,324.65,1227120.0
3677,2019-02-04,334.05,334.05,325.1,326.225,326.225,1862736.0
3676,2019-02-01,320.5,334.75,320.5,333.125,333.125,3040754.0
3675,2019-01-31,325.0,327.675,323.0,324.15,324.15,1906104.0
3674,2019-01-30,325.0,327.325,321.775,323.05,323.05,3730288.0
3673,2019-01-29,324.0,327.375,322.0,324.1,324.1,3482528.0
3672,2019-01-28,332.5,333.25,320.525,324.525,324.525,3619544.0
3671,2019-01-25,340.5,341.225,328.15,332.35,332.35,16858364.0
3670,2019-01-24,336.85,336.85,332.625,335.05,335.05,3029878.0
3669,2019-01-23,336.75,338.6,333.025,335.325,335.325,4858128.0
3668,2019-01-22,332.35,335.95,330.05,334.3,334.3,2370580.0
3667,2019-01-21,327.4,335.65,327.15,331.5,331.5,3652816.0
