,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,2706.1001,2722.45,2700.1001,2705.55,2705.55,1740.0
4223,2019-06-13,2705.0,2743.0,2682.45,2719.1499,2719.1499,1451.0
4222,2019-06-12,2721.05,2721.05,2680.2,2701.1001,2701.1001,1146.0
4221,2019-06-11,2726.8999,2726.8999,2692.55,2701.6499,2701.6499,1603.0
4220,2019-06-10,2687.3501,2740.0,2655.0,2716.45,2716.45,2718.0
4219,2019-06-07,2700.0,2716.0,2651.0,2668.8501,2668.8501,1242.0
4218,2019-06-06,2730.0,2737.25,2665.0,2682.7,2682.7,1902.0
4217,2019-06-04,2748.0,2748.0,2644.7,2662.55,2662.55,15925.0
4216,2019-06-03,2650.2,2750.0,2650.2,2696.8,2696.8,15187.0
4215,2019-05-31,2709.95,2800.0,2644.95,2710.55,2710.55,8144.0
4214,2019-05-30,2735.25,2735.25,2680.0,2687.3501,2687.3501,1932.0
4213,2019-05-29,2722.0,2760.0,2690.8999,2703.8999,2703.8999,2391.0
4212,2019-05-28,2797.8999,2797.8999,2700.0,2748.95,2748.95,4108.0
4211,2019-05-27,2699.6499,2780.0,2699.6499,2752.6001,2752.6001,3566.0
4210,2019-05-24,2705.95,2730.0,2697.0,2699.7,2699.7,1975.0
4209,2019-05-23,2700.1499,2749.0,2700.0,2702.3501,2702.3501,21511.0
4208,2019-05-22,2700.45,2733.45,2691.55,2702.75,2702.75,2829.0
4207,2019-05-21,2733.0,2759.6001,2694.0,2699.1001,2699.1001,2660.0
4206,2019-05-20,2850.0,2850.0,2700.0,2733.95,2733.95,6660.0
4205,2019-05-17,2825.0,2849.95,2680.0,2714.3,2714.3,17685.0
4204,2019-05-16,2912.1499,2962.8501,2900.0,2915.3999,2915.3999,1122.0
4203,2019-05-15,2945.45,2976.0,2931.0,2932.8,2932.8,640.0
4202,2019-05-14,2932.0,2977.95,2932.0,2951.5,2951.5,591.0
4201,2019-05-13,3027.1001,3027.1001,2944.1001,2958.45,2958.45,1099.0
4200,2019-05-10,2975.0,3059.95,2975.0,3006.75,3006.75,892.0
4199,2019-05-09,3054.0,3054.0,2982.05,3001.8999,3001.8999,997.0
4198,2019-05-08,2995.75,3002.0,2971.0,2997.75,2997.75,973.0
4197,2019-05-07,3117.0,3117.0,2952.0,3028.6499,3028.6499,8761.0
4196,2019-05-06,3155.0,3155.0,3075.0,3093.75,3093.75,1877.0
4195,2019-05-03,3222.05,3222.05,3139.95,3161.8501,3161.8501,1576.0
4194,2019-05-02,3201.0,3302.2,3201.0,3222.0,3222.0,1280.0
