,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,114.9,116.6,112.7,113.6,113.6,704944.0
4873,2019-06-13,117.8,117.9,110.95,114.65,114.65,1022937.0
4872,2019-06-12,120.05,122.2,117.4,118.4,118.4,711013.0
4871,2019-06-11,123.05,123.8,118.75,119.85,119.85,976015.0
4870,2019-06-10,125.1,126.7,121.0,123.05,123.05,629965.0
4869,2019-06-07,125.0,127.3,122.65,123.6,123.6,834776.0
4868,2019-06-06,128.95,129.25,123.3,124.65,124.65,829078.0
4867,2019-06-04,124.9,132.0,124.55,129.7,129.7,1689740.0
4866,2019-06-03,128.0,128.0,123.55,125.45,125.45,1176250.0
4865,2019-05-31,131.6,132.45,126.0,127.4,127.4,1330451.0
4864,2019-05-30,127.6,134.4,127.1,131.4,131.4,2034878.0
4863,2019-05-29,131.95,131.95,125.8,127.95,127.95,1400827.0
4862,2019-05-28,136.2,136.4,129.0,132.2,132.2,1676990.0
4861,2019-05-27,123.5,138.7,122.0,135.55,135.55,5122054.0
4860,2019-05-24,116.7,124.0,115.1,123.1,123.1,2300479.0
4859,2019-05-23,117.4,122.5,115.0,115.8,115.8,1598106.0
4858,2019-05-22,115.5,116.95,113.75,114.95,114.95,724495.0
4857,2019-05-21,118.8,119.85,114.0,115.45,115.45,1022232.0
4856,2019-05-20,114.25,120.55,112.6,117.85,117.85,1889874.0
4855,2019-05-17,110.7,113.25,109.2,109.9,109.9,767470.0
4854,2019-05-16,110.9,111.7,107.25,110.1,110.1,876561.0
4853,2019-05-15,111.3,114.4,109.25,110.2,110.2,1090055.0
4852,2019-05-14,109.85,114.0,106.2,110.85,110.85,1536785.0
4851,2019-05-13,116.5,117.5,109.15,109.85,109.85,1120270.0
4850,2019-05-10,118.1,119.75,116.0,117.05,117.05,796178.0
4849,2019-05-09,118.0,121.25,117.1,117.75,117.75,894850.0
4848,2019-05-08,121.05,124.3,116.7,119.35,119.35,1995002.0
4847,2019-05-07,131.0,132.0,120.6,121.45,121.45,1473147.0
4846,2019-05-06,126.7,132.55,125.0,129.9,129.9,2620752.0
4845,2019-05-03,135.0,135.0,125.6,126.85,126.85,4155232.0
4844,2019-05-02,112.85,123.35,112.5,120.3,120.3,3020448.0
4843,2019-04-30,124.0,124.0,102.85,112.55,112.55,5221385.0
4842,2019-04-26,127.9,128.2,123.55,124.85,124.85,672448.0
4841,2019-04-25,125.85,129.4,124.65,126.9,126.9,1381813.0
4840,2019-04-24,123.2,126.4,123.2,125.65,125.65,788399.0
4839,2019-04-23,124.4,127.2,122.55,122.95,122.95,952196.0
4838,2019-04-22,129.9,129.9,123.25,124.1,124.1,978494.0
4837,2019-04-18,135.2,135.8,124.0,130.05,130.05,1699460.0
4836,2019-04-16,137.8,137.8,134.1,135.25,135.25,1396219.0
4835,2019-04-15,137.45,139.25,135.55,136.75,136.75,1417797.0
4834,2019-04-12,135.1,139.8,133.6,136.95,136.95,1947504.0
4833,2019-04-11,136.4,137.1,134.3,135.25,135.25,853208.0
4832,2019-04-10,135.5,139.9,135.0,136.4,136.4,1448738.0
4831,2019-04-09,137.2,137.2,133.6,136.1,136.1,1056766.0
4830,2019-04-08,141.05,142.65,135.25,137.3,137.3,1460977.0
4829,2019-04-05,143.75,144.5,138.65,140.65,140.65,1727750.0
4828,2019-04-04,138.45,146.65,138.0,143.05,143.05,7135539.0
