,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,386.25,390.6,384.15,386.5,386.5,3035821.0
4873,2019-06-13,384.9,390.5,383.0,388.8,388.8,6912721.0
4872,2019-06-12,388.0,390.5,379.45,381.0,381.0,5203535.0
4871,2019-06-11,388.55,393.5,379.15,387.0,387.0,6327189.0
4870,2019-06-10,399.25,401.75,386.3,389.65,389.65,5442044.0
4869,2019-06-07,394.0,404.65,389.6,403.0,403.0,5527623.0
4868,2019-06-06,414.0,414.2,395.5,397.05,397.05,7635450.0
4867,2019-06-04,415.4,415.9,406.75,408.35,408.35,3727312.0
4866,2019-06-03,417.5,419.9,411.15,417.1,417.1,7021983.0
4865,2019-05-31,414.15,421.7,406.2,409.35,409.35,13817796.0
4864,2019-05-30,401.0,409.7,400.05,407.65,407.65,7050963.0
4863,2019-05-29,402.0,402.95,393.55,399.15,399.15,4251528.0
4862,2019-05-28,402.0,409.35,397.1,401.95,401.95,19910596.0
4861,2019-05-27,393.0,403.85,388.85,402.0,402.0,5111371.0
4860,2019-05-24,395.0,398.9,386.8,395.45,395.45,9903134.0
4859,2019-05-23,389.9,411.45,382.0,384.35,384.35,12958801.0
4858,2019-05-22,378.0,388.9,376.0,384.25,384.25,7762830.0
4857,2019-05-21,395.5,397.35,368.3,374.45,374.45,8378443.0
4856,2019-05-20,390.0,396.65,383.5,391.8,391.8,5197867.0
4855,2019-05-17,372.0,378.85,366.55,376.2,376.2,6425893.0
4854,2019-05-16,356.0,378.85,351.5,375.55,375.55,6605024.0
4853,2019-05-15,359.0,368.25,356.85,359.55,359.55,6322474.0
4852,2019-05-14,354.1,360.8,348.0,358.6,358.6,4999475.0
4851,2019-05-13,362.0,367.95,352.85,355.1,355.1,3810145.0
4850,2019-05-10,367.05,367.5,359.8,362.95,362.95,4116360.0
4849,2019-05-09,379.6,379.6,366.55,368.05,368.05,4513542.0
4848,2019-05-08,378.05,383.4,373.1,379.8,379.8,3801308.0
4847,2019-05-07,388.45,388.45,372.1,378.85,378.85,7497322.0
4846,2019-05-06,380.5,392.0,380.1,390.35,390.35,9270990.0
4845,2019-05-03,384.95,386.5,378.55,380.75,380.75,5369514.0
4844,2019-05-02,380.1,382.9,376.0,378.45,378.45,3848974.0
4843,2019-04-30,373.35,383.8,369.55,379.85,379.85,9814929.0
4842,2019-04-26,357.8,372.3,357.8,371.05,371.05,9284106.0
4841,2019-04-25,348.95,359.45,347.6,358.25,358.25,9780157.0
4840,2019-04-24,340.1,349.9,340.1,349.0,349.0,6936714.0
4839,2019-04-23,338.0,342.35,333.45,336.35,336.35,8348582.0
4838,2019-04-22,353.8,354.4,339.0,340.1,340.1,6921422.0
4837,2019-04-18,358.0,365.0,353.8,362.9,362.9,4787566.0
4836,2019-04-16,360.1,361.95,355.25,357.5,357.5,4265946.0
4835,2019-04-15,361.9,363.0,356.7,358.4,358.4,2239031.0
4834,2019-04-12,363.9,367.8,358.15,361.15,361.15,5118046.0
4833,2019-04-11,358.5,364.0,356.0,361.7,361.7,6301405.0
4832,2019-04-10,356.0,360.0,353.1,357.75,357.75,4116880.0
