,Date,Open,High,Low,Close,Adj Close,Volume
2825,2019-06-14,250.1,257.9,247.0,250.8,250.8,42284.0
2824,2019-06-13,251.2,252.35,248.85,250.1,250.1,19328.0
2823,2019-06-12,252.0,253.85,251.15,252.15,252.15,33478.0
2822,2019-06-11,253.5,256.0,253.5,254.55,254.55,126201.0
2821,2019-06-10,255.9,257.0,249.0,251.75,251.75,82760.0
2820,2019-06-07,247.5,254.3,245.1,249.5,249.5,41460.0
2819,2019-06-06,255.0,258.4,245.0,247.1,247.1,122964.0
2818,2019-06-04,250.0,253.85,249.2,252.1,252.1,24777.0
2817,2019-06-03,248.0,257.25,248.0,251.75,251.75,32085.0
2816,2019-05-31,253.9,255.4,248.0,251.35,251.35,29384.0
2815,2019-05-30,250.5,259.0,250.15,254.0,254.0,38488.0
2814,2019-05-29,259.7,259.7,247.25,249.9,249.9,40285.0
2813,2019-05-28,252.75,266.5,252.05,259.85,259.85,111874.0
2812,2019-05-27,254.75,268.0,248.55,252.2,252.2,136978.0
2811,2019-05-24,240.1,255.9,240.1,254.45,254.45,106467.0
2810,2019-05-23,237.45,249.0,236.0,242.35,242.35,103717.0
2809,2019-05-22,243.0,246.55,233.45,238.7,238.7,41273.0
2808,2019-05-21,246.45,249.25,244.0,245.6,245.6,26579.0
2807,2019-05-20,237.2,249.25,235.55,245.8,245.8,61308.0
2806,2019-05-17,228.7,235.95,228.7,232.05,232.05,26445.0
2805,2019-05-16,228.0,230.0,227.65,228.95,228.95,31745.0
2804,2019-05-15,229.4,234.0,226.0,226.65,226.65,29877.0
2803,2019-05-14,226.0,229.3,224.0,226.7,226.7,35762.0
2802,2019-05-13,237.0,238.9,226.0,229.4,229.4,50897.0
2801,2019-05-10,239.45,243.9,234.0,235.8,235.8,83910.0
2800,2019-05-09,224.25,239.75,224.25,235.7,235.7,172344.0
2799,2019-05-08,235.0,240.55,225.1,227.95,227.95,374445.0
2798,2019-05-07,223.0,230.95,222.3,229.65,229.65,79732.0
2797,2019-05-06,222.4,231.85,219.0,222.1,222.1,45523.0
2796,2019-05-03,226.95,227.6,222.05,224.85,224.85,12982.0
2795,2019-05-02,221.95,233.35,219.55,224.35,224.35,37605.0
2794,2019-04-30,228.0,228.5,219.35,221.95,221.95,46595.0
2793,2019-04-26,231.8,232.15,228.05,229.25,229.25,9630.0
2792,2019-04-25,234.7,235.3,229.25,230.6,230.6,27651.0
2791,2019-04-24,239.05,241.0,228.2,233.75,233.75,40361.0
2790,2019-04-23,239.9,245.0,238.55,239.5,239.5,20503.0
2789,2019-04-22,245.9,245.9,237.35,239.85,239.85,41735.0
2788,2019-04-18,248.0,248.0,239.05,244.75,244.75,31444.0
2787,2019-04-16,250.5,250.7,245.05,246.8,246.8,31341.0
2786,2019-04-15,249.4,251.0,247.0,248.65,248.65,40188.0
2785,2019-04-12,245.0,248.75,244.3,246.1,246.1,29524.0
2784,2019-04-11,250.0,253.9,242.55,243.65,243.65,48264.0
2783,2019-04-10,247.0,252.5,247.0,250.35,250.35,83482.0
2782,2019-04-09,247.45,251.0,246.05,248.15,248.15,65668.0
2781,2019-04-08,247.75,253.65,241.75,245.05,245.05,133685.0
2780,2019-04-05,244.05,248.5,243.4,246.1,246.1,50347.0
2779,2019-04-04,248.8,252.1,241.1,243.1,243.1,75357.0
2778,2019-04-03,252.35,257.25,245.0,247.4,247.4,174934.0
2777,2019-04-02,256.9,263.0,249.3,250.8,250.8,252032.0
2776,2019-04-01,252.7,258.0,251.75,254.3,254.3,84289.0
2775,2019-03-28,249.85,250.15,241.05,242.75,242.75,55359.0
2774,2019-03-27,246.9,248.8,243.2,247.05,247.05,109281.0
2773,2019-03-26,243.0,253.7,242.0,245.8,245.8,197374.0
2772,2019-03-25,242.15,245.95,240.0,241.95,241.95,88744.0
2771,2019-03-22,244.95,259.0,242.5,247.7,247.7,319619.0
2770,2019-03-20,242.4,254.8,240.0,245.85,245.85,341182.0
2769,2019-03-19,241.55,248.95,240.5,242.4,242.4,271629.0
2768,2019-03-18,227.0,259.0,226.25,244.6,244.6,1321470.0
2767,2019-03-15,229.5,232.1,226.25,226.65,226.65,55348.0
2766,2019-03-14,231.75,231.75,226.25,229.2,229.2,82367.0
2765,2019-03-13,231.35,234.85,225.05,231.05,231.05,166456.0
2764,2019-03-12,221.1,232.4,221.1,230.6,230.6,242147.0
2763,2019-03-11,223.1,225.35,217.55,220.05,220.05,111708.0
2762,2019-03-08,221.0,234.0,215.0,223.7,223.7,652528.0
2761,2019-03-07,208.25,222.0,206.0,220.0,220.0,439670.0
2760,2019-03-06,200.5,213.95,200.5,207.9,207.9,263779.0
2759,2019-03-05,205.1,207.0,199.0,200.5,200.5,113707.0
2758,2019-03-01,199.0,203.85,197.25,201.8,201.8,61605.0
