,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,246.85,248.65,241.5,245.6,245.6,2054078.0
4223,2019-06-13,246.2,248.15,244.15,245.8,245.8,1508497.0
4222,2019-06-12,251.0,253.85,245.0,246.2,246.2,2014255.0
4221,2019-06-11,247.2,252.7,241.5,250.8,250.8,3836151.0
4220,2019-06-10,244.9,250.75,241.1,247.6,247.6,3582549.0
4219,2019-06-07,244.5,245.5,241.0,242.7,242.7,4955644.0
4218,2019-06-06,256.5,258.9,245.0,245.7,245.7,2941237.0
4217,2019-06-04,253.0,260.25,250.9,257.3,257.3,2303202.0
4216,2019-06-03,249.0,254.7,245.45,252.85,252.85,2657220.0
4215,2019-05-31,256.85,256.85,244.5,248.0,248.0,5127827.0
4214,2019-05-30,264.85,265.35,253.6,256.85,256.85,4298962.0
4213,2019-05-29,264.0,270.7,257.55,263.75,263.75,10126701.0
4212,2019-05-28,256.25,263.95,250.7,258.25,258.25,24803528.0
4211,2019-05-27,254.6,259.75,253.0,255.0,255.0,2755381.0
4210,2019-05-24,249.05,256.8,247.65,252.8,252.8,3132312.0
4209,2019-05-23,253.0,255.7,248.7,250.3,250.3,4433569.0
4208,2019-05-22,244.4,251.65,242.1,250.35,250.35,3185013.0
4207,2019-05-21,251.7,255.0,243.0,244.75,244.75,3941548.0
4206,2019-05-20,251.05,257.45,248.0,250.55,250.55,3865005.0
4205,2019-05-17,257.7,260.2,247.2,249.65,249.65,4218861.0
4204,2019-05-16,260.2,261.0,241.75,257.7,257.7,8000269.0
4203,2019-05-15,263.0,264.55,255.1,260.45,260.45,2946302.0
4202,2019-05-14,268.0,269.0,259.4,260.65,260.65,2820073.0
4201,2019-05-13,279.65,284.05,265.0,268.85,268.85,3848880.0
4200,2019-05-10,288.0,294.9,286.65,289.25,289.25,917658.0
4199,2019-05-09,284.25,292.45,282.3,290.55,290.55,2109439.0
4198,2019-05-08,298.9,300.0,284.65,286.6,286.6,2044037.0
4197,2019-05-07,307.0,310.0,297.25,299.2,299.2,1434627.0
4196,2019-05-06,293.0,311.45,292.85,307.45,307.45,4497822.0
4195,2019-05-03,312.5,318.8,300.05,303.85,303.85,2044853.0
4194,2019-05-02,323.85,324.3,313.2,314.9,314.9,1091370.0
4193,2019-04-30,328.0,328.85,320.5,325.45,325.45,1221560.0
4192,2019-04-26,325.0,331.25,324.95,328.0,328.0,1025254.0
4191,2019-04-25,329.55,331.35,323.0,323.95,323.95,1722880.0
4190,2019-04-24,329.6,330.8,326.1,329.55,329.55,807639.0
4189,2019-04-23,332.0,333.4,327.85,328.75,328.75,512716.0
4188,2019-04-22,332.0,335.8,329.35,330.7,330.7,459004.0
4187,2019-04-18,339.65,340.4,334.25,336.5,336.5,896846.0
4186,2019-04-16,341.05,342.8,336.9,337.9,337.9,951058.0
4185,2019-04-15,341.55,344.2,338.8,341.0,341.0,508153.0
4184,2019-04-12,343.25,347.15,341.2,341.9,341.9,501500.0
4183,2019-04-11,344.9,346.35,342.45,345.1,345.1,590665.0
4182,2019-04-10,340.6,348.9,339.25,343.4,343.4,998246.0
4181,2019-04-09,342.5,344.5,339.05,341.6,341.6,445165.0
4180,2019-04-08,346.0,350.0,340.3,342.45,342.45,1622334.0
4179,2019-04-05,346.15,348.95,343.4,345.4,345.4,749516.0
4178,2019-04-04,339.7,346.0,337.45,344.4,344.4,554711.0
4177,2019-04-03,345.8,346.25,337.55,338.75,338.75,609970.0
4176,2019-04-02,346.3,348.7,342.3,344.05,344.05,778319.0
4175,2019-04-01,348.95,352.6,343.15,344.25,344.25,1190335.0
4174,2019-03-28,332.0,337.8,330.5,335.95,335.95,770606.0
4173,2019-03-27,336.0,341.7,329.15,330.0,330.0,964560.0
4172,2019-03-26,332.35,336.9,331.7,335.95,335.95,860971.0
4171,2019-03-25,332.65,334.0,325.05,332.1,332.1,627229.0
4170,2019-03-22,337.9,342.35,330.75,332.85,332.85,1028812.0
4169,2019-03-20,337.5,341.9,336.25,337.9,337.9,498505.0
4168,2019-03-19,340.85,344.4,335.8,337.15,337.15,855722.0
4167,2019-03-18,345.45,345.45,337.8,339.25,339.25,983011.0
4166,2019-03-15,331.15,349.45,329.4,342.45,342.45,3777187.0
4165,2019-03-14,332.45,335.7,328.5,330.65,330.65,953743.0
4164,2019-03-13,336.75,338.4,327.35,330.65,330.65,2257887.0
4163,2019-03-12,333.3,342.8,333.3,336.35,336.35,1840847.0
4162,2019-03-11,326.95,333.85,325.0,332.85,332.85,728477.0
4161,2019-03-08,326.0,336.0,324.2,324.95,324.95,599037.0
4160,2019-03-07,330.95,333.65,324.0,326.6,326.6,1173766.0
4159,2019-03-06,332.0,338.3,327.5,330.35,330.35,1355928.0
4158,2019-03-05,320.0,332.75,320.0,331.3,331.3,2292914.0
4157,2019-03-01,320.65,324.2,317.45,323.2,323.2,970103.0
4156,2019-02-28,321.5,329.35,315.15,318.7,318.7,4430968.0
4155,2019-02-27,313.25,327.8,312.5,319.6,319.6,2145842.0
4154,2019-02-26,311.75,313.9,308.15,312.45,312.45,607951.0
4153,2019-02-25,317.1,317.6,313.05,313.75,313.75,681427.0
4152,2019-02-22,314.0,317.5,312.45,315.2,315.2,581643.0
4151,2019-02-21,314.95,315.0,310.7,313.15,313.15,884693.0
4150,2019-02-20,311.8,314.75,310.0,313.2,313.2,643033.0
4149,2019-02-19,312.0,315.1,310.5,311.9,311.9,568174.0
4148,2019-02-18,310.4,317.35,309.3,311.8,311.8,772468.0
4147,2019-02-15,317.8,319.0,305.95,314.0,314.0,1947521.0
4146,2019-02-14,319.0,323.3,315.7,318.5,318.5,834172.0
4145,2019-02-12,324.5,326.35,318.4,319.6,319.6,975106.0
4144,2019-02-11,322.5,326.25,320.0,324.4,324.4,875355.0
4143,2019-02-08,327.7,327.7,319.6,322.15,322.15,1635258.0
4142,2019-02-07,320.05,334.5,318.25,321.95,321.95,7512981.0
4141,2019-02-06,314.0,325.0,311.3,317.95,317.95,998197.0
4140,2019-02-05,319.9,319.9,311.95,314.85,314.85,696394.0
4139,2019-02-04,323.5,326.9,315.5,318.9,318.9,994074.0
4138,2019-02-01,319.4,325.0,316.5,323.6,323.6,657757.0
4137,2019-01-31,320.0,322.85,317.45,318.95,318.95,982622.0
4136,2019-01-30,321.0,325.9,314.4,319.15,319.15,1276905.0
4135,2019-01-29,331.0,332.9,318.55,321.7,321.7,1477021.0
4134,2019-01-28,343.0,343.6,325.1,334.35,334.35,1483625.0
4133,2019-01-25,346.0,350.9,343.0,343.7,343.7,784074.0
4132,2019-01-24,342.1,347.0,341.3,346.1,346.1,545629.0
4131,2019-01-23,346.0,346.0,340.7,342.05,342.05,573513.0
4130,2019-01-22,343.95,347.6,340.3,346.05,346.05,504192.0
4129,2019-01-21,345.95,351.7,343.55,344.6,344.6,786496.0
4128,2019-01-18,353.3,354.45,343.05,347.05,347.05,1220994.0
4127,2019-01-17,353.0,358.4,351.5,355.85,355.85,1053793.0
4126,2019-01-16,355.0,359.75,351.1,352.55,352.55,1206297.0
4125,2019-01-15,355.1,357.85,352.9,355.9,355.9,1068589.0
4124,2019-01-14,350.25,355.9,349.6,353.7,353.7,1672294.0
4123,2019-01-11,348.3,352.7,347.25,348.3,348.3,891386.0
4122,2019-01-10,346.9,351.3,345.85,350.0,350.0,497887.0
4121,2019-01-09,349.25,352.35,344.25,347.7,347.7,536267.0
4120,2019-01-08,349.2,352.95,347.1,349.25,349.25,998829.0
4119,2019-01-07,346.75,349.65,344.2,348.9,348.9,516834.0
4118,2019-01-04,345.0,345.0,339.0,344.2,344.2,579722.0
4117,2019-01-03,345.05,348.8,342.0,343.65,343.65,482203.0
4116,2019-01-02,348.5,350.0,342.55,346.75,346.75,558345.0
4115,2019-01-01,348.65,352.9,348.35,350.05,350.05,692062.0
4114,2018-12-31,350.0,350.4,346.5,348.45,348.45,1171717.0
4113,2018-12-28,340.25,347.6,339.35,345.3,345.3,782756.0
4112,2018-12-27,342.95,343.0,338.0,338.8,338.8,537841.0
4111,2018-12-26,342.0,342.35,336.2,339.4,339.4,522052.0
4110,2018-12-24,342.2,344.45,340.4,341.65,341.65,499572.0
4109,2018-12-21,345.15,347.85,340.2,341.9,341.9,719385.0
4108,2018-12-20,342.5,345.8,342.0,344.25,344.25,852170.0
4107,2018-12-19,348.0,348.0,342.3,343.05,343.05,1070544.0
4106,2018-12-18,347.25,347.95,341.45,345.25,345.25,1376167.0
4105,2018-12-17,350.35,352.95,348.2,351.0,351.0,843653.0
4104,2018-12-14,347.1,351.6,344.5,346.45,346.45,703332.0
4103,2018-12-13,352.9,358.25,348.0,349.4,349.4,1099741.0
4102,2018-12-12,348.0,354.9,348.0,352.9,352.9,1312527.0
4101,2018-12-11,337.1,348.0,336.15,345.65,345.65,1184307.0
4100,2018-12-10,344.0,349.8,339.2,340.4,340.4,862965.0
4099,2018-12-07,354.9,355.85,348.7,349.4,349.4,869679.0
4098,2018-12-06,356.65,358.05,350.25,355.8,355.8,775206.0
4097,2018-12-05,355.5,363.5,354.5,358.45,358.45,1687420.0
4096,2018-12-04,357.9,363.3,347.05,353.3,353.3,1195054.0
4095,2018-12-03,369.0,369.0,353.55,356.8,356.8,1432872.0
4094,2018-11-30,356.0,367.45,354.35,365.3,365.3,1222488.0
4093,2018-11-29,345.0,360.3,341.65,356.9,356.9,2821212.0
4092,2018-11-28,347.2,349.65,342.0,343.8,343.8,944026.0
4091,2018-11-27,356.0,356.9,342.5,345.75,345.75,1513963.0
4090,2018-11-26,354.8,358.0,345.1,353.6,353.6,809029.0
4089,2018-11-22,357.55,358.6,352.4,353.9,353.9,539456.0
4088,2018-11-21,355.3,360.3,352.45,358.6,358.6,562003.0
4087,2018-11-20,361.8,364.05,352.05,355.0,355.0,764219.0
4086,2018-11-19,357.95,365.9,353.0,364.05,364.05,1108255.0
4085,2018-11-16,359.3,364.45,351.6,355.2,355.2,1169373.0
4084,2018-11-15,371.35,371.5,357.95,359.3,359.3,840344.0
4083,2018-11-14,355.0,375.4,355.0,371.2,371.2,1816372.0
4082,2018-11-13,354.0,358.5,349.0,355.3,355.3,529001.0
4081,2018-11-12,360.0,365.8,354.55,356.2,356.2,746695.0
4080,2018-11-09,350.6,362.4,350.6,360.25,360.25,787891.0
4079,2018-11-07,352.75,356.15,352.45,355.0,355.0,146034.0
4078,2018-11-06,362.0,364.35,347.1,350.25,350.25,1107634.0
4077,2018-11-05,349.9,363.7,348.1,360.45,360.45,1284370.0
4076,2018-11-02,360.0,365.8,356.4,358.85,358.85,803123.0
4075,2018-11-01,362.15,365.7,357.2,359.4,359.4,1176169.0
4074,2018-10-31,349.0,361.0,349.0,360.05,360.05,1207102.0
4073,2018-10-30,351.4,357.5,347.15,348.25,348.25,1091197.0
4072,2018-10-29,340.0,350.95,340.0,349.0,349.0,1283870.0
4071,2018-10-26,342.0,346.0,332.25,337.4,337.4,1686930.0
4070,2018-10-25,353.65,354.0,339.0,340.7,340.7,2926363.0
4069,2018-10-24,377.75,380.9,352.15,357.65,357.65,2748450.0
4068,2018-10-23,369.5,380.8,367.4,377.5,377.5,991239.0
4067,2018-10-22,373.6,378.0,371.1,373.0,373.0,711671.0
4066,2018-10-19,376.9,380.8,366.0,371.75,371.75,893281.0
4065,2018-10-17,384.9,384.9,376.0,377.55,377.55,816462.0
4064,2018-10-16,383.9,387.4,375.5,380.05,380.05,1993018.0
4063,2018-10-15,376.1,385.95,375.5,382.85,382.85,831107.0
4062,2018-10-12,377.0,381.95,374.3,376.9,376.9,761788.0
4061,2018-10-11,376.85,382.3,370.7,374.4,374.4,1155902.0
4060,2018-10-10,380.95,387.8,376.85,385.3,385.3,1210563.0
4059,2018-10-09,373.1,385.95,371.5,380.95,380.95,1617720.0
4058,2018-10-08,375.0,380.95,370.8,376.4,376.4,1441264.0
4057,2018-10-05,387.6,389.45,376.0,378.35,378.35,1804396.0
4056,2018-10-04,386.15,392.0,376.3,383.25,383.25,1613796.0
4055,2018-10-03,398.0,404.0,390.1,393.8,393.8,1831607.0
4054,2018-10-01,385.0,398.85,376.5,396.65,396.65,1593399.0
4053,2018-09-28,388.55,394.6,371.5,385.95,385.95,1928644.0
4052,2018-09-27,401.0,402.55,386.05,388.95,388.95,1521608.0
4051,2018-09-26,395.0,403.8,392.5,399.15,399.15,1381815.0
4050,2018-09-25,386.7,396.1,382.05,394.1,394.1,1480341.0
4049,2018-09-24,399.3,399.3,377.0,385.05,385.05,1864471.0
4048,2018-09-21,411.0,414.8,366.75,394.0,394.0,3953672.0
4047,2018-09-19,411.5,414.0,403.0,407.5,407.5,1515745.0
4046,2018-09-18,413.8,420.0,405.65,408.45,408.45,1952399.0
4045,2018-09-17,411.95,417.9,408.1,413.15,413.15,1613138.0
4044,2018-09-14,415.0,420.0,410.2,411.7,411.7,2471602.0
4043,2018-09-12,411.0,412.9,399.65,408.7,408.7,2144506.0
4042,2018-09-11,422.5,427.0,405.2,408.9,408.9,2532362.0
4041,2018-09-10,423.95,432.5,417.2,420.3,420.3,2820252.0
4040,2018-09-07,417.0,431.4,409.2,426.0,426.0,6929929.0
4039,2018-09-06,405.15,425.55,400.25,422.35,422.35,5084800.0
4038,2018-09-05,392.0,407.0,389.2,401.95,401.95,2737343.0
4037,2018-09-04,404.75,409.7,389.0,392.55,392.55,2692159.0
4036,2018-09-03,406.0,420.3,401.4,405.45,405.45,5092585.0
4035,2018-08-31,390.1,406.6,390.1,402.75,402.75,4507525.0
4034,2018-08-30,386.8,396.25,384.0,387.9,387.9,5005078.0
4033,2018-08-29,396.9,398.8,385.2,387.15,387.15,2530185.0
4032,2018-08-28,398.0,401.75,392.95,397.35,397.35,2132696.0
4031,2018-08-27,403.0,404.6,394.05,396.15,396.15,2542445.0
4030,2018-08-24,390.7,402.5,381.2,398.45,398.45,3749033.0
4029,2018-08-23,388.0,397.0,388.0,391.45,391.45,4299295.0
4028,2018-08-21,379.8,389.7,371.05,387.45,387.45,4923042.0
4027,2018-08-20,359.95,385.95,358.35,377.45,377.45,9299936.0
4026,2018-08-17,344.0,359.0,344.0,357.25,357.25,6562996.0
4025,2018-08-16,343.0,343.9,332.85,340.2,340.2,7445622.0
4024,2018-08-14,355.0,356.9,336.0,340.0,340.0,9581860.0
4023,2018-08-13,373.1,382.65,351.0,354.35,354.35,5669251.0
4022,2018-08-10,379.9,381.1,374.5,377.15,377.15,833811.0
4021,2018-08-09,377.5,381.4,374.35,378.55,378.55,734073.0
4020,2018-08-08,375.1,380.05,374.25,375.7,375.7,854788.0
4019,2018-08-07,381.0,381.9,373.0,373.85,373.85,694292.0
4018,2018-08-06,380.75,385.95,377.55,380.3,380.3,1252886.0
4017,2018-08-03,378.1,382.6,376.6,377.3,377.3,1430676.0
4016,2018-08-02,379.0,381.55,374.55,376.1,376.1,1169194.0
4015,2018-08-01,383.4,385.0,374.0,377.5,377.5,1438581.0
4014,2018-07-31,381.8,385.0,377.65,381.45,377.95,1479853.0
4013,2018-07-30,375.0,383.8,370.5,382.6,375.6216,1361702.0
4012,2018-07-27,373.9,377.0,371.55,373.55,366.7366,460475.0
4011,2018-07-26,364.0,373.95,362.05,371.1,364.3313,918675.0
4010,2018-07-25,375.8,377.65,363.0,364.95,358.2935,826018.0
4009,2018-07-24,359.8,374.65,359.6,372.45,365.6567,1350661.0
4008,2018-07-23,350.0,360.9,348.8,359.45,352.8938,1337506.0
4007,2018-07-20,342.45,350.8,332.75,347.95,341.6036,3529076.0
4006,2018-07-19,357.7,357.7,342.0,343.55,337.2838,1718171.0
4005,2018-07-18,361.9,365.95,348.6,354.25,347.7886,2124458.0
4004,2018-07-17,351.0,365.0,346.9,360.15,353.581,1486654.0
4003,2018-07-16,365.35,365.35,348.0,349.75,343.3707,1177909.0
4002,2018-07-13,366.9,369.3,361.0,366.1,359.4225,1103058.0
4001,2018-07-12,373.15,373.15,362.2,365.8,359.128,2011261.0
4000,2018-07-11,381.0,383.95,369.35,371.0,364.2331,1886667.0
3999,2018-07-10,390.0,390.35,379.5,381.15,374.198,1364317.0
3998,2018-07-09,389.55,391.6,384.5,388.05,380.9721,1028301.0
3997,2018-07-06,387.35,390.9,380.15,381.65,374.6889,571315.0
3996,2018-07-05,394.65,399.95,386.15,387.35,380.2849,764807.0
3995,2018-07-04,388.2,396.8,388.2,394.7,387.5009,1230554.0
3994,2018-07-03,386.0,390.0,380.9,386.75,379.6959,1220377.0
3993,2018-07-02,380.0,388.25,376.0,385.95,378.9105,1260663.0
3992,2018-06-29,384.0,384.5,372.3,377.4,370.5164,1395303.0
3991,2018-06-28,385.1,397.9,375.1,378.05,371.1545,1740737.0
3990,2018-06-27,404.0,404.65,382.6,388.85,381.7575,1840808.0
3989,2018-06-26,411.95,413.05,401.45,402.95,395.6004,826083.0
3988,2018-06-25,411.15,422.8,410.1,412.35,404.8289,2310166.0
3987,2018-06-22,411.05,414.7,405.6,409.2,401.7364,1775883.0
3986,2018-06-21,413.0,415.0,409.05,412.3,404.7798,1535823.0
3985,2018-06-20,412.85,413.45,403.25,411.8,404.2889,2069692.0
3984,2018-06-19,402.4,411.4,396.0,408.95,401.4909,2731032.0
3983,2018-06-18,400.65,404.6,396.3,400.5,393.1951,1020295.0
3982,2018-06-15,394.0,406.55,393.75,398.5,391.2315,3087095.0
3981,2018-06-14,394.3,403.75,394.05,398.7,391.4279,2696573.0
3980,2018-06-13,383.75,401.4,382.4,393.8,386.6173,3551639.0
3979,2018-06-12,372.3,383.05,369.8,380.2,373.2653,2425614.0
3978,2018-06-11,365.1,374.0,365.1,368.45,361.7297,1284875.0
3977,2018-06-08,357.0,370.0,354.5,364.35,357.7044,2145021.0
3976,2018-06-07,351.85,358.0,351.7,355.9,349.4086,612624.0
3975,2018-06-06,349.0,359.95,345.75,349.95,343.5671,1367479.0
3974,2018-06-05,352.0,354.3,344.0,348.5,342.1435,666265.0
3973,2018-06-04,359.0,359.95,350.55,352.0,345.5797,1306674.0
3972,2018-06-01,361.3,366.9,351.75,353.0,346.5614,862303.0
3971,2018-05-31,370.95,370.95,359.2,361.3,354.7101,3116812.0
3970,2018-05-30,361.0,371.7,361.0,367.5,360.797,876255.0
3969,2018-05-29,372.9,380.5,365.5,366.75,360.0606,1839175.0
3968,2018-05-28,388.7,388.7,361.3,369.45,362.7114,5315262.0
3967,2018-05-25,365.0,408.05,352.0,382.2,375.2289,4773225.0
3966,2018-05-24,348.35,359.8,348.35,357.25,350.7339,737969.0
3965,2018-05-23,344.4,353.95,342.6,346.6,340.2782,676727.0
3964,2018-05-22,353.15,359.0,341.2,343.05,336.7929,897340.0
3963,2018-05-21,370.35,372.3,350.1,353.15,346.7087,909271.0
3962,2018-05-18,386.95,386.95,360.6,369.7,362.9568,2287807.0
3961,2018-05-17,385.0,388.8,382.0,386.95,379.8922,335135.0
3960,2018-05-16,385.0,385.0,378.3,384.0,376.996,576831.0
3959,2018-05-15,390.45,394.1,380.3,384.35,377.3396,686987.0
3958,2018-05-14,394.0,398.0,391.0,392.4,385.2428,498737.0
3957,2018-05-11,394.7,398.35,390.05,393.4,386.2246,324055.0
3956,2018-05-10,403.0,405.8,391.5,398.7,391.4279,1233147.0
3955,2018-05-09,393.8,402.4,390.5,400.35,393.0478,1128741.0
3954,2018-05-08,394.0,397.4,392.05,393.75,386.5682,396090.0
3953,2018-05-07,394.8,407.0,386.05,391.25,384.1138,828317.0
3952,2018-05-04,394.2,394.5,388.1,389.4,382.2975,474198.0
3951,2018-05-03,406.95,408.35,391.5,393.8,386.6173,956102.0
3950,2018-05-02,413.5,416.6,403.6,406.35,398.9384,632026.0
3949,2018-04-30,408.0,414.85,407.0,412.35,404.8289,434665.0
3948,2018-04-27,412.0,415.7,405.1,406.6,399.1838,777849.0
3947,2018-04-26,406.6,414.75,402.85,409.2,401.7364,2314175.0
3946,2018-04-25,405.0,407.4,399.1,402.85,395.5022,490169.0
3945,2018-04-24,402.9,408.7,398.05,404.9,397.5148,1935854.0
3944,2018-04-23,387.0,401.95,386.1,398.95,391.6733,2019759.0
3943,2018-04-20,386.6,388.5,382.4,385.15,378.1251,420244.0
3942,2018-04-19,385.0,389.6,382.4,387.65,380.5794,763706.0
3941,2018-04-18,388.65,390.95,383.35,385.1,378.076,479171.0
3940,2018-04-17,390.7,393.4,385.55,387.7,380.6285,747430.0
3939,2018-04-16,388.35,394.0,388.15,390.75,383.6229,562961.0
3938,2018-04-13,390.0,393.95,389.45,391.15,384.0156,517564.0
3937,2018-04-12,391.1,395.15,388.0,390.2,383.0829,571541.0
3936,2018-04-11,390.0,393.7,388.1,389.35,382.2484,369780.0
3935,2018-04-10,394.9,394.9,386.1,388.65,381.5612,430001.0
3934,2018-04-09,396.9,399.95,386.5,391.15,384.0156,833590.0
3933,2018-04-06,394.0,398.0,390.6,393.75,386.5682,726101.0
3932,2018-04-05,397.0,403.45,393.0,394.35,387.1573,1133101.0
3931,2018-04-04,397.5,399.8,390.0,394.7,387.5009,2480827.0
3930,2018-04-03,384.0,396.0,382.5,394.0,386.8136,2116787.0
3929,2018-04-02,389.3,389.7,381.9,385.05,378.0269,1661277.0
3928,2018-03-28,383.0,385.15,372.5,377.85,370.9582,1535232.0
3927,2018-03-27,390.95,390.95,380.0,382.0,375.0325,952907.0
3926,2018-03-26,376.95,389.9,375.5,387.1,380.0395,4548091.0
3925,2018-03-23,370.0,376.4,362.0,370.35,363.595,917584.0
3924,2018-03-22,379.85,383.65,375.75,377.3,370.4182,432037.0
3923,2018-03-21,386.0,387.95,377.7,379.75,372.8235,455866.0
3922,2018-03-20,376.0,388.0,373.45,385.45,378.4196,554872.0
3921,2018-03-19,384.0,385.0,373.5,376.95,370.0746,617450.0
3920,2018-03-16,385.0,387.15,377.9,379.1,372.1854,837492.0
3919,2018-03-15,389.0,392.8,382.75,385.1,378.076,512230.0
3918,2018-03-14,389.85,392.45,388.0,388.7,381.6103,238018.0
3917,2018-03-13,388.8,396.7,384.0,390.45,383.3284,899152.0
3916,2018-03-12,389.0,392.0,378.9,389.3,382.1993,574306.0
3915,2018-03-09,392.0,394.9,383.0,384.2,377.1924,451894.0
3914,2018-03-08,382.4,390.85,381.0,388.9,381.8066,859579.0
3913,2018-03-07,388.0,388.3,375.75,381.3,374.3453,574978.0
3912,2018-03-06,393.8,396.9,386.15,389.6,382.4939,681762.0
3911,2018-03-05,404.25,405.0,388.5,391.9,384.7519,952536.0
3910,2018-03-01,405.1,409.5,403.45,404.05,396.6803,577581.0
3909,2018-02-28,403.9,407.05,401.5,405.1,397.7112,653753.0
3908,2018-02-27,409.0,410.75,404.75,407.9,400.4601,466319.0
3907,2018-02-26,408.85,410.8,405.35,406.9,399.4783,1225265.0
3906,2018-02-23,400.95,408.95,399.9,406.55,399.1347,618503.0
3905,2018-02-22,410.0,410.0,399.1,400.65,393.3423,4166528.0
3904,2018-02-21,411.0,413.4,404.3,411.15,403.6508,812011.0
3903,2018-02-20,409.0,413.75,405.95,409.05,401.5891,640764.0
3902,2018-02-19,415.0,415.9,405.4,408.95,401.4909,465831.0
3901,2018-02-16,419.0,422.7,413.05,414.3,406.7433,513765.0
3900,2018-02-15,419.9,422.1,414.4,417.1,409.4923,630169.0
3899,2018-02-14,423.5,426.0,418.0,419.6,411.9467,897280.0
3898,2018-02-12,427.3,434.05,419.5,423.65,415.9228,2335436.0
3897,2018-02-09,396.5,423.0,390.1,411.75,404.2399,1645064.0
3896,2018-02-08,399.85,418.0,398.55,405.2,397.8093,3105912.0
3895,2018-02-07,406.0,408.0,390.85,396.35,389.1208,1125800.0
3894,2018-02-06,400.1,411.2,378.55,404.5,397.1221,1402738.0
3893,2018-02-05,404.5,410.65,399.15,408.15,400.7055,474543.0
3892,2018-02-02,412.0,423.35,407.45,410.85,403.3563,751620.0
3891,2018-02-01,428.55,428.55,415.0,417.65,410.0322,1318106.0
3890,2018-01-31,425.35,430.4,420.3,425.8,418.0336,1240632.0
3889,2018-01-30,418.0,427.5,414.05,425.3,417.5427,810714.0
3888,2018-01-29,419.8,427.5,418.0,419.8,412.143,455894.0
3887,2018-01-25,426.95,429.6,415.55,418.15,410.5231,643671.0
3886,2018-01-24,430.95,434.5,421.5,424.75,417.0027,1212613.0
3885,2018-01-23,439.95,442.0,426.1,430.95,423.0897,1006539.0
3884,2018-01-22,441.25,445.0,435.3,438.75,430.7474,491150.0
3883,2018-01-19,437.75,451.0,433.15,441.55,433.4963,1331752.0
3882,2018-01-18,441.95,446.0,432.7,437.6,429.6184,335848.0
3881,2018-01-17,436.3,442.9,425.6,440.25,432.2201,552311.0
3880,2018-01-16,442.85,443.0,435.0,436.1,428.1458,347544.0
3879,2018-01-15,450.25,451.3,439.4,440.2,432.171,499752.0
3878,2018-01-12,445.8,450.0,441.6,448.55,440.3687,529949.0
3877,2018-01-11,443.75,450.0,441.0,444.9,436.7852,622725.0
3876,2018-01-10,444.3,452.3,439.35,443.7,435.6071,919324.0
3875,2018-01-09,454.0,454.0,443.05,444.25,436.1471,376650.0
3874,2018-01-08,444.0,456.75,440.25,452.0,443.7557,1665935.0
3873,2018-01-05,433.0,442.55,432.45,440.2,432.171,1383248.0
3872,2018-01-04,429.1,433.0,428.6,431.5,423.6296,523367.0
3871,2018-01-03,429.95,431.45,426.4,428.5,420.6844,472672.0
3870,2018-01-02,434.0,436.0,427.0,428.3,420.488,348082.0
3869,2018-01-01,438.45,438.9,430.35,432.55,424.6605,803342.0
3868,2017-12-29,424.3,436.0,424.3,433.5,425.5931,1160619.0
