,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,144.25,144.75,141.65,142.05,142.05,603239.0
4193,2019-06-13,144.35,146.5,142.45,144.05,144.05,520098.0
4192,2019-06-12,146.0,146.9,144.55,145.65,145.65,437454.0
4191,2019-06-11,144.0,147.0,143.35,146.4,146.4,1019375.0
4190,2019-06-10,143.0,145.25,141.6,144.6,144.6,1158090.0
4189,2019-06-07,145.2,147.3,141.85,142.75,142.75,1401963.0
4188,2019-06-06,150.5,151.0,144.0,145.4,145.4,1534035.0
4187,2019-06-04,149.75,151.5,148.5,149.9,149.9,867290.0
4186,2019-06-03,147.75,150.15,147.2,149.65,149.65,1585460.0
4185,2019-05-31,148.05,149.6,146.45,147.2,147.2,1249797.0
4184,2019-05-30,147.1,148.0,145.9,147.3,147.3,938545.0
4183,2019-05-29,148.3,149.3,147.1,147.35,147.35,497811.0
4182,2019-05-28,149.35,150.5,147.5,148.3,148.3,713097.0
4181,2019-05-27,146.0,150.9,146.0,149.25,149.25,1276811.0
4180,2019-05-24,145.15,147.45,144.3,146.6,146.6,676860.0
4179,2019-05-23,145.6,147.35,144.0,144.75,144.75,1119656.0
4178,2019-05-22,145.85,146.85,144.0,144.7,144.7,684707.0
4177,2019-05-21,146.6,148.0,144.85,145.75,145.75,1506564.0
4176,2019-05-20,145.0,147.0,143.8,146.6,146.6,1261298.0
4175,2019-05-17,143.0,143.85,140.9,143.45,143.45,1149926.0
4174,2019-05-16,141.6,142.75,139.55,141.95,141.95,656631.0
4173,2019-05-15,144.15,144.85,140.7,141.15,141.15,589263.0
4172,2019-05-14,144.15,144.45,142.15,142.75,142.75,390371.0
4171,2019-05-13,146.5,147.75,143.5,144.4,144.4,691712.0
4170,2019-05-10,147.9,148.8,146.05,146.5,146.5,1072966.0
4169,2019-05-09,148.05,149.55,145.6,146.75,146.75,1779372.0
4168,2019-05-08,148.85,150.65,146.95,149.9,147.15,1036074.0
4167,2019-05-07,149.05,151.0,148.2,148.7,145.972,739402.0
4166,2019-05-06,150.0,150.0,148.05,148.95,146.2174,1171009.0
4165,2019-05-03,150.8,151.35,149.8,150.45,147.6899,915109.0
4164,2019-05-02,152.6,153.55,149.0,150.05,147.2972,910756.0
4163,2019-04-30,154.0,157.35,150.6,152.6,149.8005,1445126.0
4162,2019-04-26,155.35,156.2,152.35,154.0,151.1748,766960.0
4161,2019-04-25,156.75,158.4,154.2,155.2,152.3528,1439221.0
4160,2019-04-24,158.35,160.4,155.35,156.75,153.8743,1039690.0
4159,2019-04-23,157.2,160.95,157.05,157.35,154.4633,648338.0
4158,2019-04-22,164.0,164.0,157.55,158.2,155.2977,795688.0
4157,2019-04-18,167.75,167.9,163.0,164.0,160.9913,860686.0
4156,2019-04-16,167.0,167.65,165.1,167.0,163.9363,572869.0
4155,2019-04-15,167.0,167.45,165.25,166.1,163.0528,284905.0
4154,2019-04-12,166.05,168.0,165.45,166.7,163.6418,436784.0
4153,2019-04-11,165.1,166.7,164.55,165.8,162.7583,604805.0
4152,2019-04-10,166.5,167.7,164.55,165.15,162.1202,861566.0
4151,2019-04-09,170.0,170.0,166.1,166.5,163.4455,657712.0
4150,2019-04-08,172.5,172.5,168.05,170.1,166.9794,1173766.0
4149,2019-04-05,167.0,172.65,166.95,171.5,168.3537,2035787.0
4148,2019-04-04,167.0,169.95,165.0,166.3,163.2491,2669889.0
4147,2019-04-03,165.95,172.9,165.55,167.45,164.378,4746469.0
4146,2019-04-02,166.2,166.55,164.65,165.6,162.562,808802.0
4145,2019-04-01,167.3,167.9,165.5,165.9,162.8565,2537244.0
4144,2019-03-28,164.05,165.7,162.1,164.75,161.7276,1340702.0
4143,2019-03-27,164.2,166.25,162.6,164.6,161.5803,1427343.0
4142,2019-03-26,161.9,164.35,160.5,163.7,160.6968,5060108.0
4141,2019-03-25,160.0,161.15,159.0,160.55,157.6046,911546.0
4140,2019-03-22,157.0,161.75,156.4,160.55,157.6046,5397307.0
4139,2019-03-20,157.6,158.0,155.25,156.4,153.5307,3251858.0
4138,2019-03-19,161.5,162.4,157.25,157.6,154.7087,2287930.0
4137,2019-03-18,165.65,168.4,159.35,160.5,157.5555,4267412.0
4136,2019-03-15,166.95,169.5,159.65,165.35,162.3166,9678010.0
4135,2019-03-14,166.35,170.55,165.8,166.45,163.3964,1870539.0
4134,2019-03-13,167.1,169.2,165.5,166.6,163.5436,1044442.0
4133,2019-03-12,166.0,168.95,165.0,167.1,164.0345,1392595.0
4132,2019-03-11,161.8,165.0,161.8,164.9,161.8748,1155259.0
4131,2019-03-08,162.0,164.0,161.1,161.8,158.8317,871135.0
4130,2019-03-07,166.0,166.0,161.15,161.85,158.8808,1097875.0
4129,2019-03-06,159.25,165.0,159.25,164.05,161.0404,1386658.0
4128,2019-03-05,160.65,164.15,158.35,159.55,156.623,2734566.0
4127,2019-03-01,154.25,161.45,154.25,160.55,157.6046,1806531.0
4126,2019-02-28,154.3,156.15,153.2,154.65,151.8129,1555060.0
4125,2019-02-27,152.0,155.0,151.1,153.55,150.733,1178918.0
4124,2019-02-26,151.85,153.0,148.5,151.15,148.3771,1870882.0
4123,2019-02-25,155.5,156.9,152.2,152.65,149.8495,1032035.0
4122,2019-02-22,151.7,157.0,151.7,154.55,151.7147,1338145.0
4121,2019-02-21,151.0,153.75,150.2,151.75,148.966,989976.0
4120,2019-02-20,149.6,150.95,147.8,150.2,147.4445,1404441.0
4119,2019-02-19,147.9,150.9,147.15,147.9,145.1867,908147.0
4118,2019-02-18,147.2,149.0,147.1,148.2,145.4812,1026622.0
4117,2019-02-15,148.05,150.0,146.55,147.1,144.4014,1412717.0
4116,2019-02-14,151.0,152.2,147.1,148.05,145.3339,1431268.0
4115,2019-02-12,146.7,153.55,145.75,152.75,149.9477,1733889.0
4114,2019-02-11,149.1,149.45,145.05,146.05,143.3706,778080.0
4113,2019-02-08,152.35,152.9,148.55,150.05,147.2972,777105.0
4112,2019-02-07,149.55,153.95,149.05,152.35,149.5551,949318.0
4111,2019-02-06,153.0,153.7,148.0,149.95,147.1991,1232166.0
4110,2019-02-05,155.25,156.85,151.75,153.0,150.1931,571718.0
4109,2019-02-04,161.0,161.0,154.85,155.9,153.0399,913018.0
4108,2019-02-01,159.8,162.1,158.5,160.8,157.85,1136674.0
4107,2019-01-31,166.0,166.4,156.65,158.65,155.7395,5151093.0
4106,2019-01-30,161.0,166.05,161.0,163.15,160.1569,1636676.0
4105,2019-01-29,158.55,162.5,158.35,161.4,158.439,907347.0
4104,2019-01-28,163.35,163.85,158.5,159.95,157.0156,1028085.0
4103,2019-01-25,163.15,167.0,161.15,164.25,161.2367,1577961.0
4102,2019-01-24,164.05,164.8,162.0,162.9,159.9115,769103.0
4101,2019-01-23,166.0,168.75,163.0,164.05,161.0404,1819735.0
4100,2019-01-22,165.25,167.2,163.8,166.0,162.9546,943400.0
4099,2019-01-21,165.45,167.9,164.7,166.05,163.0037,1051563.0
4098,2019-01-18,167.45,167.45,164.45,165.65,162.6111,737706.0
4097,2019-01-17,165.5,168.9,164.0,166.45,163.3964,1608356.0
4096,2019-01-16,167.6,168.4,163.75,165.55,162.5129,2005949.0
4095,2019-01-15,159.2,169.5,159.0,167.9,164.8198,8588498.0
4094,2019-01-14,152.45,160.0,151.0,158.5,155.5922,2350559.0
4093,2019-01-11,151.3,152.7,150.8,151.95,149.1624,592572.0
4092,2019-01-10,151.0,151.55,149.25,151.0,148.2298,479720.0
4091,2019-01-09,151.7,152.4,150.2,151.2,148.4261,672625.0
4090,2019-01-08,150.6,152.0,150.0,151.6,148.8188,867775.0
4089,2019-01-07,148.9,151.55,148.35,150.55,147.7881,1665037.0
4088,2019-01-04,146.9,149.4,146.2,148.25,145.5303,590499.0
4087,2019-01-03,148.25,148.75,146.05,146.9,144.205,691547.0
4086,2019-01-02,151.0,151.6,146.9,147.35,144.6468,861100.0
4085,2019-01-01,152.0,152.0,150.7,151.15,148.3771,293473.0
4084,2018-12-31,152.3,153.3,150.75,151.25,148.4752,872578.0
4083,2018-12-28,153.1,154.6,151.4,151.85,149.0642,980651.0
4082,2018-12-27,152.7,155.5,150.65,153.65,150.8312,2317548.0
4081,2018-12-26,150.0,153.8,150.0,152.35,149.5551,1317088.0
4080,2018-12-24,152.0,153.25,150.15,150.75,147.9844,659132.0
4079,2018-12-21,155.65,156.65,152.3,152.8,149.9968,756301.0
4078,2018-12-20,155.2,156.8,152.35,155.85,152.9908,851967.0
4077,2018-12-19,149.65,154.45,148.45,154.25,151.4202,1274843.0
4076,2018-12-18,146.15,148.9,145.9,148.35,145.6284,601173.0
4075,2018-12-17,149.15,151.95,145.45,146.1,143.4197,1563311.0
4074,2018-12-14,146.85,149.7,146.15,149.15,146.4137,273158.0
4073,2018-12-13,149.0,150.15,146.35,147.0,144.3032,745227.0
4072,2018-12-12,146.7,149.45,145.6,149.15,146.4137,404525.0
4071,2018-12-11,142.0,146.45,141.5,145.7,143.027,302062.0
4070,2018-12-10,143.1,144.75,141.85,143.7,141.0637,560871.0
4069,2018-12-07,147.75,148.75,144.35,144.75,142.0945,797133.0
4068,2018-12-06,148.0,150.55,145.35,146.95,144.2541,946186.0
4067,2018-12-05,151.7,151.7,147.3,148.7,145.972,930769.0
4066,2018-12-04,152.55,154.2,151.45,151.7,148.917,327430.0
4065,2018-12-03,152.0,154.3,150.0,153.45,150.6349,928686.0
4064,2018-11-30,155.5,156.4,150.4,151.0,148.2298,1081315.0
4063,2018-11-29,156.35,160.0,155.25,156.25,153.3835,7085532.0
4062,2018-11-28,154.4,156.45,153.25,156.1,153.2363,1248519.0
4061,2018-11-27,152.35,156.0,152.35,154.95,152.1073,946383.0
4060,2018-11-26,150.65,154.45,149.7,153.45,150.6349,1108131.0
4059,2018-11-22,153.5,154.7,147.65,149.35,146.6101,986397.0
4058,2018-11-21,156.1,156.1,152.1,154.5,151.6656,1499132.0
4057,2018-11-20,149.0,154.1,148.35,153.2,150.3895,1215660.0
4056,2018-11-19,151.05,151.8,147.0,148.8,146.0702,736288.0
4055,2018-11-16,150.0,152.8,148.45,151.0,148.2298,873917.0
4054,2018-11-15,150.85,151.0,148.25,149.75,147.0027,439766.0
4053,2018-11-14,151.0,156.5,150.0,151.0,148.2298,2256108.0
4052,2018-11-13,146.6,148.55,145.0,148.25,145.5303,751101.0
4051,2018-11-12,150.05,151.3,146.1,146.3,143.616,831061.0
4050,2018-11-09,146.9,150.9,145.3,150.05,147.2972,831495.0
4049,2018-11-07,146.05,146.6,145.0,146.15,143.4688,168753.0
4048,2018-11-06,147.05,147.95,143.6,145.25,142.5853,454549.0
4047,2018-11-05,147.25,148.75,145.8,147.85,145.1376,515355.0
4046,2018-11-02,145.0,151.15,145.0,146.35,143.6651,1802083.0
4045,2018-11-01,147.55,147.9,144.0,144.45,141.8,919006.0
4044,2018-10-31,146.5,150.0,143.6,148.7,145.972,777259.0
4043,2018-10-30,145.35,148.8,145.35,146.5,143.8124,727667.0
4042,2018-10-29,145.05,147.0,143.25,146.65,143.9596,631868.0
4041,2018-10-26,145.0,149.0,142.25,145.25,142.5853,1012026.0
4040,2018-10-25,141.1,148.9,141.1,146.9,144.205,3190626.0
4039,2018-10-24,138.95,144.5,138.95,143.8,141.1619,883223.0
4038,2018-10-23,139.7,139.7,135.7,137.95,135.4192,3146123.0
4037,2018-10-22,141.95,141.95,139.05,140.2,137.6279,1314786.0
4036,2018-10-19,140.25,141.7,138.7,140.7,138.1188,1732413.0
4035,2018-10-17,143.1,143.85,139.0,139.3,136.7445,626999.0
4034,2018-10-16,144.0,145.25,141.45,142.3,139.6894,907055.0
4033,2018-10-15,144.7,145.75,143.25,143.9,141.2601,874297.0
4032,2018-10-12,143.0,146.25,141.55,144.35,141.7018,1497021.0
4031,2018-10-11,136.95,144.5,134.95,141.2,138.6096,3379516.0
4030,2018-10-10,137.35,139.7,136.3,138.7,136.1555,1271603.0
4029,2018-10-09,138.85,138.85,135.0,137.5,134.9775,905100.0
4028,2018-10-08,136.1,140.3,135.55,137.85,135.3211,1982167.0
4027,2018-10-05,142.8,142.8,135.0,136.8,134.2903,2214518.0
4026,2018-10-04,142.35,142.6,140.25,141.55,138.9532,829793.0
4025,2018-10-03,146.1,146.15,142.2,143.55,140.9165,1607092.0
4024,2018-10-01,142.1,146.45,139.0,145.55,142.8798,1156003.0
4023,2018-09-28,147.35,147.35,140.25,142.85,140.2293,1746215.0
4022,2018-09-27,149.4,149.75,145.3,147.15,144.4504,4168865.0
4021,2018-09-26,151.0,152.25,149.2,149.55,146.8064,653889.0
4020,2018-09-25,150.45,152.2,149.05,151.2,148.4261,895517.0
4019,2018-09-24,153.5,154.2,149.65,150.55,147.7881,1100478.0
4018,2018-09-21,154.8,155.7,150.0,153.9,151.0766,1241411.0
4017,2018-09-19,153.25,155.35,153.25,154.2,151.3711,666857.0
4016,2018-09-18,156.15,157.15,152.55,153.0,150.1931,1193200.0
4015,2018-09-17,155.85,158.7,155.0,156.35,153.4817,987825.0
4014,2018-09-14,155.25,158.25,155.15,156.5,153.6289,1327461.0
4013,2018-09-12,152.25,156.2,150.35,155.25,152.4018,1882431.0
4012,2018-09-11,152.0,153.95,151.55,152.25,149.4569,1342228.0
4011,2018-09-10,155.25,155.8,152.45,153.1,150.2913,814771.0
4010,2018-09-07,154.35,155.85,154.05,155.25,152.4018,869135.0
4009,2018-09-06,154.1,156.35,153.3,154.3,151.4693,928673.0
4008,2018-09-05,151.75,155.0,151.0,154.35,151.5184,1851399.0
4007,2018-09-04,158.75,159.25,151.7,152.4,149.6041,2235933.0
4006,2018-09-03,160.0,160.2,158.25,158.85,155.9358,1054840.0
4005,2018-08-31,157.1,161.25,157.1,158.8,155.8867,1377063.0
4004,2018-08-30,159.0,160.4,157.35,157.95,155.0523,1089277.0
4003,2018-08-29,158.4,160.5,156.75,159.25,156.3285,1082208.0
4002,2018-08-28,159.5,162.25,157.0,157.35,154.4633,2389781.0
