,Date,Open,High,Low,Close,Adj Close,Volume
299,2019-06-14,495.75,498.35,483.65,489.5,489.5,33908.0
298,2019-06-13,495.15,497.95,490.85,495.8,495.8,60017.0
297,2019-06-12,495.1,500.5,493.1,496.6,496.6,50993.0
296,2019-06-11,495.6,504.85,495.6,500.75,500.75,74411.0
295,2019-06-10,499.75,504.9,496.5,500.5,500.5,13414.0
294,2019-06-07,501.95,502.0,490.85,499.75,499.75,21413.0
293,2019-06-06,490.2,504.9,490.2,495.6,495.6,16963.0
292,2019-06-04,499.35,501.85,493.0,500.2,500.2,12204.0
291,2019-06-03,496.2,502.0,493.95,498.35,498.35,8449.0
290,2019-05-31,499.65,505.6,484.4,499.15,499.15,172489.0
289,2019-05-30,499.9,499.9,488.1,495.85,495.85,27981.0
288,2019-05-29,493.1,503.75,489.0,491.95,491.95,11286.0
287,2019-05-28,511.0,522.0,490.05,497.25,497.25,107792.0
286,2019-05-27,521.85,521.9,507.2,508.35,508.35,32135.0
285,2019-05-24,510.25,522.0,500.05,519.15,519.15,62154.0
284,2019-05-23,514.05,521.0,503.1,506.4,506.4,116692.0
283,2019-05-22,511.85,517.7,507.35,515.0,515.0,15581.0
282,2019-05-21,517.1,522.0,504.6,516.15,516.15,50947.0
281,2019-05-20,501.1,521.7,483.3,520.25,520.25,68385.0
280,2019-05-17,511.0,514.15,500.55,506.7,506.7,45945.0
279,2019-05-16,511.75,511.95,508.0,510.75,510.75,21380.0
278,2019-05-15,508.25,515.3,507.95,512.6,512.6,24943.0
277,2019-05-14,506.1,513.95,505.3,509.0,509.0,61912.0
276,2019-05-13,511.8,513.6,504.15,509.9,509.9,282652.0
275,2019-05-10,506.9,514.75,503.55,511.55,511.55,83505.0
274,2019-05-09,499.95,508.5,499.95,506.45,506.45,26189.0
273,2019-05-08,505.1,508.75,503.0,507.65,507.65,16156.0
272,2019-05-07,514.95,514.95,502.5,509.85,509.85,69833.0
271,2019-05-06,515.1,515.1,505.0,514.5,514.5,37839.0
270,2019-05-03,510.9,517.4,495.0,515.05,515.05,244685.0
269,2019-05-02,511.15,519.55,502.7,510.9,510.9,691288.0
268,2019-04-30,527.0,527.0,508.0,516.15,516.15,125095.0
267,2019-04-26,499.9,520.0,498.95,516.95,516.95,34971.0
266,2019-04-25,507.0,513.0,505.1,510.15,510.15,50454.0
265,2019-04-24,505.1,507.1,504.95,506.25,506.25,54205.0
264,2019-04-23,490.05,510.0,490.05,505.1,505.1,928471.0
263,2019-04-22,488.05,506.0,487.5,499.45,499.45,75677.0
262,2019-04-18,508.2,508.2,489.3,497.45,497.45,32919.0
261,2019-04-16,503.95,509.0,494.05,508.2,508.2,32297.0
260,2019-04-15,492.95,495.0,487.05,494.0,494.0,122806.0
259,2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0
258,2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0
257,2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0
256,2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0
255,2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0
254,2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0
253,2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0
252,2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0
251,2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0
250,2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
249,2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0
248,2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0
247,2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0
246,2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0
245,2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0
244,2019-03-20,0.0,0.0,0.0,0.0,0.0,0.0
243,2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0
242,2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0
241,2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0
240,2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0
239,2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0
238,2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0
237,2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0
236,2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0
235,2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0
234,2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0
233,2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0
232,2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
231,2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0
230,2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0
229,2019-02-26,0.0,0.0,0.0,0.0,0.0,0.0
228,2019-02-25,0.0,0.0,0.0,0.0,0.0,0.0
227,2019-02-22,0.0,0.0,0.0,0.0,0.0,0.0
226,2019-02-21,0.0,0.0,0.0,0.0,0.0,0.0
225,2019-02-20,0.0,0.0,0.0,0.0,0.0,0.0
224,2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0
223,2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0
222,2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0
221,2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0
220,2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0
219,2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0
218,2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0
217,2019-02-07,0.0,0.0,0.0,0.0,0.0,0.0
216,2019-02-06,0.0,0.0,0.0,0.0,0.0,0.0
215,2019-02-05,0.0,0.0,0.0,0.0,0.0,0.0
214,2019-02-04,0.0,0.0,0.0,0.0,0.0,0.0
213,2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0
212,2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0
211,2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0
210,2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0
209,2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0
208,2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0
207,2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0
206,2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0
205,2019-01-22,0.0,0.0,0.0,0.0,0.0,0.0
204,2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0
203,2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0
202,2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0
201,2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0
200,2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0
199,2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0
198,2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0
197,2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0
196,2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0
195,2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0
194,2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0
193,2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0
192,2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0
191,2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0
190,2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0
189,2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0
188,2018-12-28,0.0,0.0,0.0,0.0,0.0,0.0
187,2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0
186,2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0
185,2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0
184,2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0
183,2018-12-20,0.0,0.0,0.0,0.0,0.0,0.0
182,2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0
181,2018-12-18,0.0,0.0,0.0,0.0,0.0,0.0
180,2018-12-17,0.0,0.0,0.0,0.0,0.0,0.0
179,2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0
178,2018-12-13,0.0,0.0,0.0,0.0,0.0,0.0
177,2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0
176,2018-12-11,0.0,0.0,0.0,0.0,0.0,0.0
175,2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0
174,2018-12-07,0.0,0.0,0.0,0.0,0.0,0.0
173,2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0
172,2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0
171,2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0
170,2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0
169,2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0
168,2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0
167,2018-11-28,0.0,0.0,0.0,0.0,0.0,0.0
166,2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0
165,2018-11-26,0.0,0.0,0.0,0.0,0.0,0.0
164,2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0
163,2018-11-21,0.0,0.0,0.0,0.0,0.0,0.0
162,2018-11-20,0.0,0.0,0.0,0.0,0.0,0.0
161,2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0
160,2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0
159,2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0
158,2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0
157,2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0
156,2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0
155,2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0
154,2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0
153,2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0
152,2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0
151,2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0
150,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0
149,2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0
148,2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0
147,2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0
146,2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0
145,2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0
144,2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0
143,2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0
142,2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0
141,2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0
140,2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0
139,2018-10-16,0.0,0.0,0.0,0.0,0.0,0.0
138,2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0
137,2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0
136,2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0
135,2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0
134,2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0
133,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0
132,2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0
131,2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0
130,2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0
129,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0
128,2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0
127,2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0
126,2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0
125,2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0
124,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0
123,2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0
122,2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0
121,2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0
120,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0
119,2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0
118,2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0
117,2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0
116,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0
115,2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0
114,2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0
113,2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0
112,2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0
111,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0
110,2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0
109,2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0
108,2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0
107,2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0
106,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0
105,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0
104,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0
103,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0
102,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0
101,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0
100,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0
99,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0
98,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0
97,2018-08-10,0.0,0.0,0.0,0.0,0.0,0.0
96,2018-08-09,0.0,0.0,0.0,0.0,0.0,0.0
95,2018-08-08,0.0,0.0,0.0,0.0,0.0,0.0
94,2018-08-07,0.0,0.0,0.0,0.0,0.0,0.0
93,2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0
92,2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0
91,2018-08-02,0.0,0.0,0.0,0.0,0.0,0.0
90,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0
89,2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0
88,2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0
87,2018-07-27,0.0,0.0,0.0,0.0,0.0,0.0
86,2018-07-26,0.0,0.0,0.0,0.0,0.0,0.0
85,2018-07-25,0.0,0.0,0.0,0.0,0.0,0.0
84,2018-07-24,0.0,0.0,0.0,0.0,0.0,0.0
83,2018-07-23,0.0,0.0,0.0,0.0,0.0,0.0
82,2018-07-20,0.0,0.0,0.0,0.0,0.0,0.0
81,2018-07-19,0.0,0.0,0.0,0.0,0.0,0.0
80,2018-07-18,0.0,0.0,0.0,0.0,0.0,0.0
79,2018-07-17,0.0,0.0,0.0,0.0,0.0,0.0
78,2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0
77,2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0
76,2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0
75,2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0
74,2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0
73,2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0
72,2018-07-06,0.0,0.0,0.0,0.0,0.0,0.0
71,2018-07-05,0.0,0.0,0.0,0.0,0.0,0.0
70,2018-07-04,0.0,0.0,0.0,0.0,0.0,0.0
69,2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0
68,2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0
67,2018-06-29,0.0,0.0,0.0,0.0,0.0,0.0
66,2018-06-28,0.0,0.0,0.0,0.0,0.0,0.0
65,2018-06-27,0.0,0.0,0.0,0.0,0.0,0.0
64,2018-06-26,0.0,0.0,0.0,0.0,0.0,0.0
63,2018-06-25,0.0,0.0,0.0,0.0,0.0,0.0
62,2018-06-22,0.0,0.0,0.0,0.0,0.0,0.0
61,2018-06-21,0.0,0.0,0.0,0.0,0.0,0.0
60,2018-06-20,0.0,0.0,0.0,0.0,0.0,0.0
59,2018-06-19,0.0,0.0,0.0,0.0,0.0,0.0
58,2018-06-18,0.0,0.0,0.0,0.0,0.0,0.0
57,2018-06-15,0.0,0.0,0.0,0.0,0.0,0.0
56,2018-06-14,0.0,0.0,0.0,0.0,0.0,0.0
55,2018-06-13,0.0,0.0,0.0,0.0,0.0,0.0
54,2018-06-12,0.0,0.0,0.0,0.0,0.0,0.0
53,2018-06-11,0.0,0.0,0.0,0.0,0.0,0.0
52,2018-06-08,0.0,0.0,0.0,0.0,0.0,0.0
51,2018-06-07,0.0,0.0,0.0,0.0,0.0,0.0
50,2018-06-06,0.0,0.0,0.0,0.0,0.0,0.0
49,2018-06-05,0.0,0.0,0.0,0.0,0.0,0.0
48,2018-06-04,0.0,0.0,0.0,0.0,0.0,0.0
47,2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0
46,2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0
45,2018-05-30,0.0,0.0,0.0,0.0,0.0,0.0
44,2018-05-29,0.0,0.0,0.0,0.0,0.0,0.0
43,2018-05-28,0.0,0.0,0.0,0.0,0.0,0.0
42,2018-05-25,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-05-24,0.0,0.0,0.0,0.0,0.0,0.0
40,2018-05-23,0.0,0.0,0.0,0.0,0.0,0.0
39,2018-05-22,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-05-21,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-05-18,0.0,0.0,0.0,0.0,0.0,0.0
36,2018-05-17,0.0,0.0,0.0,0.0,0.0,0.0
35,2018-05-16,0.0,0.0,0.0,0.0,0.0,0.0
34,2018-05-15,0.0,0.0,0.0,0.0,0.0,0.0
33,2018-05-14,0.0,0.0,0.0,0.0,0.0,0.0
32,2018-05-11,0.0,0.0,0.0,0.0,0.0,0.0
31,2018-05-10,0.0,0.0,0.0,0.0,0.0,0.0
30,2018-05-09,0.0,0.0,0.0,0.0,0.0,0.0
29,2018-05-08,0.0,0.0,0.0,0.0,0.0,0.0
28,2018-05-07,0.0,0.0,0.0,0.0,0.0,0.0
27,2018-05-04,0.0,0.0,0.0,0.0,0.0,0.0
26,2018-05-03,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-05-02,0.0,0.0,0.0,0.0,0.0,0.0
24,2018-04-30,0.0,0.0,0.0,0.0,0.0,0.0
23,2018-04-27,0.0,0.0,0.0,0.0,0.0,0.0
22,2018-04-26,0.0,0.0,0.0,0.0,0.0,0.0
21,2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0
20,2018-04-24,0.0,0.0,0.0,0.0,0.0,0.0
19,2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0
18,2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0
17,2018-04-19,0.0,0.0,0.0,0.0,0.0,0.0
16,2018-04-18,0.0,0.0,0.0,0.0,0.0,0.0
15,2018-04-17,0.0,0.0,0.0,0.0,0.0,0.0
14,2018-04-16,0.0,0.0,0.0,0.0,0.0,0.0
13,2018-04-13,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-04-12,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-04-11,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-04-10,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-04-09,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-04-06,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-04-05,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-04-04,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0
4,2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-03-28,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0
