,Date,Open,High,Low,Close,Adj Close,Volume
2123,2019-06-14,255.35,256.9,253.45,255.15,255.15,2805686.0
2122,2019-06-13,256.0,258.7,253.6,255.6,255.6,3433581.0
2121,2019-06-12,258.7,258.9,255.4,257.0,257.0,3093642.0
2120,2019-06-11,260.4,262.45,257.55,258.75,258.75,4303321.0
2119,2019-06-10,267.0,268.0,257.7,259.3,259.3,4916941.0
2118,2019-06-07,269.1,269.7,263.6,265.55,265.55,4860923.0
2117,2019-06-06,263.9,271.45,263.65,269.15,269.15,11211307.0
2116,2019-06-04,258.8,264.15,258.1,263.4,263.4,6111033.0
2115,2019-06-03,255.0,261.9,253.2,260.9,260.9,6895062.0
2114,2019-05-31,261.0,262.95,252.2,253.5,253.5,22235393.0
2113,2019-05-30,251.95,255.25,249.1,252.95,252.95,16592348.0
2112,2019-05-29,249.9,251.6,247.45,250.7,250.7,3325742.0
2111,2019-05-28,244.9,251.8,244.45,250.7,250.7,13294021.0
2110,2019-05-27,244.9,246.45,243.1,244.1,244.1,1947123.0
2109,2019-05-24,244.75,245.95,241.4,244.9,244.9,2407824.0
2108,2019-05-23,243.0,245.0,239.7,244.15,244.15,4979182.0
2107,2019-05-22,237.65,242.0,237.1,241.25,241.25,3916767.0
2106,2019-05-21,239.7,241.45,234.5,237.2,237.2,5817365.0
2105,2019-05-20,241.9,242.9,235.8,237.7,237.7,6976701.0
2104,2019-05-17,233.1,238.0,232.35,236.15,236.15,7517604.0
2103,2019-05-16,235.15,236.7,229.55,232.15,232.15,4788978.0
2102,2019-05-15,241.75,242.4,233.45,235.1,235.1,5134147.0
2101,2019-05-14,241.0,243.0,238.8,241.8,241.8,3301180.0
2100,2019-05-13,241.75,242.9,237.6,242.1,242.1,3539800.0
2099,2019-05-10,242.0,244.95,240.0,241.25,241.25,5294698.0
2098,2019-05-09,249.1,250.65,241.15,242.3,242.3,6993406.0
2097,2019-05-08,249.6,252.1,248.55,249.1,249.1,4215463.0
2096,2019-05-07,252.0,255.25,247.7,248.8,248.8,4319904.0
2095,2019-05-06,250.1,253.2,248.05,251.35,251.35,3270067.0
2094,2019-05-03,253.05,256.0,251.3,252.1,252.1,5010129.0
2093,2019-05-02,251.6,254.9,250.45,252.35,252.35,5411707.0
2092,2019-04-30,250.5,253.5,246.6,252.15,252.15,6190464.0
2091,2019-04-26,253.5,255.5,250.0,250.5,250.5,2428140.0
2090,2019-04-25,254.85,255.2,248.3,251.65,251.65,20305140.0
2089,2019-04-24,256.0,258.3,253.4,254.0,254.0,14221692.0
2088,2019-04-23,251.0,256.1,251.0,255.5,255.5,7446838.0
2087,2019-04-22,251.45,252.5,248.95,252.05,252.05,4703770.0
2086,2019-04-18,251.75,252.9,249.6,251.45,251.45,7981706.0
2085,2019-04-16,252.0,256.7,248.05,251.6,251.6,71315879.0
2084,2019-04-15,244.0,251.95,243.25,250.0,250.0,15659370.0
2083,2019-04-12,242.0,242.0,239.45,240.8,240.8,3442878.0
2082,2019-04-11,240.1,241.6,238.6,240.95,240.95,3347291.0
2081,2019-04-10,238.9,242.9,238.4,240.05,240.05,8657560.0
2080,2019-04-09,233.0,239.5,232.3,238.4,238.4,9383394.0
2079,2019-04-08,235.0,236.2,231.6,232.95,232.95,4374595.0
2078,2019-04-05,235.0,236.2,233.7,234.7,234.7,3044309.0
2077,2019-04-04,235.0,235.55,232.55,234.8,234.8,3948463.0
2076,2019-04-03,236.5,236.95,233.0,234.1,234.1,5120392.0
2075,2019-04-02,238.95,239.5,235.55,236.4,236.4,7356923.0
2074,2019-04-01,238.1,238.1,231.5,236.4,236.4,13985622.0
2073,2019-03-28,234.4,237.65,232.75,236.1,236.1,20584925.0
2072,2019-03-27,236.4,238.1,233.6,234.45,234.45,4777913.0
2071,2019-03-26,237.25,242.75,234.3,236.45,236.45,7475564.0
2070,2019-03-25,233.0,239.45,231.35,237.2,237.2,7458064.0
2069,2019-03-22,232.7,233.8,230.0,231.95,231.95,14139706.0
2068,2019-03-20,244.6,244.6,236.0,237.0,231.15,20268896.0
2067,2019-03-19,244.55,247.9,241.35,242.9,236.9044,10839789.0
2066,2019-03-18,243.95,245.6,242.0,244.2,238.1723,5518089.0
2065,2019-03-15,238.85,246.15,238.0,244.35,238.3186,16465364.0
2064,2019-03-14,240.9,244.1,238.5,243.2,237.197,13627811.0
2063,2019-03-13,242.0,242.0,233.8,238.65,232.7593,17949230.0
2062,2019-03-12,245.0,246.9,241.2,242.95,236.9531,9766818.0
2061,2019-03-11,236.7,245.0,235.25,243.4,237.392,19931174.0
2060,2019-03-08,233.1,237.5,229.6,234.9,229.1018,12803612.0
2059,2019-03-07,243.0,243.0,233.35,235.0,229.1994,7181084.0
2058,2019-03-06,241.15,246.2,238.0,242.75,236.7581,9535153.0
2057,2019-03-05,233.4,242.0,232.7,241.15,235.1976,9391114.0
2056,2019-03-01,228.8,233.0,226.6,232.65,226.9074,9526492.0
2055,2019-02-28,223.5,229.9,222.15,228.3,222.6647,32625237.0
2054,2019-02-27,221.5,224.4,219.6,221.45,215.9838,8604781.0
2053,2019-02-26,213.3,222.0,213.0,220.15,214.7159,11886116.0
2052,2019-02-25,216.0,216.7,212.7,214.35,209.0591,9386982.0
2051,2019-02-22,214.85,216.9,213.45,214.95,209.6443,5229408.0
2050,2019-02-21,215.05,215.7,213.2,213.7,208.4251,4081685.0
2049,2019-02-20,214.8,216.4,213.55,214.95,209.6443,6637981.0
2048,2019-02-19,215.25,218.95,213.55,214.25,208.9615,5288764.0
2047,2019-02-18,218.0,218.0,214.8,215.15,209.8393,3651021.0
2046,2019-02-15,219.9,221.5,214.7,219.95,214.5209,11511255.0
2045,2019-02-14,217.0,219.7,211.4,217.2,211.8387,14953813.0
2044,2019-02-12,219.8,223.9,219.35,223.05,217.5443,7857592.0
2043,2019-02-11,217.7,220.35,214.15,218.8,213.3992,4580373.0
2042,2019-02-08,223.9,225.65,217.6,218.65,213.2529,2962142.0
2041,2019-02-07,220.8,224.65,220.15,224.2,218.666,3111207.0
2040,2019-02-06,216.5,220.7,216.35,219.95,214.5209,3707342.0
2039,2019-02-05,222.0,223.4,215.7,216.4,211.0585,5557034.0
2038,2019-02-04,223.3,224.2,220.05,222.1,216.6178,3417620.0
2037,2019-02-01,224.35,226.7,222.75,223.2,217.6906,2820146.0
2036,2019-01-31,226.5,227.5,223.05,224.65,219.1048,15389786.0
2035,2019-01-30,222.0,228.0,220.55,225.2,219.6413,7349253.0
2034,2019-01-29,225.4,225.85,221.15,222.55,217.0567,3850399.0
2033,2019-01-28,221.25,227.5,218.05,225.2,219.6413,3917992.0
2032,2019-01-25,224.25,226.2,220.1,220.95,215.4962,3432012.0
2031,2019-01-24,225.7,226.25,223.0,223.85,218.3246,2838220.0
2030,2019-01-23,227.8,228.0,225.25,225.55,219.9826,2328748.0
2029,2019-01-22,228.45,230.35,225.8,227.75,222.1283,4564028.0
2028,2019-01-21,230.45,231.25,228.15,229.0,223.3475,1904575.0
2027,2019-01-18,232.15,232.55,229.6,230.0,224.3228,2944908.0
2026,2019-01-17,232.75,232.75,230.4,232.05,226.3222,3220136.0
2025,2019-01-16,232.8,233.4,231.55,232.05,226.3222,2050899.0
2024,2019-01-15,231.5,233.6,231.05,232.65,226.9074,2323323.0
2023,2019-01-14,232.4,232.5,229.05,230.9,225.2006,2273231.0
2022,2019-01-11,233.7,233.75,231.5,232.25,226.5172,2446815.0
2021,2019-01-10,233.8,233.95,232.05,233.0,227.2487,2292058.0
2020,2019-01-09,234.2,234.85,231.8,232.65,226.9074,2954253.0
2019,2019-01-08,234.5,235.15,232.15,233.3,227.5413,4206563.0
2018,2019-01-07,238.0,238.0,233.5,234.5,228.7117,7347326.0
2017,2019-01-04,234.1,237.7,233.75,236.5,230.6623,2885669.0
2016,2019-01-03,238.7,238.7,233.2,235.0,229.1994,5664136.0
2015,2019-01-02,240.9,241.45,236.05,236.7,230.8574,3897893.0
2014,2019-01-01,241.0,242.45,240.25,241.5,235.5389,2227003.0
2013,2018-12-31,242.7,244.4,240.1,240.75,234.8074,3549194.0
2012,2018-12-28,242.9,243.35,239.75,242.3,236.3192,10583895.0
2011,2018-12-27,249.5,254.0,243.85,250.2,236.9531,26011475.0
2010,2018-12-26,248.3,250.4,246.0,247.05,233.9699,5069728.0
2009,2018-12-24,254.0,254.0,246.9,248.3,235.1537,4368190.0
2008,2018-12-21,250.9,253.35,247.15,252.75,239.3681,12802364.0
2007,2018-12-20,248.6,254.5,248.0,250.55,237.2846,8601671.0
2006,2018-12-19,252.7,253.3,250.0,251.0,237.7108,5294565.0
2005,2018-12-18,252.5,253.85,249.05,251.85,238.5158,6477964.0
2004,2018-12-17,249.1,253.7,246.2,251.45,238.137,9686146.0
