,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1182.0,1189.9,1154.85,1159.95,1159.95,402876.0
4223,2019-06-13,1168.3,1183.2,1168.3,1179.1,1179.1,253445.0
4222,2019-06-12,1175.75,1181.6,1163.9,1174.2,1174.2,331002.0
4221,2019-06-11,1157.4,1181.95,1157.4,1176.75,1176.75,658172.0
4220,2019-06-10,1159.6,1164.5,1150.25,1154.15,1154.15,189108.0
4219,2019-06-07,1164.0,1166.2,1143.55,1155.8,1155.8,232990.0
4218,2019-06-06,1159.2,1164.8,1145.9,1159.75,1159.75,479646.0
4217,2019-06-04,1169.7,1170.5,1124.1,1149.4,1149.4,601434.0
4216,2019-06-03,1152.4,1173.3,1152.4,1168.8,1160.8,688242.0
4215,2019-05-31,1156.25,1165.5,1141.85,1152.35,1144.4625,631905.0
4214,2019-05-30,1160.8,1167.05,1151.5,1159.15,1151.2161,572609.0
4213,2019-05-29,1176.9,1179.9,1157.0,1160.8,1152.8547,267291.0
4212,2019-05-28,1189.0,1193.9,1159.0,1175.8,1167.7521,489968.0
4211,2019-05-27,1158.65,1188.95,1158.65,1180.15,1172.0723,825973.0
4210,2019-05-24,1155.0,1166.75,1150.55,1161.6,1153.6493,161321.0
4209,2019-05-23,1154.0,1176.9,1149.3,1153.3,1145.4061,338959.0
4208,2019-05-22,1161.0,1169.25,1146.0,1151.4,1143.5192,138384.0
4207,2019-05-21,1165.15,1178.8,1153.7,1157.9,1149.9746,340988.0
4206,2019-05-20,1156.75,1173.65,1138.3,1168.25,1160.2538,620307.0
4205,2019-05-17,1120.0,1148.9,1111.0,1142.4,1134.5807,659027.0
4204,2019-05-16,1129.35,1129.35,1104.5,1120.6,1112.9299,339094.0
4203,2019-05-15,1121.95,1128.1,1111.65,1120.45,1112.7809,250551.0
4202,2019-05-14,1125.95,1126.2,1103.05,1122.75,1115.0652,434648.0
4201,2019-05-13,1129.9,1137.2,1118.5,1126.1,1118.3922,322900.0
4200,2019-05-10,1154.9,1154.9,1125.25,1131.35,1123.6063,421094.0
4199,2019-05-09,1147.0,1152.75,1131.0,1148.4,1140.5397,411275.0
4198,2019-05-08,1155.15,1160.35,1140.35,1142.4,1134.5807,318621.0
4197,2019-05-07,1166.0,1174.8,1152.6,1158.65,1150.7195,295424.0
4196,2019-05-06,1162.35,1176.7,1153.6,1164.35,1156.3804,368364.0
4195,2019-05-03,1188.0,1193.5,1163.3,1170.85,1162.8359,405179.0
4194,2019-05-02,1209.0,1223.95,1180.0,1192.45,1184.2881,361969.0
4193,2019-04-30,1205.0,1211.45,1189.75,1208.15,1199.8806,286865.0
4192,2019-04-26,1214.25,1215.0,1198.8,1204.1,1195.8584,212452.0
4191,2019-04-25,1218.0,1220.0,1198.25,1200.6,1192.3823,254303.0
4190,2019-04-24,1215.0,1217.1,1202.8,1214.85,1206.5348,222638.0
4189,2019-04-23,1206.0,1214.2,1199.0,1210.05,1201.7677,173782.0
4188,2019-04-22,1215.95,1217.9,1205.0,1206.5,1198.2419,218792.0
