,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,423.0,424.7,416.5,420.6,420.6,31699.0
4193,2019-06-13,423.6,427.0,412.4,424.9,424.9,120513.0
4192,2019-06-12,426.0,427.0,420.5,424.4,424.4,649951.0
4191,2019-06-11,430.05,431.9,424.35,426.7,426.7,135612.0
4190,2019-06-10,422.55,436.0,421.0,432.65,432.65,62775.0
4189,2019-06-07,431.4,433.4,420.0,424.35,424.35,56978.0
4188,2019-06-06,432.5,436.4,425.0,427.95,427.95,54700.0
4187,2019-06-04,435.1,440.5,430.35,432.35,432.35,287967.0
4186,2019-06-03,436.2,441.0,429.7,436.95,436.95,69405.0
4185,2019-05-31,437.75,439.0,426.0,436.4,436.4,71640.0
4184,2019-05-30,430.4,439.0,425.0,437.05,437.05,117423.0
4183,2019-05-29,438.0,438.7,431.15,433.9,433.9,48270.0
4182,2019-05-28,420.0,437.75,419.15,434.85,434.85,373983.0
4181,2019-05-27,412.8,424.95,409.5,422.1,422.1,293387.0
4180,2019-05-24,403.85,410.9,403.85,409.5,409.5,152951.0
4179,2019-05-23,410.0,411.5,402.2,404.75,404.75,470538.0
4178,2019-05-22,406.95,414.0,403.0,406.8,406.8,202248.0
4177,2019-05-21,416.55,416.55,401.0,405.4,405.4,237758.0
4176,2019-05-20,406.0,412.0,397.0,409.95,409.95,201257.0
4175,2019-05-17,396.05,404.7,393.6,401.35,401.35,54431.0
4174,2019-05-16,401.25,403.8,394.4,399.9,399.9,82992.0
4173,2019-05-15,406.55,407.95,400.7,401.95,401.95,128954.0
4172,2019-05-14,408.9,408.9,401.55,405.6,405.6,95940.0
4171,2019-05-13,414.0,415.7,401.4,413.1,413.1,179471.0
4170,2019-05-10,411.15,419.9,411.15,413.45,413.45,266542.0
4169,2019-05-09,416.8,416.8,410.55,412.85,412.85,62321.0
4168,2019-05-08,419.5,420.0,413.6,418.7,418.7,32299.0
4167,2019-05-07,422.25,426.95,417.55,419.9,419.9,25233.0
4166,2019-05-06,425.2,428.7,421.1,425.6,425.6,31538.0
4165,2019-05-03,429.0,433.55,421.25,427.05,427.05,74204.0
4164,2019-05-02,432.0,440.65,426.2,429.6,429.6,213448.0
4163,2019-04-30,435.7,435.7,424.05,434.35,434.35,378083.0
4162,2019-04-26,436.85,436.85,428.3,432.4,432.4,123863.0
4161,2019-04-25,436.8,441.5,430.0,433.5,433.5,166011.0
4160,2019-04-24,443.0,452.85,434.1,437.25,437.25,1127429.0
4159,2019-04-23,432.0,436.8,422.2,426.15,426.15,105731.0
4158,2019-04-22,442.85,442.85,430.5,431.55,431.55,33727.0
4157,2019-04-18,439.8,442.95,438.05,439.85,439.85,84538.0
4156,2019-04-16,448.0,448.0,436.1,439.8,439.8,87263.0
4155,2019-04-15,436.2,446.5,432.2,442.15,442.15,204983.0
4154,2019-04-12,436.0,439.45,433.0,434.85,434.85,61328.0
4153,2019-04-11,430.55,440.85,428.05,435.05,435.05,182964.0
4152,2019-04-10,443.1,443.25,417.65,427.7,427.7,988066.0
4151,2019-04-09,459.4,459.4,434.2,441.0,441.0,678521.0
4150,2019-04-08,459.8,466.0,456.0,457.4,457.4,66695.0
4149,2019-04-05,450.0,463.95,450.0,456.1,456.1,88576.0
4148,2019-04-04,469.55,473.2,453.15,455.1,455.1,272605.0
4147,2019-04-03,492.3,498.7,467.45,470.6,470.6,192681.0
4146,2019-04-02,500.1,508.85,487.3,492.35,492.35,183923.0
4145,2019-04-01,510.0,511.6,495.0,496.1,496.1,121471.0
4144,2019-03-28,501.0,502.0,485.55,495.8,495.8,221015.0
4143,2019-03-27,481.95,497.7,481.95,494.15,494.15,357820.0
4142,2019-03-26,483.0,486.8,467.45,482.35,482.35,310225.0
4141,2019-03-25,474.0,484.0,466.85,480.1,480.1,88024.0
4140,2019-03-22,470.0,476.4,469.25,472.45,472.45,45490.0
4139,2019-03-20,472.0,474.95,465.55,470.05,470.05,45547.0
4138,2019-03-19,474.0,476.0,466.8,471.75,471.75,61441.0
4137,2019-03-18,483.0,483.0,470.5,472.35,472.35,125810.0
4136,2019-03-15,483.75,488.5,475.2,479.5,479.5,104235.0
4135,2019-03-14,482.0,487.0,474.45,482.8,482.8,55961.0
4134,2019-03-13,481.35,485.0,477.75,479.9,479.9,147839.0
4133,2019-03-12,492.0,503.0,477.15,482.95,482.95,387219.0
4132,2019-03-11,484.3,495.9,477.2,490.45,490.45,219216.0
4131,2019-03-08,473.0,482.0,468.55,480.7,480.7,225338.0
4130,2019-03-07,461.9,478.9,460.0,471.75,471.75,259721.0
4129,2019-03-06,460.0,465.0,449.2,461.5,461.5,104995.0
4128,2019-03-05,439.1,464.0,439.1,462.55,462.55,471819.0
4127,2019-03-01,442.1,447.7,436.65,440.45,440.45,90559.0
4126,2019-02-28,436.85,450.0,434.0,441.85,441.85,102497.0
4125,2019-02-27,437.9,440.0,430.0,436.0,436.0,83714.0
4124,2019-02-26,439.9,444.1,426.35,435.25,435.25,71321.0
4123,2019-02-25,445.0,448.2,439.65,441.45,441.45,148941.0
4122,2019-02-22,445.7,450.5,433.15,441.0,441.0,83944.0
4121,2019-02-21,447.0,448.05,438.85,445.1,445.1,145882.0
4120,2019-02-20,447.65,450.3,442.15,446.9,446.9,103320.0
4119,2019-02-19,448.0,451.95,445.05,447.7,447.7,26051.0
4118,2019-02-18,449.7,454.5,448.25,449.75,449.75,42205.0
4117,2019-02-15,447.2,454.9,443.0,448.35,448.35,86992.0
4116,2019-02-14,447.95,454.9,438.1,444.45,444.45,43482.0
4115,2019-02-12,458.0,459.95,452.2,455.75,455.75,35295.0
4114,2019-02-11,453.3,459.0,453.3,458.7,458.7,58960.0
4113,2019-02-08,453.2,460.0,450.95,454.9,454.9,122953.0
4112,2019-02-07,448.0,459.35,447.35,450.1,450.1,190030.0
4111,2019-02-06,456.1,457.0,444.0,446.55,446.55,43678.0
4110,2019-02-05,461.7,461.8,451.0,453.35,453.35,18553.0
4109,2019-02-04,459.0,463.0,451.8,458.95,458.95,100770.0
4108,2019-02-01,451.0,465.0,449.3,456.75,456.75,215902.0
4107,2019-01-31,448.0,454.9,443.1,449.85,449.85,158045.0
4106,2019-01-30,441.8,454.0,440.55,448.0,445.0,141954.0
4105,2019-01-29,437.35,447.0,434.9,443.3,440.3315,88606.0
4104,2019-01-28,438.7,449.0,431.3,434.85,431.9381,57137.0
4103,2019-01-25,438.05,452.0,435.0,440.3,437.3516,98745.0
4102,2019-01-24,437.0,449.4,434.7,443.95,440.9771,218705.0
4101,2019-01-23,435.6,440.95,428.25,434.2,431.2924,37834.0
4100,2019-01-22,438.0,439.0,411.15,436.45,433.5274,96917.0
4099,2019-01-21,454.0,454.0,430.0,440.15,437.2026,111613.0
4098,2019-01-18,456.2,456.2,449.35,451.9,448.8739,24073.0
4097,2019-01-17,455.05,461.45,452.45,453.5,450.4632,71598.0
4096,2019-01-16,455.5,457.9,453.0,455.0,451.9531,61566.0
