,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,23.5,23.85,22.9,23.35,23.35,335702.0
4223,2019-06-13,24.0,24.25,23.35,23.6,23.6,123166.0
4222,2019-06-12,23.95,24.35,23.85,24.3,24.3,71577.0
4221,2019-06-11,23.95,24.15,23.85,23.95,23.95,84614.0
4220,2019-06-10,24.25,24.8,24.0,24.05,24.05,96777.0
4219,2019-06-07,25.0,25.05,24.25,24.5,24.5,182734.0
4218,2019-06-06,25.3,25.5,24.85,25.0,25.0,168694.0
4217,2019-06-04,24.8,25.55,24.75,25.3,25.3,269310.0
4216,2019-06-03,24.8,25.1,24.75,24.9,24.9,76526.0
4215,2019-05-31,25.3,25.75,24.85,25.1,25.1,188864.0
4214,2019-05-30,25.15,25.7,24.95,25.3,25.3,115764.0
4213,2019-05-29,25.15,25.5,24.9,25.15,25.15,145014.0
4212,2019-05-28,25.1,25.35,24.5,25.15,25.15,142029.0
4211,2019-05-27,24.8,25.4,24.5,25.1,25.1,173501.0
4210,2019-05-24,24.5,24.8,24.0,24.7,24.7,211879.0
4209,2019-05-23,24.4,25.95,24.25,24.4,24.4,449480.0
4208,2019-05-22,24.05,24.4,23.6,24.2,24.2,205290.0
4207,2019-05-21,25.0,25.15,23.55,24.05,24.05,599918.0
4206,2019-05-20,25.1,25.4,23.8,24.95,24.95,633566.0
4205,2019-05-17,25.4,25.95,25.3,25.65,25.65,96504.0
4204,2019-05-16,25.4,26.4,25.25,25.4,25.4,98870.0
4203,2019-05-15,25.35,26.2,25.35,25.55,25.55,137832.0
4202,2019-05-14,25.3,25.9,25.25,25.65,25.65,68132.0
4201,2019-05-13,26.4,26.4,25.55,25.6,25.6,73217.0
4200,2019-05-10,25.55,26.6,25.45,26.35,26.35,107106.0
4199,2019-05-09,25.5,25.85,25.2,25.55,25.55,128258.0
4198,2019-05-08,26.05,26.15,25.2,25.65,25.65,141646.0
4197,2019-05-07,26.35,26.8,26.0,26.1,26.1,115381.0
4196,2019-05-06,26.5,26.8,26.3,26.5,26.5,100762.0
4195,2019-05-03,27.0,27.0,26.45,26.8,26.8,134904.0
4194,2019-05-02,27.4,27.5,26.8,27.0,27.0,129400.0
4193,2019-04-30,28.05,28.2,27.3,27.4,27.4,180117.0
4192,2019-04-26,27.5,28.1,27.4,27.95,27.95,1338540.0
4191,2019-04-25,27.8,28.1,27.45,27.5,27.5,323286.0
4190,2019-04-24,28.0,28.15,27.75,27.8,27.8,425592.0
4189,2019-04-23,27.65,28.25,27.6,28.0,28.0,183340.0
4188,2019-04-22,27.55,28.25,27.55,27.9,27.9,227601.0
4187,2019-04-18,27.9,28.4,27.85,28.0,28.0,554661.0
4186,2019-04-16,28.0,28.5,27.9,28.1,28.1,287020.0
4185,2019-04-15,28.0,28.25,27.8,27.85,27.85,267323.0
4184,2019-04-12,28.05,28.2,27.65,27.95,27.95,198538.0
4183,2019-04-11,28.1,28.35,27.95,28.1,28.1,172244.0
4182,2019-04-10,28.25,28.4,28.1,28.15,28.15,171189.0
4181,2019-04-09,28.35,28.5,27.9,28.25,28.25,354735.0
4180,2019-04-08,28.65,29.1,28.2,28.35,28.35,404848.0
4179,2019-04-05,28.6,28.8,28.25,28.65,28.65,228558.0
4178,2019-04-04,28.95,29.25,28.25,28.5,28.5,449023.0
4177,2019-04-03,29.35,29.75,28.8,28.95,28.95,406615.0
4176,2019-04-02,30.1,30.15,29.2,29.25,29.25,716008.0
4175,2019-04-01,28.75,31.25,28.65,29.85,29.85,1916852.0
