,Date,Open,High,Low,Close,Adj Close,Volume
2348,14-06-2019,70,73,69.65,72.35,72.35,134594
2347,13-06-2019,75.55,76.75,72,73.65,73.65,200502
2346,12-06-2019,78.1,79.9,76.35,76.95,76.95,306467
2345,11-06-2019,80.05,80.85,78.5,79.85,79.85,542569
2344,10-06-2019,77.7,83.5,75,80.3,80.3,865776
2343,07-06-2019,87.95,87.95,76.15,76.8,76.8,1133462
2342,06-06-2019,90.9,91.05,86.65,87.45,87.45,413541
2341,04-06-2019,91,92.3,90,90.75,90.75,150203
2340,03-06-2019,93.1,94.95,90.8,91.35,91.35,378791
2339,31-05-2019,95,95.8,91.6,92.65,92.65,528186
2338,30-05-2019,94.45,95.85,92.35,92.75,92.75,398321
2337,29-05-2019,93.65,95.5,93,93.95,93.95,348277
2336,28-05-2019,93.6,96.1,92.8,93,93,671722
2335,27-05-2019,94,95.3,92.8,92.95,92.95,330759
2334,24-05-2019,94.5,94.6,92.75,93.75,93.75,111967
2333,23-05-2019,95.05,95.65,92.6,94,94,193902
2332,22-05-2019,93.9,94.5,92.6,94.2,94.2,111600
2331,21-05-2019,94.7,96.5,92.6,93.45,93.45,253839
2330,20-05-2019,103.9,103.9,93.15,94,94,309277
2329,17-05-2019,96.2,103,94.5,97.75,97.75,62612
2328,16-05-2019,96.1,98,95.1,96.7,96.7,48776
2327,15-05-2019,96.9,97.7,95.75,96.3,96.3,53443
2326,14-05-2019,98,98.3,94.2,96.25,96.25,96788
2325,13-05-2019,100.05,102,97.05,98,98,121783
2324,10-05-2019,99.3,103.5,99.3,102.5,102.5,281694
2323,09-05-2019,104.8,104.95,96.5,99.15,99.15,708602
2322,08-05-2019,114.15,114.15,105.25,105.7,105.7,240712
2321,07-05-2019,119.6,119.6,113.85,114.8,114.8,69242
2320,06-05-2019,121.75,123,118,118.55,118.55,47263
2319,03-05-2019,121.85,124.8,119.2,121.75,121.75,126764
2318,02-05-2019,121,121.65,118.6,120.15,120.15,70124
2317,30-04-2019,125.55,125.55,115,121.3,121.3,211689
2316,26-04-2019,131.05,131.05,125.1,125.55,125.55,168608
2315,25-04-2019,131.25,132.55,130,130.25,130.25,48757
2314,24-04-2019,131.35,133.05,131.15,131.95,131.95,40194
2313,23-04-2019,133.6,134.8,129.85,133.05,133.05,113097
2312,22-04-2019,134.35,134.75,132,132.25,132.25,44626
2311,18-04-2019,136,138.95,134,135.25,135.25,151522
2310,16-04-2019,135.7,136.5,134.65,135.85,135.85,130529
2309,15-04-2019,135,136.05,134.05,134.6,134.6,89954
2308,12-04-2019,136,136.95,134.8,134.95,134.95,88900
2307,11-04-2019,136.05,139.9,135,135.4,135.4,230258
2306,10-04-2019,139.7,139.9,134.4,134.85,134.85,561257
2305,09-04-2019,142.1,143.4,138.7,139.85,139.85,176302
2304,08-04-2019,136.55,141,136.5,140,140,159703
2303,05-04-2019,133,141.4,131.7,136.4,136.4,269973
2302,04-04-2019,134.9,134.95,131.05,132.95,132.95,107430
2301,03-04-2019,139.3,139.45,133,134.15,134.15,201071
2300,02-04-2019,141.5,141.9,137.65,138.25,138.25,211826
2299,01-04-2019,141,142.2,140,140.5,140.5,165812
