,Date,Open,High,Low,Close,Adj Close,Volume
2149,2019-06-14,279.5,283.0,275.0,281.35,281.35,357611.0
2148,2019-06-13,278.5,283.9,275.5,280.85,280.85,386031.0
2147,2019-06-12,287.0,295.05,280.0,281.8,281.8,442124.0
2146,2019-06-11,293.9,295.0,270.0,290.3,290.3,1519501.0
2145,2019-06-10,320.0,320.0,291.0,295.15,295.15,1695017.0
2144,2019-06-07,324.0,327.55,318.0,320.55,320.55,469295.0
2143,2019-06-06,329.4,337.95,322.6,326.8,326.8,782789.0
2142,2019-06-04,320.4,329.5,319.95,327.05,327.05,631468.0
2141,2019-06-03,316.9,323.6,314.7,320.65,320.65,477609.0
2140,2019-05-31,319.5,325.3,311.6,315.15,315.15,809795.0
2139,2019-05-30,314.95,321.8,314.15,317.9,317.9,545497.0
2138,2019-05-29,315.1,322.0,310.25,313.6,313.6,883844.0
2137,2019-05-28,316.0,317.5,305.7,314.0,314.0,1025331.0
2136,2019-05-27,293.5,313.95,289.0,312.4,312.4,1369975.0
2135,2019-05-24,286.35,297.8,283.4,294.3,294.3,437237.0
2134,2019-05-23,293.0,294.0,282.35,284.2,284.2,185910.0
2133,2019-05-22,286.05,287.0,281.3,283.75,283.75,149233.0
2132,2019-05-21,293.0,294.5,283.5,285.15,285.15,195997.0
2131,2019-05-20,292.25,299.9,288.0,289.85,289.85,578630.0
2130,2019-05-17,282.3,290.1,281.5,284.15,284.15,322751.0
2129,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
2128,2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0
2127,2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0
2126,2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0
2125,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
2124,2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0
2123,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
2122,2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0
2121,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0
2120,2019-05-03,0.0,0.0,0.0,0.0,0.0,0.0
2119,2019-05-02,0.0,0.0,0.0,0.0,0.0,0.0
2118,2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0
2117,2019-04-26,0.0,0.0,0.0,0.0,0.0,0.0
2116,2019-04-25,0.0,0.0,0.0,0.0,0.0,0.0
2115,2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0
2114,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0
2113,2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0
2112,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0
2111,2019-04-16,0.0,0.0,0.0,0.0,0.0,0.0
2110,2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0
2109,2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0
2108,2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0
2107,2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0
2106,2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0
2105,2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0
2104,2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0
2103,2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0
2102,2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0
2101,2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0
2100,2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2099,2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0
