,Date,Open,High,Low,Close,Adj Close,Volume
4154,2019-06-14,83.55,83.9,76.65,80.75,80.75,34284849.0
4153,2019-06-13,91.8,91.8,82.0,84.35,84.35,38397502.0
4152,2019-06-12,95.9,96.0,91.6,93.25,93.25,32670799.0
4151,2019-06-11,91.75,92.9,86.55,90.15,90.15,35946817.0
4150,2019-06-10,87.0,91.5,85.0,89.55,89.55,54696538.0
4149,2019-06-07,91.1,93.2,80.1,83.3,83.3,83601446.0
4148,2019-06-06,100.6,100.6,91.3,93.95,93.95,64964370.0
4147,2019-06-04,113.8,115.75,111.1,111.75,111.75,14080996.0
4146,2019-06-03,112.4,115.0,111.35,113.2,113.2,15059094.0
4145,2019-05-31,115.15,116.0,110.65,111.55,111.55,17194815.0
4144,2019-05-30,115.6,118.5,109.65,114.45,114.45,23340526.0
4143,2019-05-29,112.5,119.5,112.5,115.9,115.9,20658578.0
4142,2019-05-28,119.25,126.0,110.75,114.8,114.8,46825143.0
4141,2019-05-27,120.6,123.45,115.3,119.15,119.15,11443172.0
4140,2019-05-24,116.45,122.3,115.1,120.6,120.6,17800930.0
4139,2019-05-23,123.0,124.7,114.8,115.75,115.75,19618606.0
4138,2019-05-22,117.0,121.75,106.85,117.55,117.55,59919874.0
4137,2019-05-21,128.0,132.0,122.4,130.0,130.0,24776384.0
4136,2019-05-20,118.0,126.4,117.1,124.85,124.85,27597047.0
4135,2019-05-17,112.5,116.3,109.2,112.75,112.75,24796109.0
4134,2019-05-16,108.9,109.0,102.25,106.9,106.9,21296095.0
4133,2019-05-15,116.0,116.5,106.0,107.85,107.85,24005993.0
4132,2019-05-14,108.0,119.65,106.0,117.1,117.1,33435442.0
4131,2019-05-13,116.0,116.0,110.1,110.95,110.95,17593462.0
4130,2019-05-10,118.0,119.4,115.1,116.4,116.4,14732475.0
4129,2019-05-09,117.0,120.2,115.0,116.0,116.0,22773577.0
4128,2019-05-08,114.4,120.5,110.1,116.3,116.3,43462525.0
4127,2019-05-07,134.1,135.5,114.85,116.6,116.6,40281689.0
4126,2019-05-06,139.65,139.65,132.1,132.95,132.95,20724420.0
4125,2019-05-03,134.7,142.8,131.2,141.3,141.3,29016019.0
4124,2019-05-02,134.0,142.25,130.6,133.9,133.9,20108619.0
4123,2019-04-30,143.1,143.2,129.15,135.15,135.15,23539919.0
4122,2019-04-26,147.5,148.9,140.6,143.25,143.25,14637228.0
4121,2019-04-25,145.4,151.0,143.05,144.6,144.6,16168205.0
4120,2019-04-24,141.0,146.3,141.0,144.75,144.75,16152532.0
4119,2019-04-23,139.0,148.6,136.3,140.15,140.15,32161880.0
4118,2019-04-22,153.0,153.05,138.6,140.05,140.05,29400620.0
4117,2019-04-18,172.4,172.9,155.65,157.1,157.1,25656182.0
4116,2019-04-16,167.0,176.45,166.2,171.0,171.0,21723491.0
4115,2019-04-15,169.25,169.95,166.2,167.2,167.2,9298244.0
4114,2019-04-12,167.9,173.4,166.0,167.05,167.05,21761781.0
4113,2019-04-11,167.9,174.55,163.15,172.65,172.65,37160448.0
4112,2019-04-10,165.45,172.9,164.7,167.65,167.65,30986439.0
4111,2019-04-09,161.6,168.85,154.0,167.4,167.4,35063243.0
4110,2019-04-08,166.6,169.85,157.3,161.2,161.2,35281349.0
4109,2019-04-05,149.75,165.5,149.5,163.5,163.5,65545304.0
4108,2019-04-04,149.0,150.75,146.5,148.9,148.9,13145366.0
4107,2019-04-03,145.9,152.85,145.05,148.0,148.0,23490110.0
4106,2019-04-02,149.65,150.1,142.8,145.0,145.0,13496504.0
4105,2019-04-01,152.05,153.3,146.5,149.1,149.1,14133347.0
4104,2019-03-28,137.5,154.8,137.5,149.5,149.5,64167497.0
4103,2019-03-27,136.95,140.0,135.15,136.55,136.55,14156526.0
4102,2019-03-26,129.5,136.5,129.5,135.3,135.3,9788031.0
4101,2019-03-25,130.4,131.3,127.4,130.25,130.25,9086139.0
4100,2019-03-22,137.6,137.8,132.55,133.75,133.75,9713258.0
4099,2019-03-20,138.8,140.0,136.4,137.6,137.6,13340293.0
4098,2019-03-19,137.8,138.0,134.1,136.2,136.2,10116659.0
4097,2019-03-18,136.0,140.0,134.3,135.9,135.9,22946837.0
4096,2019-03-15,132.7,133.3,128.4,132.2,132.2,15648972.0
4095,2019-03-14,134.25,136.7,130.3,131.9,131.9,22993776.0
4094,2019-03-13,129.45,131.3,126.7,127.9,127.9,15831063.0
4093,2019-03-12,133.95,135.6,128.4,128.85,128.85,18315985.0
4092,2019-03-11,138.15,139.3,130.75,132.8,132.8,21197479.0
4091,2019-03-08,141.6,144.25,138.85,139.85,139.85,13328310.0
4090,2019-03-07,150.7,152.0,138.2,141.6,141.6,30408622.0
4089,2019-03-06,147.25,162.3,147.25,148.75,148.75,51106855.0
4088,2019-03-05,129.4,135.25,129.4,133.9,133.9,17764598.0
4087,2019-03-01,127.55,132.5,127.4,128.8,128.8,13312683.0
4086,2019-02-28,128.0,130.45,126.6,127.4,127.4,13919890.0
4085,2019-02-27,132.1,136.25,127.5,128.2,128.2,14292134.0
4084,2019-02-26,130.5,134.9,125.45,130.6,130.6,22322829.0
4083,2019-02-25,142.0,143.4,135.1,136.75,136.75,11792540.0
4082,2019-02-22,138.0,142.5,137.55,139.2,139.2,14438762.0
4081,2019-02-21,131.45,141.75,131.45,137.15,137.15,23133535.0
4080,2019-02-20,127.4,131.3,126.75,130.35,130.35,9380032.0
4079,2019-02-19,129.0,130.5,125.2,126.75,126.75,11188343.0
4078,2019-02-18,124.9,135.5,124.9,128.85,128.85,32069129.0
4077,2019-02-15,128.1,129.45,121.0,123.2,123.2,19036558.0
4076,2019-02-14,104.0,131.35,103.95,127.95,127.95,54153006.0
4075,2019-02-12,104.4,108.75,103.5,106.45,106.45,12866364.0
4074,2019-02-11,109.15,109.65,103.1,104.85,104.85,18177580.0
4073,2019-02-08,112.9,116.5,104.5,109.15,109.15,20598446.0
4072,2019-02-07,120.0,122.75,114.55,115.7,115.7,18215871.0
4071,2019-02-06,124.0,125.0,113.0,119.35,119.35,27483120.0
4070,2019-02-05,114.6,123.7,113.0,122.3,122.3,45736545.0
4069,2019-02-04,100.1,126.7,96.8,115.5,115.5,116877027.0
4068,2019-02-01,134.0,134.5,102.1,111.2,111.2,94989171.0
4067,2019-01-31,156.1,157.5,129.5,135.9,135.9,93032836.0
4066,2019-01-30,167.1,169.6,153.55,161.45,161.45,57307542.0
4065,2019-01-29,182.85,184.0,161.3,169.7,169.7,43628379.0
4064,2019-01-28,203.0,205.6,183.7,184.9,184.9,23916011.0
4063,2019-01-25,211.0,223.8,199.5,209.1,209.1,26135632.0
4062,2019-01-24,210.8,210.8,202.9,207.65,207.65,4803404.0
4061,2019-01-23,206.0,213.3,206.0,209.6,209.6,6409510.0
4060,2019-01-22,211.5,213.7,203.7,205.3,205.3,6065268.0
4059,2019-01-21,216.0,217.95,210.3,211.8,211.8,3664959.0
4058,2019-01-18,221.2,222.85,214.65,216.05,216.05,4305225.0
4057,2019-01-17,224.75,226.35,218.0,219.8,219.8,4421460.0
4056,2019-01-16,219.15,227.35,219.15,223.1,223.1,5538351.0
4055,2019-01-15,221.25,225.5,221.2,223.75,223.75,3888640.0
4054,2019-01-14,221.85,224.25,218.5,220.9,220.9,4725432.0
4053,2019-01-11,226.3,226.4,221.0,222.45,222.45,3626974.0
4052,2019-01-10,227.7,229.65,223.0,224.1,224.1,4514692.0
4051,2019-01-09,232.8,233.4,223.25,227.15,227.15,6664452.0
4050,2019-01-08,230.95,232.4,226.8,231.1,231.1,6103301.0
4049,2019-01-07,241.0,242.4,227.3,228.8,228.8,6243654.0
4048,2019-01-04,235.2,239.3,230.35,238.05,238.05,7329962.0
4047,2019-01-03,241.75,244.3,234.0,235.65,235.65,5839267.0
4046,2019-01-02,245.2,249.35,240.3,241.7,241.7,7176965.0
4045,2019-01-01,249.9,249.9,245.55,246.35,246.35,5893712.0
4044,2018-12-31,244.25,252.4,244.25,249.4,249.4,17694140.0
4043,2018-12-28,241.0,243.5,237.5,240.35,240.35,6458677.0
4042,2018-12-27,241.4,243.35,237.5,239.65,239.65,10126105.0
4041,2018-12-26,232.0,239.3,226.55,237.95,237.95,10561279.0
4040,2018-12-24,243.1,244.45,232.65,234.6,234.6,8610047.0
4039,2018-12-21,239.55,245.7,232.35,240.65,240.65,20483987.0
4038,2018-12-20,224.55,242.3,222.85,238.15,238.15,24128201.0
4037,2018-12-19,216.45,230.0,216.25,227.4,227.4,17094676.0
4036,2018-12-18,215.95,218.8,213.35,214.05,214.05,4581599.0
4035,2018-12-17,217.8,219.75,214.1,218.0,218.0,4724600.0
4034,2018-12-14,219.0,221.0,215.3,216.65,216.65,6428148.0
4033,2018-12-13,218.1,228.7,216.5,218.45,218.45,14433085.0
4032,2018-12-12,211.0,215.6,209.1,213.85,213.85,8408588.0
4031,2018-12-11,194.0,209.95,193.5,206.45,206.45,11057807.0
4030,2018-12-10,195.0,201.0,193.0,198.2,198.2,7910948.0
4029,2018-12-07,208.0,210.0,200.1,202.6,202.6,7328622.0
4028,2018-12-06,209.5,209.8,202.5,205.65,205.65,8320311.0
4027,2018-12-05,222.85,222.85,206.45,210.9,210.9,12582126.0
4026,2018-12-04,219.0,227.7,216.2,224.2,224.2,14753395.0
4025,2018-12-03,214.0,219.8,212.65,217.7,217.7,10513054.0
4024,2018-11-30,207.0,216.85,207.0,212.75,212.75,21239611.0
4023,2018-11-29,209.8,210.7,197.5,199.95,199.95,16701239.0
4022,2018-11-28,221.0,221.05,201.4,208.95,208.95,23687833.0
4021,2018-11-27,223.7,227.85,217.25,222.0,222.0,11852507.0
4020,2018-11-26,234.9,234.9,218.6,222.4,222.4,12876386.0
4019,2018-11-22,238.65,242.85,230.0,232.75,232.75,20766936.0
4018,2018-11-21,227.7,238.8,224.25,234.85,234.85,24463945.0
4017,2018-11-20,229.65,241.45,220.0,225.3,225.3,22120570.0
4016,2018-11-19,227.0,235.0,225.7,231.4,231.4,9529435.0
4015,2018-11-16,245.45,247.0,222.35,225.35,225.35,16251271.0
4014,2018-11-15,239.0,246.7,228.4,244.35,244.35,12359848.0
4013,2018-11-14,239.1,244.9,236.55,238.9,238.9,10653510.0
4012,2018-11-13,240.0,243.55,231.4,237.2,237.2,12943050.0
4011,2018-11-12,235.0,249.7,232.05,241.55,241.55,23851149.0
4010,2018-11-09,232.0,233.9,227.0,232.65,232.65,10177259.0
4009,2018-11-07,230.3,235.0,229.65,230.5,230.5,2337674.0
4008,2018-11-06,223.55,234.5,223.55,228.0,228.0,14939699.0
4007,2018-11-05,232.0,237.0,203.1,220.35,220.35,33151077.0
4006,2018-11-02,235.0,240.0,226.5,231.4,231.4,24138633.0
