,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,20000.0,20149.9492,19600.0,19767.0508,19767.0508,48030.0
4873,2019-06-13,20048.0,20200.0,19900.0,20162.0996,20162.0996,59765.0
4872,2019-06-12,20152.0,20200.0,19972.9004,20105.9004,20105.9004,41876.0
4871,2019-06-11,20176.5996,20220.9004,20000.4004,20132.0,20132.0,42939.0
4870,2019-06-10,20195.0,20320.8008,20025.0996,20131.4004,20131.4004,42626.0
4869,2019-06-07,20143.9004,20219.9004,19850.0,19997.8008,19997.8008,72271.0
4868,2019-06-06,20190.0,20360.0,19955.9004,20083.8008,20083.8008,126296.0
4867,2019-06-04,19994.0,20360.0,19783.5,20043.4004,20043.4004,127955.0
4866,2019-06-03,19860.0,20070.0,19560.0996,19948.1992,19948.1992,157756.0
4865,2019-05-31,20100.0,20263.1992,19800.0,19947.8008,19947.8008,111855.0
4864,2019-05-30,20420.0,20499.9004,19820.0,19891.5,19891.5,134727.0
4863,2019-05-29,20880.0,20927.1992,20360.6992,20423.8008,20423.8008,68932.0
4862,2019-05-28,21050.0,21050.0,20700.0,20790.0996,20790.0996,91732.0
4861,2019-05-27,20910.0,21149.5996,20765.0,20887.3008,20887.3008,66295.0
4860,2019-05-24,20550.0,21047.5,20350.0,20850.6992,20850.6992,109494.0
4859,2019-05-23,21361.0,21649.0,20149.1992,20321.1992,20321.1992,147040.0
4858,2019-05-22,20950.0,21300.0,20746.5,21224.6992,21224.6992,74468.0
4857,2019-05-21,21240.0996,21375.0,20812.0996,20901.8008,20901.8008,60326.0
4856,2019-05-20,21450.0,21610.0,21073.6992,21297.1992,21297.1992,111710.0
4855,2019-05-17,20200.0,21000.0,20054.1992,20937.0,20937.0,131099.0
4854,2019-05-16,20050.0,20380.0996,19525.0,20305.1992,20305.1992,126653.0
4853,2019-05-15,19275.0,20168.9004,19231.0,19997.8008,19997.8008,217165.0
4852,2019-05-14,18310.0,19366.4004,18205.0,19230.9004,19230.9004,374511.0
4851,2019-05-13,20050.0,20121.0,18600.0,18751.8008,18751.8008,342973.0
4850,2019-05-10,20390.0,20417.5996,20301.0,20354.0,20354.0,54755.0
4849,2019-05-09,20315.0,20490.8008,20227.5996,20360.9004,20360.9004,43718.0
4848,2019-05-08,20280.0,20470.0,20250.0,20336.5996,20336.5996,43021.0
4847,2019-05-07,20470.0,20579.9004,20270.0996,20353.1992,20353.1992,48978.0
4846,2019-05-06,20200.0,20485.8008,20199.0,20349.9004,20349.9004,55068.0
4845,2019-05-03,20571.0,20600.0,20340.0,20352.3008,20352.3008,52328.0
4844,2019-05-02,19990.0,20630.0,19860.0,20565.0996,20565.0996,109534.0
4843,2019-04-30,20270.0,20400.0,20150.0,20368.3008,20368.3008,65090.0
4842,2019-04-26,20351.0,20452.5996,20175.0,20330.6992,20330.6992,63786.0
4841,2019-04-25,20510.4004,20639.0,20300.0,20340.1992,20340.1992,91066.0
4840,2019-04-24,20400.0,20580.0,20140.0,20531.5996,20531.5996,80461.0
4839,2019-04-23,20549.0,20549.0,20204.5996,20314.9004,20314.9004,73172.0
4838,2019-04-22,20850.0,20994.8008,20345.0,20400.8008,20400.8008,61522.0
4837,2019-04-18,21378.0,21469.9004,20949.5996,21023.9004,21023.9004,69461.0
4836,2019-04-16,21530.0,21541.8008,21200.0,21270.5996,21270.5996,61719.0
4835,2019-04-15,21362.0,21560.0,21251.0,21331.9004,21331.9004,64604.0
4834,2019-04-12,21027.3008,21430.0,20905.0996,21361.1992,21361.1992,130351.0
4833,2019-04-11,20900.0,21073.9004,20810.4004,20998.1992,20998.1992,97645.0
4832,2019-04-10,20840.0,21080.0,20650.0,20973.8008,20973.8008,83550.0
4831,2019-04-09,20699.0,21024.0,20355.0,20947.0996,20947.0996,80256.0
4830,2019-04-08,21124.0,21189.0,20543.5996,20612.6992,20612.6992,86524.0
