,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,262.0,269.0,261.2,265.1,265.1,10355.0
4223,2019-06-13,262.35,264.5,262.0,263.05,263.05,3485.0
4222,2019-06-12,262.5,265.8,262.25,263.65,263.65,6243.0
4221,2019-06-11,262.0,267.3,262.0,264.05,264.05,3372.0
4220,2019-06-10,271.0,271.45,264.95,268.5,268.5,132627.0
4219,2019-06-07,270.25,274.4,270.0,272.35,272.35,5628.0
4218,2019-06-06,276.0,276.0,270.0,273.85,273.85,5760.0
4217,2019-06-04,278.9,280.0,274.2,275.35,275.35,5718.0
4216,2019-06-03,277.55,282.0,275.0,278.9,278.9,8241.0
4215,2019-05-31,283.0,283.0,272.7,278.1,278.1,15892.0
4214,2019-05-30,279.25,283.45,271.65,282.25,282.25,23721.0
4213,2019-05-29,278.2,284.0,276.95,279.65,279.65,30272.0
4212,2019-05-28,270.0,285.0,269.0,281.85,281.85,219621.0
4211,2019-05-27,265.0,268.45,260.5,264.9,264.9,6663.0
4210,2019-05-24,261.45,263.95,259.95,262.9,262.9,7925.0
4209,2019-05-23,263.85,265.6,256.05,262.35,262.35,13849.0
4208,2019-05-22,264.9,264.9,260.25,262.15,262.15,1801.0
4207,2019-05-21,264.55,266.0,257.15,262.25,262.25,8215.0
4206,2019-05-20,266.0,269.0,260.5,264.75,264.75,15922.0
4205,2019-05-17,261.8,266.0,261.8,262.8,262.8,36844.0
4204,2019-05-16,265.45,265.45,258.4,262.0,262.0,14131.0
4203,2019-05-15,266.45,270.0,260.0,266.6,266.6,647122.0
4202,2019-05-14,253.55,270.0,251.6,268.7,268.7,80928.0
4201,2019-05-13,256.05,257.9,252.55,253.5,253.5,5167.0
4200,2019-05-10,254.0,259.0,254.0,256.95,256.95,973.0
4199,2019-05-09,257.05,258.0,255.9,256.4,256.4,3218.0
4198,2019-05-08,258.0,259.65,256.6,257.25,257.25,3721.0
4197,2019-05-07,258.3,263.15,258.3,259.25,259.25,6314.0
4196,2019-05-06,264.0,267.05,259.75,260.9,260.9,7651.0
4195,2019-05-03,266.45,266.75,262.35,264.25,264.25,20602.0
4194,2019-05-02,265.1,270.0,261.55,267.55,267.55,19893.0
4193,2019-04-30,265.1,268.15,262.2,264.7,264.7,33627.0
4192,2019-04-26,279.95,281.95,265.0,266.1,266.1,199557.0
4191,2019-04-25,268.0,279.8,266.0,275.9,275.9,67138.0
4190,2019-04-24,261.05,273.65,258.0,270.75,270.75,44814.0
4189,2019-04-23,257.45,264.0,254.5,262.55,262.55,18387.0
4188,2019-04-22,260.0,260.0,254.5,255.0,255.0,29058.0
4187,2019-04-18,260.8,261.55,258.0,258.85,258.85,17221.0
4186,2019-04-16,264.85,266.0,259.0,261.65,261.65,16556.0
4185,2019-04-15,258.55,264.9,257.2,264.0,264.0,23642.0
4184,2019-04-12,257.7,259.0,251.0,257.3,257.3,21755.0
4183,2019-04-11,249.0,255.0,249.0,253.45,253.45,27195.0
4182,2019-04-10,249.65,250.85,248.0,249.35,249.35,7744.0
4181,2019-04-09,252.05,252.1,247.15,250.0,250.0,11216.0
4180,2019-04-08,246.0,252.85,246.0,249.65,249.65,6056.0
4179,2019-04-05,248.6,250.35,247.7,248.8,248.8,11467.0
4178,2019-04-04,249.95,254.0,246.05,247.75,247.75,3997.0
4177,2019-04-03,252.5,257.1,246.0,248.85,248.85,34186.0
4176,2019-04-02,255.4,257.65,250.0,250.7,250.7,17158.0
4175,2019-04-01,250.0,262.0,248.7,251.7,251.7,32207.0
4174,2019-03-28,242.6,245.0,241.0,242.2,242.2,4154.0
4173,2019-03-27,241.1,244.95,240.0,240.85,240.85,8371.0
4172,2019-03-26,238.15,240.4,237.5,240.25,240.25,11235.0
4171,2019-03-25,243.8,243.8,238.1,238.85,238.85,23395.0
