,Date,Open,High,Low,Close,Adj Close,Volume
654,2019-06-14,1198.4,1205.95,1185.0,1194.8,1194.8,3115.0
653,2019-06-13,1180.0,1214.95,1169.0,1200.7,1200.7,28060.0
652,2019-06-12,1189.05,1200.7,1180.0,1183.2,1183.2,10193.0
651,2019-06-11,1195.9,1215.0,1190.2,1204.45,1204.45,26596.0
650,2019-06-10,1196.9,1207.0,1185.0,1199.85,1199.85,9803.0
649,2019-06-07,1219.0,1219.0,1183.55,1196.9,1196.9,80796.0
648,2019-06-06,1215.0,1219.0,1186.0,1210.1,1210.1,41988.0
647,2019-06-04,1208.3,1228.5,1201.0,1210.15,1210.15,45701.0
646,2019-06-03,1203.5,1220.0,1189.3,1211.1,1211.1,30162.0
645,2019-05-31,1199.9,1214.9,1191.05,1203.5,1203.5,31562.0
644,2019-05-30,1212.0,1222.0,1179.15,1190.95,1190.95,31726.0
643,2019-05-29,1168.5,1237.0,1158.05,1211.55,1211.55,147817.0
642,2019-05-28,1154.6,1173.9,1145.05,1167.0,1167.0,39742.0
641,2019-05-27,1150.5,1163.35,1150.5,1154.55,1154.55,10304.0
640,2019-05-24,1168.2,1169.0,1155.05,1162.95,1162.95,10125.0
639,2019-05-23,1165.0,1174.9,1135.2,1170.1,1170.1,41665.0
638,2019-05-22,1146.0,1160.0,1140.35,1150.6,1150.6,66503.0
637,2019-05-21,1156.9,1163.35,1145.5,1149.5,1149.5,33387.0
636,2019-05-20,1184.9,1184.9,1146.05,1155.5,1155.5,26324.0
635,2019-05-17,1174.0,1178.1,1142.45,1150.0,1150.0,23959.0
634,2019-05-16,1169.0,1180.0,1150.0,1168.35,1168.35,14168.0
633,2019-05-15,1175.1,1179.0,1153.6,1169.7,1169.7,177917.0
632,2019-05-14,1157.0,1157.0,1125.0,1146.2,1146.2,25322.0
631,2019-05-13,1132.9,1139.25,1125.0,1130.25,1130.25,24490.0
630,2019-05-10,1130.2,1154.95,1130.0,1132.9,1132.9,10471.0
629,2019-05-09,1135.85,1154.9,1123.1,1133.85,1133.85,37862.0
628,2019-05-08,1158.0,1158.0,1130.0,1134.1,1134.1,100994.0
627,2019-05-07,1175.0,1175.0,1148.8,1150.1,1150.1,48891.0
626,2019-05-06,1170.0,1176.85,1157.1,1163.4,1163.4,49121.0
625,2019-05-03,1154.0,1177.7,1154.0,1175.6,1175.6,42294.0
624,2019-05-02,1180.0,1193.7,1158.0,1162.55,1162.55,38036.0
623,2019-04-30,1156.0,1184.0,1144.05,1176.85,1176.85,55813.0
622,2019-04-26,1160.0,1167.0,1152.0,1156.2,1156.2,56663.0
621,2019-04-25,1163.0,1168.75,1157.0,1158.7,1158.7,28135.0
620,2019-04-24,1173.0,1177.4,1160.0,1163.95,1163.95,165900.0
619,2019-04-23,1170.0,1174.95,1162.05,1172.8,1172.8,63459.0
618,2019-04-22,1170.0,1172.0,1158.7,1167.35,1167.35,46837.0
617,2019-04-18,1169.0,1173.55,1159.25,1163.3,1163.3,73810.0
616,2019-04-16,1178.1,1182.0,1163.85,1169.2,1169.2,20233.0
615,2019-04-15,1175.0,1182.0,1168.0,1176.6,1176.6,57902.0
614,2019-04-12,1158.5,1174.9,1158.5,1166.95,1166.95,67909.0
613,2019-04-11,1167.05,1174.0,1161.3,1163.35,1163.35,32879.0
612,2019-04-10,1170.85,1174.75,1165.1,1167.05,1167.05,78500.0
611,2019-04-09,1157.1,1172.3,1157.0,1170.85,1170.85,44101.0
610,2019-04-08,1179.6,1179.6,1168.1,1171.65,1171.65,59958.0
609,2019-04-05,1177.0,1179.0,1167.0,1172.6,1172.6,38012.0
608,2019-04-04,1170.5,1176.0,1152.3,1171.25,1171.25,60741.0
607,2019-04-03,1178.65,1183.7,1160.5,1169.0,1169.0,109244.0
606,2019-04-02,1167.95,1176.3,1153.0,1171.8,1171.8,138872.0
605,2019-04-01,1166.0,1175.95,1146.0,1150.95,1150.95,36653.0
604,2019-03-28,1150.0,1158.0,1146.3,1148.45,1148.45,89097.0
603,2019-03-27,1150.0,1157.85,1138.05,1150.4,1150.4,122180.0
602,2019-03-26,1145.0,1150.0,1138.6,1146.7,1146.7,99994.0
601,2019-03-25,1136.0,1151.0,1136.0,1145.05,1145.05,79453.0
600,2019-03-22,1150.0,1161.3,1130.0,1151.4,1151.4,166117.0
599,2019-03-20,1154.95,1154.95,1140.65,1150.05,1150.05,208831.0
598,2019-03-19,1157.0,1163.7,1139.5,1147.85,1147.85,425926.0
597,2019-03-18,1163.0,1172.0,1149.6,1156.0,1156.0,94622.0
596,2019-03-15,1152.5,1164.75,1145.0,1154.65,1154.65,206914.0
595,2019-03-14,1158.0,1164.8,1145.45,1151.7,1151.7,83299.0
594,2019-03-13,1174.75,1174.75,1151.7,1158.0,1158.0,179882.0
593,2019-03-12,1166.0,1181.9,1165.95,1169.75,1169.75,439337.0
592,2019-03-11,1171.8,1175.8,1157.55,1168.2,1168.2,353811.0
591,2019-03-08,1162.0,1179.9,1162.0,1168.55,1168.55,916051.0
590,2019-03-07,1159.85,1209.0,1151.15,1180.2,1180.2,3400696.0
589,2019-03-06,1140.0,1163.8,1131.2,1146.5,1146.5,2549407.0
588,2019-03-05,1272.0,1305.0,1252.0,1259.3,1259.3,50803.0
587,2019-03-01,1298.1,1310.75,1265.4,1271.45,1271.45,17336.0
586,2019-02-28,1342.0,1351.9,1285.0,1298.1,1298.1,58086.0
585,2019-02-27,1297.0,1384.95,1252.0,1340.35,1340.35,251231.0
584,2019-02-26,1240.0,1313.0,1192.95,1300.85,1300.85,51819.0
583,2019-02-25,1258.05,1268.0,1240.0,1246.75,1246.75,6215.0
582,2019-02-22,1255.05,1286.95,1246.0,1256.5,1256.5,14990.0
581,2019-02-21,1280.0,1289.95,1260.0,1267.75,1267.75,35228.0
580,2019-02-20,1332.0,1359.0,1254.4,1298.75,1298.75,142984.0
579,2019-02-19,1285.05,1350.0,1230.3,1334.5,1334.5,58862.0
578,2019-02-18,1245.25,1295.1,1220.0,1285.25,1285.25,21756.0
577,2019-02-15,1260.4,1263.4,1226.0,1250.25,1250.25,5885.0
576,2019-02-14,1278.0,1295.0,1258.0,1263.95,1263.95,6725.0
575,2019-02-12,1255.2,1287.0,1246.55,1283.1,1283.1,9673.0
574,2019-02-11,1253.05,1294.4,1253.05,1272.55,1272.55,83247.0
573,2019-02-08,1230.3,1279.9,1186.55,1268.35,1268.35,78967.0
572,2019-02-07,1203.95,1264.95,1203.95,1239.95,1239.95,38128.0
571,2019-02-06,1206.8,1215.0,1199.45,1210.4,1210.4,9595.0
570,2019-02-05,1200.0,1218.8,1176.05,1206.9,1206.9,14559.0
569,2019-02-04,1134.95,1220.0,1123.95,1206.25,1206.25,35496.0
568,2019-02-01,1135.0,1162.95,1125.2,1130.25,1130.25,10868.0
567,2019-01-31,1122.2,1165.8,1114.25,1147.95,1147.95,11689.0
566,2019-01-30,1115.0,1130.05,1112.9,1126.2,1126.2,7052.0
565,2019-01-29,1115.0,1135.0,1105.0,1125.25,1125.25,8493.0
564,2019-01-28,1120.0,1136.95,1103.4,1122.75,1122.75,12356.0
563,2019-01-25,1165.0,1165.0,1125.0,1130.7,1130.7,10979.0
562,2019-01-24,1160.25,1163.5,1141.15,1146.65,1146.65,11113.0
561,2019-01-23,1172.15,1174.95,1150.1,1169.95,1169.95,5420.0
560,2019-01-22,1155.0,1157.1,1136.15,1152.25,1152.25,4859.0
559,2019-01-21,1174.0,1174.0,1147.7,1157.0,1157.0,18548.0
558,2019-01-18,1179.35,1179.35,1163.05,1169.25,1169.25,19938.0
557,2019-01-17,1188.0,1193.1,1150.0,1164.9,1164.9,86104.0
556,2019-01-16,1186.5,1197.95,1180.0,1187.7,1187.7,15544.0
555,2019-01-15,1212.1,1212.1,1183.0,1186.5,1186.5,26940.0
554,2019-01-14,1195.85,1205.95,1183.3,1199.55,1199.55,65285.0
553,2019-01-11,1216.6,1218.25,1203.5,1209.0,1209.0,7307.0
552,2019-01-10,1208.5,1220.0,1199.75,1206.55,1206.55,71928.0
551,2019-01-09,1214.0,1218.85,1192.0,1199.7,1199.7,19663.0
550,2019-01-08,1223.0,1250.0,1196.3,1205.05,1205.05,94963.0
549,2019-01-07,1234.95,1264.0,1205.0,1211.3,1211.3,12714.0
548,2019-01-04,1247.55,1258.75,1234.55,1239.75,1239.75,61211.0
547,2019-01-03,1245.45,1253.8,1238.05,1246.7,1246.7,9154.0
546,2019-01-02,1245.0,1268.95,1239.95,1245.15,1245.15,59788.0
545,2019-01-01,1267.45,1284.85,1250.0,1260.2,1260.2,8958.0
544,2018-12-31,1221.0,1298.0,1212.0,1282.8,1282.8,71146.0
543,2018-12-28,1168.8,1234.0,1167.7,1221.85,1221.85,25789.0
542,2018-12-27,1184.9,1184.9,1165.1,1176.5,1176.5,11818.0
541,2018-12-26,1162.0,1167.95,1145.0,1159.3,1159.3,8127.0
540,2018-12-24,1180.0,1180.0,1145.0,1160.6,1160.6,16863.0
539,2018-12-21,1168.0,1184.65,1151.85,1180.6,1180.6,13016.0
538,2018-12-20,1170.35,1184.75,1166.0,1174.7,1174.7,5358.0
537,2018-12-19,1167.0,1208.0,1167.0,1178.7,1178.7,14022.0
536,2018-12-18,1176.0,1199.0,1166.3,1184.1,1184.1,8731.0
535,2018-12-17,1214.05,1223.1,1174.1,1186.8,1186.8,17856.0
534,2018-12-14,1159.0,1249.0,1152.25,1213.35,1213.35,23673.0
533,2018-12-13,1151.05,1184.7,1150.35,1175.0,1175.0,40550.0
532,2018-12-12,1138.25,1174.85,1133.1,1159.55,1159.55,21439.0
531,2018-12-11,1111.45,1150.0,1099.6,1143.2,1143.2,31325.0
530,2018-12-10,1140.0,1140.05,1091.75,1128.3,1128.3,22030.0
529,2018-12-07,1124.9,1158.9,1123.15,1153.7,1153.7,29266.0
528,2018-12-06,1124.0,1124.0,1111.85,1119.15,1119.15,6618.0
527,2018-12-05,1115.1,1137.05,1106.5,1127.1,1127.1,22541.0
526,2018-12-04,1120.25,1139.9,1101.65,1127.85,1127.85,13442.0
525,2018-12-03,1128.0,1130.0,1103.55,1120.25,1120.25,8911.0
524,2018-11-30,1074.0,1124.15,1071.05,1118.8,1118.8,22864.0
523,2018-11-29,1091.85,1093.1,1065.0,1072.8,1072.8,16656.0
522,2018-11-28,1070.15,1094.9,1070.15,1073.2,1073.2,12114.0
521,2018-11-27,1080.0,1087.35,1062.0,1075.05,1075.05,19730.0
520,2018-11-26,1115.0,1115.0,1080.5,1088.8,1088.8,16348.0
519,2018-11-22,1117.0,1124.4,1088.05,1097.5,1097.5,26111.0
518,2018-11-21,1113.0,1129.0,1086.8,1116.45,1116.45,23636.0
517,2018-11-20,1117.35,1118.8,1098.0,1102.9,1102.9,32051.0
516,2018-11-19,1158.95,1158.95,1121.1,1124.9,1124.9,19960.0
515,2018-11-16,1190.0,1200.7,1142.8,1151.0,1151.0,39567.0
514,2018-11-15,1212.0,1224.85,1192.0,1199.6,1199.6,12403.0
513,2018-11-14,1237.8,1259.4,1210.0,1220.65,1220.65,7355.0
512,2018-11-13,1255.0,1260.7,1231.3,1237.8,1237.8,12254.0
511,2018-11-12,1295.75,1307.25,1250.25,1264.05,1264.05,9142.0
510,2018-11-09,1270.05,1298.0,1248.0,1295.75,1295.75,24340.0
509,2018-11-07,1276.45,1276.45,1233.7,1270.05,1270.05,2597.0
508,2018-11-06,1230.05,1275.0,1213.9,1261.95,1261.95,15300.0
507,2018-11-05,1270.0,1280.0,1165.05,1227.35,1227.35,65170.0
506,2018-11-02,1230.0,1269.95,1225.0,1255.65,1255.65,12867.0
505,2018-11-01,1224.7,1243.3,1201.55,1218.25,1218.25,14577.0
504,2018-10-31,1213.0,1220.0,1172.5,1209.75,1209.75,17438.0
503,2018-10-30,1187.95,1215.0,1130.0,1198.4,1198.4,77732.0
502,2018-10-29,1135.0,1183.0,1091.1,1169.9,1169.9,19278.0
501,2018-10-26,1080.0,1120.0,1077.45,1103.6,1103.6,31481.0
500,2018-10-25,1090.15,1107.0,1065.25,1082.15,1082.15,30294.0
499,2018-10-24,1085.0,1105.7,1072.95,1104.8,1104.8,15603.0
498,2018-10-23,1108.95,1108.95,1069.0,1080.65,1080.65,28276.0
497,2018-10-22,1112.0,1129.0,1077.15,1099.7,1099.7,45018.0
496,2018-10-19,1153.9,1153.9,1093.05,1100.85,1100.85,87832.0
495,2018-10-17,1199.9,1205.85,1138.0,1166.15,1166.15,40713.0
494,2018-10-16,1152.05,1200.95,1139.9,1177.05,1177.05,39157.0
493,2018-10-15,1183.95,1183.95,1135.5,1147.5,1147.5,51109.0
492,2018-10-12,1175.0,1199.0,1171.95,1184.0,1184.0,39830.0
491,2018-10-11,1189.8,1189.8,1141.1,1170.1,1170.1,84647.0
490,2018-10-10,1200.0,1215.0,1191.0,1199.05,1199.05,35913.0
489,2018-10-09,1200.0,1220.0,1169.15,1189.1,1189.1,39137.0
488,2018-10-08,1202.4,1221.0,1145.0,1196.0,1196.0,76399.0
487,2018-10-05,1260.0,1276.3,1215.35,1229.45,1229.45,73255.0
486,2018-10-04,1298.1,1321.8,1251.0,1278.35,1278.35,36364.0
485,2018-10-03,1350.0,1350.0,1305.0,1307.45,1307.45,66774.0
484,2018-10-01,1272.0,1365.0,1260.15,1355.85,1355.85,21914.0
483,2018-09-28,1350.1,1379.45,1313.5,1326.15,1326.15,51564.0
482,2018-09-27,1360.1,1376.9,1346.4,1355.45,1355.45,25136.0
481,2018-09-26,1392.55,1403.95,1355.5,1364.75,1364.75,19472.0
480,2018-09-25,1376.1,1400.65,1343.65,1396.3,1396.3,20700.0
479,2018-09-24,1400.0,1400.0,1335.0,1376.1,1376.1,17693.0
478,2018-09-21,1365.05,1420.0,1325.0,1402.45,1402.45,36416.0
477,2018-09-19,1385.0,1393.7,1342.15,1369.85,1369.85,49340.0
