,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,128.75,129.95,128.75,129.65,129.65,85436.0
4223,2019-06-13,130.05,130.9,129.1,129.4,129.4,114286.0
4222,2019-06-12,0.0,0.0,0.0,0.0,0.0,0.0
4221,2019-06-11,128.35,129.85,128.15,129.4,129.4,134577.0
4220,2019-06-10,130.45,130.9,129.6,130.05,128.8,450302.0
4219,2019-06-07,129.5,130.7,129.5,130.05,128.8,274528.0
4218,2019-06-06,130.25,131.1,129.4,129.7,128.4534,245405.0
4217,2019-06-04,130.5,131.2,129.65,130.25,128.9981,287971.0
4216,2019-06-03,131.45,131.45,129.0,129.85,128.6019,281134.0
4215,2019-05-31,130.1,130.3,129.7,130.0,128.7505,240732.0
4214,2019-05-30,129.9,130.5,129.5,130.0,128.7505,240996.0
4213,2019-05-29,130.7,131.3,126.6,129.5,128.2553,491263.0
4212,2019-05-28,131.1,132.85,130.3,130.85,129.5923,1259601.0
4211,2019-05-27,131.6,133.45,130.8,131.3,130.038,298245.0
4210,2019-05-24,132.95,132.95,131.2,131.8,130.5332,1337582.0
4209,2019-05-23,133.0,133.75,131.5,132.0,130.7313,678579.0
4208,2019-05-22,134.55,134.55,132.1,132.55,131.276,1319568.0
4207,2019-05-21,132.05,133.5,131.5,132.55,131.276,1638220.0
4206,2019-05-20,133.55,134.45,133.0,133.8,132.514,276274.0
4205,2019-05-17,133.35,133.35,132.45,133.0,131.7216,286771.0
4204,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
4203,2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0
4202,2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0
4201,2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0
4200,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
4199,2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0
4198,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
4197,2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0
4196,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0
4195,2019-05-03,0.0,0.0,0.0,0.0,0.0,0.0
4194,2019-05-02,136.95,136.95,134.1,135.35,134.0491,354263.0
4193,2019-04-30,0.0,0.0,0.0,0.0,0.0,0.0
4192,2019-04-26,0.0,0.0,0.0,0.0,0.0,0.0
4191,2019-04-25,0.0,0.0,0.0,0.0,0.0,0.0
4190,2019-04-24,0.0,0.0,0.0,0.0,0.0,0.0
4189,2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0
4188,2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0
4187,2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0
4186,2019-04-16,0.0,0.0,0.0,0.0,0.0,0.0
4185,2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0
4184,2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0
4183,2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0
4182,2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0
4181,2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0
4180,2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0
4179,2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0
4178,2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0
4177,2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0
4176,2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0
4175,2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
4174,2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0
4173,2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0
4172,2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0
4171,2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0
4170,2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0
4169,2019-03-20,0.0,0.0,0.0,0.0,0.0,0.0
4168,2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0
4167,2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0
4166,2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0
4165,2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0
4164,2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0
4163,2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0
4162,2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0
4161,2019-03-08,0.0,0.0,0.0,0.0,0.0,0.0
4160,2019-03-07,0.0,0.0,0.0,0.0,0.0,0.0
4159,2019-03-06,0.0,0.0,0.0,0.0,0.0,0.0
4158,2019-03-05,0.0,0.0,0.0,0.0,0.0,0.0
4157,2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
4156,2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0
4155,2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0
4154,2019-02-26,0.0,0.0,0.0,0.0,0.0,0.0
4153,2019-02-25,0.0,0.0,0.0,0.0,0.0,0.0
4152,2019-02-22,0.0,0.0,0.0,0.0,0.0,0.0
4151,2019-02-21,0.0,0.0,0.0,0.0,0.0,0.0
4150,2019-02-20,0.0,0.0,0.0,0.0,0.0,0.0
4149,2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0
4148,2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0
4147,2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0
4146,2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0
4145,2019-02-12,0.0,0.0,0.0,0.0,0.0,0.0
4144,2019-02-11,0.0,0.0,0.0,0.0,0.0,0.0
4143,2019-02-08,0.0,0.0,0.0,0.0,0.0,0.0
4142,2019-02-07,0.0,0.0,0.0,0.0,0.0,0.0
4141,2019-02-06,0.0,0.0,0.0,0.0,0.0,0.0
4140,2019-02-05,0.0,0.0,0.0,0.0,0.0,0.0
4139,2019-02-04,0.0,0.0,0.0,0.0,0.0,0.0
4138,2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0
4137,2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0
4136,2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0
4135,2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0
4134,2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0
4133,2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0
4132,2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0
4131,2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0
4130,2019-01-22,0.0,0.0,0.0,0.0,0.0,0.0
4129,2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0
4128,2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0
4127,2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0
4126,2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0
4125,2019-01-15,0.0,0.0,0.0,0.0,0.0,0.0
4124,2019-01-14,0.0,0.0,0.0,0.0,0.0,0.0
4123,2019-01-11,0.0,0.0,0.0,0.0,0.0,0.0
4122,2019-01-10,0.0,0.0,0.0,0.0,0.0,0.0
4121,2019-01-09,0.0,0.0,0.0,0.0,0.0,0.0
4120,2019-01-08,0.0,0.0,0.0,0.0,0.0,0.0
4119,2019-01-07,0.0,0.0,0.0,0.0,0.0,0.0
4118,2019-01-04,0.0,0.0,0.0,0.0,0.0,0.0
4117,2019-01-03,0.0,0.0,0.0,0.0,0.0,0.0
4116,2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0
4115,2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0
4114,2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0
4113,2018-12-28,0.0,0.0,0.0,0.0,0.0,0.0
4112,2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0
4111,2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0
4110,2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0
4109,2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0
4108,2018-12-20,0.0,0.0,0.0,0.0,0.0,0.0
4107,2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0
4106,2018-12-18,0.0,0.0,0.0,0.0,0.0,0.0
4105,2018-12-17,0.0,0.0,0.0,0.0,0.0,0.0
4104,2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0
4103,2018-12-13,0.0,0.0,0.0,0.0,0.0,0.0
4102,2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0
4101,2018-12-11,0.0,0.0,0.0,0.0,0.0,0.0
4100,2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0
4099,2018-12-07,0.0,0.0,0.0,0.0,0.0,0.0
4098,2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0
4097,2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0
4096,2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0
4095,2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0
4094,2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0
4093,2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0
4092,2018-11-28,0.0,0.0,0.0,0.0,0.0,0.0
4091,2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0
4090,2018-11-26,0.0,0.0,0.0,0.0,0.0,0.0
4089,2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0
4088,2018-11-21,0.0,0.0,0.0,0.0,0.0,0.0
4087,2018-11-20,0.0,0.0,0.0,0.0,0.0,0.0
4086,2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0
4085,2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0
4084,2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0
4083,2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0
4082,2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0
4081,2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0
4080,2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0
4079,2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0
4078,2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0
4077,2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0
4076,2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0
4075,2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0
4074,2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0
4073,2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0
4072,2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0
4071,2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0
4070,2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0
4069,2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0
4068,2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0
4067,2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0
4066,2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0
4065,2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0
4064,2018-10-16,0.0,0.0,0.0,0.0,0.0,0.0
4063,2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0
4062,2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0
4061,2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0
4060,2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0
4059,2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0
4058,2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0
4057,2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0
4056,2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0
4055,2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0
4054,2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0
4053,2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0
4052,2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0
4051,2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0
4050,2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0
4049,2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0
4048,2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0
4047,2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0
4046,2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0
4045,2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0
4044,2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0
4043,2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0
4042,2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0
4041,2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0
4040,2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0
4039,2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0
4038,2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0
4037,2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0
4036,2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0
4035,2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0
4034,2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0
4033,2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0
4032,2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0
4031,2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0
4030,2018-08-24,0.0,0.0,0.0,0.0,0.0,0.0
4029,2018-08-23,0.0,0.0,0.0,0.0,0.0,0.0
4028,2018-08-21,0.0,0.0,0.0,0.0,0.0,0.0
4027,2018-08-20,0.0,0.0,0.0,0.0,0.0,0.0
4026,2018-08-17,0.0,0.0,0.0,0.0,0.0,0.0
4025,2018-08-16,0.0,0.0,0.0,0.0,0.0,0.0
4024,2018-08-14,0.0,0.0,0.0,0.0,0.0,0.0
4023,2018-08-13,0.0,0.0,0.0,0.0,0.0,0.0
4022,2018-08-10,111.4,113.0,109.85,110.15,109.0913,140180.0
4021,2018-08-09,113.1,118.4,110.1,110.9,109.8341,273171.0
4020,2018-08-08,106.8,115.0,106.05,111.45,110.3788,456285.0
4019,2018-08-07,0.0,0.0,0.0,0.0,0.0,0.0
4018,2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0
4017,2018-08-03,0.0,0.0,0.0,0.0,0.0,0.0
4016,2018-08-02,0.0,0.0,0.0,0.0,0.0,0.0
4015,2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0
4014,2018-07-31,0.0,0.0,0.0,0.0,0.0,0.0
4013,2018-07-30,0.0,0.0,0.0,0.0,0.0,0.0
4012,2018-07-27,108.65,110.95,105.7,106.55,105.5259,86013.0
4011,2018-07-26,106.25,108.25,105.25,106.75,105.724,67004.0
4010,2018-07-25,0.0,0.0,0.0,0.0,0.0,0.0
4009,2018-07-24,0.0,0.0,0.0,0.0,0.0,0.0
4008,2018-07-23,0.0,0.0,0.0,0.0,0.0,0.0
4007,2018-07-20,108.4,108.4,104.05,104.55,103.5451,45396.0
4006,2018-07-19,110.0,110.0,106.0,106.4,105.3773,60921.0
4005,2018-07-18,104.55,115.1,104.0,111.7,110.6264,267196.0
4004,2018-07-17,0.0,0.0,0.0,0.0,0.0,0.0
4003,2018-07-16,104.0,106.0,104.0,104.75,103.7432,35380.0
4002,2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0
4001,2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0
4000,2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0
3999,2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0
3998,2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0
