,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,206.3,208.2,205.3,206.0,206.0,806234.0
4223,2019-06-13,209.6,210.45,205.75,206.9,206.9,961621.0
4222,2019-06-12,212.9,213.5,209.5,209.9,209.9,686120.0
4221,2019-06-11,210.2,214.45,208.7,213.45,213.45,681401.0
4220,2019-06-10,211.0,212.05,207.2,210.0,210.0,962923.0
4219,2019-06-07,212.0,213.3,208.65,209.95,209.95,866984.0
4218,2019-06-06,214.9,216.7,208.3,212.4,212.4,1364493.0
4217,2019-06-04,214.5,217.9,213.2,214.9,214.9,1515376.0
4216,2019-06-03,211.0,215.65,210.35,214.8,214.8,1290982.0
4215,2019-05-31,215.65,216.3,212.0,212.95,212.95,1057602.0
4214,2019-05-30,212.0,216.25,212.0,214.55,214.55,1122117.0
4213,2019-05-29,215.85,216.55,212.1,212.7,212.7,1725053.0
4212,2019-05-28,216.6,218.1,214.15,215.65,215.65,2423300.0
4211,2019-05-27,220.75,222.7,215.85,216.35,216.35,1814363.0
4210,2019-05-24,212.0,220.9,208.6,220.15,220.15,3573248.0
4209,2019-05-23,213.2,214.75,208.7,210.1,210.1,2365908.0
4208,2019-05-22,209.8,210.4,206.55,208.95,208.95,734274.0
4207,2019-05-21,216.0,217.8,208.4,209.1,209.1,1049910.0
4206,2019-05-20,213.8,216.0,210.5,214.9,214.9,4344674.0
4205,2019-05-17,205.3,207.75,204.55,207.2,207.2,1058528.0
4204,2019-05-16,205.1,207.1,203.15,205.35,205.35,798214.0
4203,2019-05-15,207.9,208.55,205.0,205.75,205.75,1700678.0
4202,2019-05-14,207.85,209.3,204.8,208.15,208.15,1705166.0
4201,2019-05-13,209.1,210.6,207.0,207.8,207.8,1268975.0
4200,2019-05-10,209.25,214.0,209.25,210.2,210.2,1663536.0
4199,2019-05-09,207.3,210.75,205.75,209.8,209.8,1801270.0
4198,2019-05-08,213.55,213.55,207.2,208.35,208.35,2234014.0
4197,2019-05-07,216.0,216.75,211.45,212.65,212.65,2247717.0
4196,2019-05-06,214.9,216.5,212.5,215.4,215.4,2064106.0
4195,2019-05-03,213.5,217.65,210.25,216.7,216.7,2762190.0
4194,2019-05-02,214.0,214.7,210.15,212.5,212.5,2443229.0
4193,2019-04-30,214.0,220.65,211.35,214.15,214.15,6085830.0
4192,2019-04-26,214.8,215.5,211.95,214.55,214.55,1337328.0
4191,2019-04-25,218.0,219.45,213.15,213.85,213.85,1536675.0
4190,2019-04-24,218.8,219.25,216.05,217.95,217.95,805172.0
4189,2019-04-23,216.8,220.8,215.35,218.4,218.4,1170743.0
4188,2019-04-22,219.0,220.5,215.0,216.4,216.4,1593048.0
4187,2019-04-18,229.5,229.5,216.6,221.8,221.8,3092376.0
4186,2019-04-16,226.1,229.4,224.55,227.25,227.25,1308848.0
4185,2019-04-15,221.4,227.0,220.9,226.3,226.3,1730010.0
4184,2019-04-12,222.9,223.4,218.25,220.9,220.9,1753381.0
4183,2019-04-11,220.4,223.2,219.2,222.85,222.85,1884982.0
4182,2019-04-10,217.55,221.8,216.7,219.9,219.9,1806792.0
4181,2019-04-09,216.7,218.8,214.1,218.25,218.25,1429162.0
4180,2019-04-08,218.85,220.4,215.25,217.1,217.1,1595721.0
4179,2019-04-05,216.45,220.3,214.7,218.75,218.75,3321082.0
4178,2019-04-04,210.1,216.3,210.0,215.45,215.45,3325391.0
4177,2019-04-03,215.55,215.9,209.0,209.8,209.8,4098309.0
4176,2019-04-02,216.45,217.9,214.05,215.05,215.05,1840592.0
4175,2019-04-01,219.65,220.85,214.5,215.45,215.45,4016210.0
4174,2019-03-28,226.0,228.6,220.0,220.9,220.9,3897132.0
4173,2019-03-27,224.8,228.75,224.3,226.35,226.35,1428222.0
4172,2019-03-26,218.75,225.5,216.25,224.3,224.3,1964951.0
4171,2019-03-25,217.5,220.0,215.5,216.75,216.75,1480315.0
4170,2019-03-22,230.85,230.85,220.0,220.9,220.9,2074689.0
4169,2019-03-20,228.5,234.55,227.65,229.45,229.45,1624711.0
4168,2019-03-19,228.45,228.7,226.0,227.85,227.85,961546.0
4167,2019-03-18,229.55,231.65,226.05,227.95,227.95,1025572.0
4166,2019-03-15,228.6,233.65,228.1,229.65,229.65,2652857.0
4165,2019-03-14,230.0,231.95,227.7,229.15,229.15,960695.0
4164,2019-03-13,230.0,233.25,228.15,230.5,230.5,2084109.0
4163,2019-03-12,227.4,232.85,224.6,230.35,230.35,2521824.0
4162,2019-03-11,223.3,228.25,223.3,226.25,226.25,1481133.0
4161,2019-03-08,223.6,226.5,220.95,224.45,224.45,996307.0
4160,2019-03-07,225.0,227.5,223.1,223.75,223.75,1705689.0
4159,2019-03-06,224.55,226.8,223.2,225.2,225.2,1674424.0
4158,2019-03-05,219.9,224.7,218.55,223.1,223.1,2097921.0
4157,2019-03-01,220.95,222.55,216.6,218.35,218.35,1823393.0
4156,2019-02-28,221.6,222.4,217.35,219.75,219.75,1709854.0
4155,2019-02-27,220.5,226.05,218.95,220.55,220.55,1755795.0
4154,2019-02-26,216.8,220.4,210.7,219.2,219.2,2503117.0
4153,2019-02-25,213.5,220.0,212.3,217.35,217.35,2012689.0
4152,2019-02-22,215.6,215.8,211.8,213.55,213.55,1869067.0
4151,2019-02-21,207.0,216.4,206.4,214.45,214.45,6249753.0
4150,2019-02-20,206.0,207.9,194.3,206.4,206.4,8076360.0
4149,2019-02-19,205.7,208.5,204.4,204.95,204.95,772655.0
4148,2019-02-18,206.5,207.45,204.0,205.6,205.6,585108.0
4147,2019-02-15,208.5,209.4,203.5,206.4,206.4,989282.0
4146,2019-02-14,206.2,209.75,204.0,208.7,208.7,1608877.0
4145,2019-02-12,210.0,213.95,208.1,209.05,209.05,1643281.0
4144,2019-02-11,210.0,211.95,205.0,208.65,208.65,2571374.0
4143,2019-02-08,218.05,218.25,210.5,211.25,211.25,3881102.0
4142,2019-02-07,219.0,220.5,216.2,218.25,218.25,2224062.0
4141,2019-02-06,221.0,222.9,215.85,219.0,219.0,2566293.0
4140,2019-02-05,225.5,230.95,217.55,220.15,220.15,4949876.0
4139,2019-02-04,228.0,228.0,216.75,224.3,224.3,7547054.0
4138,2019-02-01,226.5,230.55,224.55,227.05,227.05,3205387.0
4137,2019-01-31,223.85,228.0,221.6,226.9,226.9,2486423.0
4136,2019-01-30,219.0,223.95,217.7,222.6,222.6,4776065.0
4135,2019-01-29,218.6,222.4,215.5,217.35,217.35,2847565.0
4134,2019-01-28,229.55,229.55,219.6,220.4,220.4,2889061.0
4133,2019-01-25,233.25,235.4,229.5,230.15,230.15,2131066.0
4132,2019-01-24,241.0,242.8,232.05,233.2,233.2,2153736.0
4131,2019-01-23,244.65,244.95,240.05,241.1,241.1,1452905.0
4130,2019-01-22,244.0,246.3,241.0,244.6,244.6,1599336.0
4129,2019-01-21,246.7,247.0,242.9,244.05,244.05,1130005.0
4128,2019-01-18,250.6,252.25,246.0,246.8,246.8,940266.0
4127,2019-01-17,253.0,254.4,249.5,250.55,250.55,1433616.0
4126,2019-01-16,257.35,257.8,252.0,252.65,252.65,1249346.0
4125,2019-01-15,253.0,259.35,252.0,257.6,257.6,1362100.0
4124,2019-01-14,259.45,259.8,248.1,251.75,251.75,1666526.0
4123,2019-01-11,261.5,264.5,259.1,259.8,259.8,480704.0
4122,2019-01-10,260.0,263.4,258.85,261.25,261.25,501292.0
4121,2019-01-09,261.9,263.7,258.15,259.85,259.85,590631.0
4120,2019-01-08,261.15,263.9,260.0,261.45,261.45,1233409.0
4119,2019-01-07,261.5,266.65,260.0,262.35,262.35,904616.0
4118,2019-01-04,258.0,260.25,254.75,258.75,258.75,817998.0
4117,2019-01-03,260.0,262.65,256.6,257.5,257.5,1388814.0
4116,2019-01-02,266.0,268.1,260.2,261.4,261.4,795469.0
4115,2019-01-01,268.5,270.7,266.75,267.5,267.5,735215.0
4114,2018-12-31,267.0,271.5,266.4,267.95,267.95,1250437.0
4113,2018-12-28,266.9,270.0,264.65,265.45,265.45,1594762.0
4112,2018-12-27,263.6,269.5,260.15,268.2,268.2,1245606.0
4111,2018-12-26,255.15,262.65,250.35,261.8,261.8,1467191.0
4110,2018-12-24,265.0,265.0,255.65,257.4,257.4,1400203.0
4109,2018-12-21,270.1,270.65,262.45,263.5,263.5,1284285.0
4108,2018-12-20,269.45,273.8,267.5,270.55,270.55,2237991.0
4107,2018-12-19,261.0,272.5,260.0,269.95,269.95,3115484.0
