,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,511.95,511.95,500.0,500.95,500.95,66484.0
4223,2019-06-13,510.5,510.5,500.0,509.7,509.7,25447.0
4222,2019-06-12,517.45,524.0,501.0,505.4,505.4,70047.0
4221,2019-06-11,489.3,520.0,484.05,514.55,514.55,174516.0
4220,2019-06-10,493.95,496.5,484.8,485.55,485.55,42075.0
4219,2019-06-07,488.55,491.0,485.0,489.25,489.25,41655.0
4218,2019-06-06,488.1,494.85,488.1,489.65,489.65,12463.0
4217,2019-06-04,490.05,496.9,489.7,492.15,492.15,9744.0
4216,2019-06-03,490.6,500.0,490.6,492.3,492.3,36599.0
4215,2019-05-31,499.95,504.0,490.85,495.15,495.15,17189.0
4214,2019-05-30,494.95,500.0,494.0,496.85,496.85,22522.0
4213,2019-05-29,494.0,499.4,491.0,492.8,492.8,12418.0
4212,2019-05-28,493.0,505.0,490.35,492.75,492.75,423554.0
4211,2019-05-27,463.5,499.75,461.0,493.65,493.65,195907.0
4210,2019-05-24,457.7,463.5,454.0,457.7,457.7,36910.0
4209,2019-05-23,469.95,470.0,452.0,454.8,454.8,24260.0
4208,2019-05-22,454.0,468.0,454.0,465.45,465.45,20109.0
4207,2019-05-21,459.5,459.65,450.0,454.9,454.9,20281.0
4206,2019-05-20,452.35,469.0,447.1,460.35,460.35,46425.0
4205,2019-05-17,448.9,450.0,442.05,447.8,447.8,9003.0
4204,2019-05-16,0.0,0.0,0.0,0.0,0.0,0.0
4203,2019-05-15,0.0,0.0,0.0,0.0,0.0,0.0
4202,2019-05-14,0.0,0.0,0.0,0.0,0.0,0.0
4201,2019-05-13,0.0,0.0,0.0,0.0,0.0,0.0
4200,2019-05-10,0.0,0.0,0.0,0.0,0.0,0.0
4199,2019-05-09,0.0,0.0,0.0,0.0,0.0,0.0
4198,2019-05-08,0.0,0.0,0.0,0.0,0.0,0.0
4197,2019-05-07,0.0,0.0,0.0,0.0,0.0,0.0
4196,2019-05-06,0.0,0.0,0.0,0.0,0.0,0.0
