,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,862.0,878.45,857.95,864.0,864.0,8448.0
4223,2019-06-13,855.0,882.95,855.0,869.95,869.95,10610.0
4222,2019-06-12,865.0,872.0,859.55,865.95,865.95,4113.0
4221,2019-06-11,867.05,872.15,855.05,868.65,868.65,5481.0
4220,2019-06-10,880.0,880.0,835.6,865.25,865.25,15602.0
4219,2019-06-07,880.0,880.0,860.1,868.75,868.75,6519.0
4218,2019-06-06,908.6,911.45,876.3,881.85,881.85,19210.0
4217,2019-06-04,925.0,929.0,902.1,908.6,908.6,165381.0
4216,2019-06-03,884.0,885.5,873.65,881.4,881.4,3656.0
4215,2019-05-31,876.45,900.95,875.0,883.55,883.55,11763.0
4214,2019-05-30,874.9,884.95,874.8,880.05,880.05,7435.0
4213,2019-05-29,872.05,889.05,871.5,878.35,878.35,4519.0
4212,2019-05-28,901.0,901.0,865.0,872.05,872.05,49281.0
4211,2019-05-27,905.0,925.0,895.0,918.4,918.4,14910.0
4210,2019-05-24,897.4,908.9,897.05,904.6,904.6,14619.0
4209,2019-05-23,892.1,910.05,890.1,897.45,897.45,9065.0
4208,2019-05-22,899.0,900.05,888.8,897.5,897.5,10448.0
4207,2019-05-21,925.0,925.0,890.1,893.05,893.05,8334.0
4206,2019-05-20,925.0,938.0,903.0,917.75,917.75,29078.0
4205,2019-05-17,910.4,913.0,900.0,902.9,902.9,6411.0
4204,2019-05-16,893.25,921.0,893.25,901.4,901.4,87432.0
4203,2019-05-15,900.05,910.0,879.3,900.0,900.0,13324.0
4202,2019-05-14,873.0,905.0,870.0,900.05,900.05,9382.0
4201,2019-05-13,893.95,903.95,873.0,882.3,882.3,9484.0
4200,2019-05-10,910.6,910.6,885.05,885.5,885.5,8458.0
4199,2019-05-09,883.0,911.0,883.0,904.2,904.2,14023.0
4198,2019-05-08,906.0,906.05,880.95,890.8,890.8,13113.0
4197,2019-05-07,922.05,927.0,901.0,906.2,906.2,16971.0
4196,2019-05-06,905.0,931.8,900.05,920.15,920.15,46930.0
4195,2019-05-03,893.0,905.0,888.25,898.1,898.1,15568.0
4194,2019-05-02,914.0,914.0,891.65,899.1,899.1,12476.0
4193,2019-04-30,896.0,916.3,893.7,905.7,905.7,13100.0
4192,2019-04-26,904.0,909.95,887.3,896.0,896.0,8359.0
4191,2019-04-25,894.1,910.65,894.1,904.85,904.85,20562.0
4190,2019-04-24,889.85,905.0,885.2,897.05,897.05,18102.0
4189,2019-04-23,865.0,895.0,852.2,890.4,890.4,27006.0
4188,2019-04-22,860.0,870.95,844.05,867.9,867.9,35947.0
4187,2019-04-18,850.45,864.8,847.25,854.65,854.65,12564.0
4186,2019-04-16,862.9,870.0,838.8,860.85,860.85,9131.0
4185,2019-04-15,863.9,871.4,850.0,861.1,861.1,27641.0
4184,2019-04-12,876.95,876.95,847.2,851.15,851.15,8043.0
4183,2019-04-11,870.0,883.0,860.55,870.4,870.4,11640.0
4182,2019-04-10,850.4,890.0,840.0,865.65,865.65,46250.0
4181,2019-04-09,839.15,853.95,839.15,851.05,851.05,6073.0
4180,2019-04-08,825.1,855.7,825.05,842.15,842.15,11650.0
4179,2019-04-05,822.45,836.35,819.9,825.1,825.1,6908.0
4178,2019-04-04,828.95,829.35,810.0,825.4,825.4,7290.0
4177,2019-04-03,831.9,831.95,812.0,817.05,817.05,8869.0
4176,2019-04-02,820.15,832.95,814.15,827.25,827.25,9225.0
4175,2019-04-01,819.65,821.05,811.2,819.1,819.1,3463.0
4174,2019-03-28,819.5,819.5,788.0,802.4,802.4,20447.0
4173,2019-03-27,807.2,815.9,802.95,813.7,813.7,5475.0
4172,2019-03-26,816.1,816.65,801.0,802.1,802.1,4317.0
4171,2019-03-25,838.9,838.95,796.55,813.8,813.8,20940.0
4170,2019-03-22,815.15,839.95,810.05,828.75,828.75,6624.0
4169,2019-03-20,821.65,825.0,812.0,814.5,814.5,1993.0
4168,2019-03-19,835.0,835.85,811.0,817.15,817.15,17777.0
4167,2019-03-18,835.05,842.8,831.0,839.7,839.7,3145.0
4166,2019-03-15,826.4,849.85,823.05,842.75,842.75,14828.0
4165,2019-03-14,842.15,842.15,824.65,828.65,828.65,4780.0
4164,2019-03-13,854.0,857.8,833.0,840.85,840.85,7162.0
4163,2019-03-12,849.95,857.95,849.95,852.9,852.9,8024.0
4162,2019-03-11,843.05,856.9,840.05,853.7,853.7,8773.0
4161,2019-03-08,820.15,852.75,820.15,848.6,848.6,10550.0
4160,2019-03-07,812.0,833.0,812.0,828.55,828.55,6326.0
4159,2019-03-06,819.95,827.7,811.35,815.4,815.4,11191.0
4158,2019-03-05,815.65,824.0,807.25,817.55,817.55,13929.0
4157,2019-03-01,803.75,819.45,803.75,815.65,815.65,4378.0
4156,2019-02-28,797.5,809.5,789.65,805.45,805.45,7092.0
4155,2019-02-27,799.75,809.95,788.65,793.65,793.65,6147.0
4154,2019-02-26,794.55,804.7,781.35,796.5,796.5,142521.0
4153,2019-02-25,754.05,802.8,754.0,794.45,794.45,10438.0
4152,2019-02-22,751.65,764.95,750.05,759.65,759.65,3681.0
4151,2019-02-21,749.1,757.95,743.0,751.45,751.45,3742.0
4150,2019-02-20,750.5,753.95,738.0,750.0,750.0,10174.0
4149,2019-02-19,762.6,769.85,745.0,752.15,752.15,3224.0
4148,2019-02-18,749.95,768.0,737.1,762.65,762.65,9411.0
4147,2019-02-15,760.15,760.15,732.15,746.2,746.2,5586.0
4146,2019-02-14,741.0,762.95,732.1,760.7,760.7,12787.0
4145,2019-02-12,735.0,808.0,713.3,779.25,779.25,81196.0
4144,2019-02-11,741.05,741.85,727.1,736.15,736.15,4971.0
4143,2019-02-08,749.0,749.0,727.05,741.9,741.9,7009.0
4142,2019-02-07,772.9,774.0,747.6,750.45,750.45,6543.0
4141,2019-02-06,755.0,793.95,737.0,772.45,772.45,81154.0
4140,2019-02-05,762.0,763.95,748.1,757.25,757.25,6771.0
4139,2019-02-04,770.05,774.4,752.0,761.85,761.85,5505.0
4138,2019-02-01,774.95,780.95,761.0,774.2,774.2,4392.0
4137,2019-01-31,784.95,790.0,769.05,771.85,771.85,4670.0
4136,2019-01-30,800.1,809.2,773.5,781.75,781.75,21127.0
4135,2019-01-29,796.0,809.9,795.95,803.8,803.8,5392.0
4134,2019-01-28,790.25,806.25,790.0,800.85,800.85,4013.0
4133,2019-01-25,815.65,815.65,796.65,801.25,801.25,24236.0
4132,2019-01-24,805.1,818.0,797.1,812.7,812.7,4818.0
4131,2019-01-23,818.0,818.05,809.0,810.3,810.3,1557.0
4130,2019-01-22,815.95,822.0,811.15,819.95,819.95,3178.0
4129,2019-01-21,815.0,823.0,812.0,815.5,815.5,1751.0
4128,2019-01-18,815.8,832.95,815.0,823.95,823.95,9863.0
4127,2019-01-17,807.6,819.95,807.6,815.85,815.85,2408.0
4126,2019-01-16,814.45,825.45,806.0,818.05,818.05,16350.0
4125,2019-01-15,810.1,816.0,809.0,811.95,811.95,4642.0
4124,2019-01-14,817.05,825.0,812.0,815.85,815.85,2914.0
4123,2019-01-11,812.5,825.0,810.9,824.6,824.6,4592.0
4122,2019-01-10,810.15,827.0,808.95,813.5,813.5,7274.0
4121,2019-01-09,812.0,816.0,805.75,813.6,813.6,2191.0
4120,2019-01-08,821.0,822.95,809.0,811.3,811.3,3246.0
4119,2019-01-07,815.0,825.95,814.0,820.25,820.25,2177.0
4118,2019-01-04,817.0,820.0,804.55,815.9,815.9,5716.0
4117,2019-01-03,812.0,823.85,811.0,814.95,814.95,3640.0
4116,2019-01-02,825.95,831.8,812.0,815.9,815.9,2205.0
4115,2019-01-01,835.1,849.95,817.0,821.3,821.3,9597.0
4114,2018-12-31,820.7,837.0,815.9,835.1,835.1,4513.0
4113,2018-12-28,825.05,832.2,818.15,820.55,820.55,11955.0
4112,2018-12-27,839.0,839.0,824.5,825.0,825.0,1282.0
4111,2018-12-26,840.65,841.05,822.9,825.45,825.45,7129.0
4110,2018-12-24,829.0,859.9,829.0,845.2,845.2,14424.0
4109,2018-12-21,817.1,828.0,806.0,825.05,825.05,17323.0
4108,2018-12-20,816.8,829.95,811.9,816.3,816.3,2363.0
4107,2018-12-19,814.55,825.3,811.0,820.5,820.5,3084.0
4106,2018-12-18,838.0,839.95,810.05,814.55,814.55,12443.0
4105,2018-12-17,848.95,849.0,828.0,838.55,838.55,4559.0
4104,2018-12-14,811.15,845.05,811.15,840.95,840.95,8775.0
4103,2018-12-13,820.55,826.25,810.0,814.85,814.85,4375.0
4102,2018-12-12,820.05,829.95,817.9,820.2,820.2,1248.0
4101,2018-12-11,800.05,829.95,800.05,820.7,820.7,100904.0
4100,2018-12-10,810.1,818.85,797.0,813.2,813.2,5562.0
4099,2018-12-07,826.4,828.95,810.1,813.85,813.85,4945.0
4098,2018-12-06,820.05,829.95,818.0,825.8,825.8,4094.0
4097,2018-12-05,810.85,829.95,807.55,826.4,826.4,11993.0
4096,2018-12-04,809.5,819.95,800.05,812.65,812.65,5062.0
4095,2018-12-03,819.0,829.95,800.45,810.9,810.9,77728.0
4094,2018-11-30,804.95,824.95,796.7,816.4,816.4,8316.0
4093,2018-11-29,790.45,809.9,782.3,808.0,808.0,9190.0
4092,2018-11-28,795.05,807.0,792.1,798.65,798.65,3286.0
4091,2018-11-27,795.0,804.4,794.1,796.35,796.35,15757.0
4090,2018-11-26,822.6,824.95,800.05,808.25,808.25,4860.0
