,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,240.0,242.05,237.55,238.05,238.05,32593.0
4873,2019-06-13,242.3,243.4,238.5,239.0,239.0,79711.0
4872,2019-06-12,246.0,248.3,241.6,243.7,243.7,72132.0
4871,2019-06-11,242.3,246.6,242.0,245.25,245.25,53118.0
4870,2019-06-10,249.85,251.5,242.15,243.55,243.55,73321.0
4869,2019-06-07,247.8,253.3,246.6,248.5,248.5,118246.0
4868,2019-06-06,262.5,263.55,242.0,246.6,246.6,230411.0
4867,2019-06-04,262.5,268.0,259.55,264.3,264.3,184967.0
4866,2019-06-03,263.35,263.35,256.1,260.25,260.25,52100.0
4865,2019-05-31,266.5,267.4,259.75,261.05,261.05,71451.0
4864,2019-05-30,263.9,269.0,261.0,264.85,264.85,89169.0
4863,2019-05-29,266.0,267.8,262.4,264.1,264.1,84824.0
4862,2019-05-28,272.35,277.45,264.0,266.55,266.55,241559.0
4861,2019-05-27,254.95,274.0,252.35,270.45,270.45,380950.0
4860,2019-05-24,243.9,255.5,241.4,253.3,253.3,165899.0
4859,2019-05-23,248.7,250.35,239.4,240.5,240.5,72941.0
4858,2019-05-22,241.7,247.0,240.35,246.2,246.2,61479.0
4857,2019-05-21,246.75,246.75,240.5,244.0,239.0,63898.0
4856,2019-05-20,242.6,251.35,242.6,244.55,239.5387,169689.0
4855,2019-05-17,236.0,239.65,235.05,237.0,232.1434,103931.0
4854,2019-05-16,242.1,242.1,235.3,235.9,231.066,57505.0
4853,2019-05-15,237.75,243.85,236.6,242.0,237.041,312441.0
4852,2019-05-14,244.0,244.0,236.3,237.75,232.8781,77826.0
4851,2019-05-13,244.95,244.95,240.2,241.05,236.1105,117743.0
4850,2019-05-10,243.9,244.6,240.0,243.1,238.1185,38825.0
4849,2019-05-09,240.0,245.0,237.3,241.6,236.6492,70532.0
4848,2019-05-08,244.95,244.95,240.0,240.6,235.6697,138337.0
4847,2019-05-07,242.15,248.4,242.15,243.8,238.8041,162798.0
4846,2019-05-06,249.85,249.85,243.0,243.7,238.7061,125034.0
4845,2019-05-03,251.5,253.3,247.6,248.35,243.2609,162729.0
4844,2019-05-02,253.0,256.7,250.0,251.3,246.1504,86272.0
4843,2019-04-30,258.8,260.0,249.1,253.25,248.0605,222577.0
4842,2019-04-26,245.65,264.5,245.65,257.75,252.4682,2630961.0
4841,2019-04-25,245.0,245.45,238.65,241.4,236.4533,235417.0
4840,2019-04-24,242.9,247.8,242.3,244.65,239.6367,94051.0
4839,2019-04-23,247.0,249.3,239.65,242.35,237.3838,118238.0
4838,2019-04-22,233.2,247.5,232.6,246.1,241.057,256141.0
4837,2019-04-18,240.0,241.0,233.1,235.05,230.2334,79940.0
4836,2019-04-16,241.8,242.5,238.55,239.95,235.033,67174.0
4835,2019-04-15,243.8,243.8,238.6,239.5,234.5922,70003.0
4834,2019-04-12,240.0,244.0,237.7,242.1,237.1389,91900.0
4833,2019-04-11,238.75,241.0,235.0,238.9,234.0045,88629.0
4832,2019-04-10,242.0,242.8,238.0,238.75,233.8576,79461.0
4831,2019-04-09,243.4,244.5,240.0,240.6,235.6697,64538.0
4830,2019-04-08,244.4,246.0,241.4,243.4,238.4123,39339.0
4829,2019-04-05,241.1,245.0,240.3,244.0,239.0,49379.0
4828,2019-04-04,242.0,244.6,239.0,241.1,236.1594,71342.0
4827,2019-04-03,244.0,247.45,238.15,241.15,236.2084,165572.0
4826,2019-04-02,245.95,250.0,242.65,244.05,239.049,234558.0
4825,2019-04-01,246.15,249.7,242.25,243.55,238.5592,91036.0
4824,2019-03-28,246.7,246.85,241.0,242.05,237.09,58968.0
4823,2019-03-27,232.0,246.9,232.0,243.9,238.9021,158947.0
4822,2019-03-26,233.0,234.0,229.4,232.15,227.3928,67698.0
4821,2019-03-25,239.5,239.5,227.75,231.15,226.4133,92335.0
