,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,523.2,533.0,518.2,525.75,525.75,527008.0
4223,2019-06-13,523.2,529.75,519.25,523.2,523.2,486208.0
4222,2019-06-12,527.0,530.2,520.75,523.2,523.2,317673.0
4221,2019-06-11,534.95,534.95,525.0,527.7,527.7,346085.0
4220,2019-06-10,527.0,536.05,526.0,533.3,533.3,296990.0
4219,2019-06-07,535.8,538.6,518.25,527.35,527.35,697488.0
4218,2019-06-06,543.3,544.7,535.25,537.9,537.9,489409.0
4217,2019-06-04,547.0,552.6,539.2,540.6,540.6,463313.0
4216,2019-06-03,547.0,549.0,540.3,546.35,546.35,489718.0
4215,2019-05-31,543.0,548.65,536.65,545.35,545.35,1412679.0
4214,2019-05-30,537.8,557.8,537.25,554.05,554.05,1894226.0
4213,2019-05-29,556.9,559.0,537.25,544.6,544.6,726540.0
4212,2019-05-28,564.0,565.7,555.5,557.05,557.05,735034.0
4211,2019-05-27,560.0,564.8,556.5,559.45,559.45,432832.0
4210,2019-05-24,564.2,567.0,555.0,559.0,559.0,707301.0
4209,2019-05-23,576.5,581.75,559.15,562.35,562.35,783801.0
4208,2019-05-22,577.85,577.85,567.0,570.05,570.05,467037.0
4207,2019-05-21,580.0,585.4,566.2,575.45,575.45,516221.0
4206,2019-05-20,586.0,596.3,574.25,576.7,576.7,377365.0
4205,2019-05-17,578.0,585.95,569.65,581.1,581.1,454240.0
4204,2019-05-16,592.0,593.85,567.0,576.2,576.2,861242.0
4203,2019-05-15,605.0,614.0,586.2,588.45,588.45,466689.0
4202,2019-05-14,584.0,608.9,582.85,602.7,602.7,701925.0
4201,2019-05-13,611.0,616.75,589.1,592.35,592.35,720449.0
4200,2019-05-10,614.9,627.0,607.25,617.25,617.25,524495.0
4199,2019-05-09,600.0,613.0,600.0,610.3,610.3,555141.0
4198,2019-05-08,636.45,636.45,596.1,603.7,603.7,931282.0
4197,2019-05-07,624.05,639.0,624.0,634.85,634.85,377102.0
4196,2019-05-06,631.5,637.5,618.35,623.75,623.75,433045.0
4195,2019-05-03,626.0,635.4,619.0,633.2,633.2,482047.0
4194,2019-05-02,636.7,638.35,622.0,626.9,626.9,313580.0
4193,2019-04-30,647.3,654.2,631.85,638.4,638.4,515973.0
4192,2019-04-26,644.0,654.9,641.5,647.8,647.8,844766.0
4191,2019-04-25,638.0,645.65,636.4,641.2,641.2,978919.0
4190,2019-04-24,633.0,638.6,627.95,636.4,636.4,472069.0
4189,2019-04-23,625.0,632.8,616.55,629.3,629.3,440451.0
4188,2019-04-22,639.0,640.9,623.4,626.1,626.1,334980.0
4187,2019-04-18,646.0,648.6,633.9,639.15,639.15,496634.0
4186,2019-04-16,645.1,654.9,640.8,642.85,642.85,570877.0
4185,2019-04-15,652.3,653.0,641.1,644.8,644.8,299389.0
4184,2019-04-12,649.65,659.3,645.05,648.8,648.8,672693.0
4183,2019-04-11,647.5,653.05,646.1,651.25,651.25,238947.0
4182,2019-04-10,640.0,654.85,638.0,649.9,649.9,385828.0
4181,2019-04-09,642.0,644.7,635.1,640.9,640.9,202389.0
4180,2019-04-08,644.65,650.85,638.7,644.7,644.7,287618.0
4179,2019-04-05,657.7,658.45,642.0,644.55,644.55,418976.0
4178,2019-04-04,644.6,656.4,637.55,654.4,654.4,632258.0
4177,2019-04-03,647.6,653.4,636.3,641.35,641.35,259558.0
4176,2019-04-02,657.35,657.35,645.9,650.7,650.7,291133.0
4175,2019-04-01,648.0,656.85,642.1,653.15,653.15,363614.0
4174,2019-03-28,645.0,651.0,637.55,650.3,650.3,471259.0
4173,2019-03-27,649.4,651.0,640.0,641.25,641.25,296494.0
4172,2019-03-26,639.9,651.05,636.3,649.0,649.0,600366.0
4171,2019-03-25,634.5,642.0,630.3,635.65,635.65,690354.0
4170,2019-03-22,651.0,655.45,640.0,645.25,645.25,328279.0
4169,2019-03-20,646.0,658.0,640.9,649.3,649.3,624294.0
4168,2019-03-19,643.85,651.65,640.85,645.6,645.6,519407.0
4167,2019-03-18,640.5,646.3,631.1,643.85,643.85,444082.0
4166,2019-03-15,634.3,652.0,633.1,641.55,641.55,1533529.0
4165,2019-03-14,632.35,636.55,625.1,631.1,631.1,424422.0
4164,2019-03-13,633.4,645.65,630.0,632.35,632.35,713677.0
4163,2019-03-12,618.9,642.0,618.0,635.25,635.25,1518843.0
4162,2019-03-11,598.0,617.5,598.0,616.25,616.25,387004.0
4161,2019-03-08,611.5,614.0,595.6,598.05,598.05,533133.0
4160,2019-03-07,600.9,621.35,600.9,611.4,611.4,962522.0
4159,2019-03-06,605.1,610.0,597.3,603.65,603.65,593887.0
4158,2019-03-05,600.0,608.0,598.45,604.35,604.35,387115.0
4157,2019-03-01,593.0,602.0,587.65,599.05,599.05,519603.0
4156,2019-02-28,587.8,598.3,584.25,596.55,596.55,588615.0
4155,2019-02-27,590.85,597.95,580.0,583.55,583.55,398269.0
4154,2019-02-26,588.8,598.0,571.75,588.75,588.75,788030.0
4153,2019-02-25,593.05,603.35,590.15,593.0,593.0,496779.0
4152,2019-02-22,589.8,598.0,583.3,593.0,593.0,513603.0
4151,2019-02-21,591.0,591.75,581.2,586.85,586.85,402915.0
4150,2019-02-20,579.6,590.4,579.2,586.95,586.95,435907.0
4149,2019-02-19,577.7,592.0,574.0,579.15,579.15,700823.0
4148,2019-02-18,575.0,580.0,562.7,577.1,577.1,1093956.0
4147,2019-02-15,609.2,609.2,554.0,569.35,569.35,4210524.0
4146,2019-02-14,597.9,614.05,591.2,609.2,609.2,744340.0
4145,2019-02-12,605.0,611.0,593.05,601.4,601.4,604163.0
4144,2019-02-11,614.0,624.1,598.0,602.65,602.65,628726.0
4143,2019-02-08,640.9,645.0,611.2,614.45,614.45,832818.0
4142,2019-02-07,647.95,647.95,633.55,639.9,639.9,351239.0
4141,2019-02-06,633.0,644.55,627.5,641.5,641.5,377161.0
4140,2019-02-05,645.05,652.65,630.75,635.45,635.45,293822.0
4139,2019-02-04,663.0,664.7,641.25,646.3,646.3,537394.0
4138,2019-02-01,654.8,665.0,646.5,661.85,661.85,398672.0
4137,2019-01-31,638.05,654.0,636.75,651.65,651.65,366009.0
4136,2019-01-30,644.0,645.1,630.25,638.6,638.6,367742.0
4135,2019-01-29,635.9,649.4,623.75,645.65,645.65,452693.0
4134,2019-01-28,647.95,647.95,629.05,631.6,631.6,358789.0
4133,2019-01-25,651.8,656.0,640.65,646.9,646.9,273361.0
4132,2019-01-24,653.95,658.0,641.7,649.75,649.75,523889.0
4131,2019-01-23,655.95,655.95,645.95,649.4,649.4,429188.0
4130,2019-01-22,642.05,658.7,642.05,656.95,656.95,567971.0
4129,2019-01-21,639.75,654.75,637.1,646.1,646.1,796703.0
4128,2019-01-18,659.9,663.0,635.0,640.4,640.4,959374.0
4127,2019-01-17,655.75,664.0,651.25,661.5,661.5,599607.0
4126,2019-01-16,664.5,669.0,652.5,655.95,655.95,786856.0
4125,2019-01-15,670.0,671.45,659.45,665.05,665.05,587843.0
4124,2019-01-14,651.9,670.05,648.25,666.7,666.7,679289.0
4123,2019-01-11,668.5,673.35,647.7,651.3,651.3,1007280.0
4122,2019-01-10,655.9,670.0,652.0,667.85,667.85,571292.0
4121,2019-01-09,655.5,660.45,648.3,656.7,656.7,589840.0
4120,2019-01-08,655.0,659.4,649.25,654.5,654.5,585844.0
4119,2019-01-07,669.0,669.0,645.8,653.65,653.65,1079160.0
4118,2019-01-04,660.5,666.0,656.0,664.25,664.25,818827.0
4117,2019-01-03,682.5,682.6,659.35,661.55,661.55,612332.0
4116,2019-01-02,691.8,691.8,673.05,683.05,683.05,583438.0
4115,2019-01-01,690.5,697.6,687.55,692.15,692.15,436483.0
4114,2018-12-31,696.5,705.9,690.4,693.05,693.05,991436.0
4113,2018-12-28,688.0,700.75,679.0,696.75,696.75,1014317.0
4112,2018-12-27,676.5,688.0,662.65,683.1,683.1,1026004.0
4111,2018-12-26,676.0,676.0,662.8,671.05,671.05,590655.0
4110,2018-12-24,667.0,681.6,666.05,677.05,677.05,524151.0
4109,2018-12-21,687.9,694.7,669.6,672.2,672.2,1119618.0
4108,2018-12-20,686.3,690.4,680.25,686.65,686.65,411515.0
4107,2018-12-19,686.5,693.55,678.0,686.95,686.95,746190.0
4106,2018-12-18,683.0,693.0,680.0,686.1,686.1,746278.0
4105,2018-12-17,672.9,698.0,671.1,684.65,684.65,2052539.0
4104,2018-12-14,678.3,685.6,661.1,668.55,668.55,880275.0
4103,2018-12-13,662.85,682.0,653.9,677.3,677.3,1423964.0
4102,2018-12-12,663.1,670.9,655.55,658.6,658.6,877502.0
4101,2018-12-11,630.6,667.5,630.5,665.0,665.0,1567642.0
4100,2018-12-10,638.5,646.0,626.65,635.0,635.0,826841.0
4099,2018-12-07,629.1,650.95,628.65,644.55,644.55,1766739.0
4098,2018-12-06,621.3,629.0,616.0,625.5,625.5,965058.0
4097,2018-12-05,616.2,631.0,615.25,626.75,626.75,1208374.0
4096,2018-12-04,621.7,631.9,610.1,619.75,619.75,3300878.0
4095,2018-12-03,655.9,667.75,617.25,621.7,621.7,2178887.0
4094,2018-11-30,640.45,655.55,640.45,653.15,653.15,1936061.0
4093,2018-11-29,650.1,655.0,633.2,637.25,637.25,1094871.0
4092,2018-11-28,647.0,653.0,643.0,648.7,648.7,548137.0
4091,2018-11-27,643.45,656.2,633.0,645.9,645.9,1190266.0
4090,2018-11-26,641.5,648.35,626.4,641.6,641.6,1302248.0
4089,2018-11-22,644.3,648.65,631.35,638.4,638.4,664173.0
4088,2018-11-21,635.4,647.25,635.4,641.15,641.15,597526.0
4087,2018-11-20,648.15,649.45,627.25,635.4,635.4,1053489.0
4086,2018-11-19,649.55,653.8,639.05,646.25,646.25,747558.0
4085,2018-11-16,671.2,674.0,645.4,646.95,646.95,688643.0
4084,2018-11-15,657.0,670.0,655.0,664.85,664.85,885893.0
4083,2018-11-14,684.9,684.9,641.25,655.1,655.1,1927144.0
4082,2018-11-13,660.0,679.0,642.15,676.2,676.2,1230531.0
4081,2018-11-12,677.0,683.6,657.65,661.1,661.1,819350.0
4080,2018-11-09,665.0,679.9,662.0,676.15,676.15,1392249.0
4079,2018-11-07,660.8,668.0,660.0,665.55,665.55,420400.0
4078,2018-11-06,627.0,661.5,627.0,657.5,657.5,2361968.0
4077,2018-11-05,629.75,635.85,617.45,631.0,631.0,516105.0
4076,2018-11-02,624.0,643.35,621.45,626.45,626.45,634596.0
4075,2018-11-01,621.75,633.3,615.25,624.05,624.05,708721.0
4074,2018-10-31,606.4,624.4,605.05,621.5,621.5,730530.0
4073,2018-10-30,606.0,615.95,599.25,604.0,604.0,664523.0
4072,2018-10-29,592.5,607.0,589.55,604.45,604.45,575082.0
4071,2018-10-26,619.0,619.0,584.3,593.45,593.45,938566.0
4070,2018-10-25,622.9,622.9,600.25,612.6,612.6,813966.0
4069,2018-10-24,616.0,631.5,610.3,625.55,625.55,707019.0
4068,2018-10-23,606.05,624.0,606.05,615.7,615.7,804261.0
4067,2018-10-22,599.0,619.6,595.45,614.55,614.55,826063.0
4066,2018-10-19,594.9,603.3,591.0,599.0,599.0,713818.0
4065,2018-10-17,608.2,611.75,595.0,599.7,599.7,529012.0
4064,2018-10-16,612.5,620.9,599.45,605.35,605.35,819871.0
4063,2018-10-15,602.3,616.0,596.0,612.45,612.45,776606.0
4062,2018-10-12,599.25,606.0,589.3,602.25,602.25,555685.0
4061,2018-10-11,589.4,611.7,580.0,598.1,598.1,893280.0
4060,2018-10-10,593.85,600.25,585.0,598.35,598.35,483219.0
4059,2018-10-09,595.4,604.6,581.6,590.15,590.15,733179.0
4058,2018-10-08,585.2,600.8,574.25,597.15,597.15,766621.0
4057,2018-10-05,601.8,613.0,580.1,585.7,585.7,822352.0
4056,2018-10-04,622.0,625.4,578.1,601.8,601.8,1732079.0
4055,2018-10-03,637.0,642.0,621.6,625.65,625.65,676560.0
4054,2018-10-01,631.0,640.3,605.6,635.5,635.5,1042337.0
4053,2018-09-28,644.3,655.8,622.65,632.15,632.15,865754.0
4052,2018-09-27,658.9,660.6,638.4,644.4,644.4,743032.0
4051,2018-09-26,640.85,659.3,640.85,654.25,654.25,1382163.0
4050,2018-09-25,630.5,647.6,619.0,634.55,634.55,1239937.0
4049,2018-09-24,658.7,658.7,621.55,629.8,629.8,957306.0
4048,2018-09-21,674.5,682.7,632.0,654.8,654.8,1131487.0
4047,2018-09-19,685.05,687.15,666.0,670.65,670.65,642324.0
4046,2018-09-18,679.5,689.8,676.0,681.0,679.0,760703.0
4045,2018-09-17,692.2,705.0,673.8,680.5,678.5015,1471812.0
4044,2018-09-14,677.2,695.85,677.2,692.3,690.2668,1017120.0
4043,2018-09-12,668.35,676.95,653.0,673.4,671.4224,960706.0
4042,2018-09-11,691.85,694.6,667.9,669.5,667.5338,1309700.0
4041,2018-09-10,685.0,711.9,682.0,686.8,684.783,2620195.0
4040,2018-09-07,681.0,692.0,674.0,685.15,683.1379,1230314.0
4039,2018-09-06,678.95,686.0,666.65,681.1,679.0997,1728992.0
4038,2018-09-05,658.7,678.5,658.35,673.75,671.7713,1202598.0
4037,2018-09-04,662.0,669.45,643.0,656.35,654.4224,1126390.0
4036,2018-09-03,671.0,676.25,660.0,663.0,661.0529,946530.0
4035,2018-08-31,665.0,671.6,657.2,665.65,663.6951,1742479.0
4034,2018-08-30,649.5,664.0,643.7,659.65,657.7127,1131945.0
4033,2018-08-29,649.1,652.6,639.1,647.55,645.6483,727123.0
4032,2018-08-28,654.0,662.2,641.55,644.35,642.4576,776109.0
4031,2018-08-27,661.15,666.0,651.3,653.2,651.2817,1221307.0
4030,2018-08-24,651.75,663.5,633.05,661.65,659.7068,1416976.0
4029,2018-08-23,636.0,656.45,629.2,652.1,650.1849,1941319.0
4028,2018-08-21,610.0,641.55,607.0,635.9,634.0325,2343563.0
4027,2018-08-20,603.0,623.0,603.0,608.2,606.4138,1810601.0
4026,2018-08-17,585.0,604.85,585.0,600.15,598.3875,1661785.0
4025,2018-08-16,582.5,588.0,577.45,583.25,581.5371,656234.0
