,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,263.6,267.25,260.5,262.2,262.2,123450.0
4223,2019-06-13,272.8,273.0,262.2,263.45,263.45,249329.0
4222,2019-06-12,265.2,275.85,265.2,274.0,274.0,452340.0
4221,2019-06-11,266.5,267.8,261.1,265.85,265.85,234936.0
4220,2019-06-10,279.4,280.9,263.75,266.75,266.75,292783.0
4219,2019-06-07,283.05,283.8,276.0,278.25,278.25,172293.0
4218,2019-06-06,288.6,290.9,280.0,280.55,280.55,195572.0
4217,2019-06-04,287.0,294.15,286.0,287.15,287.15,197261.0
4216,2019-06-03,293.0,293.0,287.1,287.8,287.8,155137.0
4215,2019-05-31,294.0,294.35,289.05,292.9,292.9,304080.0
4214,2019-05-30,290.0,294.45,286.25,289.05,289.05,906447.0
4213,2019-05-29,306.45,316.05,302.4,308.25,308.25,542184.0
4212,2019-05-28,318.0,321.7,305.0,307.0,307.0,381047.0
4211,2019-05-27,306.5,325.7,306.45,317.95,317.95,643267.0
4210,2019-05-24,297.9,308.0,295.3,305.8,305.8,285021.0
4209,2019-05-23,300.0,301.95,292.05,293.8,293.8,206954.0
4208,2019-05-22,296.4,301.0,291.1,294.65,294.65,172222.0
4207,2019-05-21,298.2,307.15,294.4,298.0,298.0,184988.0
4206,2019-05-20,289.0,303.25,289.0,300.55,300.55,331267.0
4205,2019-05-17,282.25,286.0,278.2,282.2,282.2,181527.0
4204,2019-05-16,284.5,284.55,276.25,282.25,282.25,114089.0
4203,2019-05-15,283.0,286.15,282.4,283.05,283.05,162535.0
4202,2019-05-14,290.25,291.8,277.15,282.25,282.25,292793.0
4201,2019-05-13,293.0,295.95,290.35,291.75,291.75,127792.0
4200,2019-05-10,292.5,295.9,291.0,292.7,292.7,130673.0
4199,2019-05-09,303.0,303.0,290.65,291.35,291.35,184316.0
4198,2019-05-08,302.0,307.95,301.4,304.6,304.6,207271.0
4197,2019-05-07,313.2,315.45,300.0,301.1,301.1,137835.0
4196,2019-05-06,309.9,315.0,308.0,313.2,313.2,118492.0
4195,2019-05-03,314.0,316.45,310.0,311.05,311.05,148337.0
4194,2019-05-02,313.9,319.0,311.5,314.3,314.3,161065.0
4193,2019-04-30,322.55,322.95,312.0,313.45,313.45,191234.0
4192,2019-04-26,315.3,324.0,314.15,321.3,321.3,275397.0
4191,2019-04-25,313.3,318.15,312.0,313.45,313.45,155106.0
4190,2019-04-24,317.5,318.1,311.0,313.3,313.3,192141.0
4189,2019-04-23,317.0,318.75,315.0,315.65,315.65,145400.0
4188,2019-04-22,320.1,321.25,314.6,315.6,315.6,175214.0
4187,2019-04-18,323.05,327.3,317.55,321.65,321.65,216910.0
4186,2019-04-16,330.6,330.65,323.1,324.35,324.35,177916.0
4185,2019-04-15,326.8,331.7,326.3,328.9,328.9,259629.0
4184,2019-04-12,327.8,329.0,322.5,324.8,324.8,133532.0
4183,2019-04-11,330.0,337.8,325.95,327.85,327.85,290300.0
4182,2019-04-10,323.0,334.0,323.0,331.0,331.0,358252.0
4181,2019-04-09,321.5,326.45,318.6,322.8,322.8,183473.0
4180,2019-04-08,331.0,334.8,322.8,327.1,327.1,338162.0
4179,2019-04-05,327.6,332.0,325.05,330.2,330.2,459000.0
4178,2019-04-04,315.4,325.0,315.0,323.85,323.85,670226.0
4177,2019-04-03,312.75,318.9,311.45,315.45,315.45,481389.0
4176,2019-04-02,315.6,315.65,308.6,310.6,310.6,237252.0
4175,2019-04-01,307.0,318.3,307.0,314.6,314.6,321332.0
4174,2019-03-28,306.75,313.7,306.3,313.15,313.15,412513.0
4173,2019-03-27,303.0,306.8,298.55,303.95,303.95,381503.0
4172,2019-03-26,293.45,303.9,293.0,301.85,301.85,388688.0
4171,2019-03-25,296.6,298.0,291.0,291.55,291.55,252669.0
4170,2019-03-22,305.2,307.45,298.25,300.55,300.55,228290.0
4169,2019-03-20,308.4,309.75,303.4,305.1,305.1,269766.0
4168,2019-03-19,298.35,308.9,295.1,306.85,306.85,555236.0
4167,2019-03-18,308.4,309.55,293.05,296.55,296.55,386445.0
4166,2019-03-15,312.0,313.5,305.6,306.75,306.75,282618.0
4165,2019-03-14,310.9,311.95,306.0,310.6,310.6,280435.0
4164,2019-03-13,309.0,314.35,306.6,309.55,309.55,640767.0
4163,2019-03-12,299.2,310.0,298.95,308.2,308.2,890652.0
4162,2019-03-11,288.9,298.5,288.05,296.2,296.2,1050084.0
4161,2019-03-08,281.0,289.5,279.05,287.15,287.15,331128.0
4160,2019-03-07,286.5,287.9,279.4,282.65,282.65,358611.0
4159,2019-03-06,292.75,294.4,284.1,286.4,286.4,549242.0
4158,2019-03-05,274.15,293.9,274.15,290.95,290.95,916259.0
4157,2019-03-01,261.35,276.45,261.0,274.15,274.15,702976.0
4156,2019-02-28,258.7,263.35,257.25,259.75,259.75,247526.0
4155,2019-02-27,255.8,266.2,253.5,256.1,256.1,394285.0
4154,2019-02-26,260.8,262.4,253.5,256.3,256.3,396315.0
4153,2019-02-25,259.45,266.35,258.0,264.75,264.75,478666.0
4152,2019-02-22,253.6,263.8,253.0,258.5,258.5,686128.0
4151,2019-02-21,246.4,256.5,246.0,252.35,252.35,576281.0
