,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,474.8,474.8,460.2,462.85,462.85,155152.0
4223,2019-06-13,475.15,475.15,465.65,471.5,471.5,198067.0
4222,2019-06-12,483.5,484.7,470.85,474.5,474.5,251154.0
4221,2019-06-11,483.9,486.0,476.45,483.35,483.35,169028.0
4220,2019-06-10,484.55,488.4,477.6,479.5,479.5,137121.0
4219,2019-06-07,490.85,493.75,481.0,482.15,482.15,176094.0
4218,2019-06-06,500.95,503.2,486.35,490.85,490.85,195310.0
4217,2019-06-04,502.0,503.9,494.4,500.35,500.35,1056499.0
4216,2019-06-03,494.5,501.5,493.0,499.45,499.45,562477.0
4215,2019-05-31,485.3,503.9,485.3,491.75,491.75,877406.0
4214,2019-05-30,483.0,486.9,480.55,484.4,484.4,216685.0
4213,2019-05-29,477.9,485.9,475.65,483.15,483.15,215476.0
4212,2019-05-28,493.1,495.0,476.35,478.4,478.4,546637.0
4211,2019-05-27,492.0,497.2,484.0,494.8,494.8,334198.0
4210,2019-05-24,481.8,493.95,478.7,491.75,491.75,227247.0
4209,2019-05-23,480.0,495.0,477.35,479.3,479.3,262069.0
4208,2019-05-22,474.3,482.15,466.9,474.85,474.85,254506.0
4207,2019-05-21,484.0,486.15,468.5,470.9,470.9,194252.0
4206,2019-05-20,455.85,487.0,455.85,483.6,483.6,611727.0
4205,2019-05-17,442.0,453.8,440.2,450.05,450.05,625229.0
4204,2019-05-16,446.25,447.8,437.1,440.15,440.15,327723.0
4203,2019-05-15,456.85,456.85,443.8,445.55,445.55,425367.0
4202,2019-05-14,459.95,466.45,435.95,450.95,450.95,1684045.0
4201,2019-05-13,473.0,474.0,448.95,452.45,452.45,628252.0
4200,2019-05-10,468.95,478.5,467.9,471.2,471.2,162925.0
4199,2019-05-09,477.9,477.9,464.25,471.3,471.3,396136.0
4198,2019-05-08,480.25,481.4,472.7,476.1,476.1,432092.0
4197,2019-05-07,507.0,512.0,480.0,484.3,484.3,708466.0
4196,2019-05-06,506.0,509.5,500.0,504.15,504.15,161945.0
4195,2019-05-03,500.0,511.95,499.0,507.2,507.2,346901.0
4194,2019-05-02,516.0,517.15,501.0,503.6,503.6,600544.0
4193,2019-04-30,509.7,515.8,506.95,514.35,514.35,229365.0
4192,2019-04-26,510.5,514.9,506.45,512.55,512.55,154768.0
4191,2019-04-25,508.65,518.0,507.45,509.8,509.8,279304.0
4190,2019-04-24,506.1,510.5,504.15,508.65,508.65,197530.0
4189,2019-04-23,507.7,507.7,493.1,505.1,505.1,340927.0
4188,2019-04-22,517.15,518.5,503.2,504.5,504.5,149097.0
4187,2019-04-18,527.5,529.5,514.25,517.05,517.05,203196.0
4186,2019-04-16,532.0,532.5,526.2,527.45,527.45,90434.0
4185,2019-04-15,528.0,532.9,527.45,529.9,529.9,122006.0
4184,2019-04-12,528.7,534.5,526.25,527.45,527.45,258408.0
4183,2019-04-11,528.0,533.45,525.95,529.4,529.4,222530.0
4182,2019-04-10,530.0,536.0,527.0,529.2,529.2,160216.0
4181,2019-04-09,532.0,533.9,527.65,530.25,530.25,240328.0
4180,2019-04-08,532.8,538.55,527.0,531.95,531.95,267310.0
4179,2019-04-05,531.25,540.95,528.4,530.2,530.2,345211.0
