,Date,Open,High,Low,Close,Adj Close,Volume
3453,2019-06-14,102.4,103.4,100.1,101.15,101.15,254811.0
3452,2019-06-13,104.4,105.05,101.0,102.45,102.45,557115.0
3451,2019-06-12,104.8,105.75,103.5,104.75,104.75,313866.0
3450,2019-06-11,106.85,106.95,104.6,105.25,105.25,354606.0
3449,2019-06-10,106.2,107.95,106.0,107.15,107.15,287768.0
3448,2019-06-07,108.8,109.45,104.7,105.8,105.8,382995.0
3447,2019-06-06,109.35,110.4,107.9,108.8,108.8,178360.0
3446,2019-06-04,110.0,111.1,109.1,109.7,109.7,180533.0
3445,2019-06-03,110.5,110.9,108.45,110.1,110.1,338710.0
3444,2019-05-31,113.0,114.25,108.75,110.6,110.6,331821.0
3443,2019-05-30,112.85,114.4,109.7,112.6,112.6,277333.0
3442,2019-05-29,114.0,114.85,112.5,113.25,113.25,277702.0
3441,2019-05-28,112.4,115.25,112.4,114.8,114.8,808514.0
3440,2019-05-27,113.0,114.0,111.1,111.9,111.9,386549.0
3439,2019-05-24,106.8,113.5,106.8,110.7,110.7,828164.0
3438,2019-05-23,107.8,109.35,105.1,106.5,106.5,442835.0
3437,2019-05-22,108.25,109.0,105.7,106.65,106.65,431872.0
3436,2019-05-21,107.6,111.0,107.6,108.1,108.1,507219.0
3435,2019-05-20,107.9,109.2,107.35,108.05,108.05,486247.0
3434,2019-05-17,107.25,109.4,104.6,105.85,105.85,1064640.0
3433,2019-05-16,110.5,111.05,106.95,107.4,107.4,445547.0
3432,2019-05-15,109.7,111.55,109.7,110.35,110.35,273236.0
3431,2019-05-14,108.5,110.9,108.35,110.2,110.2,608880.0
3430,2019-05-13,110.1,112.9,108.35,109.65,109.65,1407739.0
3429,2019-05-10,113.9,115.1,108.55,110.15,110.15,1935987.0
3428,2019-05-09,109.0,115.5,108.3,113.6,113.6,2855845.0
3427,2019-05-08,111.9,112.9,108.0,108.85,108.85,842868.0
3426,2019-05-07,111.2,117.25,110.1,111.0,111.0,965666.0
3425,2019-05-06,112.7,114.6,111.45,112.15,112.15,516304.0
3424,2019-05-03,111.0,113.8,111.0,113.35,113.35,347484.0
3423,2019-05-02,112.0,114.45,110.6,111.2,111.2,319506.0
3422,2019-04-30,114.2,115.3,111.55,112.15,112.15,407228.0
3421,2019-04-26,115.0,116.4,113.5,113.8,113.8,442138.0
3420,2019-04-25,116.25,117.0,113.65,114.85,114.85,509371.0
3419,2019-04-24,116.0,118.0,114.5,115.9,115.9,653730.0
3418,2019-04-23,117.7,118.75,114.4,115.55,115.55,755307.0
3417,2019-04-22,113.95,120.4,112.75,117.25,117.25,1703312.0
3416,2019-04-18,116.0,116.4,112.1,113.95,113.95,758332.0
3415,2019-04-16,114.4,114.8,113.3,113.95,113.95,367684.0
3414,2019-04-15,115.35,115.35,113.3,114.1,114.1,355689.0
3413,2019-04-12,112.1,115.8,112.1,114.6,114.6,1006284.0
3412,2019-04-11,113.2,113.9,111.55,112.15,112.15,346041.0
3411,2019-04-10,112.0,113.2,111.5,112.7,112.7,452826.0
3410,2019-04-09,112.1,113.35,110.8,112.2,112.2,419535.0
3409,2019-04-08,110.75,112.8,110.2,112.1,112.1,628227.0
3408,2019-04-05,109.25,112.2,109.25,110.1,110.1,573910.0
3407,2019-04-04,108.5,109.5,106.5,108.9,108.9,1040997.0
3406,2019-04-03,113.3,114.4,108.0,109.65,109.65,1172451.0
3405,2019-04-02,114.35,114.35,112.2,113.3,113.3,690669.0
3404,2019-04-01,114.6,117.3,113.0,113.8,113.8,849734.0
3403,2019-03-28,117.65,119.85,114.75,116.65,116.65,1360016.0
3402,2019-03-27,112.95,118.3,111.55,117.55,117.55,1497989.0
3401,2019-03-26,109.4,113.15,108.65,112.35,112.35,569233.0
3400,2019-03-25,110.5,111.95,109.35,110.55,110.55,512367.0
3399,2019-03-22,116.0,116.3,111.8,113.1,113.1,592609.0
3398,2019-03-20,118.0,118.35,115.15,115.8,115.8,775541.0
3397,2019-03-19,113.0,118.2,112.0,117.75,117.75,2078737.0
3396,2019-03-18,114.1,115.45,112.0,112.85,112.85,545912.0
3395,2019-03-15,113.0,115.95,111.5,113.95,113.95,1694712.0
3394,2019-03-14,112.05,114.25,110.45,112.75,112.75,942316.0
3393,2019-03-13,114.0,114.0,111.0,112.05,112.05,957235.0
3392,2019-03-12,114.45,115.8,111.65,113.75,113.75,1663484.0
3391,2019-03-11,111.0,114.65,110.1,113.85,113.85,2292707.0
3390,2019-03-08,104.55,114.4,101.75,111.3,111.3,12350943.0
3389,2019-03-07,105.35,106.9,103.15,104.2,104.2,570443.0
3388,2019-03-06,107.0,108.9,102.75,105.6,105.6,1869667.0
3387,2019-03-05,103.65,107.9,103.65,106.9,106.9,1942778.0
3386,2019-03-01,98.5,104.3,98.45,103.95,103.95,2699352.0
3385,2019-02-28,94.5,98.8,94.5,97.7,97.7,1255642.0
3384,2019-02-27,93.5,97.0,92.5,95.05,95.05,1412950.0
3383,2019-02-26,93.5,94.75,90.5,93.45,93.45,905815.0
