,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,417.75,424.9,416.7,420.1,420.1,825364.0
4223,2019-06-13,419.1,422.7,416.0,417.25,417.25,766487.0
4222,2019-06-12,422.0,426.2,415.8,418.8,418.8,1006623.0
4221,2019-06-11,412.55,426.95,407.1,420.7,420.7,1405236.0
4220,2019-06-10,417.6,421.2,410.0,412.15,412.15,626692.0
4219,2019-06-07,418.6,422.5,407.75,413.0,413.0,1102794.0
4218,2019-06-06,423.3,424.7,415.35,417.55,417.55,1007188.0
4217,2019-06-04,409.0,430.0,406.25,421.0,421.0,2155160.0
4216,2019-06-03,420.0,421.0,405.0,409.7,409.7,1277114.0
4215,2019-05-31,435.0,437.85,417.0,418.5,418.5,1260608.0
4214,2019-05-30,433.0,439.45,428.0,433.5,433.5,1278976.0
4213,2019-05-29,446.4,458.45,426.15,430.8,430.8,3182862.0
4212,2019-05-28,417.0,448.9,406.4,445.8,445.8,5104551.0
4211,2019-05-27,394.75,419.0,393.35,413.45,413.45,3103788.0
4210,2019-05-24,348.15,395.25,348.15,389.85,389.85,4511547.0
4209,2019-05-23,370.0,372.9,348.4,349.9,349.9,1589875.0
4208,2019-05-22,359.0,363.0,353.5,361.3,361.3,1127241.0
4207,2019-05-21,363.0,369.5,351.0,356.25,356.25,1394643.0
4206,2019-05-20,345.0,374.9,345.0,359.9,359.9,3176995.0
4205,2019-05-17,315.0,331.0,315.0,323.55,323.55,1780712.0
4204,2019-05-16,323.5,328.45,308.5,312.6,312.6,1110432.0
4203,2019-05-15,334.0,343.7,315.9,321.35,321.35,1221851.0
4202,2019-05-14,342.0,342.4,325.25,331.75,331.75,1287078.0
4201,2019-05-13,364.85,365.35,342.0,344.95,344.95,917446.0
4200,2019-05-10,371.0,377.55,361.0,364.85,364.85,1069042.0
4199,2019-05-09,386.05,387.0,368.0,370.9,370.9,1004246.0
4198,2019-05-08,391.95,393.95,384.2,385.6,385.6,693777.0
4197,2019-05-07,397.2,404.4,389.0,391.2,391.2,827549.0
4196,2019-05-06,390.0,403.85,388.1,394.4,394.4,1111272.0
4195,2019-05-03,400.0,406.9,392.0,398.3,398.3,1191229.0
4194,2019-05-02,378.25,407.55,375.1,398.55,398.55,2481804.0
4193,2019-04-30,403.0,405.0,375.1,382.75,382.75,1450113.0
4192,2019-04-26,409.5,414.0,405.35,407.0,407.0,836899.0
4191,2019-04-25,407.0,421.0,403.15,408.4,408.4,1522563.0
4190,2019-04-24,419.0,423.4,404.15,405.85,405.85,1532815.0
4189,2019-04-23,432.8,432.8,413.2,417.5,417.5,1495630.0
4188,2019-04-22,451.0,451.0,431.5,433.6,433.6,862213.0
4187,2019-04-18,471.6,473.0,450.1,451.1,451.1,1142015.0
4186,2019-04-16,472.75,478.7,467.15,471.6,471.6,1274913.0
4185,2019-04-15,457.2,478.35,456.8,470.75,470.75,2853137.0
4184,2019-04-12,460.0,463.6,445.1,456.2,456.2,2131380.0
4183,2019-04-11,464.0,465.9,455.25,460.05,460.05,847257.0
4182,2019-04-10,448.9,474.4,441.5,462.05,462.05,3206578.0
4181,2019-04-09,450.0,451.2,441.0,447.75,447.75,617068.0
