,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,904.0,906.6,892.9,899.0,899.0,1850551.0
4223,2019-06-13,884.0,907.5,869.7,904.6,904.6,1516431.0
4222,2019-06-12,886.0,895.95,877.3,888.3,888.3,821912.0
4221,2019-06-11,884.95,895.8,876.5,890.1,890.1,1278396.0
4220,2019-06-10,876.8,884.45,864.85,880.95,880.95,1270546.0
4219,2019-06-07,872.0,877.35,856.95,871.45,871.45,1244825.0
4218,2019-06-06,889.9,889.9,852.35,869.55,869.55,2884482.0
4217,2019-06-04,890.0,903.9,883.3,886.5,886.5,997897.0
4216,2019-06-03,890.1,896.9,885.0,895.05,895.05,1327630.0
4215,2019-05-31,912.5,913.0,878.8,886.1,886.1,2989460.0
4214,2019-05-30,912.0,919.8,898.7,911.45,911.45,2245342.0
4213,2019-05-29,911.0,915.5,901.55,910.5,910.5,1351790.0
4212,2019-05-28,938.0,938.0,907.75,910.95,910.95,5213864.0
4211,2019-05-27,905.0,959.8,896.55,935.3,935.3,3423163.0
4210,2019-05-24,892.05,914.55,878.0,910.05,910.05,2194830.0
4209,2019-05-23,872.0,905.7,861.55,886.55,886.55,3420575.0
4208,2019-05-22,868.6,868.6,849.0,857.35,857.35,1361942.0
4207,2019-05-21,902.7,902.7,862.0,865.6,865.6,1265452.0
4206,2019-05-20,843.0,894.0,843.0,890.3,890.3,1949145.0
4205,2019-05-17,819.0,833.6,814.3,828.95,828.95,1774033.0
4204,2019-05-16,815.0,826.7,804.85,820.1,820.1,1463357.0
4203,2019-05-15,846.0,847.0,810.1,814.8,814.8,1299508.0
4202,2019-05-14,840.15,851.25,817.7,845.55,845.55,1341517.0
4201,2019-05-13,854.3,854.4,833.35,837.95,837.95,652682.0
4200,2019-05-10,874.95,875.0,853.3,857.6,857.6,633012.0
4199,2019-05-09,864.0,873.0,857.05,869.0,869.0,854077.0
4198,2019-05-08,874.8,879.8,862.0,870.95,870.95,1170460.0
4197,2019-05-07,900.0,906.9,865.5,872.35,872.35,1375348.0
4196,2019-05-06,888.75,898.5,885.35,896.55,896.55,872860.0
4195,2019-05-03,900.0,909.95,881.55,898.65,898.65,1083056.0
4194,2019-05-02,900.0,907.15,891.35,899.3,899.3,1021401.0
4193,2019-04-30,918.0,923.8,896.75,901.2,901.2,1444739.0
4192,2019-04-26,926.45,934.0,898.1,913.45,913.45,2545038.0
4191,2019-04-25,876.1,940.0,876.1,924.8,924.8,7135560.0
4190,2019-04-24,867.5,887.0,849.6,880.55,880.55,1831558.0
4189,2019-04-23,864.0,873.8,856.3,869.45,869.45,1220925.0
4188,2019-04-22,866.5,871.4,855.1,863.9,863.9,871986.0
4187,2019-04-18,887.4,887.9,861.6,867.25,867.25,1047651.0
4186,2019-04-16,869.9,885.0,866.05,883.55,883.55,1633282.0
4185,2019-04-15,853.5,869.0,852.65,866.0,866.0,955859.0
4184,2019-04-12,852.45,860.85,840.2,853.45,853.45,1368130.0
4183,2019-04-11,848.0,853.0,843.35,848.75,848.75,1059178.0
4182,2019-04-10,839.0,853.75,838.25,847.3,847.3,874178.0
4181,2019-04-09,837.0,849.1,829.0,846.0,846.0,679796.0
4180,2019-04-08,855.0,858.2,837.0,840.45,840.45,905102.0
4179,2019-04-05,835.0,852.9,828.85,848.95,848.95,2003216.0
4178,2019-04-04,834.2,840.7,825.4,834.9,834.9,1220209.0
4177,2019-04-03,847.15,852.1,828.0,831.7,831.7,1015377.0
4176,2019-04-02,857.35,859.6,837.5,845.65,845.65,1290864.0
4175,2019-04-01,867.65,871.0,851.75,857.35,857.35,1722012.0
4174,2019-03-28,828.6,841.45,823.7,830.15,830.15,1010951.0
4173,2019-03-27,843.0,844.4,825.0,828.6,828.6,1135187.0
4172,2019-03-26,820.0,838.8,816.1,836.7,836.7,1077359.0
4171,2019-03-25,815.0,817.0,808.0,815.4,815.4,985371.0
4170,2019-03-22,821.0,829.0,814.6,820.1,820.1,1683565.0
4169,2019-03-20,827.0,829.1,811.65,817.65,817.65,1412859.0
4168,2019-03-19,820.0,832.8,815.1,822.3,822.3,1404225.0
4167,2019-03-18,816.5,823.5,806.1,818.55,818.55,2084748.0
4166,2019-03-15,838.1,845.8,824.05,829.85,829.85,1750118.0
4165,2019-03-14,823.15,837.4,808.5,832.9,832.9,1064493.0
4164,2019-03-13,832.0,834.2,821.0,823.15,823.15,605280.0
4163,2019-03-12,831.9,838.6,826.2,830.8,830.8,1272425.0
4162,2019-03-11,809.0,831.95,808.25,827.5,827.5,1243742.0
4161,2019-03-08,810.25,812.35,797.3,807.05,807.05,1267215.0
4160,2019-03-07,821.0,824.35,808.5,810.2,810.2,1121059.0
4159,2019-03-06,818.9,822.2,804.5,820.1,820.1,1119970.0
4158,2019-03-05,791.5,813.45,789.45,810.15,810.15,1238834.0
4157,2019-03-01,780.5,794.6,778.05,791.75,791.75,1158050.0
4156,2019-02-28,788.9,790.5,773.5,777.05,777.05,1294690.0
