,Date,Open,High,Low,Close,Adj Close,Volume
3651,2019-06-14,147.8,148.45,144.85,145.4,145.4,118461.0
3650,2019-06-13,150.1,150.65,147.5,148.3,148.3,124067.0
3649,2019-06-12,148.05,150.9,148.05,150.05,150.05,130034.0
3648,2019-06-11,149.15,150.4,148.05,148.6,148.6,171818.0
3647,2019-06-10,152.4,152.9,149.25,150.0,150.0,171817.0
3646,2019-06-07,150.5,152.9,148.5,152.15,152.15,266030.0
3645,2019-06-06,152.6,153.75,149.4,150.9,150.9,211862.0
3644,2019-06-04,155.0,156.85,152.0,152.75,152.75,1201380.0
3643,2019-06-03,146.05,152.8,145.85,152.4,152.4,526428.0
3642,2019-05-31,149.8,149.8,146.4,146.75,146.75,162006.0
3641,2019-05-30,149.35,150.85,146.35,149.8,149.8,266961.0
3640,2019-05-29,145.35,150.9,145.35,148.0,148.0,642765.0
3639,2019-05-28,144.1,144.85,142.3,144.3,144.3,145374.0
3638,2019-05-27,144.8,145.3,142.55,143.65,143.65,217369.0
3637,2019-05-24,143.7,146.95,142.55,144.5,144.5,522802.0
3636,2019-05-23,141.5,143.35,139.7,141.4,141.4,205786.0
3635,2019-05-22,138.95,143.8,138.3,141.3,141.3,278642.0
3634,2019-05-21,141.0,141.5,137.25,138.35,138.35,189282.0
3633,2019-05-20,138.9,143.3,138.1,140.65,140.65,266162.0
3632,2019-05-17,134.65,138.2,134.05,137.15,137.15,100597.0
3631,2019-05-16,135.45,136.0,134.0,134.75,134.75,83737.0
3630,2019-05-15,137.0,137.95,135.05,135.6,135.6,93005.0
3629,2019-05-14,138.8,138.85,136.55,137.85,137.85,172659.0
3628,2019-05-13,140.4,142.0,138.5,138.8,138.8,196004.0
3627,2019-05-10,140.1,142.45,139.05,141.5,141.5,170588.0
3626,2019-05-09,140.85,141.95,139.0,140.95,140.95,109711.0
3625,2019-05-08,145.75,145.75,140.7,141.25,141.25,219833.0
3624,2019-05-07,148.4,149.3,145.9,146.55,146.55,219382.0
3623,2019-05-06,146.8,148.4,145.65,148.2,148.2,197368.0
3622,2019-05-03,149.3,149.9,145.95,147.8,147.8,299274.0
3621,2019-05-02,148.8,152.85,146.3,149.25,149.25,1360089.0
3620,2019-04-30,145.0,149.45,142.55,147.5,147.5,748454.0
3619,2019-04-26,142.85,143.1,139.4,140.3,140.3,86331.0
3618,2019-04-25,143.0,144.85,141.35,142.0,142.0,275481.0
3617,2019-04-24,142.5,144.35,141.6,142.15,142.15,131689.0
