,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,100.6,103.15,100.1,101.1,101.1,1009039.0
4873,2019-06-13,101.75,102.45,99.05,100.7,100.7,696395.0
4872,2019-06-12,101.25,104.55,101.15,101.75,101.75,1183992.0
4871,2019-06-11,101.45,102.9,100.7,101.6,101.6,651358.0
4870,2019-06-10,105.25,105.3,101.05,101.45,101.45,870524.0
4869,2019-06-07,101.0,104.7,100.25,103.9,103.9,1019517.0
4868,2019-06-06,105.6,106.15,100.6,101.6,101.6,716236.0
4867,2019-06-04,106.0,107.8,105.0,105.4,105.4,526986.0
4866,2019-06-03,107.95,108.5,105.15,106.2,106.2,963843.0
4865,2019-05-31,107.5,110.65,106.75,108.2,108.2,2808392.0
4864,2019-05-30,107.4,108.8,106.2,108.15,108.15,1610827.0
4863,2019-05-29,105.0,110.3,104.7,107.4,107.4,4912587.0
4862,2019-05-28,105.25,106.35,103.9,105.15,105.15,837508.0
4861,2019-05-27,102.05,106.0,102.05,104.55,104.55,1690067.0
4860,2019-05-24,97.0,102.75,97.0,101.9,101.9,1028701.0
4859,2019-05-23,100.0,101.7,97.3,97.9,97.9,1461829.0
4858,2019-05-22,97.1,99.3,96.4,98.0,98.0,1458032.0
4857,2019-05-21,97.9,99.1,95.9,97.45,97.45,1069142.0
4856,2019-05-20,97.6,99.95,97.15,97.85,97.85,1122039.0
4855,2019-05-17,94.7,96.4,93.4,95.75,95.75,803671.0
4854,2019-05-16,91.75,94.8,90.5,94.5,94.5,779413.0
4853,2019-05-15,93.8,93.8,90.55,91.8,91.8,915896.0
4852,2019-05-14,91.6,93.2,90.3,92.5,92.5,530212.0
4851,2019-05-13,95.0,96.0,91.05,91.6,91.6,908248.0
4850,2019-05-10,93.45,97.45,93.45,96.8,96.8,926054.0
4849,2019-05-09,94.0,94.25,92.8,93.65,93.65,402190.0
4848,2019-05-08,94.3,95.5,93.45,93.85,93.85,552857.0
4847,2019-05-07,97.4,98.7,94.0,94.4,94.4,797318.0
4846,2019-05-06,96.4,98.0,96.3,97.25,97.25,525657.0
4845,2019-05-03,96.9,97.95,96.4,97.4,97.4,467313.0
4844,2019-05-02,98.0,98.0,95.3,96.65,96.65,1386045.0
4843,2019-04-30,101.0,101.6,97.2,97.95,97.95,660304.0
4842,2019-04-26,102.1,102.8,101.0,101.3,101.3,500733.0
4841,2019-04-25,101.05,103.25,100.7,102.2,102.2,884871.0
4840,2019-04-24,100.5,101.5,99.8,101.15,101.15,887637.0
4839,2019-04-23,103.5,104.7,99.6,100.05,100.05,1970981.0
4838,2019-04-22,103.0,103.7,101.1,102.35,102.35,827214.0
4837,2019-04-18,107.35,107.35,103.5,104.0,104.0,819853.0
4836,2019-04-16,107.8,108.0,106.55,106.75,106.75,996600.0
4835,2019-04-15,105.05,108.0,105.05,107.15,107.15,1681352.0
4834,2019-04-12,106.35,106.7,103.5,104.2,104.2,1017100.0
4833,2019-04-11,105.35,107.0,105.15,106.35,106.35,2060203.0
4832,2019-04-10,103.9,106.45,103.2,104.7,104.7,1696035.0
4831,2019-04-09,103.9,104.45,101.2,104.15,104.15,981806.0
4830,2019-04-08,105.0,105.9,101.2,103.4,103.4,1247347.0
4829,2019-04-05,103.45,105.25,103.0,104.45,104.45,707228.0
4828,2019-04-04,102.0,103.75,101.0,102.75,102.75,1082752.0
4827,2019-04-03,105.65,108.7,101.7,102.45,102.45,3564245.0
4826,2019-04-02,106.0,106.7,103.75,104.6,104.6,585162.0
4825,2019-04-01,105.0,108.0,104.5,106.5,106.5,1421840.0
4824,2019-03-28,100.7,103.75,100.7,102.2,102.2,2145564.0
4823,2019-03-27,101.5,102.0,98.95,99.4,99.4,906880.0
4822,2019-03-26,100.25,101.6,99.85,100.7,100.7,807771.0
4821,2019-03-25,101.2,101.8,99.0,99.4,99.4,731333.0
4820,2019-03-22,104.5,106.25,101.9,102.35,102.35,914696.0
4819,2019-03-20,107.05,107.05,104.15,105.35,105.35,2475525.0
4818,2019-03-19,101.5,106.5,101.5,105.85,105.85,1692372.0
4817,2019-03-18,103.0,104.45,101.3,101.8,101.8,714095.0
4816,2019-03-15,102.0,103.95,102.0,103.05,103.05,613093.0
4815,2019-03-14,103.0,104.15,101.2,101.8,101.8,546086.0
4814,2019-03-13,105.0,105.5,103.0,103.5,103.5,559869.0
4813,2019-03-12,102.9,105.4,102.55,104.65,104.65,1460599.0
4812,2019-03-11,99.0,103.0,98.9,102.1,102.1,1017860.0
4811,2019-03-08,98.0,99.0,96.9,98.65,98.65,818853.0
4810,2019-03-07,98.5,99.75,97.25,98.5,98.5,820619.0
