,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,7764.4502,7776.9502,7700.0,7726.7002,7726.7002,15216.0
4223,2019-06-13,7730.0,7777.0,7661.0,7764.4502,7764.4502,10459.0
4222,2019-06-12,7720.0,7757.3999,7672.1001,7731.9502,7731.9502,6010.0
4221,2019-06-11,7745.6499,7768.5498,7661.0,7730.25,7730.25,7417.0
4220,2019-06-10,7720.1001,7824.0,7705.5498,7745.6499,7745.6499,17755.0
4219,2019-06-07,7690.0498,7736.8999,7611.2998,7704.6499,7704.6499,10548.0
4218,2019-06-06,7620.1001,7745.0,7572.0,7721.3999,7721.3999,26758.0
4217,2019-06-04,7647.7998,7710.8999,7560.1001,7605.0,7605.0,14598.0
4216,2019-06-03,7439.0,7670.0,7429.25,7647.8999,7647.8999,84236.0
4215,2019-05-31,7431.0,7459.0,7306.0,7393.0498,7393.0498,14626.0
4214,2019-05-30,7371.0,7455.0,7240.0498,7431.8999,7431.8999,11645.0
4213,2019-05-29,7448.8999,7463.8999,7381.1001,7419.3999,7419.3999,6139.0
4212,2019-05-28,7381.0,7447.0,7301.25,7423.1001,7423.1001,6585.0
4211,2019-05-27,7305.0,7398.0,7245.0,7381.0,7381.0,24856.0
4210,2019-05-24,7337.0,7360.25,7238.0,7305.0498,7305.0498,10057.0
4209,2019-05-23,7415.0,7548.0498,7320.0498,7337.8999,7337.8999,21659.0
4208,2019-05-22,7505.6499,7505.6499,7350.7998,7415.0,7415.0,8394.0
4207,2019-05-21,7460.1001,7550.5,7451.3999,7501.7002,7501.7002,7982.0
4206,2019-05-20,7359.0,7495.0,7339.9502,7473.2002,7473.2002,16297.0
4205,2019-05-17,7090.0,7350.0,7084.7998,7315.4502,7315.4502,35265.0
4204,2019-05-16,7050.0,7142.25,7027.3999,7089.6001,7089.6001,6343.0
4203,2019-05-15,7075.0,7163.5498,6992.6001,7031.0,7031.0,19007.0
4202,2019-05-14,7140.0,7198.8501,7115.0,7158.0498,7158.0498,27796.0
4201,2019-05-13,7199.9502,7210.0,7090.2998,7143.5,7143.5,30007.0
4200,2019-05-10,7050.0,7118.8999,7003.0,7049.25,7049.25,9222.0
4199,2019-05-09,7058.9502,7148.0,6972.0498,7095.0498,7095.0498,9868.0
4198,2019-05-08,7015.1001,7058.9502,6969.8999,7020.6001,7020.6001,14965.0
4197,2019-05-07,6972.4502,7100.0,6954.7998,7042.4502,7042.4502,11267.0
4196,2019-05-06,7025.0,7025.0,6890.8999,6933.4502,6933.4502,19206.0
4195,2019-05-03,7161.0,7179.6499,6993.0,7003.5498,7003.5498,31379.0
4194,2019-05-02,7274.8501,7285.8501,7125.0498,7160.2002,7160.2002,24054.0
4193,2019-04-30,7141.0,7290.0,7141.0,7278.2002,7278.2002,10190.0
4192,2019-04-26,7199.0,7245.0,7155.1001,7189.8999,7189.8999,13148.0
4191,2019-04-25,7215.0,7299.9502,7174.0,7194.5498,7194.5498,9076.0
4190,2019-04-24,7215.5498,7280.0,7176.7002,7271.3999,7271.3999,13252.0
4189,2019-04-23,7233.9502,7234.0498,7156.1001,7218.1001,7218.1001,28186.0
4188,2019-04-22,7260.0,7260.0,7140.0498,7183.5498,7183.5498,31591.0
4187,2019-04-18,7180.0,7255.1499,7172.3999,7235.8501,7235.8501,11061.0
4186,2019-04-16,7202.0,7266.7002,7180.0,7206.75,7206.75,16400.0
4185,2019-04-15,7191.0,7248.0,7165.0,7202.9502,7202.9502,4951.0
4184,2019-04-12,7181.0,7223.9502,7166.0,7200.9502,7200.9502,5071.0
4183,2019-04-11,7097.0,7190.4502,7097.0,7181.0498,7181.0498,9636.0
4182,2019-04-10,7050.0498,7133.0,7040.0,7097.2002,7097.2002,9541.0
4181,2019-04-09,7027.2998,7070.0,7010.0,7049.9502,7049.9502,6546.0
4180,2019-04-08,7042.6499,7070.0,6977.0498,7032.9502,7032.9502,21594.0
4179,2019-04-05,7034.6499,7043.7998,6940.0,6995.5,6995.5,8451.0
4178,2019-04-04,7018.25,7029.8999,6894.0498,7005.3501,7005.3501,20758.0
4177,2019-04-03,7067.0,7084.6001,6980.8999,6995.0498,6995.0498,19643.0
4176,2019-04-02,7126.8999,7160.8501,7053.0498,7067.0,7067.0,9628.0
4175,2019-04-01,7193.0,7250.6001,7102.0498,7135.4502,7135.4502,8351.0
4174,2019-03-28,6989.0,7317.7998,6894.0,7224.8501,7224.8501,90382.0
4173,2019-03-27,7000.0,7070.4502,6940.0,6953.3999,6953.3999,20623.0
4172,2019-03-26,6950.0,6999.0,6910.0,6966.5498,6966.5498,12996.0
4171,2019-03-25,6900.0498,6959.0,6856.0498,6924.2998,6924.2998,21525.0
4170,2019-03-22,7000.25,7003.0,6920.0,6931.0,6931.0,33626.0
4169,2019-03-20,7100.0,7103.0,6980.1001,6993.5,6993.5,19482.0
4168,2019-03-19,7110.0,7131.5,7034.75,7056.0,7056.0,35627.0
4167,2019-03-18,7129.7998,7129.7998,7001.1001,7072.8501,7072.8501,50025.0
4166,2019-03-15,7190.5,7193.2002,7026.7998,7060.5498,7060.5498,35316.0
4165,2019-03-14,7242.6001,7290.0,7160.9502,7182.5,7182.5,23292.0
4164,2019-03-13,7200.0,7275.7998,7200.0,7244.6001,7244.6001,16150.0
4163,2019-03-12,7130.0,7218.0,7130.0,7188.0,7188.0,17733.0
4162,2019-03-11,7080.0,7149.0,7039.3999,7122.6001,7122.6001,9368.0
4161,2019-03-08,6963.0,7125.9502,6963.0,7040.1499,7040.1499,27601.0
4160,2019-03-07,7072.1001,7162.8501,7066.0,7076.75,7076.75,14128.0
4159,2019-03-06,7225.0,7227.0,7051.3999,7080.6001,7080.6001,22785.0
4158,2019-03-05,7250.0,7250.0,7150.0,7178.6499,7178.6499,33034.0
4157,2019-03-01,7220.0,7266.9502,7200.0,7205.8501,7205.8501,4410.0
4156,2019-02-28,7205.0,7269.0498,7177.1001,7214.0,7214.0,13277.0
4155,2019-02-27,7296.0,7333.6001,7177.0,7196.5498,7196.5498,16454.0
4154,2019-02-26,7240.0498,7348.4502,7215.0,7304.2998,7304.2998,61722.0
4153,2019-02-25,7259.0,7319.0,7226.1001,7269.2002,7269.2002,29704.0
4152,2019-02-22,7287.6001,7294.5,7250.5,7276.0,7276.0,56255.0
4151,2019-02-21,7210.2002,7297.0,7210.2002,7260.2002,7260.2002,71088.0
4150,2019-02-20,7325.0,7325.0,7201.0498,7209.6001,7209.6001,25454.0
4149,2019-02-19,7320.0,7367.6499,7253.25,7303.6001,7303.6001,9664.0
4148,2019-02-18,7430.0,7430.0,7200.0,7324.1499,7324.1499,8858.0
4147,2019-02-15,7559.0,7589.1499,7385.0,7414.2002,7414.2002,17371.0
4146,2019-02-14,7580.0,7580.0,7460.0,7488.25,7488.25,3930.0
4145,2019-02-12,7510.0498,7598.0,7495.0,7541.9502,7541.9502,12961.0
4144,2019-02-11,7619.8501,7619.8999,7493.75,7559.7002,7559.7002,4603.0
4143,2019-02-08,7691.0,7720.0,7577.5498,7621.0,7621.0,4623.0
4142,2019-02-07,7624.7002,7717.0,7586.6499,7694.0,7694.0,14954.0
4141,2019-02-06,7620.0,7640.0,7583.5498,7617.7998,7617.7998,7824.0
4140,2019-02-05,7525.25,7620.0,7493.9502,7597.8501,7597.8501,14370.0
4139,2019-02-04,7520.0,7592.8999,7475.0,7535.1001,7535.1001,17462.0
4138,2019-02-01,7350.0498,7626.0,7309.4502,7491.25,7491.25,19022.0
4137,2019-01-31,7228.0,7360.0,7199.8501,7330.8501,7330.8501,20055.0
4136,2019-01-30,7278.9502,7278.9502,7173.4502,7190.25,7190.25,7573.0
4135,2019-01-29,7211.8999,7280.0,7188.0,7246.2002,7246.2002,15854.0
4134,2019-01-28,7291.0,7348.6499,7197.0,7239.0,7239.0,9532.0
