,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,538.5,540.0,522.0,523.75,523.75,18373.0
4223,2019-06-13,535.55,538.5,519.0,536.2,536.2,33353.0
4222,2019-06-12,536.4,538.8,531.0,535.5,535.5,11234.0
4221,2019-06-11,544.25,545.25,531.25,534.55,534.55,18828.0
4220,2019-06-10,545.2,554.35,540.2,542.8,542.8,28649.0
4219,2019-06-07,547.1,553.05,539.5,543.95,543.95,34590.0
4218,2019-06-06,544.6,557.0,544.1,549.05,549.05,38921.0
4217,2019-06-04,550.0,557.0,542.0,544.6,544.6,45709.0
4216,2019-06-03,551.55,554.95,545.45,550.0,550.0,29096.0
4215,2019-05-31,559.9,565.0,548.8,551.55,551.55,55042.0
4214,2019-05-30,551.9,567.9,550.1,557.95,557.95,69610.0
4213,2019-05-29,550.0,557.0,544.0,550.05,550.05,157687.0
4212,2019-05-28,585.75,593.0,549.6,559.3,559.3,211221.0
4211,2019-05-27,562.0,595.0,558.3,581.5,581.5,185030.0
4210,2019-05-24,556.05,563.0,551.0,558.15,558.15,68492.0
4209,2019-05-23,569.7,574.55,550.7,554.0,554.0,50867.0
4208,2019-05-22,570.0,577.0,553.85,561.95,561.95,50355.0
4207,2019-05-21,557.15,573.0,554.0,569.45,569.45,161519.0
4206,2019-05-20,535.0,554.0,530.15,550.3,550.3,134119.0
4205,2019-05-17,521.0,524.5,512.9,518.8,518.8,30500.0
4204,2019-05-16,516.55,525.0,512.5,520.8,520.8,118579.0
4203,2019-05-15,523.4,528.45,506.8,512.85,512.85,51272.0
4202,2019-05-14,490.0,522.0,485.25,517.15,517.15,97290.0
4201,2019-05-13,505.0,507.85,490.0,493.95,493.95,55004.0
4200,2019-05-10,516.8,519.0,503.0,505.05,505.05,30721.0
4199,2019-05-09,518.7,523.0,501.55,510.1,510.1,75695.0
4198,2019-05-08,544.0,545.9,520.0,522.9,522.9,75777.0
4197,2019-05-07,528.0,563.9,526.25,545.85,545.85,389706.0
4196,2019-05-06,520.0,535.0,517.1,525.75,525.75,137756.0
4195,2019-05-03,493.0,535.4,493.0,528.9,528.9,657920.0
4194,2019-05-02,483.05,498.25,482.0,495.8,495.8,54017.0
4193,2019-04-30,490.0,490.0,480.0,482.0,482.0,24520.0
4192,2019-04-26,485.5,497.05,484.3,486.9,486.9,31590.0
4191,2019-04-25,488.95,491.05,482.1,483.65,483.65,19980.0
4190,2019-04-24,493.0,495.55,484.05,488.1,488.1,21883.0
4189,2019-04-23,490.8,496.7,487.1,490.5,490.5,15519.0
4188,2019-04-22,497.0,497.05,484.95,487.05,487.05,31091.0
4187,2019-04-18,501.55,502.9,497.0,497.2,497.2,62568.0
4186,2019-04-16,495.05,500.6,491.05,499.75,499.75,72756.0
4185,2019-04-15,482.2,495.0,482.1,494.25,494.25,98808.0
4184,2019-04-12,483.4,489.4,481.7,484.4,484.4,31094.0
4183,2019-04-11,483.0,486.2,475.05,480.5,480.5,22590.0
4182,2019-04-10,486.55,486.55,480.05,482.4,482.4,34005.0
4181,2019-04-09,491.5,491.95,480.15,483.55,483.55,31934.0
4180,2019-04-08,496.5,496.5,488.5,489.55,489.55,24979.0
4179,2019-04-05,491.25,497.35,491.25,493.45,493.45,27471.0
4178,2019-04-04,495.0,500.0,486.5,491.25,491.25,108698.0
4177,2019-04-03,495.5,503.8,495.5,496.95,496.95,30024.0
4176,2019-04-02,504.0,506.2,492.5,498.0,498.0,55393.0
4175,2019-04-01,496.0,514.8,495.1,501.2,501.2,125386.0
4174,2019-03-28,493.0,508.1,490.95,493.55,493.55,58700.0
4173,2019-03-27,489.45,496.25,484.3,493.05,493.05,48147.0
4172,2019-03-26,484.0,491.1,481.9,486.8,486.8,24304.0
4171,2019-03-25,496.3,496.35,480.7,481.7,481.7,41706.0
4170,2019-03-22,507.0,513.55,498.3,500.6,500.6,37540.0
4169,2019-03-20,507.8,514.0,505.55,506.3,506.3,21035.0
4168,2019-03-19,514.0,514.0,502.0,506.25,506.25,32982.0
4167,2019-03-18,525.0,530.0,508.2,510.9,510.9,44710.0
4166,2019-03-15,520.0,526.0,518.8,525.0,525.0,37712.0
4165,2019-03-14,520.0,524.2,512.0,516.85,516.85,27357.0
4164,2019-03-13,529.2,529.2,516.0,522.0,522.0,41703.0
4163,2019-03-12,535.0,547.25,523.5,526.05,526.05,162253.0
4162,2019-03-11,528.55,532.0,520.0,524.5,524.5,68111.0
4161,2019-03-08,513.3,527.5,512.0,524.9,524.9,58947.0
4160,2019-03-07,510.2,524.8,509.35,516.4,516.4,41744.0
4159,2019-03-06,521.3,527.5,509.1,513.35,513.35,66629.0
4158,2019-03-05,498.0,523.9,495.0,517.5,517.5,132061.0
4157,2019-03-01,453.0,504.8,447.75,494.5,494.5,152725.0
4156,2019-02-28,440.0,450.0,436.0,444.3,444.3,25607.0
4155,2019-02-27,441.5,452.7,435.55,437.5,437.5,79062.0
4154,2019-02-26,448.1,448.1,432.0,441.25,441.25,52667.0
4153,2019-02-25,446.0,458.0,444.0,450.85,450.85,68748.0
4152,2019-02-22,438.1,448.45,435.1,446.3,446.3,42883.0
4151,2019-02-21,434.4,443.8,432.8,439.65,439.65,40358.0
4150,2019-02-20,421.4,434.7,420.1,432.8,432.8,44826.0
4149,2019-02-19,426.0,431.75,416.25,418.8,418.8,43399.0
4148,2019-02-18,440.0,443.95,425.0,425.7,425.7,53050.0
4147,2019-02-15,453.0,453.65,440.0,445.1,445.1,46166.0
4146,2019-02-14,477.15,477.15,450.9,455.0,455.0,98821.0
4145,2019-02-12,484.0,484.0,465.1,469.45,469.45,38213.0
4144,2019-02-11,493.0,493.0,478.1,481.45,481.45,25886.0
4143,2019-02-08,500.6,503.95,491.0,492.8,492.8,19709.0
