,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1052.5,1062.95,1026.3,1031.7,1031.7,22177.0
4223,2019-06-13,1055.0,1069.9,1021.25,1059.85,1059.85,44405.0
4222,2019-06-12,1095.0,1095.0,1050.05,1055.3,1055.3,29405.0
4221,2019-06-11,1117.0,1123.95,1088.1,1095.1,1095.1,25544.0
4220,2019-06-10,1111.2,1132.2,1101.0,1117.95,1117.95,48522.0
4219,2019-06-07,1062.0,1144.0,1052.0,1110.4,1110.4,222009.0
4218,2019-06-06,1049.0,1075.0,1017.0,1060.0,1060.0,43185.0
4217,2019-06-04,1053.55,1063.0,1044.75,1052.55,1052.55,139477.0
4216,2019-06-03,1050.0,1058.95,1036.6,1053.2,1053.2,15411.0
4215,2019-05-31,1034.0,1060.0,1021.05,1051.75,1051.75,39927.0
4214,2019-05-30,1043.35,1045.55,1025.05,1034.0,1034.0,18699.0
4213,2019-05-29,1050.0,1075.0,1038.0,1043.35,1043.35,19419.0
4212,2019-05-28,1069.0,1070.0,1022.0,1064.35,1064.35,110708.0
4211,2019-05-27,1034.0,1098.0,1020.2,1058.25,1058.25,298434.0
4210,2019-05-24,1011.05,1034.0,993.65,1028.45,1028.45,29998.0
4209,2019-05-23,1020.0,1050.0,975.75,1006.8,1006.8,36889.0
4208,2019-05-22,991.0,1024.35,989.5,1013.85,1013.85,19562.0
4207,2019-05-21,989.9,998.45,983.0,990.6,990.6,24506.0
4206,2019-05-20,998.5,998.5,959.55,988.7,988.7,50543.0
4205,2019-05-17,940.0,969.0,939.5,960.5,960.5,15307.0
4204,2019-05-16,916.2,958.95,909.8,948.9,948.9,29675.0
4203,2019-05-15,938.8,940.45,920.05,923.95,923.95,12393.0
4202,2019-05-14,941.0,948.0,922.1,929.55,929.55,19319.0
4201,2019-05-13,936.9,965.0,926.65,940.8,940.8,39759.0
4200,2019-05-10,953.0,959.95,913.0,946.4,946.4,81667.0
4199,2019-05-09,985.0,986.45,942.0,947.7,947.7,49795.0
4198,2019-05-08,1013.8,1015.05,981.0,985.35,985.35,36851.0
4197,2019-05-07,1033.05,1039.65,990.0,1022.05,1022.05,213249.0
4196,2019-05-06,1040.0,1048.35,1015.05,1039.3,1039.3,40234.0
4195,2019-05-03,1055.0,1055.0,1026.0,1048.45,1048.45,48525.0
4194,2019-05-02,1039.45,1055.9,1028.7,1050.8,1050.8,38775.0
4193,2019-04-30,1038.15,1049.0,983.0,1040.95,1040.95,76220.0
4192,2019-04-26,1030.05,1045.0,1018.05,1039.25,1039.25,68743.0
4191,2019-04-25,1040.0,1042.4,1023.0,1033.75,1033.75,14548.0
4190,2019-04-24,1055.0,1056.95,1026.45,1034.05,1034.05,130664.0
4189,2019-04-23,1044.65,1058.0,1040.0,1052.8,1052.8,5864.0
4188,2019-04-22,1061.8,1064.5,1030.0,1042.3,1042.3,115485.0
4187,2019-04-18,1060.0,1066.05,1050.0,1061.8,1061.8,21131.0
4186,2019-04-16,1068.25,1068.3,1053.3,1059.05,1059.05,35936.0
4185,2019-04-15,1045.0,1066.0,1038.55,1059.75,1059.75,12601.0
4184,2019-04-12,1055.0,1061.65,1039.0,1048.4,1048.4,9800.0
4183,2019-04-11,1064.3,1079.4,1051.0,1058.1,1058.1,8622.0
4182,2019-04-10,1070.65,1080.0,1065.65,1070.75,1070.75,10209.0
4181,2019-04-09,1056.2,1080.0,1050.55,1073.5,1073.5,25033.0
4180,2019-04-08,1075.1,1090.0,1048.35,1062.65,1062.65,15098.0
4179,2019-04-05,1051.0,1088.0,1031.15,1077.0,1077.0,53255.0
4178,2019-04-04,1076.05,1076.05,1006.0,1064.45,1064.45,151696.0
4177,2019-04-03,1091.0,1101.5,1050.05,1081.05,1081.05,195671.0
4176,2019-04-02,1108.3,1108.3,1085.9,1095.45,1095.45,28313.0
4175,2019-04-01,1113.0,1125.0,1090.05,1099.5,1099.5,38279.0
4174,2019-03-28,1065.0,1085.0,1063.8,1079.6,1079.6,193478.0
4173,2019-03-27,1059.1,1072.25,1056.55,1069.7,1069.7,40787.0
4172,2019-03-26,1061.95,1069.45,1048.1,1053.5,1053.5,44675.0
4171,2019-03-25,1066.0,1082.4,1050.0,1058.5,1058.5,34365.0
4170,2019-03-22,1052.0,1068.95,1048.85,1065.9,1065.9,68875.0
4169,2019-03-20,1041.9,1074.0,1022.8,1063.15,1063.15,75241.0
4168,2019-03-19,1066.9,1066.9,1021.9,1035.45,1035.45,50118.0
4167,2019-03-18,1048.4,1065.0,1034.8,1058.4,1058.4,58957.0
4166,2019-03-15,1068.2,1095.0,1050.0,1064.1,1064.1,62604.0
4165,2019-03-14,1063.8,1074.5,1051.15,1067.05,1067.05,76321.0
4164,2019-03-13,1064.7,1064.7,1022.45,1059.65,1059.65,57717.0
4163,2019-03-12,1036.0,1059.9,1034.95,1056.25,1056.25,193415.0
