,Date,Open,High,Low,Close,Adj Close,Volume
2298,2019-06-14,24.2,25.0,24.05,24.55,24.55,44690.0
2297,2019-06-13,24.25,25.0,23.75,24.4,24.4,58648.0
2296,2019-06-12,24.75,25.15,24.1,24.4,24.4,66245.0
2295,2019-06-11,24.65,24.75,23.8,24.6,24.6,43311.0
2294,2019-06-10,24.6,25.0,24.05,24.4,24.4,54951.0
2293,2019-06-07,24.5,25.0,24.1,24.75,24.75,59233.0
2292,2019-06-06,25.0,25.0,24.35,24.6,24.6,36244.0
2291,2019-06-04,25.45,25.45,24.3,24.75,24.75,119919.0
2290,2019-06-03,24.5,25.25,24.05,24.65,24.65,69354.0
2289,2019-05-31,25.8,25.8,24.6,24.7,24.7,58271.0
2288,2019-05-30,25.2,25.85,24.15,24.85,24.85,125708.0
2287,2019-05-29,26.0,26.0,25.15,25.45,25.45,32349.0
2286,2019-05-28,25.05,26.5,25.05,25.75,25.75,61754.0
2285,2019-05-27,25.7,25.7,24.3,25.35,25.35,57434.0
2284,2019-05-24,25.65,26.1,21.65,25.15,25.15,242109.0
2283,2019-05-23,26.5,27.75,25.5,25.65,25.65,104234.0
2282,2019-05-22,27.5,27.5,26.6,26.8,26.8,25642.0
2281,2019-05-21,27.2,28.95,26.5,27.1,27.1,73979.0
2280,2019-05-20,27.85,27.85,26.1,26.9,26.9,82560.0
2279,2019-05-17,25.5,25.7,25.0,25.5,25.5,68906.0
2278,2019-05-16,27.1,27.25,25.35,25.5,25.5,62577.0
2277,2019-05-15,28.9,28.9,26.1,26.85,26.85,48744.0
2276,2019-05-14,28.35,28.65,27.2,27.9,27.9,61358.0
2275,2019-05-13,28.75,29.05,28.4,28.85,28.85,61898.0
2274,2019-05-10,29.25,29.6,28.5,29.0,29.0,189925.0
2273,2019-05-09,28.45,29.6,28.25,28.9,28.9,232220.0
2272,2019-05-08,28.55,28.95,27.5,28.05,28.05,351447.0
2271,2019-05-07,29.1,29.65,28.75,28.8,28.8,96526.0
2270,2019-05-06,29.2,29.95,28.8,29.45,29.45,80189.0
2269,2019-05-03,30.3,30.55,29.25,29.45,29.45,53853.0
