,Date,Open,High,Low,Close,Adj Close,Volume
1224,2019-06-14,710.1,715.95,705.95,713.45,713.45,5391.0
1223,2019-06-13,715.6,716.0,708.0,709.4,709.4,6519.0
1222,2019-06-12,711.55,718.05,710.0,716.65,716.65,9327.0
1221,2019-06-11,728.0,728.0,710.0,710.85,710.85,3904.0
1220,2019-06-10,705.0,721.0,705.0,714.5,714.5,1934.0
1219,2019-06-07,725.0,725.0,715.4,719.8,719.8,4524.0
1218,2019-06-06,730.0,732.0,720.2,723.1,723.1,4812.0
1217,2019-06-04,736.9,736.9,720.0,728.35,728.35,9331.0
1216,2019-06-03,720.0,732.0,715.5,725.25,725.25,19612.0
1215,2019-05-31,704.0,717.95,704.0,715.1,715.1,4177.0
1214,2019-05-30,710.55,720.0,703.0,717.4,717.4,5221.0
1213,2019-05-29,714.2,716.4,706.85,710.85,710.85,3433.0
1212,2019-05-28,716.55,719.9,712.0,714.2,714.2,1502.0
1211,2019-05-27,734.0,734.0,709.95,719.1,719.1,13527.0
1210,2019-05-24,706.4,713.0,703.0,708.2,708.2,11435.0
1209,2019-05-23,718.95,721.35,705.0,706.65,706.65,2681.0
1208,2019-05-22,717.35,728.0,714.0,717.1,717.1,3640.0
1207,2019-05-21,725.35,727.65,710.0,718.4,718.4,4790.0
1206,2019-05-20,725.8,735.0,702.0,719.15,719.15,12729.0
1205,2019-05-17,725.0,728.45,710.0,725.75,725.75,4848.0
1204,2019-05-16,725.7,728.0,712.05,724.95,724.95,4875.0
1203,2019-05-15,709.0,727.65,705.95,721.7,721.7,4841.0
1202,2019-05-14,711.0,725.75,687.35,699.2,699.2,11320.0
1201,2019-05-13,735.0,735.0,711.0,718.4,718.4,6393.0
1200,2019-05-10,726.5,730.0,721.25,728.7,728.7,2846.0
1199,2019-05-09,719.0,725.0,714.85,724.0,724.0,4317.0
1198,2019-05-08,711.05,724.9,711.0,719.3,717.3,5863.0
1197,2019-05-07,722.0,725.0,708.1,719.2,717.2003,5400.0
1196,2019-05-06,719.65,725.0,710.05,715.9,713.9095,3643.0
1195,2019-05-03,710.1,733.75,710.1,723.9,721.8872,12457.0
1194,2019-05-02,708.9,729.6,700.0,722.05,720.0424,10162.0
1193,2019-04-30,705.05,706.0,697.65,702.1,700.1478,5669.0
1192,2019-04-26,713.05,715.0,700.1,705.1,703.1395,5776.0
1191,2019-04-25,713.05,720.0,708.5,712.8,710.8181,1843.0
1190,2019-04-24,705.05,717.5,705.0,715.6,713.6102,3543.0
1189,2019-04-23,730.0,730.0,709.0,711.6,709.6214,5591.0
1188,2019-04-22,737.0,737.0,715.0,719.2,717.2003,8444.0
1187,2019-04-18,741.0,741.0,724.0,737.2,735.1502,7086.0
1186,2019-04-16,751.65,755.0,731.05,733.0,730.9619,8762.0
1185,2019-04-15,761.4,761.4,745.0,756.1,753.9976,8785.0
1184,2019-04-12,762.2,763.0,752.1,755.7,753.5988,8605.0
1183,2019-04-11,761.55,764.9,754.05,758.35,756.2414,10397.0
1182,2019-04-10,771.1,785.0,756.35,759.85,757.7372,25481.0
1181,2019-04-09,760.5,761.0,753.05,759.7,757.5876,14393.0
1180,2019-04-08,761.0,767.95,755.0,757.95,755.8425,20035.0
1179,2019-04-05,751.0,765.0,750.95,761.3,759.1832,18926.0
1178,2019-04-04,740.05,749.0,731.9,745.95,743.8759,13389.0
1177,2019-04-03,722.8,745.0,719.0,739.25,737.1945,13909.0
1176,2019-04-02,709.3,720.0,706.55,717.0,715.0064,3816.0
1175,2019-04-01,720.0,720.0,709.25,710.85,708.8735,5342.0
1174,2019-03-28,704.0,718.35,704.0,714.45,712.4635,9142.0
1173,2019-03-27,720.0,720.0,706.15,710.9,708.9233,7005.0
1172,2019-03-26,717.0,717.0,707.25,714.8,712.8125,4539.0
1171,2019-03-25,712.0,714.15,702.0,708.75,706.7793,6770.0
1170,2019-03-22,717.55,717.6,705.0,711.55,709.5715,4205.0
