,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,783.3,784.2,774.9,777.75,777.75,833789.0
4223,2019-06-13,781.0,786.75,777.2,783.5,783.5,762233.0
4222,2019-06-12,789.0,789.0,775.55,781.9,781.9,1322564.0
4221,2019-06-11,790.25,796.8,786.1,792.75,792.75,900879.0
4220,2019-06-10,789.55,797.4,787.7,792.05,792.05,1193650.0
4219,2019-06-07,778.3,793.65,773.0,788.65,788.65,1545527.0
4218,2019-06-06,777.1,787.75,768.5,781.25,781.25,1696697.0
4217,2019-06-04,762.0,786.4,762.0,779.9,779.9,1967107.0
4216,2019-06-03,749.8,772.0,743.45,769.95,769.95,1983755.0
4215,2019-05-31,722.25,752.0,722.25,747.95,747.95,2684803.0
4214,2019-05-30,732.0,733.0,709.2,720.4,720.4,3946788.0
4213,2019-05-29,723.0,737.85,713.85,730.95,730.95,5535514.0
4212,2019-05-28,733.0,735.45,720.0,723.75,723.75,2310127.0
4211,2019-05-27,741.0,743.7,731.1,733.9,733.9,1366286.0
4210,2019-05-24,752.85,754.9,739.1,743.55,743.55,1289373.0
4209,2019-05-23,762.55,768.95,738.15,751.5,751.5,2408480.0
4208,2019-05-22,758.25,765.5,748.1,755.55,755.55,1314488.0
4207,2019-05-21,758.0,766.75,754.0,757.9,757.9,1326127.0
4206,2019-05-20,747.0,758.9,737.75,755.55,755.55,1914254.0
4205,2019-05-17,724.8,739.0,723.0,734.55,734.55,2154835.0
4204,2019-05-16,722.25,727.65,713.5,725.2,725.2,1334637.0
4203,2019-05-15,723.6,728.9,717.65,721.15,721.15,1162137.0
4202,2019-05-14,735.95,735.95,717.1,723.5,723.5,1345068.0
4201,2019-05-13,731.9,739.0,728.5,732.25,732.25,504109.0
4200,2019-05-10,735.0,742.55,725.25,739.0,739.0,1193585.0
4199,2019-05-09,727.55,745.7,724.65,741.7,741.7,769103.0
4198,2019-05-08,739.75,739.9,724.8,734.15,734.15,1053351.0
4197,2019-05-07,752.5,754.7,735.1,739.1,739.1,1054648.0
4196,2019-05-06,750.0,767.85,745.0,751.0,751.0,928783.0
4195,2019-05-03,766.25,774.35,765.55,770.3,770.3,814205.0
4194,2019-05-02,778.8,778.85,765.0,771.0,771.0,1287836.0
4193,2019-04-30,760.0,778.25,760.0,774.65,774.65,827106.0
4192,2019-04-26,778.0,778.0,760.2,766.8,766.8,334371.0
4191,2019-04-25,778.1,780.5,770.5,772.9,772.9,1084251.0
4190,2019-04-24,765.0,776.0,759.0,774.05,774.05,1637003.0
4189,2019-04-23,762.55,766.0,755.0,761.5,761.5,648985.0
4188,2019-04-22,757.5,764.0,754.0,761.45,761.45,784837.0
4187,2019-04-18,751.15,767.6,751.15,757.7,757.7,1341325.0
4186,2019-04-16,756.0,760.25,751.35,758.15,758.15,1088041.0
4185,2019-04-15,746.8,754.45,742.05,751.85,751.85,785742.0
4184,2019-04-12,745.0,750.9,738.5,742.6,742.6,1726304.0
4183,2019-04-11,756.7,759.9,750.95,752.8,752.8,558868.0
4182,2019-04-10,756.0,764.95,752.9,757.5,757.5,898792.0
4181,2019-04-09,764.1,764.75,752.0,760.5,760.5,917598.0
4180,2019-04-08,758.6,766.05,755.75,764.1,764.1,783699.0
4179,2019-04-05,765.0,772.4,755.1,759.8,759.8,1167646.0
4178,2019-04-04,767.65,769.5,756.4,766.95,766.95,727448.0
4177,2019-04-03,765.95,780.0,764.0,770.55,770.55,1148881.0
4176,2019-04-02,776.7,779.55,761.2,764.45,764.45,831461.0
4175,2019-04-01,775.0,783.0,767.55,775.65,775.65,1053695.0
4174,2019-03-28,753.0,765.0,747.6,760.55,760.55,1180707.0
4173,2019-03-27,766.7,766.7,745.3,749.3,749.3,687539.0
4172,2019-03-26,741.0,761.25,741.0,757.8,757.8,963589.0
4171,2019-03-25,750.2,752.65,736.5,738.95,738.95,946512.0
4170,2019-03-22,753.6,767.9,753.6,758.05,758.05,806218.0
4169,2019-03-20,766.1,768.0,754.0,757.3,757.3,809288.0
4168,2019-03-19,754.5,768.3,742.15,765.1,765.1,979551.0
4167,2019-03-18,745.85,756.0,741.0,749.05,749.05,882292.0
4166,2019-03-15,747.3,754.0,742.0,745.1,745.1,1682674.0
4165,2019-03-14,769.85,772.0,745.1,747.2,747.2,1976430.0
4164,2019-03-13,769.0,776.75,758.6,766.6,766.6,2013665.0
4163,2019-03-12,748.7,769.9,746.6,765.45,765.45,2541763.0
4162,2019-03-11,729.45,746.0,728.5,742.6,742.6,2084294.0
4161,2019-03-08,719.7,729.5,717.65,727.85,727.85,1194157.0
4160,2019-03-07,714.0,728.0,711.15,718.45,718.45,1070777.0
4159,2019-03-06,722.8,730.95,711.7,713.7,713.7,1222862.0
4158,2019-03-05,707.55,723.9,705.1,720.85,720.85,1216645.0
4157,2019-03-01,717.5,727.0,705.1,707.55,707.55,1371695.0
4156,2019-02-28,696.0,718.5,695.55,715.35,715.35,2100249.0
4155,2019-02-27,698.7,712.45,690.05,693.2,693.2,1294927.0
4154,2019-02-26,695.0,703.9,689.35,694.3,694.3,985971.0
4153,2019-02-25,699.0,705.0,690.0,702.8,702.8,699539.0
4152,2019-02-22,696.1,705.8,692.55,696.1,696.1,1011651.0
4151,2019-02-21,698.5,702.95,691.1,698.75,698.75,983594.0
4150,2019-02-20,680.0,699.0,674.0,695.15,695.15,1043449.0
4149,2019-02-19,686.0,695.6,672.4,676.95,676.95,1187555.0
4148,2019-02-18,690.0,690.0,665.45,686.6,686.6,1636609.0
4147,2019-02-15,695.8,697.95,675.25,688.65,688.65,1123000.0
4146,2019-02-14,703.45,704.8,689.25,694.15,694.15,904847.0
4145,2019-02-12,726.0,733.45,705.5,708.5,708.5,1247494.0
4144,2019-02-11,741.0,743.25,718.1,723.35,723.35,968286.0
4143,2019-02-08,749.0,753.25,740.6,743.3,743.3,1323737.0
4142,2019-02-07,736.9,754.25,735.1,748.15,748.15,1593897.0
4141,2019-02-06,735.4,744.7,726.05,737.5,737.5,1638747.0
4140,2019-02-05,735.0,739.8,725.0,730.8,730.8,892725.0
4139,2019-02-04,740.0,746.0,726.1,735.55,735.55,2228722.0
4138,2019-02-01,715.0,739.9,711.0,737.15,737.15,1938051.0
4137,2019-01-31,705.4,716.25,692.1,713.45,713.45,1699328.0
4136,2019-01-30,704.9,708.15,696.0,703.35,703.35,861622.0
4135,2019-01-29,698.0,704.2,688.55,700.95,700.95,962384.0
4134,2019-01-28,711.0,713.05,686.35,698.7,698.7,1425427.0
4133,2019-01-25,700.25,724.6,700.25,708.15,708.15,1994088.0
4132,2019-01-24,696.2,707.5,695.6,702.6,702.6,1172488.0
4131,2019-01-23,721.0,721.05,691.0,696.2,696.2,2677472.0
4130,2019-01-22,679.7,721.0,670.6,711.85,711.85,5956684.0
4129,2019-01-21,679.25,685.55,673.0,677.7,677.7,813364.0
4128,2019-01-18,677.55,686.0,671.45,677.5,677.5,1299538.0
4127,2019-01-17,684.7,685.75,674.2,676.15,676.15,969498.0
4126,2019-01-16,682.45,689.0,680.15,683.45,683.45,676883.0
4125,2019-01-15,691.25,693.5,678.35,681.1,681.1,1044052.0
4124,2019-01-14,686.0,690.55,683.45,688.55,688.55,515604.0
4123,2019-01-11,688.0,690.8,681.15,688.05,688.05,526760.0
4122,2019-01-10,682.95,690.55,676.0,688.05,688.05,985376.0
4121,2019-01-09,672.0,684.35,672.0,681.75,681.75,877124.0
4120,2019-01-08,694.0,696.9,667.05,669.7,669.7,1686230.0
4119,2019-01-07,684.05,695.75,683.1,693.55,693.55,657814.0
4118,2019-01-04,683.2,688.9,672.95,678.55,678.55,1257221.0
4117,2019-01-03,693.0,697.45,677.8,681.4,681.4,914499.0
4116,2019-01-02,692.0,703.0,690.0,691.8,691.8,1228486.0
4115,2019-01-01,694.4,697.5,686.5,694.8,694.8,413338.0
4114,2018-12-31,693.0,697.9,688.9,691.5,691.5,485613.0
4113,2018-12-28,686.05,696.6,684.05,690.1,690.1,706888.0
4112,2018-12-27,682.4,692.55,678.0,684.85,684.85,1482409.0
4111,2018-12-26,665.4,679.25,655.0,677.2,677.2,1032249.0
4110,2018-12-24,686.95,690.9,666.1,667.9,667.9,964046.0
4109,2018-12-21,704.95,716.5,689.4,691.5,691.5,1614901.0
4108,2018-12-20,698.0,708.0,696.1,704.7,704.7,822019.0
4107,2018-12-19,702.25,712.45,697.0,705.05,705.05,1776201.0
4106,2018-12-18,703.85,703.85,693.25,701.95,701.95,1072555.0
4105,2018-12-17,717.85,717.85,701.0,706.35,706.35,753943.0
4104,2018-12-14,700.2,715.9,700.0,711.45,711.45,1022180.0
4103,2018-12-13,705.25,711.0,695.0,705.15,705.15,728547.0
4102,2018-12-12,691.0,709.35,687.55,704.8,704.8,1419805.0
4101,2018-12-11,660.0,696.45,660.0,691.4,691.4,818930.0
4100,2018-12-10,662.0,674.0,661.4,666.05,666.05,732912.0
4099,2018-12-07,676.2,682.85,673.65,676.7,676.7,722318.0
4098,2018-12-06,691.0,691.0,672.1,674.25,674.25,829854.0
4097,2018-12-05,693.0,698.0,685.25,694.5,694.5,575468.0
4096,2018-12-04,688.15,703.45,688.15,699.3,699.3,1331606.0
4095,2018-12-03,687.45,697.0,681.95,692.1,692.1,802841.0
4094,2018-11-30,693.85,707.0,675.8,684.7,684.7,3589150.0
4093,2018-11-29,670.0,693.05,670.0,689.55,689.55,1358512.0
4092,2018-11-28,656.05,673.85,656.05,668.6,668.6,884882.0
4091,2018-11-27,659.3,667.8,652.4,659.25,659.25,1039081.0
4090,2018-11-26,662.0,666.25,652.0,660.5,660.5,557928.0
4089,2018-11-22,668.0,672.25,659.65,661.35,661.35,677595.0
4088,2018-11-21,678.0,682.5,665.75,669.8,669.8,633805.0
4087,2018-11-20,683.9,685.5,675.05,677.7,677.7,709538.0
4086,2018-11-19,674.7,686.5,669.4,684.5,684.5,872279.0
4085,2018-11-16,687.1,687.45,664.3,674.2,674.2,937990.0
4084,2018-11-15,672.8,688.5,672.0,686.05,686.05,2514715.0
4083,2018-11-14,669.2,677.0,666.5,672.6,672.6,1393979.0
4082,2018-11-13,649.0,669.7,648.0,666.15,666.15,2732901.0
4081,2018-11-12,649.5,658.65,644.15,651.1,651.1,1294477.0
4080,2018-11-09,649.55,655.0,642.3,646.55,646.55,920574.0
4079,2018-11-07,650.0,654.25,646.0,648.25,648.25,79728.0
4078,2018-11-06,649.9,657.0,640.0,647.45,647.45,787114.0
4077,2018-11-05,645.85,656.9,638.25,646.9,646.9,1101243.0
4076,2018-11-02,649.0,654.4,639.0,646.15,646.15,925851.0
4075,2018-11-01,647.0,662.5,641.1,645.0,645.0,1624969.0
4074,2018-10-31,637.6,649.5,633.75,645.8,645.8,1518363.0
4073,2018-10-30,623.8,639.0,622.3,634.5,634.5,1726408.0
4072,2018-10-29,609.4,622.0,600.1,619.5,619.5,1344827.0
4071,2018-10-26,599.2,610.0,588.65,602.85,602.85,1109395.0
4070,2018-10-25,593.05,607.95,591.1,599.3,599.3,1220249.0
4069,2018-10-24,598.95,608.45,592.45,601.3,601.3,1383641.0
4068,2018-10-23,580.0,602.9,579.2,598.85,598.85,1093430.0
4067,2018-10-22,605.0,610.2,585.0,589.35,589.35,1538383.0
4066,2018-10-19,550.0,613.0,549.85,597.15,597.15,3678245.0
4065,2018-10-17,614.85,619.6,579.05,586.9,586.9,3314282.0
4064,2018-10-16,604.9,623.65,601.05,607.95,607.95,2137524.0
4063,2018-10-15,602.9,603.5,578.9,599.75,599.75,1015888.0
4062,2018-10-12,585.0,601.35,585.0,595.75,595.75,1207151.0
4061,2018-10-11,592.0,598.95,570.7,579.95,579.95,1892917.0
4060,2018-10-10,563.0,614.0,561.45,611.2,611.2,1900322.0
4059,2018-10-09,572.0,582.0,553.25,563.85,563.85,1088023.0
4058,2018-10-08,591.0,599.55,562.05,569.9,569.9,1355705.0
4057,2018-10-05,605.0,605.0,586.35,594.55,594.55,1520121.0
4056,2018-10-04,603.2,613.6,595.2,605.7,605.7,1304505.0
4055,2018-10-03,595.5,623.0,586.55,612.9,612.9,2649695.0
4054,2018-10-01,591.4,601.65,554.15,595.15,595.15,3089537.0
4053,2018-09-28,617.0,619.8,581.85,594.5,594.5,1552503.0
4052,2018-09-27,640.0,642.0,608.1,612.6,612.6,2405928.0
4051,2018-09-26,633.0,649.05,620.25,646.5,646.5,1027745.0
4050,2018-09-25,624.95,635.9,605.4,628.1,628.1,896553.0
4049,2018-09-24,634.0,639.8,620.5,625.85,625.85,750068.0
4048,2018-09-21,646.8,659.8,626.75,635.05,635.05,2000200.0
4047,2018-09-19,650.25,653.25,640.85,646.25,646.25,658508.0
4046,2018-09-18,663.4,668.0,645.1,646.65,646.65,881794.0
4045,2018-09-17,655.0,672.4,647.1,666.9,666.9,795979.0
4044,2018-09-14,650.0,665.85,648.55,659.6,659.6,1144059.0
4043,2018-09-12,635.9,649.95,627.15,646.7,646.7,1567798.0
4042,2018-09-11,644.0,653.5,631.0,632.6,632.6,1848618.0
4041,2018-09-10,670.0,670.0,639.4,641.35,641.35,1767996.0
4040,2018-09-07,684.0,684.0,667.1,673.55,673.55,975050.0
4039,2018-09-06,665.7,682.7,656.0,679.0,679.0,1055587.0
4038,2018-09-05,670.0,670.0,646.0,660.4,660.4,2117180.0
4037,2018-09-04,713.85,713.85,664.95,668.8,668.8,2045160.0
4036,2018-09-03,722.0,728.75,707.2,716.4,716.4,1160743.0
4035,2018-08-31,719.0,726.9,709.05,725.25,725.25,1280453.0
4034,2018-08-30,710.0,722.0,706.05,719.35,719.35,1053476.0
4033,2018-08-29,719.8,726.75,710.9,714.0,714.0,1010022.0
4032,2018-08-28,719.0,721.9,713.25,716.45,716.45,900636.0
4031,2018-08-27,701.4,721.95,701.4,719.95,719.95,1175806.0
4030,2018-08-24,706.4,706.4,693.4,699.7,699.7,737630.0
4029,2018-08-23,699.7,708.8,692.05,707.25,707.25,1031233.0
4028,2018-08-21,694.95,702.9,684.4,699.7,699.7,1876676.0
4027,2018-08-20,680.0,698.25,680.0,690.15,690.15,1253351.0
4026,2018-08-17,685.0,686.3,675.0,678.95,678.95,890011.0
4025,2018-08-16,678.1,698.45,678.1,681.45,681.45,1909395.0
4024,2018-08-14,677.05,688.55,673.55,685.9,685.9,1262385.0
4023,2018-08-13,669.85,682.15,663.0,676.4,676.4,1096019.0
4022,2018-08-10,685.1,685.8,667.4,673.5,673.5,1299857.0
4021,2018-08-09,678.55,691.3,673.6,687.3,687.3,1253831.0
4020,2018-08-08,679.8,684.8,670.45,681.45,681.45,1602539.0
4019,2018-08-07,659.4,683.05,651.0,677.55,677.55,1772640.0
4018,2018-08-06,645.65,659.8,645.65,657.7,657.7,1711382.0
4017,2018-08-03,636.05,647.0,634.45,643.45,643.45,925361.0
4016,2018-08-02,632.0,643.0,624.75,637.05,637.05,1584825.0
4015,2018-08-01,636.75,638.4,627.25,632.2,632.2,905532.0
4014,2018-07-31,624.25,636.0,618.0,634.4,634.4,1312444.0
4013,2018-07-30,624.0,628.7,617.55,625.8,625.8,744721.0
4012,2018-07-27,614.6,629.0,611.0,625.05,625.05,1574084.0
4011,2018-07-26,602.1,631.1,602.05,614.75,614.75,3788399.0
4010,2018-07-25,601.0,616.0,599.25,602.8,602.8,2929858.0
4009,2018-07-24,613.2,625.45,595.6,598.6,598.6,4934161.0
4008,2018-07-23,574.95,615.0,574.95,610.05,610.05,10645909.0
4007,2018-07-20,563.95,572.9,554.6,560.4,560.4,2197605.0
4006,2018-07-19,564.9,574.9,559.2,561.75,561.75,1721971.0
4005,2018-07-18,559.0,565.5,556.85,561.25,561.25,728009.0
4004,2018-07-17,563.0,567.5,544.5,555.0,555.0,1471637.0
4003,2018-07-16,560.2,569.8,553.0,560.05,560.05,1700586.0
4002,2018-07-13,561.35,567.2,555.6,560.2,560.2,531924.0
4001,2018-07-12,569.65,573.55,556.0,561.5,561.5,764724.0
4000,2018-07-11,574.4,581.0,565.05,566.8,566.8,1481873.0
3999,2018-07-10,556.8,576.2,552.7,573.95,573.95,2061453.0
3998,2018-07-09,553.0,558.8,551.2,553.4,553.4,399294.0
3997,2018-07-06,546.8,553.0,539.6,551.0,551.0,711614.0
3996,2018-07-05,545.05,553.65,541.55,545.75,545.75,942429.0
3995,2018-07-04,540.05,550.9,535.6,547.4,543.4,602897.0
3994,2018-07-03,533.0,548.0,532.65,543.5,535.5577,552370.0
