,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,2204.5,2207.55,2177.1499,2185.8501,2185.8501,2162481.0
4223,2019-06-13,2180.0,2200.8,2161.3501,2197.5,2197.5,2691086.0
4222,2019-06-12,2187.5,2188.1001,2162.0,2181.95,2181.95,2223012.0
4221,2019-06-11,2202.25,2204.0,2181.0,2189.8501,2189.8501,2393325.0
4220,2019-06-10,2215.25,2224.8,2175.45,2194.05,2194.05,2484187.0
4219,2019-06-07,2190.0,2217.75,2168.3999,2210.8501,2210.8501,1951213.0
4218,2019-06-06,2230.0,2231.0,2171.6499,2183.45,2183.45,3888312.0
4217,2019-06-04,2220.0,2233.8999,2209.0,2223.95,2223.95,2430870.0
4216,2019-06-03,2200.0,2235.0,2192.7,2230.45,2230.45,3673925.0
4215,2019-05-31,2190.0,2197.0,2140.05,2182.6499,2182.6499,5769576.0
4214,2019-05-30,2141.3999,2189.45,2130.0,2184.3999,2184.3999,3766742.0
4213,2019-05-29,2150.1001,2170.0,2135.0,2147.45,2147.45,3085215.0
4212,2019-05-28,2167.0,2169.75,2114.0,2147.8501,2147.8501,7177003.0
4211,2019-05-27,2129.95,2187.5,2116.2,2165.3,2165.3,3886480.0
4210,2019-05-24,2125.0,2151.8999,2095.0,2123.3999,2123.3999,3307188.0
4209,2019-05-23,2174.0,2210.0,2103.3,2114.3999,2114.3999,7619751.0
4208,2019-05-22,2124.0,2155.2,2119.0,2138.8,2138.8,3076404.0
4207,2019-05-21,2141.2,2178.8999,2104.1001,2114.5,2114.5,5575430.0
4206,2019-05-20,2030.5,2135.5,2030.0,2122.5,2122.5,6214064.0
4205,2019-05-17,1941.0,1997.95,1938.55,1993.65,1993.65,2328374.0
4204,2019-05-16,1954.0,1954.0,1923.3,1942.1,1942.1,2527762.0
4203,2019-05-15,1975.0,1979.95,1937.5,1944.95,1944.95,2371807.0
4202,2019-05-14,1961.0,1989.8,1924.25,1965.2,1965.2,4304854.0
4201,2019-05-13,1926.1,1984.4,1917.85,1952.9,1952.9,4509527.0
4200,2019-05-10,1915.25,1956.0,1910.75,1931.7,1931.7,1628923.0
4199,2019-05-09,1926.0,1931.6,1901.3,1914.6,1914.6,1932792.0
4198,2019-05-08,1964.5,1964.5,1925.05,1930.75,1930.75,3626183.0
4197,2019-05-07,1974.8,2009.15,1959.2,1966.3,1966.3,2683956.0
4196,2019-05-06,1987.25,1993.95,1957.0,1965.45,1965.45,2216418.0
4195,2019-05-03,2017.5,2037.6,2000.0,2006.4,2006.4,1451357.0
4194,2019-05-02,1995.0,2027.9,1989.25,2017.4,2017.4,2380823.0
4193,2019-04-30,1977.4,1999.85,1954.2,1995.05,1995.05,3675345.0
4192,2019-04-26,1959.3,1982.15,1941.6,1977.4,1977.4,2094836.0
4191,2019-04-25,1987.55,1998.8,1946.55,1955.15,1955.15,4162465.0
4190,2019-04-24,1943.9,1985.0,1933.25,1980.4,1980.4,2758373.0
