,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,163.15,178.9,162.0,172.65,172.65,322531.0
4223,2019-06-13,165.9,167.8,161.2,164.85,164.85,63119.0
4222,2019-06-12,173.5,173.5,166.0,166.6,166.6,79909.0
4221,2019-06-11,176.45,176.5,170.05,173.45,173.45,572267.0
4220,2019-06-10,175.65,181.85,174.1,175.05,175.05,177282.0
4219,2019-06-07,170.0,178.4,167.45,175.65,175.65,695447.0
4218,2019-06-06,194.9,194.9,157.6,167.9,167.9,1668974.0
4217,2019-06-04,195.95,197.15,193.0,193.85,193.85,55632.0
4216,2019-06-03,195.0,197.5,192.55,195.45,195.45,66532.0
4215,2019-05-31,200.2,204.85,195.1,197.5,197.5,118584.0
4214,2019-05-30,200.25,209.85,195.8,198.6,198.6,353413.0
4213,2019-05-29,201.0,203.65,197.55,199.05,199.05,81920.0
4212,2019-05-28,208.25,210.9,201.1,202.45,202.45,88776.0
4211,2019-05-27,195.2,209.0,195.2,207.1,207.1,146235.0
4210,2019-05-24,189.15,195.9,188.55,194.25,194.25,120022.0
4209,2019-05-23,190.6,194.05,185.05,187.75,187.75,99184.0
4208,2019-05-22,189.65,193.7,184.1,189.45,189.45,45302.0
4207,2019-05-21,191.65,194.75,187.0,187.75,187.75,22717.0
4206,2019-05-20,194.5,194.75,186.8,191.65,191.65,104164.0
4205,2019-05-17,180.05,185.7,180.05,182.3,182.3,59084.0
4204,2019-05-16,188.15,190.65,178.8,180.6,180.6,52143.0
4203,2019-05-15,190.85,193.6,186.1,186.85,186.85,32919.0
4202,2019-05-14,196.05,196.05,188.5,190.85,190.85,55057.0
4201,2019-05-13,201.3,202.7,193.55,194.65,194.65,25574.0
4200,2019-05-10,204.0,206.65,200.0,200.9,200.9,24380.0
4199,2019-05-09,195.25,206.95,195.25,205.1,205.1,57553.0
4198,2019-05-08,205.0,206.1,195.25,195.95,195.95,52234.0
4197,2019-05-07,207.1,213.6,204.0,204.7,204.7,56428.0
4196,2019-05-06,214.85,214.9,207.55,208.85,208.85,48854.0
4195,2019-05-03,214.9,215.95,212.5,214.05,214.05,55444.0
4194,2019-05-02,217.8,220.0,213.5,215.65,215.65,32435.0
4193,2019-04-30,218.0,219.25,211.25,213.95,213.95,32836.0
4192,2019-04-26,215.15,220.1,214.55,218.45,218.45,47564.0
4191,2019-04-25,220.25,222.45,213.25,214.15,214.15,54221.0
4190,2019-04-24,219.75,223.0,216.75,220.95,220.95,27098.0
4189,2019-04-23,223.1,223.8,217.45,218.55,218.55,35309.0
4188,2019-04-22,228.0,229.0,220.65,222.3,222.3,43009.0
4187,2019-04-18,232.5,241.0,227.05,228.7,228.7,171813.0
4186,2019-04-16,227.45,233.95,227.0,231.0,231.0,234784.0
4185,2019-04-15,217.25,234.7,215.5,226.25,226.25,368715.0
4184,2019-04-12,215.8,217.1,211.55,216.0,216.0,32354.0
4183,2019-04-11,214.3,216.95,208.9,214.45,214.45,43988.0
4182,2019-04-10,219.0,219.0,213.1,214.3,214.3,46542.0
4181,2019-04-09,218.0,221.0,211.0,217.75,217.75,61612.0
4180,2019-04-08,218.55,222.95,215.25,217.2,217.2,54163.0
4179,2019-04-05,214.95,220.65,212.55,219.3,219.3,65629.0
4178,2019-04-04,213.15,216.3,211.0,213.3,213.3,66594.0
4177,2019-04-03,220.9,222.0,210.05,212.0,212.0,72043.0
4176,2019-04-02,225.0,225.0,218.6,221.35,221.35,65827.0
4175,2019-04-01,219.4,226.15,219.35,225.2,225.2,185334.0
4174,2019-03-28,222.9,223.65,212.7,214.5,214.5,216580.0
4173,2019-03-27,201.4,224.9,200.85,221.5,221.5,597403.0
4172,2019-03-26,202.8,204.7,199.5,200.2,200.2,62935.0
4171,2019-03-25,202.0,204.7,197.55,202.8,202.8,94554.0
4170,2019-03-22,207.1,209.8,200.3,202.0,202.0,90522.0
4169,2019-03-20,209.8,214.7,206.4,209.15,209.15,109318.0
4168,2019-03-19,212.0,215.65,207.0,208.7,208.7,73840.0
4167,2019-03-18,215.3,216.95,207.4,212.3,212.3,113831.0
4166,2019-03-15,226.05,229.45,213.4,217.15,217.15,278908.0
4165,2019-03-14,213.15,232.0,213.15,221.9,221.9,842158.0
4164,2019-03-13,198.95,213.8,195.95,211.5,211.5,561966.0
4163,2019-03-12,205.0,206.0,198.0,198.95,198.95,334121.0
4162,2019-03-11,177.9,201.0,177.0,197.05,197.05,808308.0
4161,2019-03-08,179.0,182.5,174.5,176.45,176.45,141334.0
4160,2019-03-07,177.05,181.75,175.05,178.7,178.7,179812.0
