,Date,Open,High,Low,Close,Adj Close,Volume
2331,2019-06-14,40.9,41.0,40.2,40.35,40.35,453488.0
2330,2019-06-13,41.95,41.95,40.25,41.0,41.0,560366.0
2329,2019-06-12,42.0,42.8,41.6,41.85,41.85,515096.0
2328,2019-06-11,41.9,42.35,41.35,42.0,42.0,563242.0
2327,2019-06-10,42.75,43.0,41.25,41.7,41.7,550010.0
2326,2019-06-07,43.45,43.55,42.4,42.65,42.65,331405.0
2325,2019-06-06,44.25,44.4,42.9,43.35,43.35,370029.0
2324,2019-06-04,43.65,45.15,43.4,44.25,44.25,969869.0
2323,2019-06-03,44.05,44.1,43.25,43.65,43.65,505080.0
2322,2019-05-31,45.6,45.75,43.9,44.15,44.15,821815.0
2321,2019-05-30,45.75,46.2,45.05,45.45,45.45,701043.0
2320,2019-05-29,46.4,47.4,45.2,45.7,45.7,2437336.0
2319,2019-05-28,43.7,46.2,43.55,45.25,45.25,2887965.0
2318,2019-05-27,42.35,44.7,42.1,43.35,43.35,1366499.0
2317,2019-05-24,40.7,42.3,40.4,42.05,42.05,1139462.0
2316,2019-05-23,41.75,41.8,39.5,40.1,40.1,992452.0
2315,2019-05-22,40.7,41.1,40.2,40.55,40.55,675993.0
2314,2019-05-21,41.5,42.2,40.45,40.55,40.55,639298.0
2313,2019-05-20,41.9,43.15,40.85,41.1,41.1,1345155.0
2312,2019-05-17,40.65,40.9,39.75,40.1,40.1,560173.0
2311,2019-05-16,40.9,41.1,40.1,40.5,40.5,429644.0
2310,2019-05-15,41.65,42.3,40.45,40.6,40.6,466148.0
2309,2019-05-14,42.0,42.0,41.1,41.3,41.3,460187.0
2308,2019-05-13,42.9,43.2,41.9,42.05,42.05,329781.0
2307,2019-05-10,43.35,43.7,42.8,42.9,42.9,504873.0
2306,2019-05-09,43.3,44.15,43.05,43.2,43.2,442093.0
2305,2019-05-08,43.65,44.2,43.15,43.3,43.3,474404.0
2304,2019-05-07,45.25,45.3,43.6,43.85,43.85,457064.0
