,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,308.25,310.6,305.3,306.45,306.45,3236612.0
4873,2019-06-13,306.45,311.0,304.0,309.65,309.65,8061992.0
4872,2019-06-12,307.0,311.0,300.65,302.15,302.15,3802462.0
4871,2019-06-11,305.0,310.35,301.7,308.65,308.65,4453852.0
4870,2019-06-10,308.6,311.1,299.3,305.6,305.6,4409258.0
4869,2019-06-07,306.1,312.0,303.1,311.4,311.4,3717740.0
4868,2019-06-06,317.5,320.3,303.75,308.1,308.1,7963314.0
4867,2019-06-04,324.55,324.75,317.0,317.85,308.45,6765405.0
4866,2019-06-03,333.3,333.5,321.3,324.75,315.1459,9679696.0
4865,2019-05-31,325.0,332.0,318.55,324.25,314.6607,14126695.0
4864,2019-05-30,315.0,318.5,313.25,317.65,308.2559,6439995.0
4863,2019-05-29,318.9,319.0,308.6,313.55,304.2772,6227101.0
4862,2019-05-28,316.55,323.5,313.45,318.25,308.8382,10653682.0
4861,2019-05-27,301.0,317.9,299.5,316.55,307.1884,7886267.0
4860,2019-05-24,298.95,307.9,297.1,302.25,293.3113,14416862.0
4859,2019-05-23,293.9,306.0,287.7,289.65,281.084,12176548.0
4858,2019-05-22,286.45,295.9,286.1,288.75,280.2106,6068404.0
4857,2019-05-21,301.5,301.85,278.7,284.55,276.1348,10577287.0
4856,2019-05-20,283.0,301.85,282.5,293.5,284.8201,11173673.0
4855,2019-05-17,279.45,279.45,272.0,274.7,266.5761,4717296.0
4854,2019-05-16,263.45,285.0,262.0,281.1,272.7868,6693665.0
4853,2019-05-15,269.5,273.9,265.95,267.4,259.492,4754077.0
4852,2019-05-14,262.0,270.05,260.0,268.2,260.2683,4369774.0
4851,2019-05-13,269.0,276.75,261.25,262.75,254.9795,5702048.0
4850,2019-05-10,275.0,275.0,269.8,272.15,264.1015,4947130.0
4849,2019-05-09,282.9,283.7,275.5,276.7,268.517,3920166.0
4848,2019-05-08,287.3,287.3,280.6,281.9,273.5632,3442649.0
4847,2019-05-07,290.05,291.0,277.5,285.0,276.5715,7398307.0
4846,2019-05-06,284.55,293.7,283.55,292.25,283.6071,7424394.0
4845,2019-05-03,287.0,290.45,281.7,286.05,277.5904,6696507.0
4844,2019-05-02,291.75,292.9,280.15,281.95,273.6117,6687351.0
4843,2019-04-30,284.8,294.85,279.35,291.25,282.6367,9806887.0
4842,2019-04-26,275.0,284.0,275.0,282.9,274.5336,6886460.0
4841,2019-04-25,269.5,279.0,266.1,275.05,266.9157,15257172.0
4840,2019-04-24,256.05,270.95,256.05,268.8,260.8506,9108180.0
4839,2019-04-23,250.0,256.25,246.0,254.85,247.3132,8574573.0
4838,2019-04-22,258.1,258.85,248.0,249.9,242.5095,8173151.0
4837,2019-04-18,265.0,269.5,258.15,266.6,258.7157,9397146.0
4836,2019-04-16,260.1,265.4,260.1,264.65,256.8233,5886950.0
