,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,240.8,241.2,236.1,236.75,236.75,783953.0
4193,2019-06-13,243.75,243.75,238.8,239.85,239.85,438407.0
4192,2019-06-12,241.5,243.8,241.2,241.85,241.85,414262.0
4191,2019-06-11,242.95,243.95,240.1,241.85,241.85,716771.0
4190,2019-06-10,239.95,243.0,237.5,241.8,241.8,862372.0
4189,2019-06-07,243.4,245.4,238.2,239.0,239.0,960416.0
4188,2019-06-06,248.4,248.4,243.0,243.4,243.4,424365.0
4187,2019-06-04,248.6,251.7,246.0,246.65,246.65,891462.0
4186,2019-06-03,246.0,249.4,245.05,248.55,248.55,577466.0
4185,2019-05-31,250.8,250.85,244.55,245.8,245.8,880270.0
4184,2019-05-30,248.95,250.9,246.25,249.85,249.85,1106908.0
4183,2019-05-29,251.0,251.4,248.2,248.95,248.95,494774.0
4182,2019-05-28,254.15,254.9,250.6,251.4,251.4,1121681.0
4181,2019-05-27,253.2,255.75,252.3,254.15,254.15,723141.0
4180,2019-05-24,248.5,253.75,245.0,252.8,252.8,918932.0
4179,2019-05-23,254.7,254.7,248.0,248.6,248.6,784800.0
4178,2019-05-22,254.4,254.95,249.5,250.45,250.45,1343725.0
4177,2019-05-21,262.0,262.5,254.2,255.25,255.25,608867.0
4176,2019-05-20,259.0,263.35,255.6,261.1,261.1,772524.0
4175,2019-05-17,252.6,255.85,251.9,253.45,253.45,523709.0
4174,2019-05-16,253.8,255.85,253.25,254.55,254.55,300715.0
4173,2019-05-15,257.0,258.1,253.15,253.8,253.8,556069.0
4172,2019-05-14,256.4,258.45,254.15,256.55,256.55,605817.0
4171,2019-05-13,257.5,261.3,256.2,257.25,257.25,630013.0
4170,2019-05-10,263.0,264.6,259.0,260.4,260.4,335568.0
4169,2019-05-09,265.95,269.7,261.4,262.15,262.15,392409.0
4168,2019-05-08,268.05,268.95,264.0,265.95,265.95,233408.0
4167,2019-05-07,273.7,274.95,267.35,268.05,268.05,318633.0
4166,2019-05-06,271.7,274.45,269.5,272.55,272.55,544359.0
4165,2019-05-03,266.5,275.55,266.5,274.6,274.6,642377.0
4164,2019-05-02,276.0,277.6,270.0,271.9,271.9,1391449.0
4163,2019-04-30,272.95,277.8,268.25,276.85,276.85,671785.0
4162,2019-04-26,274.7,274.7,270.0,270.45,270.45,521302.0
4161,2019-04-25,274.35,277.65,271.4,272.95,272.95,756411.0
4160,2019-04-24,276.0,276.65,272.9,275.5,275.5,185488.0
4159,2019-04-23,277.0,279.3,274.7,275.5,275.5,258567.0
4158,2019-04-22,284.35,284.35,276.05,276.95,276.95,293483.0
4157,2019-04-18,282.3,284.95,281.55,284.35,284.35,469898.0
4156,2019-04-16,283.05,286.5,281.1,282.6,282.6,559573.0
4155,2019-04-15,280.5,285.8,280.5,284.45,284.45,478288.0
4154,2019-04-12,281.0,282.25,278.85,280.5,280.5,425468.0
4153,2019-04-11,280.35,282.8,279.8,281.35,281.35,339540.0
4152,2019-04-10,284.9,286.15,281.7,282.45,282.45,330577.0
4151,2019-04-09,284.1,286.25,280.65,284.95,284.95,438295.0
4150,2019-04-08,289.35,291.65,283.2,283.95,283.95,599597.0
4149,2019-04-05,286.25,290.0,283.5,288.85,288.85,946455.0
4148,2019-04-04,281.55,285.2,281.0,283.55,283.55,448307.0
4147,2019-04-03,284.9,289.6,281.55,282.35,282.35,998158.0
4146,2019-04-02,283.1,284.9,279.65,283.7,283.7,873349.0
4145,2019-04-01,279.3,289.8,279.3,283.9,283.9,1926933.0
4144,2019-03-28,271.1,277.75,268.1,275.8,275.8,1231637.0
4143,2019-03-27,273.5,276.0,271.0,271.85,271.85,433364.0
4142,2019-03-26,272.1,274.0,269.65,273.2,273.2,254176.0
4141,2019-03-25,273.0,273.0,268.1,270.85,270.85,419241.0
4140,2019-03-22,276.0,281.75,273.15,274.5,274.5,917990.0
4139,2019-03-20,276.1,278.35,274.5,277.05,277.05,430463.0
4138,2019-03-19,278.5,278.5,274.4,277.2,277.2,446239.0
4137,2019-03-18,275.0,278.7,271.4,277.55,277.55,637698.0
4136,2019-03-15,273.1,276.1,270.5,275.1,275.1,617716.0
4135,2019-03-14,277.0,277.95,272.55,273.95,273.95,470111.0
4134,2019-03-13,274.95,277.9,274.0,276.75,276.75,1221413.0
4133,2019-03-12,273.0,277.5,272.55,274.7,274.7,1212343.0
4132,2019-03-11,269.0,272.0,268.55,271.25,271.25,734367.0
4131,2019-03-08,269.0,269.5,265.85,267.25,267.25,509873.0
4130,2019-03-07,268.15,271.2,266.5,269.85,269.85,540718.0
4129,2019-03-06,272.0,274.0,266.9,268.1,268.1,890999.0
4128,2019-03-05,270.85,275.1,270.1,271.35,271.35,582719.0
4127,2019-03-01,269.0,271.95,268.6,270.85,270.85,333569.0
4126,2019-02-28,263.95,272.4,261.55,269.45,269.45,1142117.0
4125,2019-02-27,263.0,269.0,263.0,263.9,263.9,629984.0
4124,2019-02-26,261.3,264.85,257.6,263.2,263.2,389777.0
4123,2019-02-25,259.95,263.3,259.2,262.25,262.25,631433.0
4122,2019-02-22,258.2,261.0,253.05,260.0,260.0,821434.0
4121,2019-02-21,255.6,257.05,253.65,255.8,255.8,673649.0
