,Date,Open,High,Low,Close,Adj Close,Volume
3072,2019-06-14,115.0,118.35,112.2,114.4,114.4,7479857.0
3071,2019-06-13,113.0,121.9,108.8,119.3,119.3,14992451.0
3070,2019-06-12,120.55,121.35,111.75,113.6,113.6,8147894.0
3069,2019-06-11,123.5,124.0,116.5,120.45,120.45,8727738.0
3068,2019-06-10,127.9,129.55,123.2,126.65,126.65,7217304.0
3067,2019-06-07,139.8,144.7,125.05,127.55,127.55,35219226.0
3066,2019-06-06,125.0,133.0,120.0,131.4,131.4,25652917.0
3065,2019-06-04,124.65,126.45,122.75,123.55,123.55,5577354.0
3064,2019-06-03,124.95,127.0,121.5,124.65,124.65,6433872.0
3063,2019-05-31,124.0,128.25,120.7,125.45,125.45,6188304.0
3062,2019-05-30,127.0,129.7,124.1,125.25,125.25,5723205.0
3061,2019-05-29,126.8,127.7,124.5,125.8,125.8,3807506.0
3060,2019-05-28,127.3,130.25,123.2,127.2,127.2,7483167.0
3059,2019-05-27,130.8,134.25,126.2,127.0,127.0,5517905.0
3058,2019-05-24,118.2,133.4,118.05,130.5,130.5,17096352.0
3057,2019-05-23,121.0,124.35,115.35,116.8,116.8,6784099.0
3056,2019-05-22,117.2,120.8,115.0,116.65,116.65,4463606.0
3055,2019-05-21,121.0,122.8,116.15,117.25,117.25,5452206.0
3054,2019-05-20,111.75,122.8,108.1,121.85,121.85,14364443.0
3053,2019-05-17,108.15,111.35,104.55,106.0,106.0,5384700.0
3052,2019-05-16,97.0,108.85,95.9,107.85,107.85,11749527.0
3051,2019-05-15,97.3,98.3,93.6,96.95,96.95,5989319.0
3050,2019-05-14,93.15,98.0,90.55,96.4,96.4,5716731.0
3049,2019-05-13,100.4,101.7,91.65,94.15,94.15,4445550.0
3048,2019-05-10,102.3,104.75,100.0,101.15,101.15,3968757.0
3047,2019-05-09,97.45,104.45,97.4,101.85,101.85,8313979.0
3046,2019-05-08,104.4,105.4,96.4,97.95,97.95,8692291.0
3045,2019-05-07,112.0,113.2,104.25,105.55,105.55,6111919.0
3044,2019-05-06,112.7,115.75,110.7,111.35,111.35,4410777.0
3043,2019-05-03,116.35,119.5,114.0,117.7,117.7,7326645.0
3042,2019-05-02,113.0,117.6,112.1,116.05,116.05,7045288.0
3041,2019-04-30,125.4,125.4,112.5,115.05,115.05,14593506.0
3040,2019-04-26,124.0,127.9,119.0,125.45,125.45,21415031.0
3039,2019-04-25,116.0,127.35,113.35,123.35,123.35,28832091.0
3038,2019-04-24,107.0,119.7,107.0,115.9,115.9,33141856.0
3037,2019-04-23,105.8,109.4,104.4,105.55,105.55,7150547.0
3036,2019-04-22,102.5,110.45,99.2,105.3,105.3,16811182.0
3035,2019-04-18,109.1,110.8,103.15,103.95,103.95,6825376.0
3034,2019-04-16,109.0,111.3,105.75,109.05,109.05,12458332.0
3033,2019-04-15,111.2,114.25,107.0,108.0,108.0,11179453.0
3032,2019-04-12,118.4,118.4,110.3,111.1,111.1,12709288.0
3031,2019-04-11,120.5,125.9,116.5,118.75,118.75,28581034.0
3030,2019-04-10,107.9,121.9,107.1,119.05,119.05,39463221.0
3029,2019-04-09,96.15,109.7,94.5,107.7,107.7,28994300.0
3028,2019-04-08,91.0,102.9,90.9,96.45,96.45,16582711.0
3027,2019-04-05,90.0,91.2,89.4,90.3,90.3,2389013.0
3026,2019-04-04,90.7,91.9,88.75,89.65,89.65,2536930.0
3025,2019-04-03,92.4,94.75,90.1,90.7,90.7,4344374.0
3024,2019-04-02,94.7,94.8,91.4,92.0,92.0,2960249.0
3023,2019-04-01,93.5,95.8,93.5,94.15,94.15,3472054.0
3022,2019-03-28,90.0,92.8,89.75,91.25,91.25,3071214.0
3021,2019-03-27,89.85,90.8,88.15,89.8,89.8,3649227.0
3020,2019-03-26,87.7,90.8,87.7,89.35,89.35,4744425.0
3019,2019-03-25,88.5,88.7,85.8,86.9,86.9,2952264.0
3018,2019-03-22,96.2,96.7,89.05,89.95,89.95,4750041.0
3017,2019-03-20,92.1,96.85,92.0,95.65,95.65,8568438.0
3016,2019-03-19,88.75,92.75,88.75,91.95,91.95,7122059.0
3015,2019-03-18,85.9,91.35,85.2,88.75,88.75,6562961.0
3014,2019-03-15,88.9,89.15,84.1,85.6,85.6,4268178.0
3013,2019-03-14,83.35,90.95,83.15,88.0,88.0,11397889.0
3012,2019-03-13,81.5,84.5,81.5,82.9,82.9,5636408.0
3011,2019-03-12,78.4,85.4,78.0,81.3,81.3,11928531.0
3010,2019-03-11,76.9,78.7,76.4,77.7,77.7,3924315.0
3009,2019-03-08,75.95,78.35,75.5,76.05,76.05,1905109.0
3008,2019-03-07,77.7,78.0,75.85,76.55,76.55,2469778.0
3007,2019-03-06,74.65,81.35,74.65,78.05,78.05,8969617.0
3006,2019-03-05,71.85,76.0,71.15,74.7,74.7,5476349.0
3005,2019-03-01,71.0,72.1,70.75,71.1,71.1,1744080.0
3004,2019-02-28,71.0,71.65,70.3,70.45,70.45,1134981.0
3003,2019-02-27,72.35,73.5,70.5,71.0,71.0,2217626.0
3002,2019-02-26,71.25,73.3,69.9,72.0,72.0,2289441.0
3001,2019-02-25,77.2,77.5,73.8,74.4,74.4,2172281.0
3000,2019-02-22,75.0,76.0,74.0,74.85,74.85,1797494.0
2999,2019-02-21,72.8,75.2,72.1,74.5,74.5,3139524.0
2998,2019-02-20,73.05,74.4,71.2,72.7,72.7,2813905.0
2997,2019-02-19,73.5,73.65,71.65,72.55,72.55,2090081.0
2996,2019-02-18,72.0,73.6,72.0,72.75,72.75,2323939.0
2995,2019-02-15,72.0,72.9,70.1,71.45,71.45,4850149.0
2994,2019-02-14,68.05,69.0,65.5,68.3,68.3,2321613.0
2993,2019-02-12,66.0,67.7,65.7,67.05,67.05,1942361.0
2992,2019-02-11,67.05,67.85,64.5,65.75,65.75,1966968.0
2991,2019-02-08,67.4,70.05,65.75,67.5,67.5,2860331.0
2990,2019-02-07,68.55,71.25,66.55,67.15,67.15,2160370.0
2989,2019-02-06,69.55,70.25,63.3,69.3,69.3,3511869.0
2988,2019-02-05,72.15,72.75,67.3,69.35,69.35,2862742.0
2987,2019-02-04,75.4,75.4,71.25,72.35,72.35,1697682.0
2986,2019-02-01,73.9,80.4,72.3,75.1,75.1,3783830.0
2985,2019-01-31,74.0,75.75,71.0,73.6,73.6,1804787.0
2984,2019-01-30,74.6,75.4,72.5,73.65,73.65,1294536.0
2983,2019-01-29,76.9,77.25,68.85,74.0,74.0,4321589.0
2982,2019-01-28,81.0,81.6,75.1,76.45,76.45,1744042.0
2981,2019-01-25,84.3,84.9,80.35,81.75,81.75,1563847.0
2980,2019-01-24,83.4,85.2,82.35,84.05,84.05,2307843.0
2979,2019-01-23,78.5,84.4,77.55,83.35,83.35,3090391.0
2978,2019-01-22,80.05,80.1,77.0,77.9,77.9,1971845.0
2977,2019-01-21,85.0,85.0,80.2,80.6,80.6,1160197.0
2976,2019-01-18,86.0,86.4,84.85,85.15,85.15,754986.0
2975,2019-01-17,86.2,87.15,85.6,85.75,85.75,1712086.0
2974,2019-01-16,86.2,87.3,85.5,85.9,85.9,1313278.0
2973,2019-01-15,87.0,87.75,84.9,85.95,85.95,1693835.0
2972,2019-01-14,87.15,87.9,86.1,86.5,86.5,983359.0
2971,2019-01-11,88.6,88.8,87.1,87.65,87.65,1178414.0
2970,2019-01-10,87.9,90.2,87.55,88.7,88.7,2343464.0
2969,2019-01-09,88.5,89.5,86.5,87.95,87.95,1497305.0
2968,2019-01-08,89.5,89.85,87.5,88.15,88.15,2199439.0
2967,2019-01-07,87.9,92.75,87.45,89.4,89.4,4517441.0
2966,2019-01-04,87.0,87.75,86.1,87.1,87.1,1538874.0
2965,2019-01-03,87.65,88.2,86.6,87.1,87.1,1503297.0
2964,2019-01-02,88.1,89.0,86.5,86.95,86.95,2092382.0
2963,2019-01-01,87.6,89.65,86.7,88.5,88.5,2029550.0
2962,2018-12-31,87.7,88.8,87.0,87.45,87.45,1146911.0
2961,2018-12-28,88.4,89.2,86.75,87.25,87.25,2018185.0
2960,2018-12-27,90.0,90.7,86.5,87.15,87.15,2662367.0
2959,2018-12-26,87.8,90.35,85.6,88.95,88.95,2180007.0
2958,2018-12-24,91.2,91.65,86.7,88.4,88.4,2430093.0
2957,2018-12-21,94.25,95.65,90.35,91.05,91.05,7398287.0
2956,2018-12-20,90.0,93.75,89.05,92.5,92.5,5094295.0
2955,2018-12-19,85.25,91.65,85.05,90.55,90.55,8902823.0
2954,2018-12-18,83.65,84.35,82.5,83.35,83.35,1394939.0
2953,2018-12-17,83.7,85.7,82.35,84.2,84.2,2250842.0
2952,2018-12-14,80.55,84.25,79.6,83.1,83.1,2852443.0
2951,2018-12-13,81.8,83.7,79.2,80.05,80.05,3193132.0
2950,2018-12-12,72.5,78.55,72.4,78.55,78.55,2122332.0
2949,2018-12-11,69.0,72.75,68.55,71.45,71.45,1928890.0
2948,2018-12-10,73.0,73.45,70.0,70.5,70.5,1509467.0
2947,2018-12-07,78.0,78.7,74.1,75.05,75.05,1787231.0
2946,2018-12-06,79.0,79.7,76.55,77.05,77.05,1387735.0
2945,2018-12-05,79.0,80.65,78.2,80.15,80.15,1733267.0
2944,2018-12-04,80.0,81.9,78.2,78.95,78.95,1914344.0
2943,2018-12-03,79.3,81.45,78.05,80.05,80.05,2375147.0
2942,2018-11-30,76.2,79.8,76.0,78.25,78.25,2785693.0
2941,2018-11-29,78.25,78.6,75.15,76.0,76.0,1495651.0
2940,2018-11-28,80.4,80.4,76.45,77.5,77.5,2068180.0
2939,2018-11-27,81.6,82.5,79.65,80.45,80.45,1320056.0
2938,2018-11-26,84.05,84.35,80.0,81.25,81.25,1461888.0
2937,2018-11-22,84.0,85.3,82.7,83.35,83.35,1566699.0
2936,2018-11-21,83.0,84.8,82.4,83.6,83.6,1485199.0
2935,2018-11-20,84.3,85.9,81.15,82.1,82.1,1895164.0
2934,2018-11-19,84.4,86.0,83.25,84.65,84.65,1221762.0
2933,2018-11-16,86.45,87.6,83.0,83.25,83.25,1911724.0
2932,2018-11-15,90.8,91.75,86.45,86.7,86.7,3062451.0
2931,2018-11-14,91.4,94.4,90.2,90.95,90.95,2462256.0
2930,2018-11-13,94.35,95.15,90.1,90.7,90.7,1802113.0
2929,2018-11-12,94.4,96.45,93.1,94.2,94.2,3015433.0
2928,2018-11-09,88.95,93.3,88.0,93.25,93.25,3589368.0
2927,2018-11-07,88.0,90.0,87.5,88.9,88.9,1176150.0
2926,2018-11-06,87.5,89.25,84.7,87.05,87.05,2567921.0
2925,2018-11-05,86.65,86.65,79.5,85.75,85.75,6615500.0
2924,2018-11-02,80.9,82.55,80.65,82.55,82.55,2075857.0
2923,2018-11-01,75.7,78.65,74.45,78.65,78.65,3904178.0
2922,2018-10-31,72.5,75.45,70.75,74.95,74.95,5131840.0
2921,2018-10-30,72.4,75.1,71.05,71.9,71.9,3211156.0
2920,2018-10-29,70.5,73.4,70.25,72.45,72.45,3895117.0
2919,2018-10-26,71.0,73.3,70.0,70.0,70.0,5499587.0
2918,2018-10-25,75.0,76.65,73.65,73.65,73.65,1959138.0
2917,2018-10-24,75.7,77.9,74.8,77.5,77.5,2556809.0
2916,2018-10-23,72.9,78.0,72.5,74.25,74.25,4076484.0
2915,2018-10-22,73.0,79.45,70.15,74.35,74.35,9283530.0
2914,2018-10-19,77.3,79.9,75.4,75.4,75.4,5250875.0
2913,2018-10-17,94.95,94.95,83.75,83.75,83.75,5197545.0
2912,2018-10-16,95.9,97.4,92.1,93.05,93.05,2949967.0
2911,2018-10-15,97.1,98.55,94.25,95.05,95.05,2387327.0
2910,2018-10-12,94.4,97.9,93.85,96.2,96.2,3307252.0
2909,2018-10-11,89.0,95.5,87.6,92.1,92.1,6430928.0
2908,2018-10-10,87.5,95.3,87.1,94.95,94.95,5492548.0
2907,2018-10-09,85.8,88.0,84.85,86.65,86.65,5535805.0
2906,2018-10-08,88.0,89.3,81.85,85.8,85.8,5857350.0
2905,2018-10-05,89.0,92.5,84.8,87.95,87.95,5536552.0
2904,2018-10-04,87.0,93.45,86.0,89.95,89.95,7387390.0
2903,2018-10-03,80.9,90.4,79.5,90.4,90.4,12131923.0
2902,2018-10-01,88.3,91.75,80.0,82.2,82.2,15012946.0
2901,2018-09-28,102.0,102.3,82.6,87.8,87.8,14437067.0
2900,2018-09-27,111.0,112.35,99.2,101.05,101.05,13261468.0
2899,2018-09-26,113.45,117.5,110.1,113.4,113.4,7677866.0
2898,2018-09-25,115.65,116.0,94.2,110.7,110.7,20710446.0
2897,2018-09-24,125.0,129.25,115.25,117.7,117.7,8071050.0
2896,2018-09-21,143.9,144.7,113.75,123.1,123.1,17946453.0
2895,2018-09-19,144.6,146.5,140.95,142.15,142.15,2361147.0
2894,2018-09-18,150.0,152.8,142.65,144.35,144.35,2716261.0
2893,2018-09-17,142.6,152.3,141.8,150.3,150.3,5077156.0
2892,2018-09-14,139.8,145.0,139.1,144.15,144.15,3644226.0
2891,2018-09-12,139.25,141.45,135.05,137.1,137.1,3409496.0
2890,2018-09-11,145.6,146.5,140.45,141.0,141.0,2442718.0
2889,2018-09-10,147.45,147.9,145.0,145.55,145.55,1712621.0
2888,2018-09-07,146.2,149.7,145.85,147.85,147.85,2953004.0
