,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,420.3,422.0,416.1,417.75,417.75,8600891.0
4223,2019-06-13,416.7,422.3,415.3,419.6,419.6,12162977.0
4222,2019-06-12,422.0,422.0,414.8,418.0,418.0,11136959.0
4221,2019-06-11,418.45,423.7,413.05,421.35,421.35,10939138.0
4220,2019-06-10,418.9,422.75,413.0,416.1,416.1,13074522.0
4219,2019-06-07,413.5,418.95,407.9,416.6,416.6,14107696.0
4218,2019-06-06,417.4,417.85,410.35,411.55,411.55,17762399.0
4217,2019-06-04,417.7,422.75,417.5,419.1,419.1,14514451.0
4216,2019-06-03,426.0,426.4,419.6,422.9,422.9,17125380.0
4215,2019-05-31,427.0,430.2,414.3,423.7,423.7,24644955.0
4214,2019-05-30,420.85,428.0,419.6,426.2,426.2,18281037.0
4213,2019-05-29,428.6,430.45,422.1,423.3,423.3,22132254.0
4212,2019-05-28,435.05,439.2,428.1,434.3,434.3,23389724.0
4211,2019-05-27,432.25,438.8,429.65,435.5,435.5,23397222.0
4210,2019-05-24,415.5,433.55,412.65,431.75,431.75,37708344.0
4209,2019-05-23,414.0,427.95,407.4,410.85,410.85,43279956.0
4208,2019-05-22,403.0,408.4,401.55,405.35,405.35,15370847.0
4207,2019-05-21,408.6,410.8,397.6,400.15,400.15,18286421.0
4206,2019-05-20,405.25,414.0,402.0,407.7,407.7,33350816.0
4205,2019-05-17,381.2,392.0,380.75,389.7,389.7,19096980.0
4204,2019-05-16,379.0,385.0,377.55,382.5,382.5,13430281.0
4203,2019-05-15,382.35,384.5,375.8,377.05,377.05,16183425.0
4202,2019-05-14,378.1,386.75,376.5,380.4,380.4,21481226.0
4201,2019-05-13,385.0,385.75,375.25,376.3,376.3,13828080.0
4200,2019-05-10,383.5,389.2,382.25,385.1,385.1,18361701.0
4199,2019-05-09,380.95,385.7,377.55,381.4,381.4,19739885.0
4198,2019-05-08,386.3,390.0,380.1,382.2,382.2,22509400.0
4197,2019-05-07,398.0,407.35,384.3,386.5,386.5,41517845.0
4196,2019-05-06,396.5,404.9,394.65,401.3,401.3,20751521.0
4195,2019-05-03,397.15,405.2,394.7,401.8,401.8,24431248.0
4194,2019-05-02,403.7,405.0,394.4,395.55,395.55,16572948.0
4193,2019-04-30,407.75,409.8,403.3,407.5,407.5,19375553.0
