,Date,Open,High,Low,Close,Adj Close,Volume
420,2019-06-14,1160.5,1175.0,1156.0,1164.3,1164.3,206067.0
419,2019-06-13,1124.9,1170.0,1100.95,1153.3,1153.3,410908.0
418,2019-06-12,1144.0,1149.0,1103.0,1128.05,1128.05,1160951.0
417,2019-06-11,1195.0,1199.0,1137.3,1149.2,1149.2,811509.0
416,2019-06-10,1199.1,1236.8,1181.0,1189.6,1189.6,982236.0
415,2019-06-07,1180.5,1210.0,1175.0,1191.7,1191.7,442931.0
414,2019-06-06,1240.95,1264.8,1167.25,1172.8,1172.8,1077181.0
413,2019-06-04,1224.8,1250.0,1212.4,1243.85,1243.85,654990.0
412,2019-06-03,1183.85,1244.0,1176.0,1220.5,1220.5,587792.0
411,2019-05-31,1150.0,1197.0,1147.1,1176.5,1176.5,727432.0
410,2019-05-30,1145.7,1154.55,1140.0,1146.75,1146.75,443801.0
409,2019-05-29,1162.0,1197.0,1125.25,1136.6,1136.6,581899.0
408,2019-05-28,1128.0,1283.4,1092.65,1154.9,1154.9,18101858.0
407,2019-05-27,1136.8,1149.8,1105.0,1117.4,1117.4,619017.0
406,2019-05-24,1101.0,1146.0,1101.0,1130.5,1130.5,447198.0
405,2019-05-23,1150.0,1158.8,1090.65,1133.2,1133.2,792641.0
404,2019-05-22,1149.0,1155.0,1130.0,1135.55,1135.55,623349.0
403,2019-05-21,1150.0,1158.15,1130.65,1147.25,1147.25,1254899.0
402,2019-05-20,1131.0,1174.0,1130.0,1144.05,1144.05,1976308.0
401,2019-05-17,1097.0,1126.0,1088.0,1120.0,1120.0,768270.0
400,2019-05-16,1096.15,1097.85,1085.85,1091.35,1091.35,598187.0
399,2019-05-15,1066.3,1100.0,1066.3,1089.35,1089.35,949912.0
398,2019-05-14,1075.5,1098.0,1043.0,1065.35,1065.35,790715.0
397,2019-05-13,1090.0,1118.4,1010.0,1077.25,1077.25,604550.0
396,2019-05-10,1090.0,1099.0,1070.0,1085.2,1085.2,264743.0
395,2019-05-09,1065.45,1094.0,1063.7,1090.85,1090.85,615068.0
