,Date,Open,High,Low,Close,Adj Close,Volume
3027,2019-06-14,12.85,12.9,12.3,12.5,12.5,35801366.0
3026,2019-06-13,12.8,13.05,12.75,12.9,12.9,32446596.0
3025,2019-06-12,13.15,13.2,12.8,12.85,12.85,22813410.0
3024,2019-06-11,12.95,13.25,12.6,13.15,13.15,43370155.0
3023,2019-06-10,13.3,13.55,12.65,12.8,12.8,49800929.0
3022,2019-06-07,13.45,13.55,13.2,13.4,13.4,35136898.0
3021,2019-06-06,13.9,14.0,13.2,13.45,13.45,69427339.0
3020,2019-06-04,14.05,14.4,13.8,13.85,13.85,64187215.0
3019,2019-06-03,13.95,14.15,13.8,14.0,14.0,55031122.0
3018,2019-05-31,13.6,14.05,13.45,13.95,13.95,151171664.0
3017,2019-05-30,13.2,13.65,12.95,13.3,13.3,273542405.0
3016,2019-05-29,13.7,13.75,13.15,13.2,13.2,50735753.0
3015,2019-05-28,13.05,13.8,13.0,13.65,13.65,170049972.0
3014,2019-05-27,12.65,13.25,12.6,13.05,13.05,99540754.0
3013,2019-05-24,12.85,13.25,12.55,12.85,12.85,91577582.0
3012,2019-05-23,12.3,13.0,12.25,12.75,12.75,132685065.0
3011,2019-05-22,11.85,12.3,11.5,12.15,12.15,133499642.0
3010,2019-05-21,12.6,12.65,11.7,11.8,11.8,94310446.0
3009,2019-05-20,12.25,13.0,11.8,12.55,12.55,137707027.0
3008,2019-05-17,12.4,12.45,11.6,11.85,11.85,180983160.0
3007,2019-05-16,13.0,13.0,12.05,12.2,12.2,161982330.0
3006,2019-05-15,14.05,14.15,12.8,12.9,12.9,148791000.0
3005,2019-05-14,14.45,14.55,13.0,14.0,14.0,243253187.0
3004,2019-05-13,14.05,15.0,14.05,14.45,14.45,200282034.0
3003,2019-05-10,14.3,14.3,13.55,14.05,14.05,229057148.0
3002,2019-05-09,14.2,14.5,13.95,14.3,14.3,157917034.0
3001,2019-05-08,15.4,15.4,13.65,14.3,14.3,240357694.0
3000,2019-05-07,16.4,16.6,15.5,15.6,15.6,36753133.0
2999,2019-05-06,17.15,17.15,16.25,16.35,16.35,45839027.0
2998,2019-05-03,16.25,16.5,15.9,16.15,16.15,26630328.0
2997,2019-05-02,15.35,16.55,15.15,16.2,16.2,62636435.0
